learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.275288,5.742955207824707E-9,1000.0,69.19999999999999,61.35386931836004,60.36036036036035,58.6021505376344,1000.0,80640.0
2000.0,0.463319,9.643016842504343E-9,2000.0,68.5,57.92701739951569,57.20108695652174,55.064194008559205,2000.0,80176.0
3000.0,0.617556,1.35839807573292E-8,3000.0,72.3,60.89233249705986,62.21009549795361,56.78627145085803,3000.0,98768.0
4000.0,0.783765,1.7269114531162712E-8,4000.0,59.5,48.26211816165725,49.814126394052046,44.897959183673464,4000.0,85704.0
5000.0,0.942172,2.10992696425981E-8,5000.0,66.8,56.727842896002144,57.59897828863346,51.46198830409357,5000.0,93464.0
6000.0,1.090638,2.4191288236114716E-8,6000.0,54.6,38.65345689121664,40.498034076015735,36.76880222841227,6000.0,80504.0
7000.0,1.248888,2.7608908361030952E-8,7000.0,55.2,43.154494157474744,46.66666666666667,40.819022457067376,7000.0,83480.0
8000.0,1.382094,3.0529779278569756E-8,8000.0,63.3,54.36225920495822,55.56900726392252,51.96335078534031,8000.0,84760.0
9000.0,1.512157,3.341699461556144E-8,9000.0,64.4,55.3167988753891,56.69099756690997,52.27882037533512,9000.0,85808.0
10000.0,1.646247,3.665058111564981E-8,10000.0,63.6,53.41181650399199,53.807106598984774,48.87640449438203,10000.0,93216.0
11000.0,1.778762,4.000909317698744E-8,11000.0,64.60000000000001,48.31769724682242,50.5586592178771,39.38356164383562,11000.0,97968.0
12000.0,1.90849,4.3313885024852224E-8,12000.0,69.8,59.17456927142829,61.182519280205646,55.522827687776136,12000.0,98472.0
13000.0,2.05968,4.787132725533512E-8,13000.0,57.699999999999996,43.55499451562712,45.41935483870967,38.33819241982507,13000.0,116520.0
14000.0,2.222534,5.1565324784153036E-8,14000.0,53.6,39.2552483989045,40.28314028314029,33.71428571428572,14000.0,87680.0
15000.0,2.362088,5.479175262980991E-8,15000.0,64.5,52.99084182146584,54.60358056265985,47.717231222385855,15000.0,89368.0
16000.0,2.493184,5.7657403118080566E-8,16000.0,57.699999999999996,47.71865467615229,49.46236559139784,43.44919786096256,16000.0,84496.0
17000.0,2.631323,6.091058257760274E-8,17000.0,65.60000000000001,58.451145673423596,58.40386940749699,56.23409669211197,17000.0,91032.0
18000.0,2.760025,6.39750819384224E-8,18000.0,66.9,59.24719347364119,59.43627450980392,55.45087483176313,18000.0,92040.0
19000.0,2.887198,6.699738420959976E-8,19000.0,67.2,59.27418653912535,59.80392156862745,57.67741935483872,19000.0,91864.0
20000.0,3.020188,7.019398515837061E-8,20000.0,64.8,56.9792070241222,58.04529201430274,54.52196382428941,20000.0,92912.0
21000.0,3.166852,7.383490731732714E-8,21000.0,61.9,54.50213875772927,55.43859649122807,51.89393939393939,21000.0,95960.0
22000.0,3.320952,7.763523241298067E-8,22000.0,60.699999999999996,51.460507626752296,50.99750623441396,50.441361916771754,22000.0,95328.0
23000.0,3.473149,8.137413738502397E-8,23000.0,62.0,54.38892563114324,53.658536585365844,50.840879689521344,23000.0,94960.0
