learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.243717,3.3305406384170053E-9,100.0,96.0,92.00319872051179,92.0,90.90909090909089,10100.0,52824.0
200.0,0.271728,3.713327944278717E-9,200.0,98.0,95.98595082789764,95.8762886597938,95.18072289156626,10200.0,52824.0
300.0,0.289113,3.950904514640569E-9,300.0,98.33333333333333,96.64729548502457,96.5986394557823,96.06299212598424,10300.0,52824.0
400.0,0.307496,4.202119360367457E-9,400.0,98.75,97.48693204664255,97.43589743589745,97.1264367816092,10400.0,52824.0
500.0,0.320568,4.380756169557571E-9,500.0,98.8,97.58310104248909,97.59036144578313,97.23502304147466,10500.0,52824.0
600.0,0.333302,4.554774003724257E-9,600.0,99.0,97.98375805096612,97.95918367346938,97.70114942528735,10600.0,52824.0
700.0,0.344871,4.71287140622735E-9,700.0,98.85714285714286,97.70067747895709,97.67441860465115,97.42765273311896,10700.0,52824.0
800.0,0.35742,4.88436110317707E-9,800.0,98.75,97.49025906800772,97.44245524296676,97.2451790633609,10800.0,52824.0
900.0,0.368656,5.0379078586896256E-9,900.0,98.77777777777777,97.55188035371619,97.50566893424035,97.38717339667457,10900.0,52824.0
1000.0,0.380763,5.203357357531786E-9,1000.0,98.9,97.79594453794984,97.78225806451613,97.64453961456103,11000.0,52824.0
1100.0,0.391268,5.346914554635683E-9,1100.0,99.3,98.59716065316199,98.5655737704918,98.51694915254238,11100.0,52824.0
1200.0,0.401344,5.484609206517537E-9,1200.0,99.3,98.59847514095335,98.56850715746421,98.55072463768116,11200.0,52824.0
1300.0,0.41151,5.623533762991427E-9,1300.0,99.3,98.59786876051598,98.53862212943632,98.54469854469853,11300.0,52824.0
1400.0,0.4217,5.762786294023195E-9,1400.0,99.3,98.59938372884068,98.559670781893,98.57142857142857,11400.0,52824.0
1500.0,0.431945,5.902790433416763E-9,1500.0,99.4,98.79996159877116,98.73417721518987,98.80478087649402,11500.0,52824.0
1600.0,0.442109,6.041687658677497E-9,1600.0,99.4,98.7993132071545,98.75259875259876,98.8118811881188,11600.0,52824.0
1700.0,0.452685,6.186215113848446E-9,1700.0,99.6,99.19961581559149,99.16317991631799,99.2094861660079,11700.0,52824.0
1800.0,0.462827,6.3248116957644605E-9,1800.0,99.7,99.39989918306276,99.37369519832984,99.40828402366864,11800.0,52824.0
1900.0,0.472417,6.455864862849314E-9,1900.0,99.7,99.3999855996544,99.37888198757764,99.39393939393939,11900.0,52824.0
2000.0,0.482073,6.587819959968327E-9,2000.0,99.6,99.199798349184,99.15966386554622,99.19517102615694,12000.0,52824.0
2100.0,0.491427,6.7156480439007265E-9,2100.0,99.6,99.19872115896972,99.16839916839916,99.17864476386036,12100.0,52824.0
2200.0,0.500796,6.843681111931799E-9,2200.0,99.6,99.19884633872776,99.16666666666667,99.18032786885246,12200.0,52824.0
2300.0,0.510155,6.9715775238970896E-9,2300.0,99.7,99.39878313706943,99.38524590163934,99.40119760479041,12300.0,52824.0
2400.0,0.519348,7.097205445170401E-9,2400.0,99.7,99.399783922212,99.37759336099586,99.40239043824701,12400.0,52824.0
2500.0,0.528746,7.225634815792241E-9,2500.0,99.7,99.4,99.37629937629937,99.39879759519037,12500.0,52824.0
2600.0,0.538021,7.352383316804963E-9,2600.0,99.7,99.39992799135896,99.36170212765958,99.40119760479041,12600.0,52824.0
2700.0,0.547435,7.481031337132054E-9,2700.0,99.7,99.39992799135896,99.36034115138592,99.39879759519037,12700.0,52824.0
2800.0,0.55662,7.606549933552739E-9,2800.0,99.8,99.59996159631325,99.57446808510639,99.59349593495935,12800.0,52824.0
2900.0,0.56561,7.729403736690677E-9,2900.0,99.9,99.79999519988479,99.78260869565217,99.79797979797979,12900.0,52824.0
3000.0,0.574426,7.84987972428401E-9,3000.0,100.0,100.0,100.0,100.0,13000.0,52824.0
3100.0,0.583513,7.974059091260033E-9,3100.0,100.0,100.0,100.0,100.0,13100.0,52824.0
3200.0,0.592975,8.103363060702877E-9,3200.0,100.0,100.0,100.0,100.0,13200.0,52824.0
3300.0,0.603384,8.245608359575269E-9,3300.0,100.0,100.0,100.0,100.0,13300.0,52824.0
3400.0,0.613117,8.378615708400803E-9,3400.0,100.0,100.0,100.0,100.0,13400.0,52824.0
3500.0,0.621843,8.4978617914021E-9,3500.0,99.9,99.79996639435426,99.7907949790795,99.79959919839679,13500.0,52824.0
3600.0,0.630235,8.61254356180628E-9,3600.0,99.9,99.79996639435426,99.79838709677419,99.800796812749,13600.0,52824.0
3700.0,0.63843,8.724533207714555E-9,3700.0,99.9,99.79996639435426,99.79959919839679,99.800796812749,13700.0,52824.0
3800.0,0.64776,8.852033317089078E-9,3800.0,99.9,99.7999839987199,99.8019801980198,99.79879275653923,13800.0,52824.0
3900.0,0.656404,8.970158820350962E-9,3900.0,99.9,99.79995518996255,99.80544747081711,99.79757085020243,13900.0,52824.0
