learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,2.442601,3.4294619295332163E-8,1000.0,70.8,63.52822003974424,62.028608582574776,60.59379217273953,2347.0,54272.0
2000.0,3.040325,4.268678691652086E-8,2000.0,74.3,65.69784203389106,65.17615176151762,63.338088445078455,4387.0,54272.0
3000.0,3.474943,4.875293331013785E-8,3000.0,62.8,48.36022904737117,48.830811554332875,41.875,1736.0,53952.0
4000.0,3.966135,5.5608706838554807E-8,4000.0,48.3,36.426427423450406,37.104622871046224,29.65986394557823,3735.0,53952.0
5000.0,4.592032,6.434461476074325E-8,5000.0,66.7,57.64549662245094,57.19794344473008,51.45772594752187,5873.0,53952.0
6000.0,5.207152,7.293010355697739E-8,6000.0,52.7,39.82693565171373,38.16993464052288,34.122562674094716,7905.0,53952.0
7000.0,5.953996,8.335411967502701E-8,7000.0,53.300000000000004,41.90487327300729,43.46246973365618,38.06366047745359,10086.0,53952.0
8000.0,6.616,9.259398819671738E-8,8000.0,64.7,56.086443773231885,56.14906832298138,53.856209150326805,12101.0,53952.0
9000.0,7.308874,1.0226472230421173E-7,9000.0,61.7,52.00483209836628,52.7743526510481,48.728246318607766,14152.0,53952.0
10000.0,7.961174,1.1147714831762844E-7,10000.0,59.199999999999996,48.02991337045118,47.826086956521735,42.53521126760563,52.0,54592.0
11000.0,8.348764,1.1695107779569096E-7,11000.0,34.8,7.737720414161414,8.426966292134832,-11.452991452991453,1962.0,54592.0
12000.0,8.702981,1.2195368074708514E-7,12000.0,40.699999999999996,17.050755705383303,21.038615179760317,12.53687315634218,3626.0,54592.0
13000.0,9.143241,1.281714680790901E-7,13000.0,45.1,24.21784952618901,31.030150753768847,20.087336244541483,5382.0,54592.0
14000.0,9.660804,1.3548100486397743E-7,14000.0,35.6,15.311742211047344,17.22365038560411,7.86838340486409,7344.0,54592.0
15000.0,10.080013,1.4139281317177745E-7,15000.0,32.0,13.478960118890093,12.70860077021823,-0.14727540500736389,1272.0,54512.0
16000.0,10.503244,1.4736134090357354E-7,16000.0,41.9,29.09913186097084,29.746070133010882,21.803499327052485,3184.0,54512.0
17000.0,10.911886,1.5312413027717005E-7,17000.0,55.00000000000001,45.5905361387659,45.520581113801455,42.748091603053446,4730.0,54512.0
18000.0,11.370402,1.5959025743107E-7,18000.0,50.0,39.19412761206827,39.831528279181704,32.34100135317997,6426.0,54512.0
19000.0,11.817226,1.6589150057070782E-7,19000.0,66.3,58.22533280278267,58.85225885225886,56.516129032258064,8109.0,54512.0
20000.0,12.252545,1.7203049682494665E-7,20000.0,55.60000000000001,46.340520158561354,46.88995215311005,42.41245136186772,9758.0,54512.0
21000.0,12.702876,1.7838119670748709E-7,21000.0,44.6,35.230889020349665,35.204678362573105,30.05050505050505,11284.0,54512.0
22000.0,13.066866,1.8353688995043434E-7,22000.0,28.000000000000004,18.465428775588556,11.220715166461163,8.975979772439953,1380.0,54752.0
23000.0,13.422176,1.885696363614665E-7,23000.0,46.800000000000004,37.598455444476116,35.04273504273505,31.266149870801037,2924.0,54752.0
24000.0,13.776665,1.9359075381524031E-7,24000.0,49.9,38.18188099827008,38.5276073619632,33.2,4455.0,54752.0
25000.0,14.14706,1.9883716992206043E-7,25000.0,45.7,34.96297201251873,32.46268656716418,31.525851197982348,5961.0,54752.0
