learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,4.253719,6.070027853258783E-8,1000.0,75.6,67.76805682333065,61.99376947040499,64.53488372093024,7214.0,55160.0
2000.0,5.440312,7.763287930024995E-8,2000.0,75.7,69.61197113262311,70.40194884287455,66.57496561210453,9475.0,55160.0
3000.0,6.732923,9.607834966025419E-8,3000.0,70.89999999999999,61.73977525076224,61.0441767068273,60.461956521739125,11700.0,55160.0
4000.0,7.93223,1.1321719926264552E-7,4000.0,70.89999999999999,61.5297159808997,61.60949868073878,54.460093896713616,991.0,55240.0
5000.0,9.173898,1.308843212409152E-7,5000.0,62.8,53.368616075793554,54.074074074074076,48.333333333333336,483.0,55000.0
6000.0,10.073636,1.436676577354471E-7,6000.0,52.400000000000006,41.12277385950113,36.702127659574465,33.704735376044574,467.0,54920.0
7000.0,11.046469,1.5748951653432515E-7,7000.0,34.699999999999996,21.951476049382123,20.462850182704017,14.640522875816991,2722.0,54920.0
8000.0,11.985908,1.7083691861480473E-7,8000.0,56.00000000000001,47.282976594839724,47.74346793349169,41.798941798941804,4977.0,54920.0
9000.0,12.998057,1.8521737297996877E-7,9000.0,64.2,55.88286036802075,55.63816604708799,51.88172043010753,7334.0,54920.0
10000.0,13.912927,1.982157025589711E-7,10000.0,46.1,36.36010498811623,35.680190930787596,29.72620599739244,9255.0,54920.0
11000.0,15.019471,2.1393730629028543E-7,11000.0,54.300000000000004,43.86370057364665,44.40389294403893,34.14985590778099,11533.0,54920.0
12000.0,16.104187,2.293487812185453E-7,12000.0,67.10000000000001,55.94902404995836,58.24873096446701,48.35164835164836,13739.0,54920.0
13000.0,17.097984,2.4346849324388634E-7,13000.0,64.60000000000001,50.83872741740837,52.86284953395472,39.38356164383562,15721.0,54920.0
14000.0,18.124819,2.580576039954192E-7,14000.0,68.2,58.744429524977136,59.695817490494306,53.166421207658324,17660.0,54920.0
15000.0,19.146728,2.7257672691096864E-7,15000.0,63.4,51.021981227769196,50.87248322147651,45.85798816568048,19607.0,54920.0
16000.0,20.321657,2.892699340047936E-7,16000.0,62.5,50.078941833314246,49.46091644204852,41.679626749611195,21829.0,54920.0
17000.0,21.493551,3.0592002029427226E-7,17000.0,66.5,55.50933839065989,56.88545688545689,48.46153846153847,23959.0,54920.0
18000.0,22.649894,3.2234916041294735E-7,18000.0,66.8,58.5169043614727,59.01234567901235,58.18639798488666,26049.0,54920.0
19000.0,23.789092,3.3853470705863504E-7,19000.0,69.0,62.867669958268046,63.6150234741784,58.88594164456232,28058.0,54920.0
20000.0,24.852742,3.536468795604176E-7,20000.0,73.5,68.48577102831524,69.25754060324826,66.15581098339719,29996.0,54920.0
21000.0,25.925782,3.68892463710573E-7,21000.0,71.89999999999999,65.58047126581796,65.56372549019606,62.4331550802139,31933.0,54920.0
22000.0,27.076339,3.8523939724804625E-7,22000.0,72.1,66.07395391651274,65.72481572481571,64.72819216182047,34066.0,54920.0
23000.0,28.124759,4.001351842967172E-7,23000.0,72.1,65.71420144811415,67.13780918727915,62.44952893674293,35980.0,54920.0
24000.0,29.078472,4.136853891321354E-7,24000.0,74.4,68.78760575332211,68.23821339950372,64.54293628808864,37640.0,54920.0
25000.0,29.98304,4.265373495096961E-7,25000.0,74.0,68.60438017197555,69.76744186046511,66.18985695708713,39216.0,54920.0
26000.0,30.929967,4.399911399206353E-7,26000.0,73.7,66.4303602290394,66.95979899497488,61.2094395280236,40991.0,54920.0
27000.0,31.836951,4.5287742644755373E-7,27000.0,68.0,60.58205522700425,61.399276236429436,57.55968169761274,42677.0,54920.0
28000.0,32.817294,4.668059861494435E-7,28000.0,72.2,66.68284586022375,65.80565805658057,63.66013071895424,44420.0,54920.0
29000.0,33.697908,4.793176118491424E-7,29000.0,74.6,69.46036219529496,70.2576112412178,66.53491436100131,46050.0,54920.0
30000.0,34.634275,4.926213674350745E-7,30000.0,69.1,62.69418041287521,62.72617611580217,58.96414342629481,47795.0,54920.0
31000.0,35.475905,5.045791145724555E-7,31000.0,73.5,68.06840350452285,68.22541966426859,65.93830334190231,49369.0,54920.0
32000.0,36.308306,5.164057375242313E-7,32000.0,71.7,65.85663648055517,65.77992744860944,64.71321695760597,50901.0,54920.0
33000.0,37.279835,5.302090692954759E-7,33000.0,68.5,61.04936714495571,60.526315789473685,54.61095100864555,52660.0,54920.0
34000.0,38.317996,5.449590980799662E-7,34000.0,61.5,53.747086667147215,53.55850422195416,49.673202614379086,54429.0,54920.0
35000.0,39.146749,5.567338908194668E-7,35000.0,70.8,64.93558113870499,64.69165659008463,62.5160462130937,55914.0,54920.0
36000.0,39.859241,5.668568654917181E-7,36000.0,66.9,59.80204633087409,59.97581620314391,58.25977301387139,57262.0,54920.0
37000.0,40.651136,5.781079855437081E-7,37000.0,70.1,64.46419976111386,64.65721040189125,61.319534282018104,58757.0,54920.0
38000.0,41.438797,5.892989495872625E-7,38000.0,73.6,67.90616930954499,68.30732292917166,63.025210084033624,60268.0,54920.0
39000.0,42.164404,5.996082601240941E-7,39000.0,73.6,65.50485088034496,66.11039794608472,58.490566037735846,61703.0,54920.0
40000.0,42.903605,6.101107120824358E-7,40000.0,67.10000000000001,58.09360284199251,57.60309278350516,52.93276108726753,63076.0,54920.0
41000.0,43.708187,6.215420870420834E-7,41000.0,69.1,61.50525658802027,62.085889570552155,59.71316818774445,64515.0,54920.0
42000.0,44.675678,6.352880475421748E-7,42000.0,67.4,58.51768152013611,59.19899874843555,56.12382234185734,66313.0,54920.0
