learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,2.555733,3.596235618616144E-8,1000.0,71.0,63.763543375663346,62.288686605981795,60.86369770580296,2410.0,54392.0
2000.0,3.135619,4.412207665749722E-8,2000.0,74.3,65.69784203389106,65.17615176151762,63.338088445078455,4450.0,54392.0
3000.0,3.724779,5.24122938948373E-8,3000.0,70.1,58.249844658702955,58.872077028885826,53.28124999999999,6475.0,54392.0
4000.0,4.308252,6.065871470918258E-8,4000.0,57.3,46.68038574930291,48.05352798053527,41.9047619047619,996.0,54632.0
5000.0,4.829241,6.802202806497613E-8,5000.0,48.0,34.194624460111186,33.16195372750643,24.198250728862973,3134.0,54632.0
6000.0,5.461631,7.697289732802245E-8,6000.0,40.6,26.054286610597394,22.35294117647059,17.270194986072433,136.0,54712.0
7000.0,5.990276,8.43678294453356E-8,7000.0,50.2,38.43179095491303,39.70944309927361,33.95225464190981,495.0,54072.0
8000.0,6.412774,9.027792796078656E-8,8000.0,52.6,40.14819005096243,41.11801242236026,38.03921568627452,2510.0,54072.0
9000.0,6.956346,9.794916467948092E-8,9000.0,49.2,36.28592069353026,37.36128236744759,31.994645247657296,405.0,54552.0
10000.0,7.523448,1.0591726152433289E-7,10000.0,43.7,27.808295762872692,28.005115089514064,20.70422535211268,243.0,54312.0
11000.0,7.891321,1.1108608069726162E-7,11000.0,37.0,10.952175664501725,11.516853932584272,-7.69230769230769,2153.0,54312.0
12000.0,8.243929,1.1604041817494564E-7,12000.0,39.5,14.065307525464362,19.440745672436755,10.766961651917406,3817.0,54312.0
13000.0,8.684217,1.2222670816092027E-7,13000.0,36.9,10.465339018524169,20.728643216080403,8.151382823871906,5573.0,54312.0
14000.0,9.314497,1.310824908585184E-7,14000.0,35.4,15.047729762357203,16.96658097686375,7.582260371959941,7535.0,54312.0
15000.0,9.767437,1.3741842622765236E-7,15000.0,33.800000000000004,15.626119196587318,15.019255455712454,2.5036818851251863,1474.0,54072.0
