learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,2.161357,3.027879846799705E-8,100.0,63.0,41.9607843137255,-131.24999999999994,2.6315789473684235,250.0,54152.0
200.0,2.444144,3.42404071158833E-8,200.0,69.0,55.02357635110627,-34.78260869565221,36.08247422680411,1468.0,54152.0
300.0,2.742229,3.8416327910704744E-8,300.0,77.0,69.48163000530755,22.47191011235955,64.9746192893401,2745.0,54152.0
400.0,2.950816,4.133845680289798E-8,400.0,75.0,66.8701392282399,35.48387096774193,61.240310077519375,3640.0,54152.0
500.0,3.269974,4.5842619211309485E-8,500.0,72.8,64.90123310226645,41.63090128755364,60.57971014492753,331.0,54552.0
600.0,3.431588,4.810335100524955E-8,600.0,69.83333333333334,61.6132338906366,39.057239057239066,59.325842696629216,318.0,54072.0
700.0,3.552598,4.980611288299163E-8,700.0,65.0,55.24086417755415,34.491978609625676,52.51937984496124,98.0,54392.0
800.0,3.811094,5.344347454193565E-8,800.0,63.24999999999999,53.27669059117303,34.374999999999986,49.22279792746113,939.0,54392.0
900.0,3.979755,5.581674552005198E-8,900.0,63.0,52.99848346791837,36.81214421252372,48.53168469860897,1816.0,54392.0
1000.0,4.155892,5.8295213157931965E-8,1000.0,65.0,55.74085384744758,42.33937397034597,51.18549511854952,2666.0,54392.0
1100.0,4.498978,6.312286179512739E-8,1100.0,65.2,56.103228052560084,47.11246200607903,54.92227979274612,4158.0,54392.0
1200.0,4.721906,6.625973725898399E-8,1200.0,65.3,56.7593702569266,51.26404494382023,56.46173149309913,5009.0,54392.0
1300.0,4.955125,6.954141994938254E-8,1300.0,61.5,52.74160089361336,48.32214765100671,50.38659793814433,5880.0,54392.0
1400.0,5.120955,7.187485522073176E-8,1400.0,61.8,52.54670174732485,48.37837837837838,50.06535947712418,6509.0,54392.0
1500.0,5.287409,7.421707095164391E-8,1500.0,61.6,51.51857949437918,47.755102040816325,47.397260273972606,7090.0,54392.0
1600.0,5.467893,7.675670631022916E-8,1600.0,62.9,52.09553003519881,49.728997289972895,46.30969609261939,7761.0,54392.0
1700.0,5.751668,8.074977508021725E-8,1700.0,65.7,54.453407695116695,51.89340813464236,49.18518518518518,8736.0,54392.0
1800.0,5.999462,8.423654622915718E-8,1800.0,68.60000000000001,56.09410961930518,53.958944281524936,52.13414634146343,9538.0,54392.0
1900.0,6.293439,8.837316988449957E-8,1900.0,69.5,56.34862705698149,54.135338345864646,52.26917057902972,10535.0,54392.0
2000.0,6.562816,9.216364080707231E-8,2000.0,69.39999999999999,55.47452371563644,52.48447204968944,52.48447204968944,11454.0,54392.0
