learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,2.280577,3.194897065766983E-8,100.0,54.0,44.86395780894163,19.298245614035093,29.230769230769237,827.0,54152.0
200.0,2.341043,3.279604859443174E-8,200.0,64.0,56.54273297923707,42.400000000000006,51.67785234899329,1019.0,54152.0
300.0,2.38591,3.342459762675894E-8,300.0,71.33333333333334,64.58427706626036,56.122448979591844,60.73059360730594,1225.0,54152.0
400.0,2.437652,3.414945964184072E-8,400.0,71.5,64.62181809718139,58.84476534296028,59.57446808510638,1416.0,54152.0
500.0,2.490207,3.488571110491951E-8,500.0,72.0,65.27312685726758,60.451977401129945,59.77011494252874,1587.0,54152.0
600.0,2.547793,3.569244265763296E-8,600.0,69.66666666666667,62.33209843326365,58.160919540229884,57.07547169811321,1737.0,54152.0
700.0,2.605103,3.6495307681875094E-8,700.0,70.28571428571428,62.94599684430193,59.92292870905588,58.23293172690763,1883.0,54152.0
800.0,2.664189,3.732305297628045E-8,800.0,71.75,64.64033075372029,62.08053691275168,61.10154905335629,2041.0,54152.0
900.0,2.717895,3.807542898381749E-8,900.0,71.33333333333334,64.11300231364494,62.11453744493392,61.31934032983509,2219.0,54152.0
1000.0,2.775428,3.8881418050991155E-8,1000.0,71.0,63.763543375663346,62.288686605981795,60.86369770580296,2410.0,54152.0
1100.0,2.825529,3.958329103266198E-8,1100.0,73.0,65.65405492043826,66.16541353383458,64.0479360852197,2584.0,54152.0
1200.0,2.881321,4.036489015031191E-8,1200.0,74.5,67.36609862348925,68.20448877805485,64.28571428571429,2788.0,54152.0
1300.0,2.93379,4.109993682553369E-8,1300.0,74.0,66.67247761928688,67.17171717171718,62.2093023255814,2975.0,54152.0
1400.0,2.988754,4.186993635776969E-8,1400.0,73.9,66.10908977585252,67.08701134930644,61.8421052631579,3165.0,54152.0
1500.0,3.0506,4.273634693688815E-8,1500.0,74.1,66.20934031238748,67.17363751584284,62.787356321839084,3376.0,54152.0
1600.0,3.128408,4.3826371745930764E-8,1600.0,76.9,69.98499249624814,69.84334203655352,67.46478873239438,3633.0,54152.0
1700.0,3.199903,4.48279567207727E-8,1700.0,76.6,69.26160866875179,68.71657754010695,67.31843575418995,3873.0,54152.0
1800.0,3.262342,4.5702674732440035E-8,1800.0,75.6,67.73293449124492,67.55319148936171,65.68213783403657,4077.0,54152.0
1900.0,3.320504,4.6517475561963176E-8,1900.0,74.7,66.45705641445822,65.85695006747639,63.90870185449358,4258.0,54152.0
2000.0,3.382816,4.7390414410167257E-8,2000.0,74.3,65.69784203389106,65.17615176151762,63.338088445078455,4450.0,54152.0
2100.0,3.447809,4.830091181935534E-8,2100.0,74.1,64.85137832809271,64.42307692307692,62.244897959183675,4639.0,54152.0
2200.0,3.503266,4.907781786802741E-8,2200.0,70.1,59.1010436757082,58.928571428571416,57.407407407407405,4821.0,54152.0
2300.0,3.565553,4.995040648720329E-8,2300.0,69.89999999999999,58.69600119658096,59.04761904761904,59.04761904761904,5023.0,54152.0
2400.0,3.627752,5.082176230019992E-8,2400.0,70.5,59.71134200836911,59.64432284541723,60.82337317397077,5234.0,54152.0
2500.0,3.701182,5.185045500182442E-8,2500.0,69.6,58.92424766516775,58.80758807588076,59.412550066755664,5481.0,54152.0
2600.0,3.763243,5.271987755058539E-8,2600.0,68.8,57.67017741893906,58.00807537012113,55.74468085106382,5686.0,54152.0
2700.0,3.813371,5.342212877960667E-8,2700.0,68.30000000000001,57.00109057170917,57.957559681697624,53.92441860465117,5852.0,54152.0
2800.0,3.874421,5.42773880664673E-8,2800.0,68.2,56.36716890159151,57.25806451612904,52.25225225225226,6049.0,54152.0
2900.0,3.953381,5.53835514291293E-8,2900.0,68.89999999999999,57.041291468621495,58.198924731182785,52.59146341463414,6279.0,54152.0
3000.0,4.01097,5.619032500932613E-8,3000.0,70.1,58.249844658702955,58.872077028885826,53.28124999999999,6475.0,54152.0
3100.0,4.080203,5.716022126169667E-8,3100.0,68.5,56.562748212867355,57.02592087312416,52.20030349013657,6698.0,54152.0
3200.0,4.148712,5.8119974881410585E-8,3200.0,70.19999999999999,59.68412921101298,60.16042780748663,55.654761904761905,6909.0,54152.0
3300.0,4.225988,5.9202546816733134E-8,3300.0,69.8,59.98155441183485,60.367454068241464,55.126300148588406,7100.0,54152.0
3400.0,4.296455,6.018973037393556E-8,3400.0,68.5,58.89649484966557,59.30232558139535,53.608247422680414,7278.0,54152.0
3500.0,4.405089,6.171609817486669E-8,3500.0,67.5,58.06002449294571,57.956015523932734,52.27606461086638,22.0,54312.0
3600.0,4.443096,6.225011755194928E-8,3600.0,63.2,53.191619264701394,52.8809218950064,48.16901408450705,210.0,54312.0
3700.0,4.480607,6.277716785462365E-8,3700.0,61.1,50.7639810042629,50.192061459667094,45.056497175141246,389.0,54312.0
3800.0,4.527038,6.342954909221993E-8,3800.0,60.099999999999994,49.847531467845855,49.81132075471698,44.81327800829875,590.0,54312.0
3900.0,4.590656,6.432341718839274E-8,3900.0,59.599999999999994,49.37565395001472,50.06180469715699,44.121715076071915,833.0,54312.0
4000.0,4.633463,6.492487922103868E-8,4000.0,57.3,46.68038574930291,48.05352798053527,41.9047619047619,996.0,54312.0
4100.0,4.69125,6.573681854125526E-8,4100.0,56.49999999999999,45.83387810754776,46.56019656019655,40.329218106995874,1187.0,54312.0
4200.0,4.765437,6.677918693464663E-8,4200.0,54.2,42.8825838023488,43.66543665436655,36.827586206896555,1433.0,54312.0
4300.0,4.821671,6.756930574567781E-8,4300.0,52.900000000000006,41.142951399823055,42.42053789731051,35.743519781718966,1657.0,54312.0
4400.0,4.881449,6.840921971739994E-8,4400.0,49.2,36.39377760860638,37.51537515375154,29.931034482758616,1882.0,54312.0
4500.0,4.955917,6.945553631625242E-8,4500.0,50.3,37.414369761444235,38.33746898263027,29.50354609929078,2176.0,54312.0
4600.0,5.016944,7.031299942897426E-8,4600.0,51.1,38.189756184500425,39.70406905055487,29.335260115606943,2419.0,54312.0
4700.0,5.062425,7.095203264099029E-8,4700.0,50.9,37.49713581579604,38.47117794486215,28.32116788321168,2609.0,54312.0
4800.0,5.097506,7.144494009928572E-8,4800.0,48.5,34.36999013638298,35.13853904282116,24.927113702623906,2764.0,54312.0
4900.0,5.138838,7.202567756589917E-8,4900.0,48.6,34.61449904402327,34.271099744245525,25.072886297376094,2950.0,54312.0
5000.0,5.180616,7.261268157925871E-8,5000.0,48.0,34.194624460111186,33.16195372750643,24.198250728862973,3134.0,54312.0
5100.0,5.232508,7.334179288811154E-8,5100.0,46.7,32.838294017063866,31.49100257069409,22.529069767441868,3366.0,54312.0
5200.0,5.278941,7.39942022268143E-8,5200.0,46.300000000000004,32.5604789336267,30.440414507772022,22.622478386167153,3555.0,54312.0
5300.0,5.328127,7.468529273859329E-8,5300.0,45.1,30.697481251080877,26.8,19.026548672566374,3758.0,54312.0
5400.0,5.394032,7.561129445003138E-8,5400.0,45.6,30.706551160601585,26.187245590230667,19.526627218934912,3948.0,54312.0
5500.0,5.47176,7.670341585245396E-8,5500.0,42.6,26.791130248017364,23.262032085561497,17.17171717171717,4181.0,54312.0
5600.0,5.529119,7.750934153588281E-8,5600.0,43.7,28.043669696160244,25.03328894806924,19.225251076040173,4343.0,54312.0
5700.0,5.593026,7.840727024194266E-8,5700.0,44.1,29.018216541422127,26.54402102496715,21.81818181818182,4519.0,54312.0
