learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,64.807583,9.207759824374482E-7,1000.0,77.4,71.15779747669015,68.69806094182826,67.71428571428572,85632.0,54920.0
2000.0,65.211195,9.265104384782412E-7,2000.0,78.4,70.64084510871044,70.37037037037037,66.82027649769586,86632.0,54920.0
3000.0,65.760916,9.34320788292421E-7,3000.0,76.4,67.83540449704658,69.43005181347151,65.89595375722544,87632.0,54920.0
4000.0,66.186054,9.403610823675987E-7,4000.0,75.5,68.6708779826603,69.79038224414305,64.4412191582003,88632.0,54920.0
5000.0,66.927565,9.508963544439108E-7,5000.0,72.6,65.35193706697824,66.17283950617285,61.57082748948106,89632.0,54920.0
6000.0,67.722221,9.62186702351189E-7,6000.0,76.5,69.1947911669013,69.36114732724903,63.790446841294305,90632.0,54920.0
7000.0,68.329521,9.693571545701057E-7,7000.0,57.99999999999999,44.57538144014273,46.835443037974684,40.50991501416431,575.0,45640.0
8000.0,68.784692,9.747314043756985E-7,8000.0,44.800000000000004,31.552542103866532,30.214917825537295,25.0,1575.0,45640.0
9000.0,69.132961,9.78843451508631E-7,9000.0,66.0,58.18724489607686,58.88754534461912,56.18556701030928,2575.0,45640.0
10000.0,69.48566,9.830078040974004E-7,10000.0,65.4,56.58431489170547,57.701711491442545,52.011095700416085,3575.0,45640.0
11000.0,69.892301,9.878090553089144E-7,11000.0,62.8,53.732033850241045,54.074074074074076,53.38345864661653,4575.0,45640.0
12000.0,70.412397,9.939498811235854E-7,12000.0,56.89999999999999,41.62391171260003,42.83819628647214,37.08029197080291,5575.0,45640.0
13000.0,70.910446,9.998303957904374E-7,13000.0,66.10000000000001,51.00405553451831,52.52100840336136,42.15017064846417,6575.0,45640.0
14000.0,71.44374,1.0061270517193605E-6,14000.0,66.4,55.078232061040126,57.14285714285715,48.858447488584474,7575.0,45640.0
15000.0,71.975735,1.0124083702245517E-6,15000.0,66.2,54.8214109086243,56.33074935400517,50.14749262536874,8575.0,45640.0
16000.0,72.517401,1.0188038752000362E-6,16000.0,68.5,59.29243795650624,60.126582278481024,55.192034139402566,9575.0,45640.0
