learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.482775,5.7001730116705104E-9,1000.0,76.6,70.07477469758257,68.07639836289222,66.61911554921541,1000.0,45640.0
2000.0,0.930863,1.0990793123427364E-8,2000.0,78.4,70.73840814230888,71.00671140939598,66.82027649769586,2000.0,45640.0
3000.0,1.371219,1.6190120733032622E-8,3000.0,75.1,66.12138883257572,67.15039577836411,64.12103746397695,3000.0,45640.0
4000.0,1.803375,2.1292630117386576E-8,4000.0,75.8,69.11803927623914,69.0537084398977,64.82558139534885,4000.0,45640.0
5000.0,2.508286,2.9615585236913622E-8,5000.0,70.7,62.758655752707305,63.46633416458851,58.90603085553996,5000.0,45640.0
6000.0,3.303298,3.900237193124161E-8,6000.0,71.6,62.315275184741395,62.77850589777195,56.172839506172835,122.0,45640.0
7000.0,3.742138,4.418379997627602E-8,7000.0,42.699999999999996,24.97888803786406,27.560050568900124,18.95332390381895,1122.0,45640.0
8000.0,4.20083,4.959962258322371E-8,8000.0,58.4,48.12268983853186,48.57849196538937,43.40136054421768,2122.0,45640.0
9000.0,4.629309,5.4658717258522905E-8,9000.0,67.0,59.54727268938312,60.14492753623188,57.47422680412372,3122.0,45640.0
10000.0,5.03914,5.9497633121079866E-8,10000.0,68.89999999999999,60.917373546968264,62.25728155339804,56.80555555555554,4122.0,45640.0
11000.0,5.470754,6.459374305688673E-8,11000.0,65.4,56.867589733489076,57.33662145499384,56.53266331658292,5122.0,45640.0
12000.0,5.934663,7.00711633078754E-8,12000.0,65.10000000000001,53.73371565987786,53.95778364116095,48.97660818713451,6122.0,45640.0
13000.0,6.430811,7.592923267641002E-8,13000.0,67.2,52.17341220831979,53.99719495091164,43.83561643835617,7122.0,45640.0
14000.0,6.936053,8.189467581816847E-8,14000.0,66.9,55.892543041415706,58.67665418227217,49.77238239757208,8122.0,45640.0
15000.0,7.481773,8.833804677964914E-8,15000.0,59.0,44.616897519647495,46.194225721784775,39.438700147710485,9122.0,45640.0
16000.0,8.02726,9.47786666866806E-8,16000.0,64.5,54.207847356051396,55.56946182728411,49.78783592644979,10122.0,45640.0
17000.0,8.55089,1.0096121879501477E-7,17000.0,71.3,62.64927276702517,63.01546391752577,56.44916540212442,11122.0,45640.0
18000.0,9.079508,1.0720266472134327E-7,18000.0,69.1,60.73398226040104,61.662531017369716,58.130081300812996,12122.0,45640.0
19000.0,9.611769,1.1348712391530475E-7,19000.0,67.4,60.23051661290874,60.53268765133172,57.66233766233767,13122.0,45640.0
20000.0,10.140092,1.1972508674694435E-7,20000.0,72.7,66.85682512665427,66.86893203883494,65.91760299625469,14122.0,45640.0
21000.0,10.681346,1.2611572719696497E-7,21000.0,69.5,62.762145339957186,63.69047619047619,59.441489361702125,15122.0,45640.0
22000.0,11.203546,1.3228139515138336E-7,22000.0,69.6,62.529782044123635,63.67980884109916,61.22448979591836,16122.0,45640.0
23000.0,11.700774,1.3815221618860962E-7,23000.0,71.6,65.58113943395517,65.32356532356532,62.48348745046235,17122.0,45640.0
24000.0,12.219654,1.4427868456890188E-7,24000.0,64.0,56.27863142400498,57.497048406139314,52.0,18122.0,45640.0
25000.0,12.79783,1.5110526678876747E-7,25000.0,66.2,59.19185382473747,58.78048780487804,58.06451612903226,19122.0,45640.0
26000.0,13.318579,1.5725380264015665E-7,26000.0,68.5,61.675475224107224,61.4914425427873,57.08446866485014,20122.0,45640.0
27000.0,13.818188,1.631527363840077E-7,27000.0,75.5,69.5826365274048,70.26699029126212,67.42021276595744,21122.0,45640.0
28000.0,14.288344,1.6870391559269697E-7,28000.0,73.6,67.7243068978291,67.84409257003654,64.9402390438247,22122.0,45640.0
29000.0,14.754474,1.7420755941420796E-7,29000.0,75.4,70.2309641537244,70.46818727490997,65.97510373443983,23122.0,45640.0
30000.0,15.231652,1.7984164808359413E-7,30000.0,72.5,67.0496495880008,67.91131855309219,66.25766871165645,24122.0,45640.0
31000.0,15.709872,1.854880397518476E-7,31000.0,71.3,64.58840498526162,65.04263093788065,60.84583901773533,25122.0,45640.0
32000.0,16.1739,1.9096686504781247E-7,32000.0,72.1,65.31416785704961,65.55555555555554,62.700534759358284,26122.0,45640.0
33000.0,16.684948,1.9700086021588908E-7,33000.0,72.0,66.30508817236391,66.54719235364396,65.17412935323384,27122.0,45640.0
34000.0,17.243081,2.0359079271761907E-7,34000.0,67.4,60.3829486266494,61.1904761904762,57.38562091503269,28122.0,45640.0
35000.0,17.782135,2.0995545754623082E-7,35000.0,70.89999999999999,64.07828711447422,64.85507246376811,62.35446313065977,29122.0,45640.0
36000.0,18.283139,2.1587086219547524E-7,36000.0,73.3,66.99131389406065,67.87003610108303,66.91449814126395,30122.0,45640.0
37000.0,18.809083,2.220807359346913E-7,37000.0,72.2,66.06097304899427,65.07537688442211,66.22114216281895,31122.0,45640.0
38000.0,19.304488,2.279300326274501E-7,38000.0,74.9,68.87281133079273,69.75903614457832,65.0904033379694,32122.0,45640.0
39000.0,19.803008,2.3381610843870375E-7,39000.0,71.5,63.89644741042518,64.55223880597013,60.416666666666664,33122.0,45640.0
40000.0,20.278759,2.394333483754761E-7,40000.0,73.5,66.79926081373134,67.08074534161491,64.04341926729987,34122.0,45640.0
41000.0,20.757664,2.4508782790766826E-7,41000.0,68.89999999999999,61.11659146290385,60.280970625798204,57.7445652173913,35122.0,45640.0
42000.0,21.269834,2.511350706426634E-7,42000.0,67.4,58.92934082851866,57.66233766233767,52.47813411078718,36122.0,45640.0
43000.0,21.811638,2.5753220499803627E-7,43000.0,69.89999999999999,61.82315368653891,62.421972534332085,58.71056241426611,37122.0,45640.0
44000.0,22.32297,2.6356955338269477E-7,44000.0,69.39999999999999,60.313188601844004,62.5,55.263157894736835,38122.0,45640.0
45000.0,22.824142,2.6948694162484676E-7,45000.0,69.19999999999999,59.68306701904713,59.7911227154047,59.843546284224246,39122.0,45640.0
46000.0,23.326294,2.754159008256264E-7,46000.0,69.89999999999999,62.31965699621318,62.37499999999999,60.39473684210526,40122.0,45640.0
47000.0,23.800357,2.810132103765177E-7,47000.0,75.4,66.66653116476083,66.4850136239782,63.982430453879935,41122.0,45640.0
48000.0,24.26936,2.8655077599816855E-7,48000.0,74.9,66.94066837802491,66.88654353562006,64.14285714285714,42122.0,45640.0
49000.0,24.718084,2.918489054259327E-7,49000.0,78.2,70.3481239067571,71.90721649484536,65.83072100313481,43122.0,45640.0
50000.0,25.168807,2.9717063724787703E-7,50000.0,76.0,67.6343545144007,68.50393700787401,59.183673469387756,44122.0,45640.0
51000.0,25.625839,3.0256686006776166E-7,51000.0,74.4,66.13030834649753,66.36005256241788,62.40822320117474,45122.0,45640.0
52000.0,26.093692,3.0809084752367606E-7,52000.0,73.1,64.78785665385153,65.29032258064515,61.18326118326117,46122.0,45640.0
53000.0,26.573663,3.137579134251509E-7,53000.0,73.9,65.58421779256382,65.01340482573727,62.173913043478265,47122.0,45640.0
54000.0,27.036406,3.192215665967929E-7,54000.0,73.5,67.87937189020803,68.48989298454221,66.15581098339719,48122.0,45640.0
55000.0,27.520267,3.249345621197589E-7,55000.0,71.39999999999999,63.86105460013394,65.54216867469879,59.4900849858357,49122.0,45640.0
