learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.554033,6.442913220574459E-9,1000.0,67.80000000000001,60.072860829120536,58.55855855855857,56.72043010752689,882.0,44952.0
2000.0,1.196648,1.3915956666072211E-8,2000.0,76.3,68.49087232421695,67.79891304347827,66.19115549215407,1882.0,44952.0
3000.0,1.727065,2.0084236717472474E-8,3000.0,75.1,65.38613916440194,66.0300136425648,61.15444617784711,2882.0,44952.0
4000.0,2.383595,2.7719099291910728E-8,4000.0,64.0,54.97180109043289,55.39033457249071,51.02040816326531,3882.0,44952.0
5000.0,3.128696,3.6383964171012245E-8,5000.0,68.10000000000001,59.32305400980328,59.25925925925927,53.362573099415215,4882.0,44952.0
6000.0,3.913312,4.5508353511492415E-8,6000.0,55.50000000000001,42.70248555330085,41.6775884665793,38.02228412256269,5882.0,44952.0
7000.0,4.641651,5.397829117253423E-8,7000.0,65.4,57.19924739948318,58.80952380952381,54.29326287978864,6882.0,44952.0
8000.0,5.042858,5.8643973333140216E-8,8000.0,66.9,59.333411963594195,59.9273607748184,56.67539267015707,7882.0,44952.0
9000.0,5.461323,6.351035075262189E-8,9000.0,64.4,55.95155165608555,56.69099756690997,52.27882037533512,8882.0,44952.0
10000.0,5.849861,6.802870366101464E-8,10000.0,67.4,58.86061572786424,58.629441624365484,54.21348314606743,9882.0,44952.0
11000.0,6.241482,7.258290912956E-8,11000.0,66.4,53.79671379126842,53.072625698324025,42.465753424657535,10882.0,44952.0
12000.0,6.802712,7.910951708753905E-8,12000.0,69.5,59.35501066098081,60.79691516709511,55.081001472754046,11882.0,44952.0
13000.0,7.582393,8.817651674772303E-8,13000.0,52.0,38.69684825171075,38.06451612903226,30.029154518950442,12882.0,44952.0
14000.0,8.244338,9.587435097744069E-8,14000.0,53.900000000000006,42.09284739895139,40.66924066924067,34.14285714285715,13882.0,44952.0
15000.0,8.701333,1.0118879818047088E-7,15000.0,61.199999999999996,50.11904578248818,50.38363171355499,42.85714285714285,14882.0,44952.0
16000.0,9.252486,1.0759821955114604E-7,16000.0,62.8,54.326126192493284,55.55555555555556,50.26737967914438,15882.0,44952.0
17000.0,9.680903,1.1258032991861305E-7,17000.0,70.89999999999999,64.83370936692219,64.81257557436518,62.97709923664122,16882.0,44952.0
18000.0,10.110568,1.1757695342103641E-7,18000.0,60.6,51.74182611869551,51.7156862745098,46.97173620457604,17882.0,44952.0
19000.0,10.538336,1.2255151649316152E-7,19000.0,62.6,54.03581519448135,54.166666666666664,51.74193548387097,18882.0,44952.0
20000.0,10.961388,1.2747123666107655E-7,20000.0,70.5,64.28043851513176,64.83909415971394,61.88630490956072,19882.0,44952.0
21000.0,11.416906,1.327685076619188E-7,21000.0,59.199999999999996,51.667014158721734,52.28070175438596,48.484848484848484,20882.0,44952.0
22000.0,11.870649,1.380451369844377E-7,22000.0,58.8,50.19023220781796,48.62842892768079,48.0453972257251,21882.0,44952.0
