learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.095195,1.1070335594316324E-9,100.0,74.0,55.048409405255875,-44.44444444444441,31.57894736842105,100.0,44952.0
200.0,0.160873,1.8708105447391667E-9,200.0,68.5,53.70370370370371,-16.66666666666664,35.05154639175259,200.0,44952.0
300.0,0.195231,2.270363662391901E-9,300.0,76.0,68.17820206841687,24.210526315789473,63.45177664974619,300.0,44952.0
400.0,0.233274,2.712770067155361E-9,400.0,73.25,64.59913482932316,33.54037267080746,58.52713178294574,400.0,44952.0
500.0,0.266274,3.096530847251415E-9,500.0,74.2,66.6640824870145,46.25,62.60869565217392,500.0,44952.0
600.0,0.297344,3.457847436269124E-9,600.0,73.16666666666667,65.95294739624636,47.55700325732899,63.82022471910111,600.0,44952.0
700.0,0.332632,3.868215630451838E-9,700.0,73.14285714285714,65.73460986666181,50.3957783641161,63.565891472868216,700.0,44952.0
800.0,0.401902,4.673764395217101E-9,800.0,69.875,61.791063706663174,47.03296703296703,58.37651122625216,14.0,44952.0
900.0,0.424829,4.940385104467471E-9,900.0,68.88888888888889,60.61441512406459,47.56554307116105,56.723338485316845,114.0,44952.0
1000.0,0.45332,5.2717102070649466E-9,1000.0,70.19999999999999,62.43388110953675,51.623376623376615,58.437935843793575,214.0,44952.0
1100.0,0.482466,5.610652379691601E-9,1100.0,69.19999999999999,61.19528598318295,53.68421052631578,60.103626943005175,314.0,44952.0
1200.0,0.507288,5.899310261011123E-9,1200.0,70.19999999999999,62.91442815417144,58.26330532212886,62.60978670012547,414.0,44952.0
1300.0,0.534646,6.217459576825301E-9,1300.0,66.60000000000001,59.038157060460414,55.466666666666676,56.958762886597945,514.0,44952.0
1400.0,0.563894,6.557587919135888E-9,1400.0,67.10000000000001,59.23601603300768,55.898123324396785,57.04960835509139,614.0,44952.0
