learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.23423,3.28088104724884E-9,100.0,95.0,90.0079936051159,89.99999999999999,88.63636363636363,10100.0,54144.0
200.0,0.263685,3.693459928035736E-9,200.0,97.5,94.9859606899318,94.84536082474226,93.97590361445782,10200.0,54144.0
300.0,0.281816,3.9474225044250486E-9,300.0,98.0,95.97909127462806,95.91836734693877,95.2755905511811,10300.0,54144.0
400.0,0.301751,4.2266538739204405E-9,400.0,98.5,96.98553054662379,96.92307692307692,96.55172413793103,10400.0,54144.0
500.0,0.315945,4.425470530986786E-9,500.0,98.6,97.18132912411815,97.18875502008032,96.7741935483871,10500.0,54144.0
600.0,0.329559,4.616163074970245E-9,600.0,98.83333333333333,97.64848159097016,97.6190476190476,97.31800766283524,10600.0,54144.0
700.0,0.344223,4.821563065052032E-9,700.0,98.85714285714286,97.70177209787167,97.67441860465115,97.42765273311896,10700.0,54144.0
800.0,0.362113,5.07214993238449E-9,800.0,98.75,97.49110911793669,97.44245524296676,97.2451790633609,10800.0,54144.0
900.0,0.393138,5.506719946861267E-9,900.0,98.88888888888889,97.77506390510896,97.73242630385488,97.62470308788599,10900.0,54144.0
1000.0,0.405599,5.68126231431961E-9,1000.0,99.0,97.99686710014463,97.98387096774194,97.85867237687366,11000.0,54144.0
1100.0,0.418127,5.8567431569099425E-9,1100.0,99.5,98.99815660815902,98.97540983606558,98.9406779661017,11100.0,54144.0
1200.0,0.431229,6.040264070034027E-9,1200.0,99.5,98.99904709283237,98.97750511247445,98.9648033126294,11200.0,54144.0
1300.0,0.454813,6.370607316493988E-9,1300.0,99.6,99.1989650628612,99.16492693110646,99.16839916839916,11300.0,54144.0
1400.0,0.470607,6.59183531999588E-9,1400.0,99.6,99.19974391805377,99.1769547325103,99.18367346938776,11400.0,54144.0
1500.0,0.483492,6.772316694259644E-9,1500.0,99.7,99.3999519961597,99.36708860759494,99.40239043824701,11500.0,54144.0
1600.0,0.496084,6.9486939907073975E-9,1600.0,99.7,99.39956288177794,99.37629937629937,99.4059405940594,11600.0,54144.0
1700.0,0.518252,7.257413913806279E-9,1700.0,99.3,98.59926040949621,98.53556485355648,98.61660079051383,79.0,53832.0
1800.0,0.528254,7.396705535550912E-9,1800.0,99.4,98.79976475389176,98.74739039665971,98.81656804733727,179.0,53832.0
1900.0,0.538746,7.542821081976096E-9,1900.0,99.4,98.79995679844474,98.75776397515527,98.7878787878788,279.0,53832.0
2000.0,0.548185,7.674272153526545E-9,2000.0,99.3,98.59959668384495,98.52941176470587,98.59154929577466,379.0,53832.0
2100.0,0.557348,7.801879545052848E-9,2100.0,99.3,98.59764404199053,98.54469854469853,98.56262833675564,479.0,53832.0
2200.0,0.566538,7.929862948755425E-9,2200.0,99.3,98.59786876051598,98.54166666666666,98.5655737704918,579.0,53832.0
2300.0,0.575248,8.051161691546441E-9,2300.0,99.3,98.59716065316199,98.5655737704918,98.60279441117764,679.0,53832.0
2400.0,0.58452,8.180287058154743E-9,2400.0,99.2,98.39948783610755,98.3402489626556,98.40637450199203,779.0,53832.0
2500.0,0.593106,8.299858930210273E-9,2500.0,99.2,98.4,98.33679833679834,98.39679358717434,879.0,53832.0
2600.0,0.601376,8.415030067165693E-9,2600.0,99.2,98.39977596863561,98.29787234042553,98.40319361277446,979.0,53832.0
2700.0,0.610801,8.546286169439555E-9,2700.0,99.7,99.39992799135896,99.36034115138592,99.39879759519037,1079.0,53832.0
2800.0,0.619786,8.67141466587782E-9,2800.0,99.8,99.59996159631325,99.57446808510639,99.59349593495935,1179.0,53832.0
2900.0,0.628299,8.789969912419718E-9,2900.0,99.8,99.5999951999424,99.56521739130434,99.5959595959596,1279.0,53832.0
3000.0,0.6368,8.908358042438827E-9,3000.0,99.9,99.79999519988479,99.78540772532189,99.79716024340772,1379.0,53832.0
3100.0,0.646302,9.040686475733918E-9,3100.0,99.9,99.79972602520247,99.7867803837953,99.79838709677419,1479.0,53832.0
3200.0,0.654872,9.160035525759063E-9,3200.0,99.9,99.79999039953917,99.78448275862068,99.80353634577604,1579.0,53832.0
3300.0,0.664333,9.291792977601292E-9,3300.0,99.9,99.8,99.78632478632478,99.80119284294234,1679.0,53832.0
3400.0,0.673309,9.416796136647465E-9,3400.0,100.0,100.0,100.0,100.0,1779.0,53832.0
3500.0,0.682727,9.547954754283032E-9,3500.0,99.9,99.79996639435426,99.7907949790795,99.79959919839679,1879.0,53832.0
3600.0,0.691196,9.66589724024137E-9,3600.0,99.9,99.79996639435426,99.79838709677419,99.800796812749,1979.0,53832.0
3700.0,0.69955,9.782238192856312E-9,3700.0,99.9,99.79996639435426,99.79959919839679,99.800796812749,2079.0,53832.0
3800.0,0.708333,9.904553561160962E-9,3800.0,99.7,99.39997119861754,99.4059405940594,99.3963782696177,2179.0,53832.0
3900.0,0.716973,1.0024877457569044E-8,3900.0,99.7,99.39989918306276,99.41634241245137,99.39271255060729,2279.0,53832.0
4000.0,0.725762,1.0147276384135088E-8,4000.0,99.7,99.3999951999616,99.41634241245137,99.40119760479041,2379.0,53832.0
4100.0,0.734189,1.0264633962263664E-8,4100.0,99.7,99.39934648898002,99.40476190476191,99.40476190476191,2479.0,53832.0
4200.0,0.742889,1.038579344128569E-8,4200.0,99.6,99.2,99.22630560928432,99.1869918699187,2579.0,53832.0
4300.0,0.75165,1.0507802429298559E-8,4300.0,99.6,99.19994879672299,99.22027290448344,99.18032786885246,2679.0,53832.0
4400.0,0.760203,1.062691473091642E-8,4400.0,99.6,99.19984316926117,99.23224568138195,99.18864097363083,2779.0,53832.0
4500.0,0.769244,1.0752823104461033E-8,4500.0,99.7,99.3999951999616,99.42857142857143,99.37888198757764,2879.0,53832.0
4600.0,0.77773,1.0871002338826656E-8,4600.0,99.7,99.39973588378886,99.4263862332696,99.36575052854123,2979.0,53832.0
4700.0,0.786521,1.0993429118146499E-8,4700.0,99.7,99.3999855996544,99.42307692307692,99.37888198757764,3079.0,53832.0
4800.0,0.795098,1.1112875652809937E-8,4800.0,99.9,99.7999839987199,99.8076923076923,99.7946611909651,3179.0,53832.0
4900.0,0.803641,1.1231848690658807E-8,4900.0,99.9,99.79992797407067,99.80916030534351,99.79591836734694,3279.0,53832.0
5000.0,0.812498,1.135519461085399E-8,5000.0,99.9,99.79978216299334,99.8062015503876,99.79035639412997,3379.0,53832.0
5100.0,0.821042,1.1474181575079759E-8,5100.0,99.8,99.59980630625222,99.61685823754789,99.59432048681542,3479.0,53832.0
5200.0,0.83006,1.1599769641955693E-8,5200.0,99.7,99.3999519961597,99.42748091603053,99.39393939393939,3579.0,53832.0
5300.0,0.838871,1.1722474948813518E-8,5300.0,99.6,99.19997119896317,99.25233644859813,99.19191919191918,3679.0,53832.0
5400.0,0.847331,1.1840292097379764E-8,5400.0,99.6,99.19998719979519,99.22779922779922,99.18367346938776,3779.0,53832.0
5500.0,0.855247,1.1950533296912908E-8,5500.0,99.6,99.19974071599198,99.2248062015504,99.17355371900827,3879.0,53832.0
5600.0,0.863407,1.206417253240943E-8,5600.0,99.6,99.19896185456352,99.21875,99.18367346938776,3979.0,53832.0
