learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.118003,1.65263460121221E-9,100.0,53.0,-9.200743494423785,9.615384615384624,-23.68421052631578,234.0,54136.0
200.0,0.163434,2.2888967519005137E-9,200.0,65.0,2.3846046576488793,16.66666666666668,-18.644067796610145,461.0,54136.0
300.0,0.191234,2.6782363611790864E-9,300.0,65.66666666666666,9.701928696668608,11.206896551724137,-8.421052631578966,695.0,54136.0
400.0,0.22411,3.1386654617057903E-9,400.0,67.0,17.667238421955417,8.965517241379333,-0.7633587786259378,938.0,54136.0
500.0,0.267955,3.752715647634532E-9,500.0,68.0,18.3673469387755,13.043478260869575,0.0,1174.0,54136.0
600.0,0.296426,4.151452626619074E-9,600.0,68.83333333333333,21.64366724398011,15.76576576576577,3.108808290155443,1400.0,54136.0
700.0,0.321908,4.5083285950952105E-9,700.0,69.57142857142857,24.556751943005185,19.92481203007519,5.7522123893805315,1642.0,54136.0
800.0,0.348563,4.881632454279396E-9,800.0,71.25,25.922943757800237,21.23287671232877,6.122448979591851,1871.0,54136.0
900.0,0.374442,5.244068416456382E-9,900.0,71.0,26.366406279387615,22.551928783382785,8.098591549295774,2105.0,54136.0
1000.0,0.399082,5.5891521564788294E-9,1000.0,71.3,26.189202534770782,22.222222222222214,6.514657980456031,2347.0,54136.0
1100.0,0.422095,5.911449725843138E-9,1100.0,73.1,30.104453567531063,23.579545454545446,9.73154362416108,2575.0,54136.0
1200.0,0.449217,6.2912939302623275E-9,1200.0,72.7,31.785471554791506,22.88135593220338,12.218649517684895,2814.0,54136.0
1300.0,0.476221,6.66948554209537E-9,1300.0,74.2,34.38820818774126,27.118644067796605,13.13131313131314,3048.0,54136.0
1400.0,0.500862,7.014583287139734E-9,1400.0,74.5,34.679030688047554,29.752066115702476,14.141414141414153,3289.0,54136.0
1500.0,0.525457,7.359036801175939E-9,1500.0,74.8,36.027619821283515,28.813559322033893,14.864864864864877,3519.0,54136.0
1600.0,0.546422,7.652652085655266E-9,1600.0,74.9,33.97377890948882,28.89518413597733,13.14878892733565,3751.0,54136.0
1700.0,0.577196,8.083642630113497E-9,1700.0,73.8,30.00940331680629,26.81564245810055,11.486486486486495,3990.0,54136.0
1800.0,0.598583,8.383168033841585E-9,1800.0,72.8,28.457200572342405,26.086956521739125,11.688311688311696,4226.0,54136.0
1900.0,0.65143,9.123291427062619E-9,1900.0,73.3,26.624161811586227,26.648351648351642,9.49152542372882,4460.0,54136.0
2000.0,0.688669,9.644824438210991E-9,2000.0,72.5,25.454052588777444,27.821522309711284,11.290322580645169,4693.0,54136.0
2100.0,0.70911,9.931101091206075E-9,2100.0,72.6,24.4891997508695,29.743589743589737,11.326860841423956,4928.0,54136.0
2200.0,0.76447,1.0706419104503262E-8,2200.0,72.39999999999999,20.932764202022533,30.65326633165829,9.508196721311482,5159.0,54136.0
2300.0,0.816936,1.1441206584374111E-8,2300.0,69.69999999999999,16.610706854985157,26.097560975609753,6.191950464396257,5393.0,54136.0
2400.0,0.845867,1.1846385873440241E-8,2400.0,70.1,13.637729047762098,28.297362110311745,4.16666666666667,5624.0,54136.0
2500.0,0.883519,1.2373702958640127E-8,2500.0,68.5,9.726600561701146,25.88235294117649,0.9433962264150954,5866.0,54136.0
2600.0,0.926988,1.2984826312296923E-8,2600.0,67.80000000000001,13.508286550807181,26.484018264840188,3.8805970149253772,62.0,54344.0
2700.0,0.941942,1.3195062081019085E-8,2700.0,68.8,13.290460283139948,26.066350710900466,1.5772870662460234,290.0,54344.0
