learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.586386,8.158950917422771E-9,100.0,94.0,88.01438274071114,87.99999999999999,86.36363636363636,10100.0,53784.0
200.0,0.63252,8.656683936715126E-9,200.0,95.0,89.96487706974409,89.69072164948453,87.95180722891565,65.0,41704.0
300.0,0.646126,8.803477092749543E-9,300.0,96.33333333333334,92.61546723952739,92.51700680272108,91.33858267716536,165.0,41704.0
400.0,0.660553,8.959127898431487E-9,400.0,97.25,94.46680080482898,94.35897435897436,93.67816091954025,265.0,41704.0
500.0,0.675914,9.124855494333638E-9,500.0,97.6,95.16261670187205,95.18072289156626,94.4700460829493,365.0,41704.0
600.0,0.689482,9.271238673892286E-9,600.0,97.83333333333334,95.63005624901957,95.57823129251702,95.01915708812263,465.0,41704.0
700.0,0.704243,9.430492957019144E-9,700.0,97.85714285714285,95.68774333448327,95.63953488372093,95.17684887459806,565.0,41704.0
800.0,0.718152,9.580555136005083E-9,800.0,97.875,95.73271750589889,95.65217391304348,95.31680440771349,665.0,41704.0
900.0,0.728762,9.695024883581532E-9,900.0,97.88888888888889,95.77063484996884,95.69160997732426,95.48693586698337,765.0,41704.0
1000.0,0.73895,9.804941734506023E-9,1000.0,98.1,96.19229320143971,96.16935483870968,95.93147751605994,865.0,41704.0
1100.0,0.749313,9.916746634989976E-9,1100.0,98.7,97.3937658880041,97.3360655737705,97.2457627118644,965.0,41704.0
1200.0,0.760018,1.0032241323755846E-8,1200.0,99.1,98.19779409997838,98.15950920245399,98.13664596273291,1065.0,41704.0
1300.0,0.770236,1.0142481840319103E-8,1300.0,99.1,98.19725983494912,98.12108559498955,98.12889812889813,1165.0,41704.0
1400.0,0.779956,1.0247349507278865E-8,1400.0,99.1,98.1992076513666,98.14814814814815,98.16326530612245,1265.0,41704.0
1500.0,0.789525,1.0350588057190178E-8,1500.0,99.2,98.39994879836155,98.31223628691983,98.40637450199203,1365.0,41704.0
1600.0,0.798859,1.0451291226264502E-8,1600.0,99.3,98.59927162124305,98.54469854469853,98.61386138613861,1465.0,41704.0
1700.0,0.808427,1.055451898732119E-8,1700.0,99.5,98.99956781329534,98.9539748953975,99.01185770750988,1565.0,41704.0
1800.0,0.818211,1.0660077140976985E-8,1800.0,99.6,99.1998879843178,99.16492693110646,99.21104536489152,1665.0,41704.0
1900.0,0.826877,1.075357335516148E-8,1900.0,99.8,99.59998559948158,99.58592132505176,99.5959595959596,1765.0,41704.0
2000.0,0.8359,1.0850921190447275E-8,2000.0,99.7,99.39982715021927,99.36974789915966,99.3963782696177,1865.0,41704.0
2100.0,0.844052,1.093887193335427E-8,2100.0,99.7,99.39899030371024,99.37629937629937,99.38398357289527,1965.0,41704.0
2200.0,0.852513,1.103015643234054E-8,2200.0,99.7,99.39908661164971,99.375,99.38524590163934,2065.0,41704.0
2300.0,0.860555,1.1116920401238732E-8,2300.0,99.8,99.59915180521985,99.59016393442623,99.60079840319361,2165.0,41704.0
2400.0,0.869008,1.1208118589387999E-8,2400.0,99.8,99.59983993597439,99.5850622406639,99.60159362549801,2265.0,41704.0
2500.0,0.87727,1.1297256106303797E-8,2500.0,99.8,99.6,99.58419958419958,99.59919839679358,2365.0,41704.0
2600.0,0.885552,1.1386609400312104E-8,2600.0,99.8,99.5999599959996,99.57446808510639,99.60079840319361,2465.0,41704.0
2700.0,0.894362,1.1481659209562672E-8,2700.0,99.8,99.5999599959996,99.57356076759062,99.59919839679358,2565.0,41704.0
2800.0,0.902781,1.1572490576654672E-8,2800.0,99.9,99.79997599711965,99.7872340425532,99.79674796747967,2665.0,41704.0
2900.0,0.910985,1.1661002340002191E-8,2900.0,99.9,99.79999519988479,99.78260869565217,99.79797979797979,2765.0,41704.0
3000.0,0.919002,1.1747496587534744E-8,3000.0,100.0,100.0,100.0,100.0,2865.0,41704.0
3100.0,0.927332,1.1837367746565076E-8,3100.0,100.0,100.0,100.0,100.0,2965.0,41704.0
3200.0,0.935487,1.1925350856035946E-8,3200.0,100.0,100.0,100.0,100.0,3065.0,41704.0
3300.0,0.944939,1.2027327109956077E-8,3300.0,100.0,100.0,100.0,100.0,3165.0,41704.0
3400.0,0.953409,1.2118708708633978E-8,3400.0,100.0,100.0,100.0,100.0,3265.0,41704.0
3500.0,0.962041,1.2211838101761207E-8,3500.0,99.9,99.79996639435426,99.7907949790795,99.79959919839679,3365.0,41704.0
3600.0,0.970296,1.2300900096694626E-8,3600.0,99.9,99.79996639435426,99.79838709677419,99.800796812749,3465.0,41704.0
3700.0,0.978356,1.2387858264976075E-8,3700.0,99.9,99.79996639435426,99.79959919839679,99.800796812749,3565.0,41704.0
3800.0,0.986895,1.2479984294623134E-8,3800.0,99.9,99.7999839987199,99.8019801980198,99.79879275653923,3665.0,41704.0
3900.0,0.995196,1.2569542576869326E-8,3900.0,99.9,99.79995518996255,99.80544747081711,99.79757085020243,3765.0,41704.0
4000.0,1.003525,1.2659402947045033E-8,4000.0,99.9,99.79999519988479,99.80544747081711,99.8003992015968,3865.0,41704.0
4100.0,1.011229,1.2742520283079807E-8,4100.0,99.9,99.7997548999976,99.8015873015873,99.8015873015873,3965.0,41704.0
4200.0,1.019025,1.2826630193740126E-8,4200.0,99.9,99.8,99.80657640232108,99.79674796747967,4065.0,41704.0
4300.0,1.026836,1.2910901937219828E-8,4300.0,99.9,99.79999039953917,99.80506822612085,99.79508196721312,4165.0,41704.0
4400.0,1.035102,1.3000082609554128E-8,4400.0,99.9,99.79996639435426,99.80806142034548,99.79716024340772,4265.0,41704.0
4500.0,1.043901,1.3095013741403814E-8,4500.0,100.0,100.0,100.0,100.0,4365.0,41704.0
4600.0,1.052232,1.3184895689288772E-8,4600.0,99.9,99.79989434421374,99.80879541108987,99.78858350951374,4465.0,41704.0
4700.0,1.060581,1.3274971836556988E-8,4700.0,99.9,99.79999039953917,99.8076923076923,99.79296066252587,4565.0,41704.0
4800.0,1.068624,1.3361746594309804E-8,4800.0,99.9,99.7999839987199,99.8076923076923,99.7946611909651,4665.0,41704.0
4900.0,1.0767,1.3448877384265262E-8,4900.0,99.9,99.79992797407067,99.80916030534351,99.79591836734694,4765.0,41704.0
5000.0,1.084838,1.35366770832075E-8,5000.0,99.9,99.79978216299334,99.8062015503876,99.79035639412997,4865.0,41704.0
5100.0,1.093758,1.363291366646687E-8,5100.0,99.8,99.59980630625222,99.61685823754789,99.59432048681542,4965.0,41704.0
5200.0,1.103429,1.3737252679549983E-8,5200.0,99.7,99.3999519961597,99.42748091603053,99.39393939393939,5065.0,41704.0
5300.0,1.111897,1.3828612700518632E-8,5300.0,99.6,99.19997119896317,99.25233644859813,99.19191919191918,5165.0,41704.0
5400.0,1.120664,1.3923198589020303E-8,5400.0,99.6,99.19998719979519,99.22779922779922,99.18367346938776,5265.0,41704.0
5500.0,1.128172,1.4004201309548482E-8,5500.0,99.6,99.19974071599198,99.2248062015504,99.17355371900827,5365.0,41704.0
5600.0,1.136248,1.4091332099503938E-8,5600.0,99.6,99.19896185456352,99.21875,99.18367346938776,5465.0,41704.0
5700.0,1.14384,1.4173241083820658E-8,5700.0,99.6,99.19961261250445,99.21722113502935,99.16492693110646,5565.0,41704.0
5800.0,1.151511,1.4256002387652792E-8,5800.0,99.6,99.1999199919992,99.20792079207921,99.18032786885246,5665.0,41704.0
5900.0,1.158527,1.433169699170523E-8,5900.0,99.6,99.19998719979519,99.20159680638723,99.18533604887983,5765.0,41704.0
6000.0,1.166295,1.4415504814436036E-8,6000.0,99.5,98.9991592938068,99.0234375,98.98989898989899,5865.0,41704.0
6100.0,1.173185,1.4489840022805662E-8,6100.0,99.6,99.1999231926265,99.23518164435946,99.17184265010351,5965.0,41704.0
6200.0,1.179908,1.456237349245283E-8,6200.0,99.6,99.19998399968,99.23224568138195,99.15966386554622,6065.0,41704.0
6300.0,1.186201,1.4630267754611038E-8,6300.0,99.7,99.39990398463753,99.41176470588235,99.375,6165.0,41704.0
6400.0,1.192614,1.4699456679324306E-8,6400.0,99.7,99.39990398463753,99.41520467836257,99.38144329896907,6265.0,41704.0
6500.0,1.201924,1.4799900915887618E-8,6500.0,99.6,99.199542138103,99.21414538310412,99.18864097363083,6365.0,41704.0
6600.0,1.208032,1.4865799239940111E-8,6600.0,99.7,99.3992646999928,99.40828402366864,99.38900203665987,6465.0,41704.0
6700.0,1.214072,1.493096392187807E-8,6700.0,99.7,99.39843593342691,99.412915851272,99.38398357289527,6565.0,41704.0
6800.0,1.220563,1.5000994377252124E-8,6800.0,99.7,99.39917807560744,99.41520467836257,99.38271604938271,6665.0,41704.0
6900.0,1.227047,1.50709493106438E-8,6900.0,99.6,99.19907733709233,99.23076923076923,99.17355371900827,6765.0,41704.0
7000.0,1.233345,1.5138897517075138E-8,7000.0,99.6,99.2,99.2156862745098,99.19517102615694,6865.0,41704.0
7100.0,1.239354,1.5203727744519707E-8,7100.0,99.6,99.19997439918077,99.20159680638723,99.1869918699187,6965.0,41704.0
7200.0,1.245294,1.5267813540995117E-8,7200.0,99.7,99.3999855996544,99.39024390243902,99.38398357289527,7065.0,41704.0
7300.0,1.251318,1.5332805601259068E-8,7300.0,99.7,99.39989918306276,99.38775510204081,99.3801652892562,7165.0,41704.0
7400.0,1.257297,1.5397312163064873E-8,7400.0,99.7,99.39982715021927,99.38524590163934,99.38398357289527,7265.0,41704.0
7500.0,1.263102,1.545994146416584E-8,7500.0,99.7,99.39992799135896,99.38524590163934,99.38900203665987,7365.0,41704.0
7600.0,1.26903,1.5523897794385748E-8,7600.0,99.7,99.4,99.38398357289527,99.39024390243902,7465.0,41704.0
7700.0,1.275564,1.5594392170508698E-8,7700.0,99.6,99.19995199711983,99.18032786885246,99.2,7565.0,41704.0
7800.0,1.28178,1.5661455690860745E-8,7800.0,99.6,99.20000319998718,99.15966386554622,99.18864097363083,7665.0,41704.0
7900.0,1.288114,1.5729792296058598E-8,7900.0,99.7,99.3999855996544,99.34065934065934,99.38524590163934,7765.0,41704.0
8000.0,1.294025,1.579356521574987E-8,8000.0,99.8,99.59963967570815,99.56236323851203,99.57894736842105,7865.0,41704.0
8100.0,1.299816,1.585604347288608E-8,8100.0,99.8,99.59899749373433,99.55456570155901,99.57805907172997,7965.0,41704.0
8200.0,1.306491,1.5928059077511225E-8,8200.0,99.7,99.39775966595737,99.34354485776805,99.36974789915966,8065.0,41704.0
8300.0,1.313139,1.5999783383061483E-8,8300.0,99.7,99.39790470838517,99.34354485776805,99.3723849372385,8165.0,41704.0
8400.0,1.319045,1.6063502358479627E-8,8400.0,99.7,99.39818009661215,99.34497816593887,99.37759336099586,8265.0,41704.0
8500.0,1.325475,1.6132874693721528E-8,8500.0,99.8,99.59953866854616,99.56427015250544,99.57894736842105,8365.0,41704.0
8600.0,1.331757,1.6200650278478855E-8,8600.0,99.8,99.59984153724875,99.56331877729258,99.58932238193019,8465.0,41704.0
8700.0,1.338228,1.62704649567604E-8,8700.0,99.9,99.79992797407067,99.78213507625271,99.79296066252587,8565.0,41704.0
8800.0,1.344665,1.6339912813984677E-8,8800.0,99.9,99.79992797407067,99.7872340425532,99.79423868312757,8665.0,41704.0
8900.0,1.350973,1.640796890896227E-8,8900.0,99.9,99.79983185876135,99.79035639412997,99.79508196721312,8765.0,41704.0
