learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,2.48348,4.224421688252025E-8,1000.0,60.099999999999994,50.53254995406593,48.11443433029909,46.15384615384615,774.0,65752.0
2000.0,2.946199,5.011510845066773E-8,2000.0,63.6,50.62612583284503,50.67750677506775,48.074179743223965,120.0,65752.0
3000.0,3.37592,5.7433594618406565E-8,3000.0,55.1,38.48514532713161,38.23933975240716,29.843750000000007,709.0,65832.0
4000.0,3.842533,6.540935167214937E-8,4000.0,33.0,19.581439396212648,18.491484184914846,8.843537414965986,981.0,66072.0
5000.0,4.306881,7.33079526759684E-8,5000.0,41.8,27.03932605398086,25.19280205655527,15.160349854227404,747.0,65752.0
6000.0,4.826494,8.217887809293138E-8,6000.0,22.8,9.267203384850447,-0.9150326797385592,-7.520891364902502,165.0,65992.0
7000.0,5.286911,9.005825651809574E-8,7000.0,33.1,17.88106133511401,19.00726392251816,11.273209549071622,430.0,66152.0
8000.0,5.75046,9.799123464359178E-8,8000.0,47.3,32.98422395222678,34.53416149068323,31.11111111111111,2445.0,66152.0
9000.0,6.230076,1.0614954569273525E-7,9000.0,45.2,30.642568756249133,32.429099876695446,26.63989290495315,773.0,65752.0
10000.0,6.746998,1.1495313338521455E-7,10000.0,29.099999999999998,8.150032840573584,9.335038363171352,0.14084507042253536,1498.0,65832.0
11000.0,7.322669,1.2475726269392505E-7,11000.0,30.4,2.10378405445055,2.247191011235957,-18.974358974358974,3408.0,65832.0
12000.0,7.801346,1.3290950799567834E-7,12000.0,33.7,5.205409725667612,11.71770972037284,2.2123893805309756,5072.0,65832.0
13000.0,8.377513,1.4272208457398747E-7,13000.0,36.6,9.45056200636989,20.35175879396985,7.714701601164481,6828.0,65832.0
14000.0,9.195103,1.5664628447550866E-7,14000.0,28.9,4.922754752859335,8.611825192802053,-1.716738197424894,8790.0,65832.0
15000.0,9.957503,1.6963055532632603E-7,15000.0,56.49999999999999,43.89912676089033,44.15917843388959,35.935198821796746,10505.0,65832.0
16000.0,10.766311,1.834051908697519E-7,16000.0,51.800000000000004,41.246094754690255,41.71704957678356,35.1278600269179,12417.0,65832.0
17000.0,11.394236,1.9409924684299362E-7,17000.0,62.1,54.14492381886882,54.116222760290555,51.781170483460556,13963.0,65832.0
18000.0,12.130725,2.066422330112093E-7,18000.0,51.2,40.69695658725568,41.27557160048135,33.96481732070365,15659.0,65832.0
19000.0,12.849993,2.1889193202265434E-7,19000.0,61.5,52.244804296727224,52.991452991452995,50.32258064516129,17342.0,65832.0
20000.0,13.509527,2.3012431409416926E-7,20000.0,63.9,56.27681981083972,56.81818181818182,53.17769130998703,18991.0,65832.0
21000.0,14.128661,2.4066865243224634E-7,21000.0,52.0,43.302957105143484,43.85964912280702,39.3939393939394,20517.0,65832.0
22000.0,14.788786,2.519110996979806E-7,22000.0,54.2,45.373049591252055,43.5265104808878,42.09860935524653,22098.0,65832.0
23000.0,15.458718,2.633205678769284E-7,23000.0,56.10000000000001,48.061474391585726,46.39804639804641,43.28165374677003,23642.0,65832.0
24000.0,16.15857,2.752395971574717E-7,24000.0,59.3,49.50898417534649,50.061349693251536,45.733333333333334,25173.0,65832.0
25000.0,16.820757,2.865171619028681E-7,25000.0,59.099999999999994,50.015093242016164,49.129353233830834,48.423707440100884,26679.0,65832.0
26000.0,17.51085,2.98269987747901E-7,26000.0,56.699999999999996,48.5476290913844,48.390941597139445,42.42021276595744,28239.0,65832.0
27000.0,18.171814,3.0952672384265396E-7,27000.0,63.4,55.81769851252918,55.90361445783132,53.72945638432365,29779.0,65832.0
28000.0,18.762695,3.1958989139853254E-7,28000.0,59.4,50.60755144843964,49.313358302122346,47.20416124837451,31241.0,65832.0
29000.0,19.417036,3.307338326010439E-7,29000.0,65.5,57.79661638959228,57.03611457036115,55.994897959183675,32826.0,65832.0
30000.0,20.036271,3.412798910484546E-7,30000.0,61.199999999999996,53.54528496615271,52.45098039215685,51.86104218362282,34322.0,65832.0
31000.0,20.691555,3.524398922816747E-7,31000.0,60.699999999999996,52.747214430255255,53.214285714285715,49.61538461538461,35866.0,65832.0
32000.0,21.309492,3.6296384476953085E-7,32000.0,70.19999999999999,63.612741889793,64.35406698564593,61.79487179487179,37348.0,65832.0
33000.0,21.898798,3.730001888382766E-7,33000.0,67.4,59.644575166311384,59.65346534653465,58.20512820512821,38856.0,65832.0
34000.0,22.534696,3.838300312641594E-7,34000.0,63.6,55.85128188956513,55.33742331288344,54.09836065573771,40431.0,65832.0
35000.0,23.189455,3.9498109133500195E-7,35000.0,68.4,60.166393545947315,60.84262701363075,53.46097201767305,42004.0,65832.0
