learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,2.123997,3.634917072330912E-8,100.0,62.0,41.628264208909364,-137.49999999999994,0.0,250.0,66152.0
200.0,2.39214,4.09380546460549E-8,200.0,67.0,52.80320366132724,-43.47826086956521,31.958762886597945,1468.0,66152.0
300.0,2.718587,4.652472813717193E-8,300.0,74.0,65.5070754716981,12.35955056179774,60.40609137055837,2745.0,66152.0
400.0,2.968903,5.080852845269773E-8,400.0,73.75,65.24272166040484,32.25806451612904,59.30232558139535,3640.0,66152.0
500.0,3.321874,5.684912226680252E-8,500.0,71.0,62.59358054247046,37.76824034334763,57.971014492753625,331.0,66152.0
600.0,3.457397,5.9168404574609464E-8,600.0,68.83333333333333,60.339763099012735,37.03703703703704,57.97752808988764,1051.0,66152.0
700.0,3.575109,6.117313239516483E-8,700.0,64.71428571428571,54.88101793016343,33.9572192513369,52.13178294573644,75.0,65832.0
800.0,3.784847,6.474513528040714E-8,800.0,63.24999999999999,53.348235980173,34.374999999999986,49.22279792746113,916.0,65832.0
900.0,3.983813,6.813368254444666E-8,900.0,63.22222222222222,53.422194425986,37.19165085388994,48.84080370942813,1793.0,65832.0
1000.0,4.155238,7.105318494555024E-8,1000.0,65.7,56.730708581953046,43.49258649093905,52.16178521617852,2643.0,65832.0
1100.0,4.667882,7.982635377595823E-8,1100.0,65.60000000000001,56.63770805076413,47.72036474164134,55.440414507772026,275.0,66152.0
1200.0,4.821551,8.245617891972265E-8,1200.0,65.7,57.34918335499033,51.82584269662922,56.96361355081556,1126.0,66152.0
1300.0,4.987743,8.529343825868435E-8,1300.0,62.3,53.76768815140653,49.395973154362416,51.417525773195884,275.0,65992.0
1400.0,5.092984,8.709013130101893E-8,1400.0,62.3,53.19805045672247,49.05405405405405,50.71895424836601,904.0,65992.0
1500.0,5.272819,9.01603063589169E-8,1500.0,62.3,52.501304009293115,48.707482993197274,48.35616438356165,1485.0,65992.0
1600.0,5.464195,9.340770777521863E-8,1600.0,62.5,51.713899057584065,49.1869918699187,45.730824891461644,278.0,65592.0
1700.0,5.668839,9.69014264870849E-8,1700.0,64.0,52.15171097506839,49.50911640953717,46.666666666666664,585.0,65992.0
1800.0,5.847164,9.992736943480043E-8,1800.0,66.60000000000001,53.16481078723784,51.026392961876844,49.085365853658544,728.0,65592.0
1900.0,6.041117,1.0321849918406872E-7,1900.0,68.10000000000001,53.93987348626066,52.03007518796993,50.078247261345865,1725.0,65592.0
