learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,52.375153,6.090766537251571E-7,1000.0,61.9,52.97004648682544,51.09114249037228,48.582995951417004,146.0,44952.0
2000.0,52.619974,6.119237051780024E-7,2000.0,54.0,41.87163234565655,36.111111111111114,34.2857142857143,106.0,44952.0
3000.0,52.827615,6.143383861519395E-7,3000.0,56.49999999999999,42.72336570670149,40.81632653061224,31.603773584905653,1106.0,44952.0
4000.0,53.060505,6.170466906391083E-7,4000.0,55.2,44.58449503858057,44.34782608695653,39.04761904761905,2106.0,44952.0
5000.0,53.338195,6.202759794580439E-7,5000.0,65.8,56.23789184361316,55.87096774193549,50.21834061135371,3106.0,44952.0
6000.0,53.58851,6.231869212662179E-7,6000.0,23.200000000000003,9.276908610660909,-0.9198423127463835,-6.963788300835649,459.0,44952.0
7000.0,53.809368,6.257553042471408E-7,7000.0,31.6,21.528406372719424,15.867158671586717,9.163346613545817,1459.0,44952.0
8000.0,54.023586,6.282464699074625E-7,8000.0,55.7,46.665061401396585,44.900497512437816,42.16710182767625,2459.0,44952.0
9000.0,54.244946,6.308206907038887E-7,9000.0,63.7,55.101096745386116,54.39698492462311,51.20967741935484,3459.0,44952.0
10000.0,54.469786,6.334353808189431E-7,10000.0,61.6,51.9947194191361,52.41635687732342,45.91549295774649,4459.0,44952.0
11000.0,54.705979,6.361820962714651E-7,11000.0,57.599999999999994,43.76531035845635,40.281690140845065,27.645051194539246,5459.0,44952.0
12000.0,54.939597,6.388988667540251E-7,12000.0,54.900000000000006,42.445418859525994,40.34391534391535,33.48082595870207,6459.0,44952.0
13000.0,55.212531,6.420728475041687E-7,13000.0,34.8,21.40222291872604,17.468354430379744,5.094614264919938,121.0,44952.0
14000.0,55.444575,6.447713137604295E-7,14000.0,17.4,6.331895803873051,-4.292929292929292,-18.000000000000004,348.0,44952.0
15000.0,55.647706,6.471335474277535E-7,15000.0,13.700000000000001,6.289159295398723,-13.702239789196307,-27.286135693215343,221.0,44952.0
16000.0,55.863511,6.496431684928635E-7,16000.0,21.3,7.234090705492403,4.024390243902439,-5.637583892617451,1221.0,44952.0
17000.0,56.072368,6.520719904700914E-7,17000.0,26.900000000000002,15.728070276564104,11.501210653753029,7.115628970775098,2221.0,44952.0
18000.0,56.360353,6.554210010233024E-7,18000.0,22.900000000000002,11.320190471808793,6.3183475091130035,-3.9083557951482475,80.0,44952.0
19000.0,56.614317,6.583743774704634E-7,19000.0,31.0,20.93502921966311,16.666666666666664,10.96774193548387,389.0,44952.0
20000.0,56.855183,6.611754357752699E-7,20000.0,30.9,20.963174100627263,16.646562123039807,9.673202614379086,784.0,44952.0
21000.0,57.061255,6.635718706684806E-7,21000.0,36.9,25.389635189606103,25.148279952550418,20.32828282828283,1784.0,44952.0
22000.0,57.341027,6.668253713039059E-7,22000.0,44.4,29.763748493583996,30.5,29.7979797979798,2784.0,44952.0
23000.0,57.62804,6.701630783577759E-7,23000.0,56.00000000000001,47.60282944720986,47.867298578199055,43.29896907216496,3784.0,44952.0
24000.0,57.921382,6.735743860776225E-7,24000.0,53.7,43.18481623417182,44.014510278113676,38.101604278074866,4784.0,44952.0
25000.0,58.192778,6.767304812495906E-7,25000.0,60.9,51.755376314234134,52.02453987730061,50.63131313131313,5784.0,44952.0
26000.0,58.460225,6.798406530482072E-7,26000.0,63.4,56.04163313740232,56.6350710900474,51.26498002663116,6784.0,44952.0
27000.0,58.743157,6.831309016856052E-7,27000.0,64.7,57.31405008646021,57.57211538461539,55.42929292929294,7784.0,44952.0
28000.0,59.034832,6.865228236714997E-7,28000.0,67.30000000000001,59.71269111831163,59.02255639097744,57.25490196078432,8784.0,44952.0
29000.0,59.320125,6.898405286483464E-7,29000.0,70.39999999999999,63.62456619837391,64.25120772946859,62.14833759590792,9784.0,44952.0
30000.0,59.620112,6.933291118343669E-7,30000.0,68.8,62.406785093326356,62.089914945321986,61.33828996282528,10784.0,44952.0
31000.0,59.936175,6.970046446658669E-7,31000.0,65.9,58.856326533567085,59.692671394799056,56.33802816901409,11784.0,44952.0
32000.0,60.257213,7.00738032342245E-7,32000.0,68.0,60.91235450540082,60.34696406443619,58.974358974358985,12784.0,44952.0
33000.0,60.558318,7.042396168783305E-7,33000.0,65.2,56.963449849433914,56.983930778739186,55.49872122762148,13784.0,44952.0
34000.0,60.863942,7.077937533830601E-7,34000.0,61.7,53.38778321789811,53.57575757575758,51.88442211055276,14784.0,44952.0
35000.0,61.154149,7.111686038287975E-7,35000.0,62.9,53.4714558041537,54.64547677261613,45.280235988200594,15784.0,44952.0
36000.0,61.444026,7.14539616666734E-7,36000.0,68.10000000000001,59.270702995327,58.78552971576229,55.446927374301694,16784.0,44952.0
37000.0,61.722663,7.177799182571468E-7,37000.0,70.3,62.7500263383652,62.73525721455457,59.59183673469387,17784.0,44952.0
38000.0,62.007301,7.210900061639644E-7,38000.0,69.69999999999999,62.344110208722995,60.75129533678756,56.34005763688761,18784.0,44952.0
39000.0,62.305464,7.245573778450487E-7,39000.0,69.19999999999999,59.865628037768005,60.71428571428571,56.802244039270676,19784.0,44952.0
40000.0,62.596978,7.279474275435008E-7,40000.0,66.8,57.7435568470075,59.01234567901235,53.8888888888889,20784.0,44952.0
41000.0,62.881554,7.312567944452165E-7,41000.0,68.4,59.01634028888293,58.80052151238593,58.63874345549739,21784.0,44952.0
42000.0,63.152598,7.344087961688636E-7,42000.0,69.8,60.6916192449667,61.182519280205646,56.358381502890175,22784.0,44952.0
43000.0,63.415756,7.374690906951823E-7,43000.0,71.3,62.0820270129225,62.23684210526316,56.906906906906904,23784.0,44952.0
44000.0,63.678347,7.405227915135521E-7,44000.0,71.2,61.34233376867949,62.155059132720105,56.164383561643824,24784.0,44952.0
45000.0,63.941594,7.435841210310656E-7,45000.0,71.39999999999999,61.19008040166909,61.764705882352935,51.19453924914675,25784.0,44952.0
46000.0,64.207927,7.466813379960754E-7,46000.0,67.10000000000001,55.99203843807853,55.359565807327,48.432601880877755,26784.0,44952.0
47000.0,64.496435,7.500364305761951E-7,47000.0,66.7,55.73439039077361,56.29921259842521,51.948051948051955,27784.0,44952.0
48000.0,64.778977,7.533221438589194E-7,48000.0,63.2,51.89020508107416,50.53763440860215,43.730886850152906,28784.0,44952.0
49000.0,65.073646,7.567488834137716E-7,49000.0,67.80000000000001,60.74496785841856,61.158021712907114,58.82352941176472,29784.0,44952.0
50000.0,65.390944,7.604387782017388E-7,50000.0,63.0,52.32935519655122,53.86533665835411,43.51145038167939,30784.0,44952.0
51000.0,65.704414,7.640841567392149E-7,51000.0,64.0,52.024755226303235,51.02040816326531,46.90265486725664,31784.0,44952.0
52000.0,65.988445,7.673871857735016E-7,52000.0,58.099999999999994,46.62739937863593,46.759847522236335,41.23422159887797,32784.0,44952.0
53000.0,66.338653,7.714597947212555E-7,53000.0,64.2,53.520678753886806,53.07994757536042,43.44391785150079,33784.0,44952.0
54000.0,66.620763,7.747404842264949E-7,54000.0,69.69999999999999,59.66238883859629,59.86754966887416,54.021244309559926,34784.0,44952.0
55000.0,66.899519,7.77982169681539E-7,55000.0,67.60000000000001,58.814466799884066,59.95055624227442,56.451612903225815,35784.0,44952.0
56000.0,67.184385,7.812949090264737E-7,56000.0,71.6,61.8680877517344,64.41102756892231,55.96899224806201,36784.0,44952.0
57000.0,67.47652,7.846921804050604E-7,57000.0,66.5,55.776628410149996,57.21583652618136,48.6196319018405,37784.0,44952.0
58000.0,67.769569,7.881000807943442E-7,58000.0,63.800000000000004,55.29672110093556,57.00712589073634,51.604278074866315,38784.0,44952.0
59000.0,68.073813,7.91638169120997E-7,59000.0,65.0,55.709657825470735,55.070603337612326,49.42196531791908,39784.0,44952.0
60000.0,68.393937,7.953609277866779E-7,60000.0,62.2,51.683287786097566,50.26315789473684,45.533141210374644,40784.0,44952.0
61000.0,68.688886,7.987909234936037E-7,61000.0,63.3,53.08111342225337,53.12899106002554,49.58791208791209,41784.0,44952.0
62000.0,68.964485,8.019958958340185E-7,62000.0,66.7,56.35574393797012,56.12648221343874,50.29850746268657,42784.0,44952.0
63000.0,69.244039,8.052468613224722E-7,63000.0,66.4,57.29982386177343,59.56678700361011,54.34782608695653,43784.0,44952.0
64000.0,69.530521,8.08578393316517E-7,64000.0,68.60000000000001,60.01960821762575,59.114583333333336,55.52407932011333,44784.0,44952.0
65000.0,69.811806,8.11849488802254E-7,65000.0,70.39999999999999,61.17574533387546,62.24489795918367,57.22543352601156,45784.0,44952.0
66000.0,70.112299,8.153439563202359E-7,66000.0,65.10000000000001,55.93100487410663,57.07257072570726,50.70621468926555,46784.0,44952.0
67000.0,70.403609,8.187316336793202E-7,67000.0,62.0,53.2020280763201,53.201970443349744,45.86894586894587,47784.0,44952.0
68000.0,70.694623,8.221158688204982E-7,68000.0,68.0,60.32119988691542,59.69773299748111,58.65633074935401,48784.0,44952.0
69000.0,71.009741,8.257804121387499E-7,69000.0,59.8,49.15633667611448,49.17825537294564,42.97872340425531,49784.0,44952.0
70000.0,71.317442,8.293587023143965E-7,70000.0,60.3,51.91719583992908,51.40758873929009,45.61643835616438,50784.0,44952.0
71000.0,71.726208,8.341122889518736E-7,71000.0,61.3,48.793335459225865,49.07894736842105,37.27714748784441,51784.0,44952.0
72000.0,72.041841,8.377828212641178E-7,72000.0,65.60000000000001,57.49796447373461,58.70348139255702,55.091383812010456,52784.0,44952.0
73000.0,72.441342,8.424286641553042E-7,73000.0,61.4,53.56714960038879,53.098420413122724,48.39572192513369,53784.0,44952.0
74000.0,73.053464,8.495471010108787E-7,74000.0,63.5,55.86238253649818,55.21472392638037,56.129807692307686,54784.0,44952.0
75000.0,73.647591,8.564562719501554E-7,75000.0,64.9,57.49179809694051,58.164481525625746,53.937007874015755,55784.0,44952.0
76000.0,74.021897,8.608091193002958E-7,76000.0,68.7,61.10337182815396,61.6891064871481,59.138381201044396,56784.0,44952.0
77000.0,74.329711,8.643887235658863E-7,77000.0,65.9,58.1970036691017,57.21455457967378,55.190538764783184,57784.0,44952.0
78000.0,74.64782,8.680880495657522E-7,78000.0,64.8,57.18266822528242,57.6923076923077,55.04469987228609,58784.0,44952.0
79000.0,75.044928,8.727060639858245E-7,79000.0,56.599999999999994,46.01459596154348,45.88528678304238,39.97233748271092,59784.0,44952.0
80000.0,75.600696,8.791691537201403E-7,80000.0,66.9,58.62856828598534,58.10126582278482,53.89972144846797,60784.0,44952.0
81000.0,75.891087,8.825461439229546E-7,81000.0,71.6,64.60869554381107,64.8079306071871,62.532981530343,61784.0,44952.0
82000.0,76.177344,8.85875059366226E-7,82000.0,71.8,65.20125275490082,66.30824372759857,63.18537859007832,62784.0,44952.0
83000.0,76.468985,8.892665859622258E-7,83000.0,64.8,57.60793117069552,56.54320987654321,55.83437892095359,63784.0,44952.0
84000.0,76.790104,8.930009155968823E-7,84000.0,64.9,58.378393761739424,57.608695652173914,57.35115431348725,64784.0,44952.0
85000.0,77.111719,8.967410132723548E-7,85000.0,63.4,55.28225328571585,53.13700384122919,49.794238683127574,65784.0,44952.0
86000.0,77.416671,9.002873350121079E-7,86000.0,55.900000000000006,46.57537233694586,45.689655172413794,40.96385542168675,66784.0,44952.0
87000.0,77.928464,9.062390344341594E-7,87000.0,60.699999999999996,51.805692324106104,51.54130702836005,46.820027063599454,67784.0,44952.0
88000.0,78.2723,9.10237542664011E-7,88000.0,70.6,65.53563369302097,63.43283582089552,65.65420560747664,68784.0,44952.0
89000.0,78.553886,9.13512138513227E-7,89000.0,80.7,77.00500290118228,76.99642431466032,76.63438256658594,69784.0,44952.0
90000.0,78.840228,9.168420424312351E-7,90000.0,76.4,71.0528187930988,71.32442284325637,68.06495263870094,70784.0,44952.0
91000.0,79.148248,9.204240422944225E-7,91000.0,71.89999999999999,65.15160910274695,66.06280193236714,60.53370786516854,71784.0,44952.0
92000.0,79.506973,9.245956964107848E-7,92000.0,52.0,41.41468880215008,41.248470012239906,32.3943661971831,72784.0,44952.0
93000.0,79.906131,9.292375505156812E-7,93000.0,27.1,15.10709432195722,9.553349875930522,5.078125000000001,540.0,44952.0
94000.0,80.146019,9.320272355464594E-7,94000.0,11.5,5.486886706009752,-16.44736842105263,-25.71022727272727,189.0,44952.0
95000.0,80.433022,9.353648263091839E-7,95000.0,17.7,10.86378730345086,-3.1328320802005036,-4.840764331210192,389.0,44952.0
96000.0,80.722038,9.387258264794942E-7,96000.0,18.5,10.214900360572553,-1.6209476309226947,-12.10453920220083,83.0,44952.0
97000.0,80.919165,9.410182389430698E-7,97000.0,31.900000000000002,22.02742436316672,14.015151515151517,5.153203342618389,1083.0,44952.0
98000.0,81.127295,9.434386065540211E-7,98000.0,38.3,24.46630609631586,19.24083769633508,13.70629370629371,61.0,44952.0
99000.0,81.408772,9.467119348297513E-7,99000.0,22.5,12.630279526737953,-4.72972972972973,-20.904836193447736,1061.0,44952.0
100000.0,81.615023,9.491104513344662E-7,100000.0,21.7,11.688874151570312,-1.5564202334630364,-16.17210682492582,185.0,44952.0
101000.0,81.894014,9.523548696314291E-7,101000.0,12.1,3.775419053123851,-8.787128712871288,-23.10924369747899,424.0,44952.0
102000.0,82.109513,9.548609321874873E-7,102000.0,22.900000000000002,13.59379220147552,-1.1811023622047219,-12.39067055393586,179.0,44952.0
103000.0,82.392641,9.581534601313368E-7,103000.0,8.799999999999999,3.674114319392132,-27.196652719665266,-56.70103092783504,1179.0,44952.0
104000.0,82.705505,9.617917914253967E-7,104000.0,7.1,2.6416699940369326,-24.865591397849464,-46.29921259842519,2179.0,44952.0
105000.0,82.93115,9.644158429776625E-7,105000.0,41.6,27.488996082667512,22.44355909694555,9.034267912772584,3179.0,44952.0
106000.0,83.166361,9.67151138639698E-7,106000.0,57.8,45.31702519433836,45.33678756476684,37.20238095238095,4179.0,44952.0
107000.0,83.405413,9.699311017307138E-7,107000.0,56.99999999999999,45.75214026730316,44.010416666666664,35.143288084464544,5179.0,44952.0
108000.0,83.657556,9.728633015602822E-7,108000.0,64.9,54.2310224998207,54.47470817120623,45.496894409937894,6179.0,44952.0
