learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.446811,1.0324527850995461E-8,1000.0,72.39999999999999,65.51366521016048,64.47876447876448,62.903225806451616,1000.0,89320.0,10.0,4876.400000000001,2012.2731866667054,3641.6,1512.137795014433,22.8,9.68159766429763,11.9,4.840798832148815,11.9,4.840798832148815,5.000000000000001,1.4142135623730951,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.827204,1.9078898295346236E-8,2000.0,73.9,65.18152299486928,64.53804347826086,62.76747503566333,2000.0,88960.0,10.0,12895.4,2516.7404933983776,8948.0,4726.803759177841,57.8,31.215380824202676,29.4,15.607690412101338,29.4,15.607690412101338,7.2,1.5491933384829668,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,1.187525,2.7867236816220817E-8,3000.0,76.2,66.72371173226848,67.53069577080491,62.870514820592824,3000.0,94280.0,10.0,18468.5,8616.177642473876,12796.0,9473.529343503518,83.0,62.7304639797213,42.0,31.36523198986065,42.0,31.36523198986065,8.2,2.2997584414213783,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,1.561666,3.577308847258489E-8,4000.0,67.60000000000001,59.044213288635916,59.85130111524164,55.91836734693878,4000.0,81680.0,10.0,17067.7,16395.553767544556,11756.8,15330.65261204203,75.8,100.58142086002871,38.4,50.29071043001436,38.4,50.29071043001436,6.0,4.898979485566356,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,1.936249,4.470074217766524E-8,5000.0,69.69999999999999,61.076598171756245,61.30268199233716,55.70175438596491,5000.0,92128.0,10.0,27024.699999999997,17785.891318995265,17828.0,18016.6533333284,114.60000000000002,117.50669011687046,57.80000000000001,58.75334505843523,57.80000000000001,58.75334505843523,9.2,2.573367875415838,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,2.325334,5.329842356964947E-8,6000.0,66.7,56.07984236224502,56.356487549148106,53.62116991643455,6000.0,85416.0,10.0,25144.2,21197.416571103397,14795.2,18943.20125943753,94.4,122.39843862475443,47.7,61.19921931237722,47.7,61.19921931237722,8.2,4.049691346263317,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,2.740952,6.255380317361819E-8,7000.0,66.60000000000001,58.46272278095803,60.23809523809525,55.878467635402906,7000.0,86080.0,10.0,20183.7,12250.099337919219,11246.400000000001,9484.294423472476,72.19999999999999,62.06949510204044,36.599999999999994,31.03474755102022,36.599999999999994,31.03474755102022,6.9,3.8427420765212266,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,3.152883,7.201438134329187E-8,8000.0,71.1,64.26981850551407,65.01210653753026,62.17277486910995,8000.0,88776.0,10.0,32143.7,12210.465875633083,18034.4,12958.829604216236,115.6,84.59077963939097,58.3,42.29538981969549,58.3,42.29538981969549,8.8,4.1041983924323695,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,3.560792,8.181060346878237E-8,9000.0,69.0,61.16139944247815,62.28710462287105,58.4450402144772,9000.0,92832.0,10.0,40659.3,17646.552436665923,23529.6,16725.807731367317,150.6,108.99051946537979,75.8,54.495259732689895,75.8,54.495259732689895,9.7,3.4009802508492557,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,3.947961,9.142845346074965E-8,10000.0,68.89999999999999,60.46837978828338,60.53299492385786,56.32022471910112,10000.0,96024.0,10.0,52115.6,18179.393359882317,30625.6,18004.300839274798,195.6,117.14018192841525,98.3,58.57009096420762,98.3,58.57009096420762,11.399999999999999,3.306559138036598,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,4.340696,1.0120164005499747E-7,11000.0,71.89999999999999,59.54756615988356,60.75418994413408,51.883561643835606,11000.0,96192.0,10.0,63473.0,18923.24780087534,37924.8,19599.58319738231,242.00000000000003,127.61835465341358,121.50000000000001,63.80917732670679,121.50000000000001,63.80917732670679,12.4,3.5023801430836525,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,4.739377,1.1117642480880021E-7,12000.0,74.3,65.52158992425483,66.96658097686375,62.1502209131075,12000.0,96712.0,10.0,68963.8,28871.04119971352,40942.399999999994,25153.10311406262,262.4,163.39196226661008,131.7,81.69598113330504,131.7,81.69598113330504,12.3,4.473378042498879,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,5.146758,1.2112268842549787E-7,13000.0,66.60000000000001,55.856074944225355,56.903225806451616,51.31195335276969,13000.0,94376.0,10.0,55293.70000000001,42513.972513751294,31659.200000000004,30625.87088212985,202.6,198.39310023844635,101.8,99.19655011922318,101.8,99.19655011922318,10.7,5.755190893638735,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,5.533789,1.3084124049792686E-7,14000.0,68.2,59.22203856466706,59.07335907335908,54.571428571428584,14000.0,97064.0,10.0,66656.1,42606.345410174654,38950.4,33382.06928943208,250.4,216.19754341291156,125.7,108.09877170645578,125.7,108.09877170645578,12.5,4.813176359397884,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,5.911827,1.4046541506217585E-7,15000.0,70.8,61.843981084022936,62.65984654731458,56.99558173784977,15000.0,98408.0,10.0,78127.5,42836.83617907995,45446.40000000001,35526.53429386736,292.4,230.06095810555178,146.7,115.03047905277589,146.7,115.03047905277589,13.4,4.477102237434884,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,6.292661,1.4954599335375758E-7,16000.0,68.89999999999999,61.5491132805159,62.84348864994026,58.42245989304812,16000.0,92168.0,10.0,82901.29999999999,50767.414831541086,51916.799999999996,39700.86641315975,336.0,258.0598552446484,168.5,129.0299276223242,168.5,129.0299276223242,13.7,5.229191567005787,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,6.652702,1.5809799857230648E-7,17000.0,75.0,69.76111279104929,69.77025392986698,68.19338422391857,17000.0,91816.0,10.0,89545.2,57689.69471770692,55822.4,45209.23434481549,362.2,294.47535267545453,181.6,147.23767633772727,181.6,147.23767633772727,13.3,6.236986451805071,0.0,0.0,0.0,0.0,1.0,0.0
