learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
100.0,0.101951,1.9255711510777476E-9,100.0,76.0,67.25784447476126,64.17910447761194,60.65573770491803,100.0,73008.0,10.0,598.3,29.758472183004717,624.0,257.3022433723508,3.4,1.837873166945363,2.2000000000000006,0.9189365834726815,2.2000000000000006,0.9189365834726815,1.1,0.7378647873726218,0.0,0.0,0.0,0.0,1.0,0.0
200.0,0.154951,2.972663330535094E-9,200.0,78.0,67.9871948779512,67.16417910447761,61.739130434782616,200.0,76368.0,10.0,1204.3,49.139370954233605,780.0,439.8181442369107,4.6,3.238655413730965,2.8000000000000003,1.6193277068654823,2.8000000000000003,1.6193277068654823,1.6,1.2649110640673518,0.0,0.0,0.0,0.0,1.0,0.0
300.0,0.191298,3.690901692542765E-9,300.0,79.0,70.5451485210236,61.11111111111111,66.3101604278075,300.0,76384.0,10.0,1803.6999999999998,59.065030075144975,1230.3999999999999,687.2222994700397,7.6000000000000005,4.903513479582211,4.3,2.4517567397911058,4.3,2.4517567397911058,2.6,1.6465452046971292,0.0,0.0,0.0,0.0,1.0,0.0
400.0,0.222765,4.340321044954989E-9,400.0,79.75,74.6746394653535,61.42857142857143,70.86330935251797,400.0,79776.0,10.0,2399.8,72.99741243511455,1805.6,948.899151648899,10.999999999999998,6.599663291074443,5.999999999999999,3.2998316455372216,5.999999999999999,3.2998316455372216,3.5,1.7159383568311668,0.0,0.0,0.0,0.0,1.0,0.0
500.0,0.25314,4.967203583154414E-9,500.0,78.0,73.27476457497157,61.267605633802816,70.89947089947091,500.0,79776.0,10.0,3012.9,85.52511002298941,2103.2,956.7385338859422,12.8,6.629898608240969,6.9,3.3149493041204847,6.9,3.3149493041204847,3.9000000000000004,1.9119507199599979,0.0,0.0,0.0,0.0,1.0,0.0
600.0,0.293164,5.837622197965782E-9,600.0,76.0,70.59203942845083,60.0,67.85714285714286,600.0,84064.0,10.0,3614.9,81.85685337492787,2572.0,1202.4759641857481,15.8,8.390470785361213,8.4,4.1952353926806065,8.4,4.1952353926806065,4.7,2.0027758514399734,0.0,0.0,0.0,0.0,1.0,0.0
700.0,0.327118,6.59936409443617E-9,700.0,77.42857142857143,72.10789654198442,62.82352941176469,68.58846918489064,700.0,86720.0,10.0,3923.5,969.0583344440909,2694.4,1383.3437108044486,16.6,9.323804659758446,8.8,4.661902329879223,8.8,4.661902329879223,5.0,2.160246899469287,0.0,0.0,0.0,0.0,1.0,0.0
800.0,0.36621,7.569010841349763E-9,800.0,76.75,71.52294814037961,62.499999999999986,68.68686868686869,800.0,95880.0,10.0,4582.6,793.6260244388831,3228.8,1342.2062103533538,19.799999999999997,9.150591966279196,10.399999999999999,4.575295983139598,10.399999999999999,4.575295983139598,5.9,1.9692073983655907,0.0,0.0,0.0,0.0,1.0,0.0
900.0,0.402199,8.363372466216486E-9,900.0,76.22222222222223,71.00043966103941,63.356164383561655,67.57575757575758,900.0,85320.0,10.0,4436.2,1667.2651458801226,3412.7999999999997,1990.420435765045,20.8,13.214470183182609,10.9,6.6072350915913045,10.9,6.6072350915913045,6.0,3.0550504633038935,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,0.434403,9.029468395229844E-9,1000.0,76.6,71.72864818235747,65.12667660208643,68.46361185983828,1000.0,79952.0,10.0,4879.2,1595.9726953943932,3496.0,1925.307479050785,21.4,12.747112962898262,11.2,6.373556481449131,11.2,6.373556481449131,5.8999999999999995,2.601281735350223,0.0,0.0,0.0,0.0,1.0,0.0
