learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
100.0,0.090015,1.4911096543073653E-9,100.0,65.0,13.877952755905538,32.6923076923077,7.89473684210527,100.0,64032.0,10.0,598.3,29.758472183004717,534.4,315.8576331900884,3.2,2.573367875415838,2.1,1.286683937707919,2.1,1.286683937707919,1.0,1.1547005383792515,0.0,0.0,0.0,0.0,1.0,0.0
200.0,0.144993,2.4501847351590793E-9,200.0,71.5,16.201117318435763,32.14285714285714,3.3898305084745792,200.0,67432.0,10.0,1204.3,49.139370954233605,981.6,216.97065853858368,6.8,1.7511900715418263,3.9,0.8755950357709131,3.9,0.8755950357709131,2.4000000000000004,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
300.0,0.175844,2.9883713792595597E-9,300.0,69.66666666666667,19.18294849023092,21.551724137931043,4.210526315789466,300.0,67432.0,10.0,1803.6999999999998,59.065030075144975,1228.8000000000002,316.1366793018488,8.8,2.573367875415838,4.9,1.286683937707919,4.9,1.286683937707919,3.0,0.816496580927726,0.0,0.0,0.0,0.0,1.0,0.0
400.0,0.202291,3.472720177637206E-9,400.0,70.5,25.110271951258223,18.620689655172413,9.923664122137396,400.0,70792.0,10.0,2399.8,72.99741243511455,1527.2,340.6336578920071,11.2,2.7406406388125952,6.1,1.3703203194062976,6.1,1.3703203194062976,3.6999999999999997,0.8232726023485646,0.0,0.0,0.0,0.0,1.0,0.0
500.0,0.23303,4.035672410908672E-9,500.0,71.6,27.816185441236247,22.826086956521728,11.249999999999977,500.0,70792.0,10.0,3012.9,85.52511002298941,1991.2000000000003,601.3135251726469,15.0,4.898979485566357,7.999999999999999,2.4494897427831783,7.999999999999999,2.4494897427831783,4.3,1.2516655570345725,0.0,0.0,0.0,0.0,1.0,0.0
600.0,0.267661,4.669902502662605E-9,600.0,71.33333333333334,28.250622245088095,22.522522522522532,10.880829015544052,600.0,70792.0,10.0,3614.7000000000003,79.43557837084782,2653.6,917.8684485746794,20.400000000000002,7.486283753935891,10.700000000000001,3.7431418769679454,10.700000000000001,3.7431418769679454,5.2,1.0327955589886444,0.0,0.0,0.0,0.0,1.0,0.0
700.0,0.296478,5.222704069068034E-9,700.0,71.28571428571429,27.161848753416695,24.436090225563913,11.061946902654862,700.0,74152.0,10.0,4226.2,78.45706539956173,2883.2000000000003,1160.4823518213832,22.200000000000003,9.390302326218137,11.600000000000001,4.6951511631090685,11.600000000000001,4.6951511631090685,5.3,1.159501808728406,0.0,0.0,0.0,0.0,1.0,0.0
800.0,0.326649,5.801479655007521E-9,800.0,72.75,27.99042074404395,25.342465753424666,11.020408163265325,800.0,74152.0,10.0,4825.799999999999,87.87592262831609,3376.0,1313.6250099121387,26.2,10.633281086601006,13.6,5.316640543300503,13.6,5.316640543300503,5.6,1.1737877907772671,0.0,0.0,0.0,0.0,1.0,0.0
900.0,0.352906,6.305172292308674E-9,900.0,72.66666666666667,29.198219402374143,27.002967359050455,13.38028169014086,900.0,74152.0,10.0,5420.1,79.25689594953582,3796.8,1432.4354396931435,29.6,11.587349423689037,15.3,5.793674711844519,15.3,5.793674711844519,5.700000000000001,1.1595018087284057,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,0.380724,6.838809866458177E-9,1000.0,73.3,29.941854363021893,27.642276422764223,13.029315960912061,1000.0,74152.0,10.0,6025.099999999999,82.54486995298713,4119.2,1383.5577970499742,32.199999999999996,11.20317415338667,16.599999999999998,5.601587076693335,16.599999999999998,5.601587076693335,6.1,0.7378647873726218,0.0,0.0,0.0,0.0,1.0,0.0
1100.0,0.404563,7.296117585566308E-9,1100.0,74.5,31.883020440436376,27.556818181818176,14.429530201342292,1100.0,74152.0,10.0,6623.400000000001,71.57311723762699,4539.200000000001,1495.9225173042146,35.6,12.112436217008993,18.3,6.056218108504496,18.3,6.056218108504496,6.6000000000000005,0.6992058987801009,0.0,0.0,0.0,0.0,1.0,0.0
1200.0,0.431233,7.807732874320612E-9,1200.0,73.7,31.299305156470407,25.70621468926553,15.434083601286186,1200.0,74152.0,10.0,7211.4,53.547901712184576,5059.200000000001,1446.3229084666937,39.8,11.707547423208101,20.4,5.853773711604051,20.4,5.853773711604051,6.8,0.632455532033676,0.0,0.0,0.0,0.0,1.0,0.0
1300.0,0.456474,8.313875750948985E-9,1300.0,75.9,34.73574747879592,31.92090395480226,18.85521885521887,1300.0,77512.0,10.0,7812.7,57.61182363215228,5456.0,1527.8021977846333,43.0,12.364824660660938,22.0,6.182412330330469,22.0,6.182412330330469,6.9,0.7378647873726218,0.0,0.0,0.0,0.0,1.0,0.0
1400.0,0.479647,8.778550244039959E-9,1400.0,76.0,34.06412264073192,33.88429752066116,19.191919191919208,1400.0,77512.0,10.0,8405.9,57.13424736725096,5775.199999999999,1674.9742817262731,45.599999999999994,13.599019572503503,23.299999999999997,6.799509786251751,23.299999999999997,6.799509786251751,7.400000000000001,0.9660917830792958,0.0,0.0,0.0,0.0,1.0,0.0
1500.0,0.503783,9.262535207801394E-9,1500.0,76.4,34.23106077495876,33.33333333333333,20.270270270270284,1500.0,77512.0,10.0,9000.900000000001,50.24926754579491,5972.0,1660.454556238542,47.2,13.48085061608997,24.1,6.740425308044985,24.1,6.740425308044985,7.699999999999999,0.9486832980505138,0.0,0.0,0.0,0.0,1.0,0.0
1600.0,0.526669,9.721454659269915E-9,1600.0,77.4,34.67641703037837,35.977337110481585,21.799307958477527,1600.0,77512.0,10.0,9599.4,51.86349604704872,6421.599999999999,1644.8559004767965,50.800000000000004,13.31498737847276,25.900000000000002,6.65749368923638,25.900000000000002,6.65749368923638,8.0,1.1547005383792515,0.0,0.0,0.0,0.0,1.0,0.0
1700.0,0.55271,1.0243639463765753E-8,1700.0,77.0,34.715473000590414,35.754189944134076,22.297297297297312,1700.0,77512.0,10.0,10196.8,54.85090903733717,7014.400000000001,1799.1120772944266,55.599999999999994,14.546477236774544,28.299999999999997,7.273238618387272,28.299999999999997,7.273238618387272,8.1,1.286683937707919,0.0,0.0,0.0,0.0,1.0,0.0
1800.0,0.574999,1.0690587626563179E-8,1800.0,76.6,35.99562363238513,36.41304347826087,24.025974025974044,1800.0,77512.0,10.0,10802.0,60.78194176270159,7385.6,1879.8271315321642,58.6,15.196490822993752,29.8,7.598245411496876,29.8,7.598245411496876,8.1,1.286683937707919,0.0,0.0,0.0,0.0,1.0,0.0
1900.0,0.598305,1.115792909016212E-8,1900.0,77.2,35.074180596292415,37.36263736263737,22.71186440677968,1900.0,77512.0,10.0,11402.1,73.34462034350814,7908.8,1803.8229033546133,62.800000000000004,14.55869347007332,31.900000000000002,7.27934673503666,31.900000000000002,7.27934673503666,8.1,1.286683937707919,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.62265,1.164610500757893E-8,2000.0,76.2,34.880157600963145,37.53280839895014,23.22580645161292,2000.0,77512.0,10.0,11990.0,79.28569998569851,8475.2,1944.1488740434577,67.4,15.742370286021806,34.2,7.871185143010903,34.2,7.871185143010903,8.5,1.0801234497346435,0.0,0.0,0.0,0.0,1.0,0.0
2100.0,0.646126,1.2116855380849707E-8,2100.0,75.9,34.75129685181776,38.20512820512821,22.006472491909403,2100.0,77512.0,10.0,12596.5,101.24475295046149,8871.2,1826.6041838462008,70.6,14.781369655376626,35.8,7.390684827688313,35.8,7.390684827688313,8.5,1.0801234497346435,0.0,0.0,0.0,0.0,1.0,0.0
2200.0,0.671444,1.2624542293035323E-8,2200.0,76.5,36.30745880312231,40.95477386934674,22.950819672131164,2200.0,77512.0,10.0,13188.900000000001,105.80742465021606,9288.8,1779.3659794682171,74.0,14.368174708168205,37.5,7.184087354084102,37.5,7.184087354084102,8.799999999999999,1.0327955589886446,0.0,0.0,0.0,0.0,1.0,0.0
2300.0,0.694413,1.3085126094520094E-8,2300.0,74.9,35.09515928837403,38.78048780487806,22.291021671826613,2300.0,77512.0,10.0,13788.5,114.84990204610553,9709.6,1781.6049693090406,77.4,14.385177556545258,39.2,7.192588778272629,39.2,7.192588778272629,9.1,1.1972189997378648,0.0,0.0,0.0,0.0,1.0,0.0
2400.0,0.718688,1.3571898343248501E-8,2400.0,75.8,36.26211546565531,41.966426858513195,22.435897435897452,2400.0,77512.0,10.0,14384.4,126.4904036764144,10204.0,1551.0340636706424,81.4,12.500666648889835,41.2,6.2503333244449175,41.2,6.2503333244449175,9.200000000000001,1.2292725943057183,0.0,0.0,0.0,0.0,1.0,0.0
2500.0,0.740753,1.4014354766243035E-8,2500.0,74.3,33.431416227193125,39.529411764705884,19.182389937106905,2500.0,77512.0,10.0,14970.4,129.0436618616606,10596.8,1558.8722989534597,84.60000000000001,12.606876430477667,42.800000000000004,6.303438215238834,42.800000000000004,6.303438215238834,9.299999999999999,1.1595018087284057,0.0,0.0,0.0,0.0,1.0,0.0
2600.0,0.762294,1.4465027904758853E-8,2600.0,74.4,36.421209487147635,41.5525114155251,23.5820895522388,2600.0,80872.0,10.0,15581.599999999999,127.94113229658885,10996.8,1758.8772176211353,87.80000000000001,14.242346872775022,44.400000000000006,7.121173436387511,44.400000000000006,7.121173436387511,9.399999999999999,1.3498971154211061,0.0,0.0,0.0,0.0,1.0,0.0
2700.0,0.782585,1.4889548987978036E-8,2700.0,75.9,38.81074493474837,42.890995260663516,23.974763406940053,2700.0,80872.0,10.0,16182.099999999999,129.01459865715464,11412.0,1801.8982583190796,91.2,14.61962151812876,46.1,7.30981075906438,46.1,7.30981075906438,9.399999999999999,1.3498971154211061,0.0,0.0,0.0,0.0,1.0,0.0
2800.0,0.804484,1.534771207513081E-8,2800.0,74.9,36.95368230684216,40.801886792452834,21.562499999999986,2800.0,80872.0,10.0,16766.2,123.85098573151005,11828.800000000001,1720.8791551607185,94.6,13.945927322659072,47.8,6.972963661329536,47.8,6.972963661329536,9.500000000000002,1.2692955176439848,0.0,0.0,0.0,0.0,1.0,0.0
2900.0,0.826178,1.5801586225214935E-8,2900.0,75.0,38.12891953294758,40.334128878281625,22.600619195046427,2900.0,80872.0,10.0,17371.5,130.9480388890525,12247.199999999999,1667.5792701464661,98.0,13.507199726236541,49.5,6.7535998631182705,49.5,6.7535998631182705,9.9,1.1005049346146119,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.845207,1.6199704193406637E-8,3000.0,76.6,40.14488008512728,42.64705882352942,24.025974025974044,3000.0,80872.0,10.0,17966.600000000002,126.55890152634665,12597.6,1578.5948181848314,100.8,12.769755936064973,50.9,6.3848779680324865,50.9,6.3848779680324865,9.9,1.1005049346146119,0.0,0.0,0.0,0.0,1.0,0.0
3100.0,0.86507,1.6615270812892252E-8,3100.0,76.4,41.19992027107833,42.995169082125614,26.24999999999999,3100.0,80872.0,10.0,18561.0,132.0353488022556,13068.799999999997,1354.9249097684756,104.60000000000001,10.946333734279357,52.800000000000004,5.473166867139678,52.800000000000004,5.473166867139678,9.9,1.1005049346146119,0.0,0.0,0.0,0.0,1.0,0.0
3200.0,0.88777,1.7090192137079108E-8,3200.0,76.4,41.950559586766694,42.57907542579076,27.38461538461538,3200.0,80872.0,10.0,19158.1,145.7268754287357,13486.4,1357.1672458961473,108.00000000000001,10.964589468932349,54.50000000000001,5.4822947344661745,54.50000000000001,5.4822947344661745,9.9,1.1005049346146119,0.0,0.0,0.0,0.0,1.0,0.0
3300.0,0.90962,1.754733006366425E-8,3300.0,76.7,40.833511086733495,42.03980099502488,24.59546925566345,3300.0,80872.0,10.0,19744.0,157.13264036051402,13979.2,1279.0285202275813,112.0,10.338708279513881,56.5,5.1693541397569405,56.5,5.1693541397569405,10.000000000000002,1.3333333333333335,0.0,0.0,0.0,0.0,1.0,0.0
3400.0,0.931429,1.8003610202835666E-8,3400.0,75.5,38.93015603968292,37.65903307888041,22.712933753943208,3400.0,80872.0,10.0,20345.7,152.3512389184936,14400.800000000001,1240.3380184449722,115.4,10.057611821677924,58.2,5.028805910838962,58.2,5.028805910838962,10.200000000000001,1.398411797560202,0.0,0.0,0.0,0.0,1.0,0.0
3500.0,0.952831,1.8451375232802497E-8,3500.0,76.9,41.25425970194803,41.22137404580153,25.483870967741957,3500.0,80872.0,10.0,20945.0,141.41585641095725,14798.399999999998,1166.3050106116227,118.60000000000001,9.465727652959385,59.800000000000004,4.732863826479693,59.800000000000004,4.732863826479693,10.200000000000001,1.398411797560202,0.0,0.0,0.0,0.0,1.0,0.0
3600.0,0.974645,1.89077599801951E-8,3600.0,76.5,37.71204410517387,38.320209973753286,19.520547945205493,3600.0,80872.0,10.0,21541.1,151.01173611492743,15412.000000000002,1369.5364990471128,123.6,11.157458890306918,62.3,5.578729445153459,62.3,5.578729445153459,10.299999999999999,1.494434118097326,0.0,0.0,0.0,0.0,1.0,0.0
3700.0,0.999095,1.941929418179724E-8,3700.0,75.6,37.947591145833336,38.22784810126583,21.79487179487181,3700.0,80872.0,10.0,22130.0,156.90478358262718,15934.4,1332.713455906991,127.80000000000001,10.840254199561521,64.4,5.420127099780759,64.4,5.420127099780759,10.299999999999999,1.494434118097326,0.0,0.0,0.0,0.0,1.0,0.0
3800.0,1.018784,1.9831220435185565E-8,3800.0,76.5,40.63497837597511,40.35532994923858,25.632911392405056,3800.0,80872.0,10.0,22737.500000000004,161.21569402511665,16258.400000000001,1473.144723975814,130.4,11.964763079792077,65.7,5.982381539896038,65.7,5.982381539896038,10.399999999999999,1.429840705968481,0.0,0.0,0.0,0.0,1.0,0.0
3900.0,1.042961,2.0337043027910923E-8,3900.0,76.8,42.017104954038544,41.41414141414142,27.725856697819307,3900.0,80872.0,10.0,23351.199999999997,161.99094624906255,16896.8,1512.4182842939535,135.6,12.258330500792786,68.3,6.129165250396393,68.3,6.129165250396393,10.399999999999999,1.429840705968481,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,1.063923,2.0775602534413338E-8,4000.0,75.9,40.35007821317545,39.447236180904525,26.524390243902435,4000.0,80872.0,10.0,23945.800000000003,140.90091080850644,17267.2,1586.9118017919793,138.6,12.885823390239539,69.8,6.442911695119769,69.8,6.442911695119769,10.399999999999999,1.429840705968481,0.0,0.0,0.0,0.0,1.0,0.0
4100.0,1.084356,2.120309449111422E-8,4100.0,77.0,41.486249268578106,40.10416666666667,26.984126984126977,4100.0,80872.0,10.0,24543.8,151.2171360072074,17712.800000000003,1603.043549696085,142.20000000000002,12.968337510173685,71.60000000000001,6.484168755086842,71.60000000000001,6.484168755086842,10.5,1.35400640077266,0.0,0.0,0.0,0.0,1.0,0.0
4200.0,1.106057,2.1657115092708008E-8,4200.0,76.9,40.95393896017585,40.00000000000001,26.66666666666666,4200.0,80872.0,10.0,25137.0,142.4624706916022,18213.599999999995,1726.4274737799499,146.20000000000002,13.990472948879653,73.60000000000001,6.995236474439826,73.60000000000001,6.995236474439826,10.6,1.2649110640673515,0.0,0.0,0.0,0.0,1.0,0.0
