learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,14.17914,1.1576692946255206E-6,1000.0,89.7,78.99416731247706,73.52185089974293,75.990675990676,20461.0,315600.0
2000.0,16.224047,1.325499483678076E-6,2000.0,87.5,74.64070957323358,77.27272727272727,75.7751937984496,23284.0,317248.0
3000.0,17.725865,1.4499755209022098E-6,3000.0,87.6,74.99112588337798,75.1503006012024,74.0041928721174,25292.0,320384.0
4000.0,19.33375,1.583801821321249E-6,4000.0,91.10000000000001,81.92129874139738,82.81853281853283,80.35320088300222,27363.0,321728.0
5000.0,21.197205,1.7444067850626177E-6,5000.0,86.6,73.13390941716622,74.13127413127413,74.47619047619047,29417.0,333152.0
6000.0,22.990497,1.900367546122935E-6,6000.0,92.9,85.39274986627167,86.45038167938932,83.01435406698566,31453.0,336176.0
7000.0,24.875251,2.064571314892835E-6,7000.0,90.2,79.46009389671363,79.54070981210857,74.87179487179489,33611.0,336768.0
8000.0,26.589163,2.214373374622729E-6,8000.0,89.2,76.70646697494651,78.26961770623743,70.96774193548387,35584.0,337856.0
9000.0,28.23281,2.3580340211838483E-6,9000.0,90.10000000000001,78.4118067791288,79.83706720977597,73.67021276595746,37688.0,337856.0
10000.0,29.812705,2.496328509013272E-6,10000.0,88.4,75.69560844787128,76.27811860940696,72.3809523809524,39657.0,338360.0
11000.0,31.327218,2.629558083957268E-6,11000.0,91.8,83.10065824997012,83.19672131147541,80.33573141486812,41599.0,340040.0
12000.0,32.801277,2.7592289775133957E-6,12000.0,89.2,78.35836148750197,79.15057915057916,77.82340862422998,43340.0,340040.0
13000.0,34.542501,2.9120740678430427E-6,13000.0,87.2,73.35642443215879,74.5019920318725,68.31683168316832,45201.0,339312.0
14000.0,36.446065,3.0795003337682116E-6,14000.0,90.9,77.15358814195909,77.363184079602,67.14801444043323,47268.0,339984.0
15000.0,38.033582,3.219266961442513E-6,15000.0,91.5,78.7877577911318,80.81264108352146,71.94719471947197,49219.0,340320.0
16000.0,39.780296,3.373277202138884E-6,16000.0,86.1,71.24605926207872,72.90448343079922,68.55203619909501,51018.0,340824.0
17000.0,41.740997,3.543667499673449E-6,17000.0,86.6,73.26256559650417,72.54098360655738,74.85928705440901,52962.0,335920.0
18000.0,43.575593,3.70190290617653E-6,18000.0,88.4,76.04483745596174,76.03305785123968,73.45537757437071,54742.0,333400.0
19000.0,45.265558,3.848471707202907E-6,19000.0,88.7,77.2164557676643,77.49003984063745,75.54112554112554,56542.0,335248.0
20000.0,46.935145,3.993490836127764E-6,20000.0,92.4,83.25231272339433,83.58531317494601,78.22349570200574,58396.0,335752.0
21000.0,48.536689,4.133087039892044E-6,21000.0,90.3,79.6173953973137,78.7746170678337,76.22549019607844,60241.0,336928.0
22000.0,50.15983,4.274777347580012E-6,22000.0,87.3,74.43680456031304,73.92197125256673,73.48643006263048,62104.0,337432.0
23000.0,51.786683,4.4152597305778824E-6,23000.0,90.7,81.41739331985262,81.25000000000001,80.8641975308642,63988.0,333792.0
24000.0,53.36557,4.5518746271336245E-6,24000.0,91.0,82.00122391677367,81.85483870967742,81.3664596273292,65805.0,334464.0
25000.0,54.902659,4.6850065158286854E-6,25000.0,90.8,81.40151698930993,81.56312625250501,79.18552036199095,67659.0,334800.0
26000.0,56.520144,4.825172041907079E-6,26000.0,91.2,81.2886983738178,81.55136268343817,76.34408602150539,69563.0,334968.0
27000.0,58.124746,4.964221172796356E-6,27000.0,90.0,77.75632498898939,77.97356828193833,69.96996996996997,71514.0,334968.0
28000.0,59.694877,5.100556131189482E-6,28000.0,90.60000000000001,78.48349867467508,77.8301886792453,71.77177177177178,73426.0,335640.0
29000.0,61.231109,5.2340811635408966E-6,29000.0,91.7,81.82487058431947,81.63716814159294,77.0718232044199,75305.0,335976.0
30000.0,62.840368,5.3739535005556214E-6,30000.0,88.6,76.43800508443049,75.74468085106383,73.04964539007092,77150.0,335976.0
31000.0,64.515964,5.519009071679579E-6,31000.0,90.0,79.95767060030785,80.6949806949807,79.50819672131148,79070.0,334632.0
32000.0,66.19493,5.664648265147375E-6,32000.0,89.2,78.39611130003401,78.57142857142857,78.04878048780488,80925.0,335304.0
33000.0,67.818864,5.806901849653159E-6,33000.0,91.9,83.69670230580961,84.02366863905326,82.65524625267666,82705.0,338608.0
34000.0,69.520892,5.953949734539622E-6,34000.0,90.10000000000001,80.1571394211497,80.6640625,80.6640625,84522.0,333960.0
35000.0,71.41584,6.117829791501993E-6,35000.0,91.7,83.34978294536323,83.4,82.63598326359833,86288.0,334296.0
36000.0,73.079066,6.261959070770278E-6,36000.0,90.3,80.53678347271939,79.09482758620689,80.16359918200409,88094.0,334968.0
37000.0,74.568168,6.390999380395645E-6,37000.0,89.60000000000001,78.47468291552141,79.44664031620555,73.46938775510205,89749.0,334968.0
38000.0,75.940991,6.5100826938719395E-6,38000.0,91.8,83.59527543932653,82.36559139784947,83.4008097165992,91308.0,335304.0
39000.0,77.182993,6.618034069204911E-6,39000.0,92.5,84.98738940710197,84.37500000000001,84.59958932238195,92704.0,335976.0
40000.0,78.76788,6.7570049732902816E-6,40000.0,88.9,77.66563646899749,76.63157894736841,75.49668874172185,94448.0,338944.0
