learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1.310623,1.8398703405012688E-8,1000.0,84.3,67.8183726345479,59.640102827763485,63.4032634032634,11542.0,54264.0
2000.0,1.534491,2.1550195798691775E-8,2000.0,71.3,42.33473980309423,47.818181818181806,44.37984496124031,1505.0,54416.0
3000.0,1.671518,2.347918765205476E-8,3000.0,74.2,48.19110654157563,48.296593186372746,45.91194968553459,3513.0,54416.0
4000.0,1.823515,2.561860447956456E-8,4000.0,74.1,47.26812225651717,50.0,42.82560706401765,1054.0,54408.0
5000.0,1.975862,2.7762947693053218E-8,5000.0,71.2,42.20929065917527,44.4015444015444,45.14285714285714,3108.0,54408.0
6000.0,2.126684,2.988582593906257E-8,6000.0,83.7,66.14520591191936,68.89312977099236,61.00478468899521,5144.0,54408.0
7000.0,2.248791,3.160452940397792E-8,7000.0,83.2,64.49404007101191,64.92693110647181,56.92307692307691,7302.0,54408.0
8000.0,2.376214,3.3398057634217865E-8,8000.0,79.2,55.38472098290892,58.14889336016097,44.08602150537636,9275.0,54408.0
9000.0,2.495822,3.508158670324418E-8,9000.0,73.8,42.274473860471666,46.639511201629325,30.31914893617021,11379.0,54408.0
10000.0,2.615897,3.677168897870514E-8,10000.0,81.5,61.586378737541516,62.167689161554186,55.95238095238094,13348.0,54408.0
11000.0,2.759021,3.8786214883956645E-8,11000.0,85.8,70.71524910599017,70.90163934426229,65.94724220623502,15290.0,54408.0
12000.0,2.884291,4.0549438802732365E-8,12000.0,81.10000000000001,62.18426865576081,63.51351351351352,61.19096509240247,17031.0,54408.0
13000.0,3.004243,4.2237809805406465E-8,13000.0,78.10000000000001,54.75804852250943,56.37450199203188,45.79207920792081,18892.0,54408.0
14000.0,3.128988,4.3993644145213895E-8,14000.0,81.39999999999999,49.999731181350434,53.73134328358208,32.85198555956677,20959.0,54408.0
15000.0,3.248702,4.5678665205422375E-8,15000.0,83.39999999999999,56.566560437892775,62.52821670428893,45.21452145214521,22910.0,54408.0
16000.0,3.397832,4.7778036534372305E-8,16000.0,72.2,41.83613691522302,45.808966861598435,37.10407239819003,7.0,54416.0
17000.0,3.523012,4.954025274142623E-8,17000.0,65.0,29.945357378755432,28.278688524590166,34.33395872420263,1428.0,54416.0
18000.0,3.618556,5.088526939973235E-8,18000.0,72.89999999999999,44.50769520595631,44.00826446280991,37.9862700228833,3208.0,54416.0
19000.0,3.7299,5.245270989628301E-8,19000.0,75.9,51.527390041593925,51.992031872509955,47.83549783549783,5008.0,54416.0
20000.0,3.869127,5.441267215750283E-8,20000.0,77.60000000000001,50.03992345402559,51.61987041036718,35.816618911174785,6862.0,54416.0
21000.0,3.991012,5.612850314006209E-8,21000.0,76.7,52.14976916884355,49.01531728665208,42.892156862745104,8707.0,54416.0
22000.0,4.0881,5.749525539370046E-8,22000.0,78.60000000000001,57.27536625392807,56.05749486652978,55.323590814196244,10570.0,54416.0
23000.0,4.181476,5.880975212280948E-8,23000.0,77.2,54.39835834090027,54.032258064516135,53.086419753086425,12454.0,54416.0
24000.0,4.274502,6.011932174157765E-8,24000.0,78.60000000000001,57.28423548761843,56.85483870967742,55.6935817805383,14271.0,54416.0
25000.0,4.375714,6.154412943248947E-8,25000.0,81.8,63.31059396519746,63.52705410821642,58.82352941176469,16125.0,54416.0
26000.0,4.47575,6.2952382032656E-8,26000.0,85.8,68.2514130357015,70.23060796645701,61.82795698924731,18029.0,54416.0
27000.0,4.58193,6.44471265354918E-8,27000.0,85.0,67.0264447912774,66.96035242290748,54.95495495495495,19980.0,54416.0
28000.0,4.688143,6.594233559444545E-8,28000.0,85.0,67.12299943451558,64.62264150943396,54.95495495495495,21892.0,54416.0
