learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,3.925109,5.4906250145286316E-8,1000.0,89.0,77.38198536820072,71.72236503856043,74.35897435897436,2312.0,54072.0
2000.0,4.346651,6.081169994547963E-8,2000.0,84.2,68.1302544738668,71.27272727272725,69.3798449612403,2809.0,54152.0
3000.0,4.638221,6.489635105555255E-8,3000.0,87.6,74.91828214505324,75.1503006012024,74.0041928721174,4817.0,54152.0
4000.0,5.011762,7.01293471124437E-8,4000.0,89.60000000000001,78.85413828580259,79.92277992277992,77.04194260485652,6888.0,54152.0
5000.0,5.476469,7.663950235272446E-8,5000.0,87.9,75.74761484807185,76.64092664092664,76.95238095238095,8942.0,54152.0
6000.0,5.926362,8.294212588005595E-8,6000.0,91.2,81.92573118632929,83.20610687022901,78.94736842105264,10978.0,54152.0
7000.0,6.368395,8.91254890606635E-8,7000.0,87.3,72.94533679860253,73.48643006263048,67.43589743589745,1031.0,54072.0
8000.0,6.659755,9.32011682436698E-8,8000.0,86.8,71.46710935878812,73.44064386317908,64.51612903225806,3004.0,54072.0
9000.0,6.964072,9.745809596859746E-8,9000.0,86.9,71.21587653149115,73.31975560081466,65.1595744680851,5108.0,54072.0
10000.0,7.258144,1.0157171186887555E-7,10000.0,89.4,78.0119482243611,78.32310838445808,74.76190476190477,7077.0,54072.0
11000.0,7.532567,1.0541046841897898E-7,11000.0,90.0,79.60041288764316,79.50819672131148,76.01918465227818,9019.0,54072.0
12000.0,7.783786,1.0892463662558131E-7,12000.0,89.8,79.58195044419267,80.30888030888032,79.05544147843942,10760.0,54072.0
13000.0,8.119096,1.1361510884844594E-7,13000.0,84.6,67.86739667490151,69.3227091633466,61.88118811881188,12621.0,54072.0
14000.0,8.52614,1.1930902962469392E-7,14000.0,89.0,71.78315094988174,72.636815920398,60.28880866425994,14688.0,54072.0
15000.0,8.821351,1.2343857838668756E-7,15000.0,89.3,72.65217658003967,75.84650112866818,64.6864686468647,16639.0,54072.0
16000.0,9.229403,1.2914659953572683E-7,16000.0,82.3,63.08408486072062,65.49707602339181,59.954751131221705,18438.0,54072.0
17000.0,9.562952,1.3381934122078947E-7,17000.0,74.1,48.119065742558384,46.92622950819672,51.40712945590995,1813.0,54152.0
18000.0,9.849105,1.3782810470503236E-7,18000.0,85.39999999999999,70.04280185980852,69.83471074380165,66.5903890160183,3593.0,54152.0
19000.0,10.126811,1.4171853280522755E-7,19000.0,83.2,66.24608213453345,66.53386454183267,63.636363636363626,5393.0,54152.0
20000.0,10.400032,1.4554612981776395E-7,20000.0,89.1,76.02815042885419,76.45788336933046,68.76790830945559,7247.0,54152.0
21000.0,10.664618,1.492527577239606E-7,21000.0,87.1,72.74571114679287,71.77242888402625,68.38235294117648,9092.0,54152.0
22000.0,10.938437,1.530887322148515E-7,22000.0,87.7,75.24612994373022,74.74332648870636,74.321503131524,10955.0,54152.0
23000.0,11.205923,1.5683598668831916E-7,23000.0,89.4,78.80534105405438,78.62903225806453,78.18930041152264,12839.0,54152.0
24000.0,11.469338,1.60526209866835E-7,24000.0,88.6,77.15806220220325,77.01612903225806,76.3975155279503,14656.0,54152.0
25000.0,11.719373,1.6402899046945902E-7,25000.0,89.5,78.75852693418784,78.95791583166333,76.24434389140272,16510.0,54152.0
26000.0,11.974908,1.676088214582867E-7,26000.0,89.9,78.22825412154239,78.8259958071279,72.84946236559139,18414.0,54152.0
27000.0,12.239508,1.7131564549273914E-7,27000.0,88.4,74.12042924391496,74.44933920704845,65.16516516516516,20365.0,54152.0
28000.0,12.501765,1.749896460626688E-7,28000.0,89.7,75.92647993717513,75.70754716981133,69.06906906906907,22277.0,54152.0
29000.0,12.75414,1.785252081023322E-7,29000.0,91.7,81.62497232676556,81.63716814159294,77.0718232044199,24156.0,54152.0
30000.0,13.009451,1.8210190103906723E-7,30000.0,88.0,74.89424199440143,74.46808510638297,71.63120567375887,26001.0,54152.0
31000.0,13.278234,1.8586732539451784E-7,31000.0,87.8,75.5200975985617,76.44787644787645,75.0,27921.0,54152.0
32000.0,13.572926,1.899957131056322E-7,32000.0,87.3,74.61279515124377,74.8015873015873,74.1869918699187,29776.0,54152.0
33000.0,13.85606,1.9396218293242985E-7,33000.0,90.5,80.89361565195007,81.26232741617358,79.65738758029978,31556.0,54152.0
34000.0,14.15897,1.982056979296936E-7,34000.0,89.3,78.53043862113248,79.1015625,79.1015625,33373.0,54152.0
35000.0,14.571726,2.0398806324021685E-7,35000.0,89.2,78.316997466301,78.4,77.40585774058579,158.0,54152.0
36000.0,14.822938,2.0750733262548846E-7,36000.0,86.5,73.0994245269484,70.90517241379311,72.39263803680981,1964.0,54152.0
37000.0,15.044156,2.1060641123188867E-7,37000.0,90.5,80.22250720317106,81.22529644268775,75.76530612244898,3619.0,54152.0
38000.0,15.24887,2.1347428264303341E-7,38000.0,94.1,88.19858383005959,87.31182795698923,88.05668016194332,5178.0,54152.0
39000.0,15.434689,2.1607745095466574E-7,39000.0,90.10000000000001,80.11648925487046,79.375,79.67145790554414,6574.0,54152.0
40000.0,15.678481,2.1949277236436804E-7,40000.0,87.5,74.78191399220458,73.68421052631578,72.40618101545253,8318.0,54152.0
41000.0,16.032299,2.2444946573633288E-7,41000.0,89.5,78.02170199939718,76.61469933184856,73.48484848484848,10183.0,54152.0
42000.0,16.375228,2.2925361335277559E-7,42000.0,91.5,82.66721044045678,82.51028806584362,80.50458715596332,12072.0,54152.0
43000.0,16.644378,2.3302417907036014E-7,43000.0,89.4,77.61673086019326,76.54867256637168,72.25130890052357,14019.0,54152.0
44000.0,16.919028,2.3687179517414836E-7,44000.0,91.5,82.23065859450782,82.18029350104823,79.36893203883496,15991.0,54152.0
45000.0,17.189559,2.406617075432506E-7,45000.0,93.10000000000001,85.80655778170897,85.16129032258065,84.10138248847929,18003.0,54152.0
46000.0,17.464629,2.4451520749471256E-7,46000.0,88.1,75.90683436049855,76.34194831013916,74.18655097613883,19977.0,54152.0
47000.0,17.912084,2.507836766872141E-7,47000.0,88.4,75.22690870261613,75.26652452025586,69.06666666666666,22082.0,54152.0
48000.0,18.345713,2.568584552179608E-7,48000.0,91.2,81.45025295109612,82.18623481781377,78.00000000000001,24231.0,54152.0
49000.0,18.765574,2.6274035561829805E-7,49000.0,91.10000000000001,81.36625155979131,81.45833333333334,78.07881773399016,26252.0,54152.0
50000.0,19.06412,2.669227346363995E-7,50000.0,93.60000000000001,86.84670242719446,86.77685950413225,84.79809976247033,28222.0,54152.0
51000.0,19.383066,2.7139090054151084E-7,51000.0,94.1,87.74346872299408,87.57894736842104,85.39603960396039,30427.0,54152.0
52000.0,19.705897,2.7591349203760424E-7,52000.0,89.5,78.22227384349904,76.13636363636364,74.2014742014742,32562.0,54152.0
53000.0,20.062476,2.809088647034433E-7,53000.0,91.5,82.35723892864854,81.99152542372882,79.16666666666667,34571.0,54152.0
54000.0,20.497318,2.8700063634663817E-7,54000.0,92.30000000000001,84.59112448770493,83.95833333333334,84.69184890656064,36982.0,54152.0
55000.0,20.911556,2.92803763233953E-7,55000.0,90.60000000000001,81.0351575897703,81.12449799196789,78.97091722595079,38963.0,54152.0
56000.0,21.322331,2.985583763962818E-7,56000.0,93.89999999999999,87.3286248442044,87.31808731808731,84.74999999999999,41038.0,54152.0
57000.0,21.815404,3.0546591550111766E-7,57000.0,94.6,88.56784770679492,87.86516853932584,86.22448979591836,43182.0,54152.0
58000.0,22.257326,3.1165687200509835E-7,58000.0,90.10000000000001,80.2573327058223,80.0,80.99808061420346,45318.0,54152.0
59000.0,22.600158,3.1645966073291167E-7,59000.0,92.0,83.98443286874843,84.58574181117534,83.08668076109937,47402.0,54152.0
60000.0,23.017059,3.223000940163102E-7,60000.0,88.8,75.51730620417693,75.9656652360515,68.97506925207757,49715.0,54152.0
61000.0,23.403961,3.2772026647503173E-7,61000.0,92.2,81.74157303370787,81.81818181818184,75.47169811320755,51850.0,54152.0
62000.0,23.809886,3.3340693520589E-7,62000.0,91.2,77.94441993824438,78.16377171215882,69.23076923076924,54070.0,54152.0
63000.0,24.222093,3.39181609486954E-7,63000.0,91.3,78.58935866515728,78.72860635696823,70.00000000000001,56433.0,54152.0
64000.0,24.62387,3.4481016821745364E-7,64000.0,90.5,76.06859998790836,76.54320987654322,67.0138888888889,58662.0,54152.0
65000.0,25.074281,3.511200484902494E-7,65000.0,86.3,68.99554622153022,68.86363636363636,58.10397553516818,60726.0,54152.0
66000.0,25.553618,3.578351577578319E-7,66000.0,92.60000000000001,84.69208332471402,84.8360655737705,82.4228028503563,62413.0,54152.0
67000.0,25.984621,3.6387314823145665E-7,67000.0,92.80000000000001,84.88252461838873,85.93750000000001,81.7721518987342,64549.0,54152.0
68000.0,26.343698,3.689035157817933E-7,68000.0,92.10000000000001,82.72891834932184,82.44444444444446,78.8770053475936,66516.0,54152.0
69000.0,26.732127,3.743450802295572E-7,69000.0,87.9,74.67538447370845,76.64092664092664,70.4156479217604,68669.0,54152.0
70000.0,27.243157,3.8150418184076744E-7,70000.0,88.6,76.6171113517771,76.68711656441718,73.11320754716981,70764.0,54152.0
71000.0,27.777537,3.88990397364315E-7,71000.0,91.60000000000001,81.9645732689211,81.37472283813749,77.60000000000001,72970.0,54152.0
72000.0,28.17789,3.9459900704936847E-7,72000.0,95.19999999999999,88.43869376508388,88.57142857142857,83.3910034602076,75130.0,54152.0
73000.0,28.516462,3.9934211675077673E-7,73000.0,93.89999999999999,87.55112203165687,87.44855967078188,86.47450110864744,77037.0,54152.0
74000.0,28.866415,4.042446647149821E-7,74000.0,92.5,84.47847682119206,85.14851485148516,82.14285714285715,78991.0,54152.0
75000.0,29.232343,4.093710090282063E-7,75000.0,90.0,79.86890631794245,81.41263940520446,79.07949790794979,81065.0,54152.0
76000.0,29.749311,4.166132970381942E-7,76000.0,85.39999999999999,69.62787911063772,69.32773109243698,65.88785046728972,83139.0,54152.0
77000.0,30.297231,4.242891966034141E-7,77000.0,90.3,77.3078182753942,77.33644859813084,69.10828025477707,85302.0,54152.0
78000.0,30.772194,4.309331999388006E-7,78000.0,77.5,49.64189794091316,53.222453222453225,38.69209809264306,862.0,54072.0
79000.0,31.087556,4.3534463026043446E-7,79000.0,85.9,70.1225610686376,70.625,63.28125,3252.0,54072.0
80000.0,31.469885,4.4069282612245946E-7,80000.0,87.4,73.1796199168994,72.60869565217392,67.01570680628272,5651.0,54072.0
81000.0,31.814496,4.4552053714791935E-7,81000.0,84.1,68.03711714899126,65.73275862068965,64.74501108647449,1946.0,54152.0
82000.0,32.142029,4.501089997196363E-7,82000.0,89.3,75.61642586937697,76.43171806167402,68.43657817109144,4259.0,54152.0
83000.0,32.506064,4.552088246908453E-7,83000.0,88.5,73.34532407450331,74.15730337078652,64.72392638036808,6488.0,54152.0
84000.0,32.810949,4.594800077813367E-7,84000.0,89.3,77.45735859232792,78.16326530612245,73.31670822942644,8719.0,54152.0
85000.0,33.09777,4.6349812938521304E-7,85000.0,94.1,87.10900970975607,87.0044052863436,83.19088319088318,10843.0,54152.0
86000.0,33.392551,4.676277639116678E-7,86000.0,93.10000000000001,81.97529832187416,82.61964735516374,74.63235294117649,13073.0,54152.0
87000.0,33.711508,4.720960839175516E-7,87000.0,88.1,72.79129321382842,73.07692307692307,66.47887323943662,15410.0,54152.0
88000.0,34.087467,4.773629541260501E-7,88000.0,82.69999999999999,63.65362959476947,65.87771203155818,58.41346153846153,543.0,54152.0
89000.0,34.417617,4.819880786724389E-7,89000.0,87.0,69.25492867143451,69.76744186046511,59.1194968553459,2691.0,54152.0
90000.0,34.7219,4.862508282479312E-7,90000.0,91.5,82.32333735390759,82.29166666666667,79.41888619854723,4800.0,54152.0
91000.0,35.012701,4.903247063130968E-7,91000.0,93.30000000000001,86.12756018982468,85.98326359832636,83.81642512077296,6920.0,54152.0
92000.0,35.30372,4.944016383753882E-7,92000.0,91.3,81.30511767031683,81.6842105263158,77.63496143958871,9069.0,54152.0
93000.0,35.60777,4.986611238163377E-7,93000.0,92.5,83.49326525222291,84.50413223140497,79.16666666666667,11239.0,54152.0
94000.0,35.919038,5.030217273823088E-7,94000.0,90.10000000000001,75.78728025122533,76.97674418604652,64.89361702127661,13540.0,54152.0
95000.0,36.195828,5.068993230909108E-7,95000.0,92.60000000000001,84.69967952031429,84.12017167381975,82.58823529411767,15604.0,54152.0
96000.0,36.474467,5.108028217384384E-7,96000.0,93.10000000000001,85.96705308114704,85.56485355648536,84.66666666666669,17614.0,54152.0
97000.0,36.794887,5.152916371470523E-7,97000.0,87.2,72.48317819291871,74.19354838709677,65.49865229110512,19609.0,54152.0
98000.0,37.15237,5.202996740945511E-7,98000.0,86.0,70.28862478777589,71.01449275362319,65.0,1184.0,54152.0
99000.0,37.455373,5.245444919437997E-7,99000.0,92.10000000000001,81.93079724067265,81.5850815850816,76.27627627627629,3440.0,54152.0
100000.0,37.726183,5.283383128688567E-7,100000.0,92.5,78.81834613646636,77.40963855421687,69.26229508196722,5469.0,54152.0
101000.0,38.060339,5.33019558114724E-7,101000.0,88.3,70.33468559837728,72.91666666666667,62.01298701298702,7593.0,54152.0
102000.0,38.410942,5.379312120336625E-7,102000.0,91.4,78.84222697862083,79.85948477751758,71.42857142857144,10092.0,54152.0
103000.0,38.696228,5.419278295752075E-7,103000.0,89.9,78.70959038095077,79.002079002079,74.93796526054591,12195.0,54152.0
104000.0,38.979793,5.459003373504513E-7,104000.0,91.10000000000001,81.21586141104761,81.22362869198312,76.70157068062828,14243.0,54152.0
105000.0,39.301733,5.504104466839797E-7,105000.0,89.0,75.64572051028858,76.39484978540773,69.187675070028,16514.0,54152.0
106000.0,39.606705,5.546828485714892E-7,106000.0,88.6,76.71872957783296,77.55905511811024,73.61111111111111,18609.0,54152.0
107000.0,39.958183,5.596067605064147E-7,107000.0,89.7,78.3066554338669,77.8969957081545,73.9240506329114,20610.0,54152.0
108000.0,40.274632,5.640399455361896E-7,108000.0,91.9,82.24494090414899,82.31441048034935,77.74725274725276,22715.0,54152.0
109000.0,40.624793,5.689454074059096E-7,109000.0,86.9,73.86961135534935,72.59414225941421,74.11067193675889,24838.0,54152.0
110000.0,41.222582,5.773199298274186E-7,110000.0,89.0,78.00131992080476,78.08764940239044,77.77777777777779,26901.0,54152.0
111000.0,41.842934,5.860105409514573E-7,111000.0,87.7,75.40196784257259,73.54838709677419,73.60515021459227,28980.0,54152.0
112000.0,42.424505,5.941578627977934E-7,112000.0,91.0,81.05303046251659,81.40495867768595,77.21518987341773,31173.0,54152.0
