learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,3.348398,4.933369938284159E-8,1000.0,87.3,74.12872892611817,67.3521850899743,70.3962703962704,842.0,56952.0
2000.0,3.817753,5.62489521317184E-8,2000.0,86.6,72.79961026307242,75.63636363636363,74.03100775193798,3665.0,56952.0
3000.0,4.122913,6.074503405019641E-8,3000.0,86.4,72.55497077911595,72.74549098196393,71.48846960167714,5673.0,56952.0
4000.0,4.427471,6.523224638774992E-8,4000.0,88.5,76.63988039618764,77.7992277992278,74.61368653421634,7744.0,56952.0
5000.0,4.757226,7.009069930762054E-8,5000.0,83.2,66.29281113942336,67.56756756756756,68.0,9798.0,56952.0
6000.0,5.096171,7.508455330505969E-8,6000.0,91.5,82.44135412277006,83.77862595419849,79.66507177033493,11834.0,56952.0
7000.0,5.483712,8.079439759254457E-8,7000.0,89.4,77.74231479926088,77.8705636743215,72.82051282051283,13992.0,56952.0
8000.0,5.902723,8.697657772857283E-8,8000.0,83.89999999999999,65.29454369869627,67.6056338028169,56.72043010752687,771.0,57032.0
9000.0,6.20291,9.140560252385008E-8,9000.0,83.89999999999999,64.62409253106927,67.20977596741344,57.18085106382978,2875.0,57032.0
10000.0,6.487015,9.559734996615187E-8,10000.0,88.0,75.14086841233014,75.4601226993865,71.42857142857143,4844.0,57032.0
11000.0,6.76675,9.97246214706037E-8,11000.0,88.9,77.31805401163932,77.25409836065575,73.38129496402878,6786.0,57032.0
12000.0,7.116152,1.0487977516320018E-7,12000.0,87.6,75.14442292967075,76.06177606177607,74.53798767967146,8527.0,57032.0
13000.0,7.52076,1.1084945028026901E-7,13000.0,85.7,70.19839946648882,71.51394422310756,64.60396039603961,10388.0,57032.0
14000.0,7.934396,1.1695232648816375E-7,14000.0,88.9,71.81682459400993,72.38805970149255,59.927797833935024,12455.0,57032.0
