learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,12.502587,1.030255945175886E-6,1000.0,89.7,78.97255407932452,76.43020594965677,75.59241706161139,13813.0,318528.0
2000.0,14.610542,1.2057909563432137E-6,2000.0,90.5,80.68870187421231,80.80808080808082,78.31050228310502,15682.0,321888.0
3000.0,16.617623,1.3746290068204204E-6,3000.0,90.10000000000001,80.16906373943353,80.85106382978724,79.58762886597938,17434.0,325168.0
4000.0,18.332544,1.518492697659466E-6,4000.0,92.9,85.29752832814262,86.47619047619048,82.42574257425744,19061.0,324272.0
5000.0,20.238196,1.6786879889832602E-6,5000.0,91.9,83.1598030736478,83.22981366459629,79.95049504950497,20903.0,324944.0
6000.0,22.265315,1.8506380745561586E-6,6000.0,90.10000000000001,78.57142857142857,78.89125799573561,73.60000000000001,22677.0,327888.0
7000.0,24.171835,2.012524088103738E-6,7000.0,89.8,76.68496820469684,79.14110429447852,70.77363896848138,24498.0,328224.0
8000.0,26.046157,2.1716761120450165E-6,8000.0,92.4,84.17247009429877,85.24271844660196,81.73076923076924,26227.0,328224.0
9000.0,27.870993,2.326822579399579E-6,9000.0,91.4,82.68223922674184,82.62626262626263,80.8888888888889,27787.0,328640.0
10000.0,29.633555,2.478254049486584E-6,10000.0,90.5,80.9986319014969,81.7658349328215,81.15079365079364,29269.0,332104.0
11000.0,31.46457,2.633872799024814E-6,11000.0,89.5,77.06281729769405,76.92307692307693,69.20821114369502,30885.0,328528.0
12000.0,33.310968,2.7912804421244396E-6,12000.0,95.0,87.07108318465077,87.53117206982543,81.1320754716981,32621.0,329536.0
13000.0,35.268049,2.958464176096022E-6,13000.0,89.3,76.06306822249267,78.07377049180329,71.23655913978494,34293.0,330208.0
14000.0,37.519175,3.150244916002783E-6,14000.0,86.8,73.7333296188547,73.11608961303462,73.75745526838966,35941.0,329312.0
15000.0,39.491755,3.318638343798617E-6,15000.0,89.5,78.74425082593768,79.12524850894633,78.70182555780933,37529.0,329984.0
16000.0,41.423196,3.4839835438753164E-6,16000.0,90.10000000000001,79.71610745955515,80.62622309197653,76.92307692307693,39020.0,330912.0
17000.0,43.345786,3.647735444195568E-6,17000.0,91.60000000000001,82.1367812181014,82.68041237113403,77.89473684210527,40646.0,329232.0
18000.0,45.049164,3.7931126255914565E-6,18000.0,91.7,81.90790907743416,81.7982456140351,78.04232804232805,42201.0,329904.0
19000.0,46.972741,3.9574502030139164E-6,19000.0,88.4,76.73439098257086,77.98861480075901,76.08247422680412,43840.0,330240.0
20000.0,48.932727,4.125109255044824E-6,20000.0,90.8,81.62124583980919,80.9917355371901,81.9253438113949,45455.0,330656.0
21000.0,50.693217,4.276927453755504E-6,21000.0,93.0,85.97981092773594,86.66666666666669,85.41666666666667,47039.0,333344.0
22000.0,52.441043,4.427805482616855E-6,22000.0,92.9,85.6480994849487,84.98942917547569,83.75286041189932,48681.0,333680.0
23000.0,54.05382,4.567025642262564E-6,23000.0,91.9,82.58469000748214,81.75675675675677,77.31092436974791,50272.0,333680.0
24000.0,55.739154,4.712655653324391E-6,24000.0,90.7,79.04895785461329,78.95927601809956,72.1556886227545,51822.0,334016.0
25000.0,57.477805,4.862892795850833E-6,25000.0,91.4,80.11643446053112,80.27522935779817,74.48071216617211,53439.0,334016.0
26000.0,59.224402,5.013816553652286E-6,26000.0,91.3,80.88936921738673,80.4494382022472,76.22950819672131,55068.0,334016.0
27000.0,61.182252,5.183164903860952E-6,27000.0,90.2,79.8714235832974,80.24193548387098,77.47126436781609,56707.0,334352.0
28000.0,63.179088,5.359146101342307E-6,28000.0,90.2,80.41590228734269,79.66804979253112,80.12170385395538,58345.0,340664.0
29000.0,65.035732,5.5220997338162524E-6,29000.0,91.0,81.94366423240511,82.79158699808796,81.09243697478992,59932.0,339264.0
30000.0,66.90374,5.686619067904022E-6,30000.0,92.60000000000001,85.18079430942502,85.02024291497978,84.64730290456433,61600.0,340440.0
31000.0,68.830705,5.856498365536746E-6,31000.0,92.80000000000001,85.58062035375545,85.06224066390043,85.30612244897961,63176.0,340776.0
32000.0,70.723142,6.023744952229576E-6,32000.0,92.4,84.73650385604114,84.5528455284553,83.82978723404257,64713.0,341616.0
33000.0,72.472101,6.178387496413456E-6,33000.0,92.80000000000001,84.60926778591492,84.61538461538463,82.81622911694512,66174.0,341784.0
34000.0,74.028657,6.316220764310823E-6,34000.0,89.9,79.74035560690673,78.69198312236287,78.41880341880342,67516.0,342288.0
35000.0,75.586265,6.454147186966406E-6,35000.0,95.3,90.59706628468082,90.2892561983471,90.34907597535934,68865.0,342288.0
36000.0,77.226499,6.599390154348479E-6,36000.0,91.3,82.57085847537083,82.90766208251475,80.96280087527353,70284.0,342288.0
37000.0,79.050427,6.7605821688638785E-6,37000.0,86.6,72.44068577445786,73.62204724409449,67.94258373205741,71774.0,341616.0
38000.0,81.206549,6.9531893917876804E-6,38000.0,91.0,81.29613619737981,81.44329896907217,77.72277227722773,73399.0,345304.0
39000.0,83.357834,7.143031512252572E-6,39000.0,91.2,81.66636110601844,81.51260504201682,76.71957671957674,75115.0,341112.0
40000.0,85.533467,7.335305914595308E-6,40000.0,93.60000000000001,86.75282847810699,86.9387755102041,84.50363196125909,76829.0,341616.0
41000.0,87.575617,7.51596109351971E-6,41000.0,94.5,88.73772411929002,88.39662447257382,87.17948717948717,78623.0,341952.0
42000.0,89.728408,7.707433136337333E-6,42000.0,86.9,73.646305252231,73.64185110663983,72.3044397463002,80397.0,343800.0
43000.0,92.097936,7.91478849078218E-6,43000.0,89.4,77.1378286976327,76.01809954751131,70.39106145251397,82174.0,338264.0
44000.0,94.506304,8.125961387438906E-6,44000.0,91.8,82.81289954768583,83.02277432712216,79.1348600508906,84105.0,338936.0
45000.0,96.610342,8.310632611310316E-6,45000.0,93.5,86.15866850649905,86.22881355932205,82.3848238482385,85859.0,339272.0
46000.0,98.713964,8.495267322899566E-6,46000.0,92.80000000000001,85.0729559279024,84.87394957983194,82.39608801955991,87615.0,339272.0
47000.0,100.93574,8.69027240032123E-6,47000.0,92.7,84.83967436451239,84.88612836438925,81.51898734177216,89513.0,339272.0
48000.0,102.909014,8.863723765454358E-6,48000.0,88.1,75.51057366995661,74.73460721868365,70.10050251256281,91300.0,339776.0
49000.0,104.955113,9.043754323476718E-6,49000.0,93.4,86.75002107951192,86.66666666666669,85.62091503267975,93193.0,340112.0
50000.0,107.064221,9.229512199018565E-6,50000.0,88.9,77.23917322834647,77.53036437246963,75.81699346405229,94977.0,340448.0
51000.0,109.110471,9.409733910200496E-6,51000.0,92.2,84.27336916854513,83.98357289527722,82.23234624145786,96721.0,340448.0
52000.0,111.170354,9.591514440381692E-6,52000.0,94.69999999999999,88.88888888888889,88.57758620689654,86.75,98558.0,341120.0
53000.0,113.338691,9.783054297160771E-6,53000.0,88.4,76.92552514322088,76.70682730923694,78.3177570093458,100358.0,341456.0
54000.0,115.498452,9.973836593739689E-6,54000.0,92.2,84.4,85.14285714285715,84.11405295315683,102137.0,341456.0
55000.0,117.8499,1.0181551544480026E-5,55000.0,90.3,78.91487696722025,80.28455284552845,73.42465753424659,104221.0,341456.0
56000.0,120.433852,1.0409692412461672E-5,56000.0,93.60000000000001,84.98674611180184,85.25345622119818,79.42122186495179,106073.0,341288.0
