learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,230.495304,1.784156359091401E-5,100.0,95.0,86.84210526315789,-150.0,80.76923076923075,189410.0,299208.0
200.0,230.722224,1.7859328001787263E-5,200.0,92.0,83.53062274832733,-14.285714285714308,80.95238095238096,189510.0,302608.0
300.0,230.924784,1.7875185392349958E-5,300.0,88.0,73.98969221135783,9.999999999999984,67.85714285714286,189610.0,302608.0
400.0,231.055623,1.7885541840928295E-5,400.0,91.0,77.18703463134882,10.000000000000012,67.85714285714288,189710.0,305968.0
500.0,231.222835,1.7898777363056108E-5,500.0,91.4,77.93695098924555,30.64516129032261,68.6131386861314,189810.0,305968.0
600.0,231.353643,1.790913135785609E-5,600.0,92.83333333333333,79.18481944041051,30.645161290322626,68.6131386861314,189910.0,305968.0
700.0,231.55035,1.7924257785889006E-5,700.0,91.85714285714286,79.97390082312789,35.22727272727273,72.33009708737865,190010.0,297248.0
800.0,231.733766,1.7938362159012916E-5,800.0,90.25,77.60229720028714,40.45801526717553,70.11494252873563,190110.0,297248.0
900.0,231.859192,1.7948007201448908E-5,900.0,91.33333333333333,80.81296191017623,61.95121951219511,75.23809523809524,190210.0,297248.0
1000.0,231.999355,1.7958785493692588E-5,1000.0,91.7,82.62958746316636,63.755458515283856,79.25000000000001,190310.0,297248.0
1100.0,232.171578,1.7972029144478338E-5,1100.0,90.5,80.1147067442542,64.68401486988849,78.50678733031674,190410.0,297248.0
1200.0,232.274993,1.7979981579089326E-5,1200.0,91.3,82.58369834164779,66.40926640926642,81.95020746887968,190510.0,297248.0
1300.0,232.450935,1.7993734790711765E-5,1300.0,92.0,83.98462524023063,72.4137931034483,84.25196850393701,190610.0,302160.0
1400.0,232.654313,1.800976818099204E-5,1400.0,91.10000000000001,81.943599107324,74.49856733524356,84.2756183745583,190710.0,304736.0
1500.0,232.828635,1.8023556387279595E-5,1500.0,91.4,82.28615683754347,78.06122448979593,85.47297297297295,190810.0,305744.0
1600.0,232.957328,1.8033757886323664E-5,1600.0,91.2,80.11038735020635,78.8968824940048,85.50247116968698,190910.0,306416.0
1700.0,233.074192,1.8043042016526065E-5,1700.0,92.4,82.28471263939134,81.99052132701424,86.28158844765342,191010.0,307088.0
1800.0,233.173947,1.805096694129623E-5,1800.0,94.5,86.74788207060728,87.08920187793426,89.50381679389312,191110.0,307088.0
1900.0,233.277448,1.8059198459523423E-5,1900.0,94.5,86.23320450950158,86.45320197044335,88.95582329317267,191210.0,307424.0
2000.0,233.364841,1.8066164088485146E-5,2000.0,95.0,87.1758043335522,87.17948717948717,88.03827751196171,191310.0,308096.0
2100.0,233.43921,1.8072091644013097E-5,2100.0,96.7,90.94312281125467,90.51724137931033,90.57142857142856,191410.0,308096.0
2200.0,233.506836,1.8077481751048735E-5,2200.0,97.0,91.73061656522889,91.32947976878611,88.09523809523809,191510.0,308096.0
2300.0,233.58024,1.8083332391584088E-5,2300.0,98.3,94.63702095978395,94.11764705882352,91.4141414141414,191610.0,308096.0
2400.0,233.658287,1.808955310083512E-5,2400.0,98.9,95.44573803885199,95.33898305084745,92.3076923076923,191710.0,308096.0
2500.0,233.722901,1.8094697520977094E-5,2500.0,99.3,95.74788609194285,95.90643274853801,92.39130434782608,191810.0,307760.0
2600.0,233.790332,1.8100104322944664E-5,2600.0,99.5,96.37449968095598,96.57534246575342,93.5064935064935,191910.0,309944.0
2700.0,233.853384,1.8105160004718022E-5,2700.0,99.7,97.31960973517744,97.39130434782608,95.08196721311475,192010.0,309944.0
2800.0,233.911571,1.8109818010766886E-5,2800.0,99.7,95.4971181556196,95.58823529411764,91.66666666666666,192110.0,309440.0
2900.0,233.975187,1.8114910621020114E-5,2900.0,99.7,76.78018575851378,78.57142857142857,62.5,192210.0,309440.0
3000.0,234.03378,1.8119598581770227E-5,3000.0,99.7,0.0,50.0,0.0,192310.0,309272.0
3100.0,234.100586,1.8124949462521406E-5,3100.0,99.7,0.0,50.0,0.0,192410.0,309608.0
3200.0,234.162484,1.8129907233032086E-5,3200.0,99.7,0.0,50.0,0.0,192510.0,309608.0
3300.0,234.230069,1.813532050842005E-5,3300.0,99.7,0.0,50.0,0.0,192610.0,309608.0
3400.0,234.300617,1.814096497542121E-5,3400.0,100.0,,,,192710.0,309272.0
3500.0,234.396556,1.8148636778413005E-5,3500.0,99.9,96.91890559526743,96.875,94.11764705882352,192810.0,309104.0
