learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,50.624332,7.559329175700745E-7,100.0,91.0,74.373576309795,-349.9999999999995,65.3846153846154,1507.0,57720.0
200.0,50.687861,7.568815456392866E-7,200.0,91.5,82.68839103869654,-21.428571428571463,79.76190476190477,1607.0,57720.0
300.0,50.72654,7.574591084072988E-7,300.0,86.33333333333333,71.0479239243009,-2.5000000000000586,63.39285714285713,1707.0,57720.0
400.0,50.764929,7.5803234083578E-7,400.0,89.75,74.91741098739752,-2.5000000000000586,63.39285714285713,1807.0,57720.0
500.0,50.809595,7.586993027168017E-7,500.0,90.0,74.86527788948766,19.354838709677434,63.50364963503651,1907.0,57720.0
600.0,50.84438,7.592187194774549E-7,600.0,91.66666666666666,76.35262958758985,19.354838709677427,63.50364963503649,2007.0,57720.0
700.0,50.905835,7.599443248473109E-7,700.0,90.14285714285715,76.30215488479806,21.590909090909093,66.50485436893206,56.0,45640.0
800.0,50.939588,7.603428499152264E-7,800.0,89.125,75.47948873324783,33.58778625954196,66.66666666666666,156.0,45640.0
900.0,50.963175,7.606213439980315E-7,900.0,90.33333333333333,78.89283057116054,57.560975609756085,72.38095238095238,256.0,45640.0
1000.0,50.991281,7.609531943686307E-7,1000.0,90.60000000000001,80.46509694715186,58.951965065502186,76.50000000000001,356.0,45640.0
1100.0,51.032447,7.614392454735935E-7,1100.0,90.0,79.18704601744126,62.82527881040893,77.37556561085974,456.0,45640.0
1200.0,51.054381,7.616982224190401E-7,1200.0,90.5,80.9986319014969,63.320463320463325,80.29045643153528,556.0,45640.0
1300.0,51.086606,7.620787062371771E-7,1300.0,91.5,82.9787574893467,70.68965517241381,83.26771653543308,656.0,45640.0
1400.0,51.12819,7.625696927102076E-7,1400.0,90.3,80.32055183607223,72.20630372492836,82.86219081272085,756.0,45640.0
1500.0,51.160954,7.629565405555897E-7,1500.0,90.60000000000001,80.6028790279979,76.02040816326532,84.12162162162163,856.0,45640.0
1600.0,51.188079,7.632768081604607E-7,1600.0,90.4,78.17675915780477,76.97841726618707,84.1845140032949,956.0,45640.0
1700.0,51.209592,7.635308143165376E-7,1700.0,92.2,81.84796976523376,81.51658767772513,85.92057761732852,1056.0,45640.0
1800.0,51.229068,7.637607694086102E-7,1800.0,94.0,85.61040655398014,85.91549295774647,88.54961832061068,1156.0,45640.0
1900.0,51.247778,7.639816802615921E-7,1900.0,94.0,85.06095131862001,85.22167487684727,87.95180722891565,1256.0,45640.0
2000.0,51.264308,7.64176851635178E-7,2000.0,94.69999999999999,86.4526353458412,86.41025641025641,87.32057416267942,1356.0,45640.0
2100.0,51.279471,7.643558827021884E-7,2100.0,96.2,89.64306739637615,89.08045977011493,89.14285714285714,1456.0,45640.0
2200.0,51.293624,7.64522988597552E-7,2200.0,96.5,90.4199877375843,89.8843930635838,86.1111111111111,1556.0,45640.0
2300.0,51.307925,7.646918419438104E-7,2300.0,97.89999999999999,93.47461313777887,92.73356401384083,89.39393939393938,1656.0,45640.0
2400.0,51.320881,7.648448147397074E-7,2400.0,98.8,95.0169837802822,94.91525423728812,91.6083916083916,1756.0,45640.0
2500.0,51.332775,7.649852483947244E-7,2500.0,99.4,96.3733075435203,96.49122807017544,93.4782608695652,1856.0,45640.0
2600.0,51.34665,7.6514907191611E-7,2600.0,99.6,97.15201139195443,97.26027397260275,94.80519480519479,1956.0,45640.0
2700.0,51.359402,7.652996360634764E-7,2700.0,99.7,97.31960973517744,97.39130434782608,95.08196721311475,2056.0,45640.0
2800.0,51.370455,7.654301399468548E-7,2800.0,99.7,95.4971181556196,95.58823529411764,91.66666666666666,2156.0,45640.0
2900.0,51.38236,7.655707034799788E-7,2900.0,99.7,76.78018575851378,78.57142857142857,62.5,2256.0,45640.0
3000.0,51.393615,7.657035923976866E-7,3000.0,99.7,0.0,50.0,0.0,2356.0,45640.0
3100.0,51.406303,7.65853400890612E-7,3100.0,99.7,0.0,50.0,0.0,2456.0,45640.0
3200.0,51.41772,7.659882025586236E-7,3200.0,99.7,0.0,50.0,0.0,2556.0,45640.0
3300.0,51.430939,7.661442806219891E-7,3300.0,99.7,0.0,50.0,0.0,2656.0,45640.0
3400.0,51.444251,7.663014567457141E-7,3400.0,100.0,,,,2756.0,45640.0
3500.0,51.462884,7.665214584519467E-7,3500.0,99.7,91.27602652087936,90.625,82.35294117647058,2856.0,45640.0
3600.0,51.479546,7.667181883628172E-7,3600.0,99.7,96.87174139728883,96.66666666666667,94.0,2956.0,45640.0
3700.0,51.521441,7.672128468441468E-7,3700.0,98.4,89.82706002034587,88.0597014925373,82.60869565217389,3056.0,45640.0
3800.0,51.545439,7.674961936453152E-7,3800.0,98.4,89.82706002034587,88.0597014925373,82.60869565217389,3156.0,45640.0
3900.0,51.559426,7.676613395619726E-7,3900.0,98.4,89.82706002034587,88.0597014925373,82.60869565217389,3256.0,45640.0
4000.0,51.578955,7.67891920430379E-7,4000.0,98.3,90.91977352846918,89.88095238095238,84.54545454545453,3356.0,45640.0
4100.0,51.601751,7.681610750965777E-7,4100.0,98.3,92.5593935468058,91.66666666666666,87.5912408759124,3456.0,45640.0
4200.0,51.630047,7.684951688162985E-7,4200.0,98.3,94.48910788381743,93.4108527131783,91.32653061224488,3556.0,45640.0
4300.0,51.651182,7.687447118883335E-7,4300.0,98.3,95.29341410203878,94.76923076923076,92.97520661157024,3656.0,45640.0
4400.0,51.677332,7.6905346757008E-7,4400.0,98.0,95.04007618442981,94.79166666666666,92.95774647887323,3756.0,45640.0
4500.0,51.702076,7.693456224683261E-7,4500.0,97.2,93.24167760871244,92.94710327455918,90.47619047619047,3856.0,45640.0
4600.0,51.722665,7.695887188634113E-7,4600.0,97.2,92.96217167274098,92.22222222222221,89.81818181818181,3956.0,45640.0
4700.0,51.76898,7.701355647295716E-7,4700.0,97.1,92.43530884808013,91.96675900277008,88.84615384615384,4056.0,45640.0
4800.0,51.803699,7.705454954567057E-7,4800.0,97.1,92.45428336507737,91.98895027624309,88.88888888888889,4156.0,45640.0
4900.0,51.843645,7.710171418988873E-7,4900.0,97.0,92.203782724622,91.71270718232043,88.50574712643677,4256.0,45640.0
5000.0,51.86701,7.712930148053503E-7,5000.0,97.0,91.82293938072394,90.88145896656535,87.70491803278688,4356.0,45640.0
5100.0,51.889945,7.71563810658538E-7,5100.0,96.6,89.99529190207156,88.59060402684563,84.54545454545453,4456.0,45640.0
5200.0,51.931251,7.720515147575905E-7,5200.0,95.89999999999999,85.30086617334939,84.58646616541353,76.1627906976744,4556.0,45640.0
5300.0,51.974204,7.725586651513977E-7,5300.0,95.6,83.11847759361571,83.07692307692307,72.49999999999997,4656.0,45640.0
5400.0,52.020948,7.731105762637327E-7,5400.0,95.5,82.01151263191556,82.28346456692913,70.58823529411762,4756.0,45640.0
5500.0,52.071271,7.737047449892597E-7,5500.0,95.8,82.46771136843685,82.85714285714285,71.81208053691273,4856.0,45640.0
5600.0,52.13118,7.744120965815256E-7,5600.0,95.1,80.3231817013621,81.71641791044775,69.18238993710689,4956.0,45640.0
5700.0,52.193903,7.751526733549936E-7,5700.0,95.5,82.11674190881921,82.62548262548262,71.15384615384613,59.0,45640.0
5800.0,52.220524,7.754669901811417E-7,5800.0,94.8,81.40732265446223,82.06896551724137,70.45454545454544,159.0,45640.0
5900.0,52.247575,7.757863840605653E-7,5900.0,94.1,79.34954569000516,80.59210526315788,67.75956284153003,259.0,45640.0
6000.0,52.268913,7.760383239740302E-7,6000.0,93.8,80.26973185929135,81.97674418604649,70.04830917874393,359.0,45640.0
6100.0,52.296775,7.763672934120732E-7,6100.0,93.60000000000001,82.26881583394747,84.23645320197046,74.2971887550201,459.0,45640.0
6200.0,52.322684,7.766732035825654E-7,6200.0,93.7,82.8621792779265,84.32835820895524,75.09881422924903,559.0,45640.0
6300.0,52.348694,7.769803062702223E-7,6300.0,93.60000000000001,83.29478954045011,84.19753086419755,76.20817843866173,659.0,45640.0
6400.0,52.397761,7.77559645277345E-7,6400.0,92.10000000000001,79.14400667391787,80.25000000000001,70.30075187969926,1.0,45640.0
6500.0,52.425457,7.778866547366816E-7,6500.0,92.5,80.04066382090889,80.86734693877553,71.37404580152673,101.0,45640.0
6600.0,52.444069,7.781064084938008E-7,6600.0,93.10000000000001,80.55527374792874,80.17241379310346,71.00840336134455,201.0,45640.0
6700.0,52.45441,7.782285057215232E-7,6700.0,94.1,82.1274945776636,81.08974358974358,72.42990654205605,301.0,45640.0
6800.0,52.46392,7.783407912486135E-7,6800.0,94.8,82.90227334004089,81.42857142857142,73.05699481865283,401.0,45640.0
6900.0,52.473615,7.784552610893221E-7,6900.0,95.5,84.92098596646426,83.14606741573031,75.93582887700533,501.0,45640.0
7000.0,52.518184,7.789814917577642E-7,7000.0,94.19999999999999,80.01447227869473,78.43866171003717,68.64864864864863,80.0,45640.0
7100.0,52.536019,7.791920713976858E-7,7100.0,94.6,76.74278380264097,73.52941176470586,61.70212765957444,180.0,45640.0
7200.0,52.576534,7.796704360801317E-7,7200.0,93.89999999999999,74.15779841388189,71.49532710280371,59.060402684563726,280.0,45640.0
7300.0,52.596551,7.799067788136506E-7,7300.0,94.19999999999999,64.27647544315646,61.33333333333331,41.41414141414135,380.0,45640.0
7400.0,52.612912,7.800999547872282E-7,7400.0,96.1,64.07781298356787,61.7647058823529,41.79104477611931,480.0,45640.0
7500.0,52.628777,7.802872744388882E-7,7500.0,96.5,51.66279969064197,52.70270270270263,27.083333333333332,580.0,45640.0
7600.0,52.643483,7.80460909660906E-7,7600.0,96.6,52.45021257552022,54.05405405405399,29.166666666666668,680.0,45640.0
7700.0,52.655673,7.806048382177125E-7,7700.0,96.6,52.45021257552022,54.05405405405399,29.166666666666668,780.0,45640.0
7800.0,52.671727,7.807943894113935E-7,7800.0,96.3,56.65010778892112,59.34065934065929,35.08771929824561,880.0,45640.0
7900.0,52.703222,7.81166254046063E-7,7900.0,95.3,63.3465389774464,66.4285714285714,45.34883720930225,980.0,45640.0
8000.0,52.765766,7.819047173485164E-7,8000.0,95.89999999999999,77.73771773598017,73.20261437908495,63.3928571428571,3.0,45640.0
8100.0,52.793673,7.822342181060882E-7,8100.0,94.8,77.74429911661986,72.34042553191486,63.38028169014082,103.0,45640.0
8200.0,52.80738,7.823960580345662E-7,8200.0,96.1,81.0558221773175,75.62499999999999,67.2268907563025,203.0,45640.0
8300.0,52.820195,7.825473660292729E-7,8300.0,96.1,81.0558221773175,75.62499999999999,67.2268907563025,303.0,45640.0
8400.0,52.829412,7.826561920758756E-7,8400.0,96.1,81.0558221773175,75.62499999999999,67.2268907563025,403.0,45640.0
8500.0,52.84085,7.827912416930005E-7,8500.0,96.1,81.0558221773175,75.62499999999999,67.2268907563025,503.0,45640.0
8600.0,52.858636,7.830012427849907E-7,8600.0,95.5,80.04186772636956,75.80645161290322,65.90909090909088,603.0,45640.0
8700.0,52.872717,7.831674985691082E-7,8700.0,95.5,80.04186772636956,75.80645161290322,65.90909090909088,703.0,45640.0
8800.0,52.897441,7.834594173253415E-7,8800.0,94.69999999999999,77.52523110847255,74.64114832535881,62.937062937062905,803.0,45640.0
8900.0,52.942904,7.839962035417562E-7,8900.0,93.7,72.42888402625823,68.65671641791047,54.347826086956566,84.0,45640.0
9000.0,52.979218,7.844249665944117E-7,9000.0,93.60000000000001,67.36159275427363,66.83937823834198,47.54098360655742,184.0,45640.0
9100.0,53.003174,7.847078174973532E-7,9100.0,94.5,62.52895489848751,66.04938271604935,41.48936170212759,284.0,45640.0
9200.0,53.021414,7.849231790130342E-7,9200.0,94.5,62.52895489848751,66.04938271604935,41.48936170212759,384.0,45640.0
9300.0,53.037378,7.851116675676575E-7,9300.0,94.6,63.00559026635969,66.66666666666664,42.55319148936164,484.0,45640.0
9400.0,53.052539,7.852906750204667E-7,9400.0,94.39999999999999,64.11682536427826,68.18181818181816,44.55445544554449,584.0,45640.0
9500.0,53.071518,7.855147619835209E-7,9500.0,93.60000000000001,64.28531568432686,68.62745098039218,46.218487394958025,684.0,45640.0
9600.0,53.089203,7.857235705583464E-7,9600.0,93.89999999999999,69.08888213236037,72.27272727272724,53.07692307692303,784.0,45640.0
9700.0,53.111386,7.859854874718525E-7,9700.0,93.5,68.3303775019002,72.22222222222224,52.55474452554749,884.0,45640.0
9800.0,53.132562,7.862355146350137E-7,9800.0,93.8,71.36814105346765,74.16666666666664,56.64335664335661,984.0,45640.0
9900.0,53.152635,7.864725185661685E-7,9900.0,95.8,78.24555587784359,79.61165048543687,65.57377049180324,1084.0,45640.0
10000.0,53.177922,7.867710847200623E-7,10000.0,96.5,78.56600445827104,80.76923076923076,65.6862745098039,1184.0,45640.0
10100.0,53.194643,7.869685112498705E-7,10100.0,96.89999999999999,80.42286609240405,82.38636363636363,68.68686868686865,1284.0,45640.0
10200.0,53.210457,7.871552287393979E-7,10200.0,96.89999999999999,80.42286609240405,82.38636363636363,68.68686868686865,1384.0,45640.0
10300.0,53.221943,7.872908450973535E-7,10300.0,96.89999999999999,80.42286609240405,82.38636363636363,68.68686868686865,1484.0,45640.0
