learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.765632,2.2342244784037273E-10,1000.0,42.3,0.0,-34.49883449883448,-36.729857819905206,204560.0,1128.0
2000.0,0.772264,2.2535776098569236E-10,2000.0,43.8,0.0,-7.456978967495216,-28.310502283105038,205560.0,1128.0
3000.0,0.775966,2.2643805791934332E-10,3000.0,48.4,0.0,1.1494252873563229,-6.61157024793389,206560.0,1128.0
4000.0,0.77963,2.2750726590553921E-10,4000.0,40.5,0.0,-17.821782178217816,-46.91358024691357,207560.0,1128.0
5000.0,0.783033,2.2850031033158305E-10,5000.0,40.300000000000004,0.0,-23.09278350515464,-48.13895781637715,208560.0,1128.0
6000.0,0.787296,2.2974431514739993E-10,6000.0,37.5,0.0,-22.549019607843135,-66.66666666666666,209560.0,1128.0
7000.0,0.790334,2.3063084731499357E-10,7000.0,35.0,0.0,-38.00424628450108,-85.71428571428574,210560.0,1128.0
8000.0,0.793305,2.3149782791733745E-10,8000.0,41.699999999999996,0.0,-9.586466165413542,-39.80815347721822,211560.0,1128.0
9000.0,0.796358,2.3238873730103178E-10,9000.0,45.0,0.0,-9.780439121756485,-22.222222222222232,212560.0,1128.0
10000.0,0.799188,2.332145720720291E-10,10000.0,49.8,0.0,-0.19960079840319378,0.19880715705765428,213560.0,1128.0
11000.0,0.802022,2.3404157410065334E-10,11000.0,34.699999999999996,0.0,-42.576419213973814,-88.72832369942199,214560.0,1128.0
12000.0,0.804737,2.348338502148787E-10,12000.0,26.5,0.0,-92.91338582677164,-177.35849056603772,215560.0,1128.0
13000.0,0.807486,2.356360480189323E-10,13000.0,37.1,0.0,-32.42105263157896,-69.54177897574124,216560.0,1128.0
14000.0,0.810324,2.364642173051834E-10,14000.0,52.800000000000004,0.0,5.600000000000005,6.5346534653465405,217560.0,1128.0
15000.0,0.813098,2.3727371046940487E-10,15000.0,45.300000000000004,0.0,-14.67505241090147,-11.178861788617885,218560.0,1128.0
16000.0,0.815784,2.380575239658356E-10,16000.0,42.699999999999996,0.0,-11.9140625,-34.192037470725985,219560.0,1128.0
17000.0,0.819,2.389959990978241E-10,17000.0,38.2,0.0,-27.422680412371136,-61.78010471204188,220560.0,1128.0
18000.0,0.821866,2.3983233918746314E-10,18000.0,37.8,0.0,-29.045643153526974,-64.55026455026454,221560.0,1128.0
19000.0,0.82454,2.4061265091101333E-10,19000.0,48.6,0.0,2.4667931688804576,-5.761316872427988,222560.0,1128.0
20000.0,0.827142,2.413719519972802E-10,20000.0,51.5,0.0,6.0077519379845015,4.901960784313729,223560.0,1128.0
21000.0,0.829724,2.4212541679541275E-10,21000.0,52.0,0.0,5.138339920948621,0.0,224560.0,1128.0
22000.0,0.832284,2.4287246167659766E-10,22000.0,56.3,0.0,12.072434607645864,0.0,225560.0,1128.0
23000.0,0.834915,2.436402253806592E-10,23000.0,64.4,0.0,25.523012552301257,0.0,226560.0,1128.0
24000.0,0.837583,2.444187862177691E-10,24000.0,66.60000000000001,0.0,27.233115468409586,0.0,227560.0,1128.0
25000.0,0.84048,2.452641725540162E-10,25000.0,66.2,0.0,24.384787472035793,0.0,228560.0,1128.0
26000.0,0.843139,2.4604010706146567E-10,26000.0,63.6,0.0,23.52941176470588,0.0,229560.0,1128.0
27000.0,0.845781,2.46811080724001E-10,27000.0,56.39999999999999,0.0,12.449799196787136,0.0,230560.0,1128.0
28000.0,0.848423,2.4758205438653633E-10,28000.0,49.3,0.0,-6.736842105263165,-1.8072289156626522,231560.0,1128.0
29000.0,0.851058,2.483509853482247E-10,29000.0,52.6,0.0,2.268041237113404,1.0438413361169112,232560.0,1128.0
30000.0,0.853677,2.4911524727940565E-10,30000.0,51.6,0.0,1.8255578093306306,0.0,233560.0,1128.0
31000.0,0.856225,2.4985879038771E-10,31000.0,49.0,0.0,2.8571428571428594,-5.154639175257737,234560.0,1128.0
32000.0,0.858701,2.50581322858731E-10,32000.0,54.1,0.0,8.200000000000006,1.5021459227467826,235560.0,1128.0
33000.0,0.861213,2.5131436064839366E-10,33000.0,36.6,0.0,-37.826086956521756,-49.88179669030732,236560.0,1128.0
34000.0,0.863767,2.520596546431383E-10,34000.0,46.800000000000004,0.0,-16.923076923076927,-13.675213675213676,237560.0,1128.0
35000.0,0.866312,2.5280232230822247E-10,35000.0,49.6,0.0,-5.882352941176476,-2.4390243902439046,238560.0,1128.0
36000.0,0.868895,2.5355607892076175E-10,36000.0,53.900000000000006,0.0,4.35684647302905,-0.655021834061136,239560.0,1128.0
37000.0,0.871524,2.5432325899600984E-10,37000.0,58.199999999999996,0.0,11.440677966101683,0.0,240560.0,1128.0
38000.0,0.874037,2.5505658860007923E-10,38000.0,59.599999999999994,0.0,15.657620041753646,0.0,241560.0,1128.0
