learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,14.160257,2.0007307856240204E-7,1000.0,80.5,59.6580659042386,54.54545454545456,53.79146919431281,8589.0,54616.0
2000.0,14.302255,2.0207939645689394E-7,2000.0,77.8,54.050205325208644,57.552581261950294,49.31506849315068,9589.0,54616.0
3000.0,14.459541,2.0428707313413421E-7,3000.0,70.8,41.291899890626006,44.06130268199233,39.669421487603294,361.0,54256.0
4000.0,14.581119,2.059935499665638E-7,4000.0,79.0,55.33530425165366,58.41584158415842,48.14814814814816,1361.0,54256.0
5000.0,14.683121,2.0742525677093203E-7,5000.0,87.0,73.02669527220213,73.19587628865979,67.74193548387096,2361.0,54256.0
6000.0,14.785809,2.0886659231657787E-7,6000.0,80.30000000000001,57.63440860215054,61.37254901960786,47.46666666666668,3361.0,54256.0
7000.0,14.88275,2.1022726259090839E-7,7000.0,78.2,48.633364750235636,53.71549893842887,37.714285714285715,4361.0,54256.0
8000.0,14.988354,2.1170952730501695E-7,8000.0,87.6,74.1977368918261,76.69172932330827,70.26378896882494,5361.0,54256.0
9000.0,15.086622,2.1308882343893253E-7,9000.0,88.4,76.48012976480129,76.84630738522954,74.22222222222223,6361.0,54256.0
10000.0,15.192615,2.14576548182716E-7,10000.0,86.8,73.59408507505681,73.65269461077844,73.75745526838966,7361.0,54256.0
11000.0,15.301438,2.1610399499328602E-7,11000.0,83.8,63.96075726902626,64.62882096069869,53.17919075144507,8361.0,54256.0
12000.0,15.410392,2.1763328052850235E-7,12000.0,86.8,65.78449415485109,65.35433070866141,50.18867924528302,9361.0,54256.0
13000.0,15.521279,2.1918969777930115E-7,13000.0,82.19999999999999,61.77681957370417,62.52631578947367,52.021563342318046,10361.0,54256.0
14000.0,15.712472,2.2187329534648195E-7,14000.0,76.4,52.87389373462411,52.800000000000004,53.26732673267327,11361.0,54256.0
15000.0,15.801398,2.231214665518039E-7,15000.0,75.6,50.06405717256143,48.84696016771488,50.40650406504065,968.0,54256.0
16000.0,15.878485,2.2420346477172444E-7,16000.0,81.10000000000001,61.319001579985766,63.085937500000014,55.737704918032804,1968.0,54256.0
17000.0,15.967277,2.2544975514420207E-7,17000.0,80.80000000000001,58.63210148924436,60.412371134020624,49.73821989528797,2968.0,54256.0
18000.0,16.052872,2.266511722136703E-7,18000.0,75.5,47.925080131611395,49.1701244813278,35.18518518518518,3968.0,54256.0
19000.0,16.144924,2.279432201613155E-7,19000.0,79.7,59.42045209214557,61.48007590132828,58.23045267489712,4968.0,54256.0
20000.0,16.232592,2.2917373399560652E-7,20000.0,81.3,62.63138963270851,63.75968992248061,63.33333333333332,5968.0,54256.0
21000.0,16.315153,2.3033256564082371E-7,21000.0,86.4,72.7607755167441,73.12252964426878,71.66666666666667,6968.0,54256.0
22000.0,16.410657,2.316730660883089E-7,22000.0,86.5,72.37342937829985,72.83702213279678,69.10755148741418,7968.0,54256.0
23000.0,16.499023,2.3291337709666955E-7,23000.0,87.4,72.96230172354598,73.64016736401673,64.60674157303372,8968.0,54256.0
24000.0,16.594231,2.3424972286861804E-7,24000.0,86.9,71.1359650282471,71.45969498910675,60.778443113772454,9968.0,54256.0
25000.0,16.693419,2.3564193218325574E-7,25000.0,83.8,63.956427325477904,63.75838926174495,52.07100591715975,10968.0,54256.0
26000.0,16.794853,2.3706566650213465E-7,26000.0,89.5,77.41508070344496,77.94117647058823,71.15384615384616,11968.0,54256.0
27000.0,16.898515,2.385206731760667E-7,27000.0,86.7,72.92168870936217,73.29317269076306,69.4954128440367,12968.0,54256.0
28000.0,17.004906,2.400139842741191E-7,28000.0,85.0,69.96552041743921,68.42105263157893,69.87951807228914,13968.0,54256.0
29000.0,17.105324,2.4142345794993966E-7,29000.0,83.6,67.15901445003364,66.18556701030927,65.76200417536533,14968.0,54256.0
30000.0,17.208743,2.4287505385983317E-7,30000.0,88.5,76.94836433611289,76.67342799188641,76.2396694214876,15968.0,54256.0
31000.0,17.312774,2.443352398421201E-7,31000.0,86.1,72.15433310629432,73.52380952380952,71.34020618556701,16968.0,54256.0
32000.0,17.419698,2.458360321633518E-7,32000.0,84.6,68.95048610635062,69.19999999999999,66.9527896995708,17968.0,54256.0
33000.0,17.522158,2.472741674859491E-7,33000.0,88.5,75.31998180116919,75.0,72.81323877068559,18968.0,54256.0
