learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,43.426956,5.127464399983485E-7,1000.0,90.7,80.94215431527006,78.32167832167833,77.96208530805688,896.0,45640.0
2000.0,43.671,5.15627892067035E-7,2000.0,92.30000000000001,84.35557144830838,85.2772466539197,82.42009132420091,1896.0,45640.0
3000.0,43.963179,5.190776789250473E-7,3000.0,88.5,76.9719979495066,77.96934865900383,76.2396694214876,2896.0,45640.0
4000.0,44.310202,5.231750144105818E-7,4000.0,93.8,87.07444701565659,87.7227722772277,84.69135802469134,3896.0,45640.0
5000.0,44.533483,5.258113156486716E-7,5000.0,92.10000000000001,83.56221389929256,83.71134020618558,80.39702233250622,4896.0,45640.0
6000.0,44.767553,5.285750036955707E-7,6000.0,89.2,76.6612641815235,78.82352941176471,71.2,5896.0,45640.0
7000.0,45.181836,5.334664847701787E-7,7000.0,89.3,75.5316716213126,77.2823779193206,69.42857142857143,6896.0,45640.0
8000.0,45.573007,5.380850801347858E-7,8000.0,92.4,84.19662722754778,85.71428571428571,81.77458033573143,7896.0,45640.0
9000.0,45.813332,5.409226215961906E-7,9000.0,92.0,83.86446147640179,84.03193612774452,82.22222222222223,8896.0,45640.0
10000.0,46.02908,5.434699799451562E-7,10000.0,90.3,80.59829264975318,80.63872255489024,80.71570576540756,9896.0,45640.0
11000.0,46.351832,5.472807452910476E-7,11000.0,89.60000000000001,77.17446173430196,77.29257641921397,69.94219653179191,10896.0,45640.0
12000.0,46.579784,5.499721974962287E-7,12000.0,94.8,86.58652978048339,86.35170603674538,80.37735849056602,11896.0,45640.0
13000.0,46.807233,5.526577107297877E-7,13000.0,89.7,76.92321479782048,78.31578947368422,72.23719676549865,12896.0,45640.0
14000.0,47.253606,5.579280816639463E-7,14000.0,88.7,77.5283580189955,77.4,77.62376237623762,13896.0,45640.0
15000.0,47.719432,5.634281361268626E-7,15000.0,90.2,80.24026228027374,79.45492662473795,80.08130081300814,14896.0,45640.0
16000.0,48.129455,5.682693189527426E-7,16000.0,83.8,66.71556602029118,68.35937499999999,62.06088992974238,411.0,45640.0
17000.0,48.351629,5.708925497304234E-7,17000.0,91.4,81.83998918845869,82.26804123711341,77.4869109947644,1411.0,45640.0
18000.0,48.581233,5.736035072658625E-7,18000.0,91.5,81.4522252965462,82.36514522821578,77.51322751322752,2411.0,45640.0
19000.0,48.80203,5.762104796659615E-7,19000.0,90.9,81.74992178537909,82.73244781783681,81.27572016460906,3411.0,45640.0
