learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,51.552221,6.086822615832919E-7,1000.0,89.7,78.8929235964819,75.990675990676,75.59241706161139,878.0,45640.0
2000.0,51.793572,6.115319171299537E-7,2000.0,91.4,82.54019814844892,83.5564053537285,80.36529680365298,1878.0,45640.0
3000.0,52.034974,6.143821748387482E-7,3000.0,90.2,80.36229560756654,81.22605363984675,79.75206611570248,2878.0,45640.0
4000.0,52.28386,6.173207968887356E-7,4000.0,92.60000000000001,84.54824497295944,85.34653465346535,81.7283950617284,3878.0,45640.0
5000.0,52.513734,6.200349423413476E-7,5000.0,92.2,83.68467070227035,83.91752577319589,80.64516129032259,4878.0,45640.0
6000.0,52.779527,6.231731870418622E-7,6000.0,88.6,75.4442649434572,77.64705882352942,69.60000000000001,5878.0,45640.0
7000.0,53.210185,6.282580093894569E-7,7000.0,89.0,74.65437788018434,76.64543524416136,68.57142857142857,6878.0,45640.0
8000.0,53.514519,6.318513115557533E-7,8000.0,89.60000000000001,78.35939223185416,80.45112781954886,75.05995203836932,620.0,45640.0
9000.0,53.704346,6.340926180490191E-7,9000.0,92.80000000000001,85.4780153287616,85.62874251497007,84.00000000000001,1620.0,45640.0
10000.0,53.995802,6.375338683732683E-7,10000.0,91.0,81.99423815620999,82.03592814371258,82.10735586481114,2620.0,45640.0
11000.0,54.331865,6.41501798035784E-7,11000.0,90.60000000000001,79.17340576852348,79.4759825327511,72.83236994219654,3620.0,45640.0
12000.0,54.550294,6.440808112215666E-7,12000.0,93.0,81.5862159673813,81.62729658792652,73.58490566037737,4620.0,45640.0
13000.0,54.765549,6.466223486699165E-7,13000.0,90.3,78.5158672502082,79.57894736842105,73.85444743935311,5620.0,45640.0
14000.0,55.132252,6.509520478960541E-7,14000.0,80.5,61.065410111013506,61.00000000000001,61.3861386138614,435.0,45640.0
15000.0,55.357362,6.536099443212153E-7,15000.0,88.3,76.35102357621034,75.47169811320755,76.21951219512195,1435.0,45640.0
