learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,47.137051,6.68740282052507E-7,1000.0,89.60000000000001,78.70815846043608,75.75757575757576,75.35545023696683,204560.0,54840.0
2000.0,47.395717,6.724100146753092E-7,2000.0,91.9,83.50963770063274,84.51242829827916,81.5068493150685,205560.0,54840.0
3000.0,47.643721,6.759284839344521E-7,3000.0,89.60000000000001,79.15196612996344,80.07662835249043,78.51239669421489,206560.0,54840.0
4000.0,47.881187,6.792974490361908E-7,4000.0,93.8,87.08467867930423,87.7227722772277,84.69135802469134,207560.0,54840.0
5000.0,48.113959,6.825998196688791E-7,5000.0,92.2,83.72429795385213,83.91752577319589,80.64516129032259,208560.0,54840.0
6000.0,48.35553,6.860270230099559E-7,6000.0,87.5,72.8555917480999,75.49019607843137,66.66666666666666,209560.0,54840.0
7000.0,48.59977,6.894920918469628E-7,7000.0,90.10000000000001,77.2987846824123,78.98089171974523,71.71428571428572,210560.0,54840.0
8000.0,48.833923,6.928140549299617E-7,8000.0,92.2,83.83654184885096,85.33834586466166,81.29496402877699,211560.0,54840.0
9000.0,49.055361,6.959556284360587E-7,9000.0,92.30000000000001,84.44130127298445,84.63073852295409,82.8888888888889,212560.0,54840.0
10000.0,49.275894,6.990843625739216E-7,10000.0,90.4,80.79631289207528,80.83832335329342,80.9145129224652,213560.0,54840.0
11000.0,49.514781,7.0247348761186E-7,11000.0,91.10000000000001,80.47971645143178,80.56768558951966,74.27745664739885,214560.0,54840.0
12000.0,49.769668,7.06089607005318E-7,12000.0,93.89999999999999,84.35977642172195,83.98950131233595,76.98113207547168,215560.0,54840.0
13000.0,50.014718,7.095661674315731E-7,13000.0,89.2,75.92821258062935,77.26315789473685,70.88948787061994,216560.0,54840.0
14000.0,50.296606,7.135653539871176E-7,14000.0,88.6,77.29156042835288,77.2,77.42574257425743,217560.0,54840.0
15000.0,50.604375,7.179317180998623E-7,15000.0,89.4,78.57850170765718,77.77777777777779,78.45528455284553,218560.0,54840.0
16000.0,50.892293,7.220164531531433E-7,16000.0,91.4,82.31987862391094,83.20312500000001,79.85948477751758,219560.0,54840.0
17000.0,51.19147,7.26260921296974E-7,17000.0,92.9,84.93988681582543,85.36082474226805,81.41361256544504,220560.0,54840.0
18000.0,51.483339,7.304017097689211E-7,18000.0,91.7,82.04162880263101,82.78008298755188,78.04232804232805,221560.0,54840.0
19000.0,51.780347,7.346154059904317E-7,19000.0,89.60000000000001,79.125184661828,80.26565464895637,78.6008230452675,222560.0,54840.0
20000.0,52.062792,7.386224947869778E-7,20000.0,90.7,81.41561088685505,81.97674418604652,81.76470588235296,223560.0,54840.0
21000.0,52.338132,7.425287839025259E-7,21000.0,92.5,84.98438375910948,85.17786561264823,84.37500000000001,224560.0,54840.0
22000.0,52.611381,7.464054076932371E-7,22000.0,93.89999999999999,87.68830833319878,87.72635814889334,86.0411899313501,225560.0,54840.0
23000.0,52.87543,7.501515097295245E-7,23000.0,94.19999999999999,87.52323260136296,87.86610878661087,83.70786516853931,226560.0,54840.0
24000.0,53.149531,7.540402209696671E-7,24000.0,91.3,80.45909887246755,81.04575163398692,73.95209580838325,227560.0,54840.0
25000.0,53.41385,7.577901535357039E-7,25000.0,91.10000000000001,79.38077454151184,80.08948545861298,73.66863905325445,228560.0,54840.0
26000.0,53.676901,7.615220967990657E-7,26000.0,91.8,82.10044705224924,82.77310924369749,77.47252747252749,229560.0,54840.0
27000.0,53.948545,7.653759502184888E-7,27000.0,91.60000000000001,82.81280691416225,83.13253012048195,80.73394495412846,230560.0,54840.0
28000.0,54.223327,7.692743229058882E-7,28000.0,92.10000000000001,84.20884304789318,83.36842105263159,84.13654618473898,231560.0,54840.0
29000.0,54.50639,7.732901793594162E-7,29000.0,91.7,83.36366624708363,82.88659793814433,82.6722338204593,232560.0,54840.0
30000.0,54.788091,7.772867129184307E-7,30000.0,91.7,83.39043288934427,83.16430020283977,82.85123966942149,233560.0,54840.0
31000.0,55.071728,7.81310712794463E-7,31000.0,93.89999999999999,87.78289605447625,88.38095238095237,87.42268041237112,234560.0,54840.0
32000.0,55.359507,7.853934758342803E-7,32000.0,93.89999999999999,87.73159135338648,87.79999999999998,86.90987124463518,235560.0,54840.0
33000.0,55.642223,7.89404409347723E-7,33000.0,93.0,84.96873496873498,84.78260869565219,83.45153664302602,236560.0,54840.0
34000.0,55.91187,7.932299310341478E-7,34000.0,89.9,79.74555605467498,77.80219780219781,78.41880341880342,237560.0,54840.0
35000.0,56.187469,7.97139894620826E-7,35000.0,95.8,91.59784904935663,91.17647058823528,91.46341463414633,238560.0,54840.0
36000.0,56.450532,8.008720081299545E-7,36000.0,92.30000000000001,84.53728322074335,84.02489626556017,83.18777292576421,239560.0,54840.0
37000.0,56.719015,8.046810159770152E-7,37000.0,88.2,75.63272318773542,75.0,71.77033492822967,240560.0,54840.0
38000.0,56.997905,8.086376694651942E-7,38000.0,90.0,79.15137767696311,79.12317327766179,75.24752475247526,241560.0,54840.0
39000.0,57.263684,8.124083152661722E-7,39000.0,90.5,80.21805945410175,78.16091954022988,74.86772486772487,242560.0,54840.0
40000.0,57.544146,8.16387270949781E-7,40000.0,93.2,85.96525989036392,85.31317494600434,83.49514563106798,243560.0,54840.0
41000.0,57.808075,8.20131670528402E-7,41000.0,93.0,85.66202525941495,85.41666666666667,83.68298368298369,244560.0,54840.0
42000.0,58.090683,8.241410718299449E-7,42000.0,87.5,74.87719975238967,75.34516765285996,73.62869198312237,245560.0,54840.0
43000.0,58.364762,8.280294709528487E-7,43000.0,89.2,76.90452158144151,77.16701902748414,69.83240223463687,246560.0,54840.0
44000.0,58.630815,8.318040040321648E-7,44000.0,92.0,83.20195865162123,83.70672097759675,79.6437659033079,247560.0,54840.0
45000.0,58.889659,8.354762619671722E-7,45000.0,93.7,86.53869164629666,86.92946058091287,83.01886792452832,248560.0,54840.0
46000.0,59.159071,8.392984496740004E-7,46000.0,93.30000000000001,86.09300665044877,85.6837606837607,83.53808353808355,249560.0,54840.0
47000.0,59.40315,8.427612343803049E-7,47000.0,93.2,85.92249089102353,85.74423480083858,82.74111675126905,250560.0,54840.0
48000.0,59.683008,8.467316210269928E-7,48000.0,88.3,75.9189890091796,75.52301255230127,70.67669172932331,251560.0,54840.0
49000.0,59.955901,8.506031941932937E-7,49000.0,94.1,88.12619241203319,87.78467908902691,87.11790393013099,252560.0,54840.0
50000.0,60.241513,8.546552136850853E-7,50000.0,88.8,76.96677045330219,77.18940936863544,75.54585152838428,253560.0,54840.0
51000.0,60.575263,8.593901740697522E-7,51000.0,93.0,85.84457341610889,85.56701030927836,84.05466970387245,254560.0,54840.0
52000.0,60.856315,8.633775001702209E-7,52000.0,95.39999999999999,90.35234899328857,89.99999999999999,88.49999999999999,255560.0,54840.0
53000.0,61.143953,8.674582628222803E-7,53000.0,89.3,78.67829330697678,78.55711422845691,80.11152416356877,256560.0,54840.0
54000.0,61.429327,8.715069057730336E-7,54000.0,94.39999999999999,88.79932795967758,88.95463510848126,88.57142857142856,257560.0,54840.0
55000.0,61.751033,8.760709961565831E-7,55000.0,90.5,79.47011280632753,79.7872340425532,73.97260273972603,258560.0,54840.0
56000.0,62.052594,8.803492864593862E-7,56000.0,94.3,86.47417278888318,86.986301369863,81.73076923076921,259560.0,54840.0
57000.0,62.349932,8.845676644394794E-7,57000.0,90.8,77.61426457992681,78.89908256880734,68.49315068493152,260560.0,54840.0
58000.0,62.650194,8.888275256380438E-7,58000.0,91.5,77.4320305862362,78.09278350515466,67.30769230769232,261560.0,54840.0
59000.0,62.952864,8.931215494871139E-7,59000.0,92.0,80.6699785436762,81.4814814814815,73.85620915032682,262560.0,54840.0
60000.0,63.331579,8.98494434946527E-7,60000.0,88.0,74.28865272540281,73.50993377483444,67.74193548387098,263560.0,54840.0
61000.0,63.637691,9.028372909563283E-7,61000.0,96.0,91.7077478657816,91.85336048879836,90.2676399026764,264560.0,54840.0
62000.0,63.954694,9.073346591865023E-7,62000.0,92.60000000000001,84.15010281014395,84.35517970401692,80.5263157894737,265560.0,54840.0
63000.0,64.262586,9.117027683183551E-7,63000.0,91.8,82.19620648926562,83.16221765913758,77.95698924731184,266560.0,54840.0
64000.0,64.59465,9.164138091728092E-7,64000.0,87.4,73.9256757595699,74.39024390243902,69.7841726618705,267560.0,54840.0
65000.0,64.93034,9.211762926230829E-7,65000.0,92.80000000000001,84.68182881943707,84.24507658643327,81.4910025706941,268560.0,54840.0
66000.0,65.231994,9.254559023305775E-7,66000.0,94.39999999999999,86.29151101819801,86.37469586374695,80.88737201365186,269560.0,54840.0
67000.0,65.501456,9.292787993947666E-7,67000.0,96.39999999999999,92.50998668442077,92.69776876267748,91.26213592233009,270560.0,54840.0
68000.0,65.792169,9.334031875245274E-7,68000.0,93.60000000000001,86.63654320781428,86.38297872340426,84.65227817745806,271560.0,54840.0
69000.0,66.127633,9.381624646795294E-7,69000.0,94.8,89.45383008497778,89.00634249471457,88.57142857142856,272560.0,54840.0
70000.0,66.521363,9.437483701544505E-7,70000.0,86.0,71.31206327739184,71.65991902834008,68.53932584269661,273560.0,54840.0
71000.0,66.861273,9.485707233659925E-7,71000.0,94.0,85.87391052534926,86.33257403189066,80.58252427184465,274560.0,54840.0
72000.0,67.232063,9.538311756836873E-7,72000.0,86.9,70.87464982880519,71.70626349892008,64.10958904109589,275560.0,54840.0
73000.0,67.564123,9.585421597895524E-7,73000.0,92.9,84.91018371319998,84.73118279569893,81.46214099216712,276560.0,54840.0
74000.0,67.891843,9.631915716764828E-7,74000.0,91.9,82.80765802097042,82.27571115973743,79.17737789203085,277560.0,54840.0
75000.0,68.230098,9.679904451593757E-7,75000.0,93.5,86.5336327700939,86.11111111111113,84.59715639810427,278560.0,54840.0
