learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,51.657996,1.242741415699323E-6,1000.0,91.5,82.6799250142636,80.1864801864802,79.85781990521328,204560.0,92992.0,10.0,203219.0,103901.33360175038,122890.4,67518.74575454336,997.1999999999999,548.6236921201596,499.09999999999997,274.3118460600798,499.09999999999997,274.3118460600798,18.7,4.3982319680121975,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,52.041945,1.2518946785790226E-6,2000.0,91.8,83.4107498341075,84.32122370936904,81.2785388127854,205560.0,92152.0,10.0,203659.40000000002,119903.08245338075,123808.79999999999,76727.11425246691,1005.0,623.2488356275614,503.0,311.6244178137807,503.0,311.6244178137807,17.7,5.888784066153027,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,52.395795,1.2604980912369988E-6,3000.0,89.7,79.35904835193024,80.26819923371647,78.71900826446281,206560.0,93984.0,10.0,188962.4,133845.2315459912,112008.0,81830.22494028583,908.9999999999999,664.6282168751691,454.99999999999994,332.31410843758454,454.99999999999994,332.31410843758454,17.0,5.94418483337567,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,52.739998,1.2689873389609988E-6,4000.0,93.2,85.82358704942983,86.53465346534655,83.20987654320989,207560.0,95336.0,10.0,199772.19999999998,134639.56955334902,119677.59999999998,82649.86711449962,971.4000000000001,671.4056895797056,486.20000000000005,335.7028447898528,486.20000000000005,335.7028447898528,17.9,5.152130088074684,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,53.088719,1.2779358829578594E-6,5000.0,93.60000000000001,86.72083459554568,86.80412371134022,84.11910669975188,208560.0,99192.0,10.0,210188.79999999996,134976.64667786055,127058.4,83602.71868413,1031.6,679.1400117468825,516.3,339.57000587344123,516.3,339.57000587344123,18.2,4.756282395129858,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,53.428722,1.2858641571179035E-6,6000.0,89.8,78.02907915993539,80.0,72.80000000000001,209560.0,90136.0,10.0,172661.2,147208.0123436825,108957.6,94306.15418494996,884.0,766.0282849434043,442.5,383.01414247170214,442.5,383.01414247170214,16.5,4.927248499698161,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,53.769941,1.2937318064789808E-6,7000.0,89.2,75.18382352941177,77.07006369426752,69.14285714285715,210560.0,89128.0,10.0,141889.9,128769.38568054304,91441.6,85722.5274517213,741.5999999999999,696.231794096701,371.29999999999995,348.1158970483505,371.29999999999995,348.1158970483505,15.600000000000001,4.948624949305503,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,54.087651,1.3011954798363152E-6,8000.0,91.2,81.62524691074464,83.45864661654136,78.8968824940048,211560.0,90808.0,10.0,153238.5,128950.78548143001,99138.4,86277.17418130425,804.0,700.7052003359029,402.5,350.35260016795144,402.5,350.35260016795144,16.500000000000004,4.453463071962463,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,54.380028,1.3081021495846413E-6,9000.0,92.80000000000001,85.45454545454547,85.62874251497007,84.00000000000001,212560.0,91312.0,10.0,164602.30000000002,129194.3643198538,105872.0,87555.41465076085,858.5999999999999,711.0416771657387,429.79999999999995,355.5208385828694,429.79999999999995,355.5208385828694,16.8,4.157990967870047,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,54.715292,1.31632721690875E-6,10000.0,90.7,81.39627925585118,81.43712574850301,81.51093439363818,213560.0,94832.0,10.0,175676.39999999997,129277.88817049195,113564.0,87943.5892932383,921.0,714.1490662942078,461.0,357.0745331471039,461.0,357.0745331471039,17.4,3.6878177829171546,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,55.052734,1.3242397704658412E-6,11000.0,90.0,77.93381025724764,78.16593886462883,71.09826589595376,214560.0,90640.0,10.0,166214.00000000003,139934.55932526302,111208.0,94634.54207986989,902.2,768.4889647151017,451.6,384.24448235755085,451.6,384.24448235755085,17.7,3.7727090178455764,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,55.361753,1.3315664265159935E-6,12000.0,94.1,84.72531455496296,84.51443569553805,77.73584905660375,215560.0,91648.0,10.0,177656.40000000002,140094.2910631582,118363.2,94991.17340609425,960.6,771.2666637854036,480.8,385.6333318927018,480.8,385.6333318927018,18.0,3.711842908553348,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,55.677373,1.3391044578887525E-6,13000.0,88.7,74.59463834455966,76.21052631578948,69.54177897574124,216560.0,92320.0,10.0,189067.9,140255.61484854875,126208.0,95237.84121870885,1024.0,773.3231321166247,512.5,386.66156605831236,512.5,386.66156605831236,18.7,3.6832956257496714,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,56.024198,1.3474329869118005E-6,14000.0,87.3,74.69917921746753,74.6,74.85148514851485,217560.0,92824.0,10.0,200380.5,140517.3037800367,135596.80000000002,96370.35776258635,1099.8,782.3379207364437,550.4,391.16896036822186,550.4,391.16896036822186,19.3,3.529242915351047,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,56.379694,1.355969738165538E-6,15000.0,88.9,77.50395200843096,76.72955974842768,77.4390243902439,218560.0,92824.0,10.0,211810.0,140731.77732362604,144924.8,96397.91291055585,1175.6000000000001,782.423613595034,588.3000000000001,391.211806797517,588.3000000000001,391.211806797517,19.5,3.5978388574871505,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,56.722911,1.3645838356990785E-6,16000.0,86.4,72.07426602546991,73.4375,68.14988290398126,219560.0,97016.0,10.0,222955.9,141091.40815202825,152649.6,96903.09740629209,1238.2,786.4820122263163,619.6,393.24100611315816,619.6,393.24100611315816,19.6,3.470510689285432,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,57.062881,1.372732975571934E-6,17000.0,91.9,82.68002086950573,83.29896907216495,78.79581151832463,220560.0,92656.0,10.0,217824.30000000002,157547.08414104162,151345.59999999998,108001.05999809035,1228.0,876.6122923568383,614.5,438.30614617841917,614.5,438.30614617841917,19.099999999999998,5.506561742341788,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,57.388579,1.3805966347104148E-6,18000.0,91.2,80.74634180494294,81.74273858921163,76.71957671957674,221560.0,93328.0,10.0,229301.30000000002,157732.59039135402,159756.0,108417.80381878656,1296.2,880.0298984819904,648.6,440.0149492409952,648.6,440.0149492409952,19.2,5.28730134903956,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,57.728133,1.3887062877892623E-6,19000.0,89.2,78.32961458818242,79.50664136622392,77.77777777777779,222560.0,92320.0,10.0,224269.7,173885.30105794195,155178.39999999997,121076.78853722908,1259.1999999999998,982.8577154852521,630.0999999999999,491.42885774262606,630.0999999999999,491.42885774262606,18.700000000000003,6.272515001532037,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,58.051442,1.3964841637325786E-6,20000.0,91.4,82.81752612335418,83.33333333333334,83.13725490196079,223560.0,92992.0,10.0,235654.2,173970.99844693142,162896.80000000002,121617.32464012774,1321.8000000000002,987.0833354439285,661.4000000000001,493.54166772196425,661.4000000000001,493.54166772196425,19.299999999999997,5.396500923952688,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,58.355995,1.4038372975608543E-6,21000.0,92.2,84.39250840403393,84.58498023715416,83.75000000000001,224560.0,93328.0,10.0,246896.5,174145.16072598106,170239.20000000004,123110.00559824535,1381.4,999.2974420950841,691.2,499.64872104754204,691.2,499.64872104754204,19.6,5.103375789067903,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,58.660648,1.4112458087648785E-6,22000.0,92.60000000000001,85.07589111047473,85.11066398390344,83.06636155606408,225560.0,94000.0,10.0,258294.0,174405.70436962968,177599.2,123674.2747244641,1441.2,1003.7296891538523,721.1,501.86484457692615,721.1,501.86484457692615,19.9,4.931756504757937,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,58.964181,1.4186534680902133E-6,23000.0,91.3,81.27324700371953,81.79916317991632,75.561797752809,226560.0,94336.0,10.0,269776.7,174680.02449816,185406.40000000002,124432.8269828076,1504.4,1009.759509322228,752.7,504.879754661114,752.7,504.879754661114,20.2,4.756282395129857,0.0,0.0,0.0,0.0,1.0,0.0
24000.0,59.275119,1.4263094143921306E-6,24000.0,90.5,78.6622344009703,79.30283224400871,71.55688622754491,227560.0,95176.0,10.0,281159.20000000007,174913.02525655428,193168.0,125530.35708279227,1567.2,1018.7087469493481,784.1,509.35437347467405,784.1,509.35437347467405,20.800000000000004,4.638007234913624,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,59.579067,1.4337932522201708E-6,25000.0,91.9,81.31832649107432,81.87919463087249,76.0355029585799,228560.0,95176.0,10.0,292529.0,175164.28507229692,200347.2,126660.66541292306,1625.3999999999999,1027.6864199636861,813.1999999999999,513.8432099818431,813.1999999999999,513.8432099818431,21.2,4.565571644870382,0.0,0.0,0.0,0.0,1.0,0.0
26000.0,59.877051,1.441182047437049E-6,26000.0,89.7,77.15010825968126,78.36134453781513,71.7032967032967,229560.0,95848.0,10.0,303926.3,175508.72961894388,208168.80000000002,127218.97901457592,1689.0000000000002,1032.1395254518645,845.0000000000001,516.0697627259323,845.0000000000001,516.0697627259323,21.299999999999997,4.547282460742655,0.0,0.0,0.0,0.0,1.0,0.0
27000.0,60.195982,1.4491179659176207E-6,27000.0,90.60000000000001,80.69593218111324,81.12449799196789,78.44036697247707,230560.0,96184.0,10.0,315406.89999999997,175829.47605149838,216220.80000000002,127964.08352763155,1754.4,1038.065315864084,877.7,519.032657932042,877.7,519.032657932042,21.5,4.527692569068708,0.0,0.0,0.0,0.0,1.0,0.0
28000.0,60.532791,1.4577908092488848E-6,28000.0,89.3,78.6275277442654,77.47368421052632,78.5140562248996,231560.0,99536.0,10.0,326640.19999999995,176261.6621117593,223696.0,128470.4247158336,1815.2,1042.070353777624,908.1,521.035176888812,908.1,521.035176888812,21.5,4.527692569068708,0.0,0.0,0.0,0.0,1.0,0.0
29000.0,60.848635,1.4655950058168838E-6,29000.0,89.9,79.77265262635083,79.17525773195877,78.91440501043841,232560.0,95512.0,10.0,316759.0999999999,202425.87392670158,210584.8,147010.55226585307,1708.8,1192.7963223730474,854.9,596.3981611865237,854.9,596.3981611865237,20.300000000000004,5.618422079789544,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,61.164778,1.4734340706198584E-6,30000.0,91.3,82.58774177020624,82.3529411764706,82.02479338842976,233560.0,95848.0,10.0,328130.7,202584.1715902306,217814.4,148010.4636205007,1767.6000000000001,1201.162418474519,884.3000000000001,600.5812092372595,884.3000000000001,600.5812092372595,20.4,5.420127099780759,0.0,0.0,0.0,0.0,1.0,0.0
31000.0,61.482153,1.4813312713553512E-6,31000.0,94.39999999999999,88.78744193496715,89.33333333333331,88.45360824742266,234560.0,96184.0,10.0,339616.7,202817.3431226838,224756.0,148928.01447977775,1824.0,1208.5639779874664,912.5,604.2819889937332,912.5,604.2819889937332,20.7,5.078276172963507,0.0,0.0,0.0,0.0,1.0,0.0
32000.0,61.807315,1.4893374423972438E-6,32000.0,93.8,87.54074377740532,87.6,86.69527896995707,235560.0,95176.0,10.0,351051.0,203098.2499536178,231431.19999999998,149365.76664223374,1878.2,1211.9700032958278,939.6,605.9850016479139,939.6,605.9850016479139,20.8,5.00666222813829,0.0,0.0,0.0,0.0,1.0,0.0
33000.0,62.110805,1.4964413058799177E-6,33000.0,92.4,83.69910259270064,83.47826086956522,82.03309692671395,236560.0,90480.0,10.0,337024.9,230501.94104145365,222723.19999999995,165966.0972801373,1807.6000000000001,1346.8815175145223,904.3000000000001,673.4407587572612,904.3000000000001,673.4407587572612,19.8,6.160808027812225,0.0,0.0,0.0,0.0,1.0,0.0
34000.0,62.411788,1.5035388123657972E-6,34000.0,88.7,77.3274478330658,75.16483516483517,75.85470085470085,237560.0,91152.0,10.0,349027.3,230491.00804974773,230178.4,166919.00530842962,1868.2,1354.664763778191,934.6,677.3323818890955,934.6,677.3323818890955,20.2,5.865151319446072,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,62.712032,1.5106449906693567E-6,35000.0,94.5,88.99595050978759,88.44537815126048,88.8211382113821,238560.0,91488.0,10.0,361051.7,230480.46416082402,236819.2,167647.1945941503,1922.1999999999998,1360.58817346682,961.5999999999999,680.29408673341,961.5999999999999,680.29408673341,20.400000000000002,5.8537737116040525,0.0,0.0,0.0,0.0,1.0,0.0
36000.0,63.011223,1.5177262465573022E-6,36000.0,90.5,80.9703136893554,80.29045643153528,79.25764192139738,239560.0,91488.0,10.0,373072.1,230419.05341907914,243904.79999999996,168652.14704091707,1979.3999999999999,1368.6433834681372,990.1999999999999,684.3216917340686,990.1999999999999,684.3216917340686,20.7,5.6184220797895446,0.0,0.0,0.0,0.0,1.0,0.0
37000.0,63.307594,1.5247665202410686E-6,37000.0,87.9,75.20634061980051,74.36440677966102,71.05263157894737,240560.0,91824.0,10.0,384984.1,230406.44499543263,250904.0,169185.4132719485,2036.2,1372.9058234270842,1018.6,686.4529117135421,1018.6,686.4529117135421,21.1,5.237683966538391,0.0,0.0,0.0,0.0,1.0,0.0
38000.0,63.607158,1.5319086825640666E-6,38000.0,91.0,81.31105056814407,81.21085594989562,77.72277227722773,241560.0,92160.0,10.0,396983.1,230519.43070159812,257857.59999999998,169355.74855525605,2092.6,1374.1595572890685,1046.8,687.0797786445343,1046.8,687.0797786445343,21.3,4.922736366426028,0.0,0.0,0.0,0.0,1.0,0.0
39000.0,63.936676,1.5400507503085666E-6,39000.0,91.60000000000001,82.53522063837929,80.6896551724138,77.77777777777779,242560.0,95512.0,10.0,408832.89999999997,230683.79166751183,265554.4,171149.39356090827,2154.8,1388.7037761084175,1077.9,694.3518880542088,1077.9,694.3518880542088,21.3,4.922736366426028,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,64.255785,1.547575687588089E-6,40000.0,93.60000000000001,86.80042238648365,86.17710583153348,84.46601941747575,243560.0,91152.0,10.0,396341.3,261079.11224720543,258503.2,188361.9479552893,2097.7999999999997,1528.2551270430383,1049.3999999999999,764.1275635215192,1049.3999999999999,764.1275635215192,20.799999999999997,6.1064628786957265,0.0,0.0,0.0,0.0,1.0,0.0
41000.0,64.555514,1.5546696768659684E-6,41000.0,92.2,84.06048840298355,83.75000000000001,81.81818181818184,244560.0,91488.0,10.0,408296.69999999995,261026.95280204728,265528.8,188533.79645204789,2154.9999999999995,1529.514084058507,1077.9999999999998,764.7570420292535,1077.9999999999998,764.7570420292535,21.4,5.399588461684423,0.0,0.0,0.0,0.0,1.0,0.0
42000.0,64.905514,1.5632106292371949E-6,42000.0,88.5,76.91597414589104,77.31755424063117,75.73839662447257,245560.0,94328.0,10.0,420276.7,261050.3900471878,274404.8,188856.39681973532,2227.3999999999996,1532.3042343694894,1114.1999999999998,766.1521171847447,1114.1999999999998,766.1521171847447,21.900000000000002,5.087020520675908,0.0,0.0,0.0,0.0,1.0,0.0
43000.0,65.230644,1.5708210254088044E-6,43000.0,91.10000000000001,80.83961248654468,81.18393234672305,75.13966480446929,246560.0,90480.0,10.0,386613.0,292077.64060491405,253584.8,206988.39550768168,2057.6,1679.3676190757042,1029.3,839.6838095378521,1029.3,839.6838095378521,20.300000000000004,4.498147766951785,0.0,0.0,0.0,0.0,1.0,0.0
44000.0,65.552465,1.5784099145978689E-6,44000.0,92.7,84.71984996148566,85.13238289205704,81.42493638676847,247560.0,91152.0,10.0,398618.8,292033.10034454043,262176.8,207250.5119193785,2127.6,1681.5305329768273,1064.3,840.7652664884137,1064.3,840.7652664884137,21.3,4.4234225060089685,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,65.847948,1.5854162517003714E-6,45000.0,93.89999999999999,86.99471260446869,87.34439834024896,83.55795148247977,248560.0,91656.0,10.0,410609.0,292100.4734835829,269288.0,207225.42793778953,2185.3999999999996,1681.2608496138973,1093.1999999999998,840.6304248069487,1093.1999999999998,840.6304248069487,21.5,4.196559437338057,0.0,0.0,0.0,0.0,1.0,0.0
46000.0,66.159716,1.5927951801630357E-6,46000.0,90.9,80.99399326644333,80.55555555555556,77.64127764127765,249560.0,91488.0,10.0,422647.20000000007,292144.9815903056,276303.2,206998.5550292025,2242.2000000000003,1679.3512504006487,1121.6000000000001,839.6756252003244,1121.6000000000001,839.6756252003244,21.699999999999996,4.110960958218894,0.0,0.0,0.0,0.0,1.0,0.0
47000.0,66.453701,1.5997532203855614E-6,47000.0,92.2,83.66587927828316,83.64779874213836,80.20304568527919,250560.0,91488.0,10.0,434607.8,292176.150321381,282708.0,207155.85462802317,2294.0,1680.511099503825,1147.5,840.2555497519126,1147.5,840.2555497519126,21.799999999999997,4.049691346263318,0.0,0.0,0.0,0.0,1.0,0.0
48000.0,66.779624,1.6075238302412133E-6,48000.0,88.2,75.80370654407211,75.31380753138075,70.42606516290726,251560.0,92160.0,10.0,446585.60000000003,292115.74348390667,291029.6,206349.15811539753,2361.2,1673.7440266261344,1181.1,836.8720133130672,1181.1,836.8720133130672,22.0,3.8297084310253524,0.0,0.0,0.0,0.0,1.0,0.0
49000.0,67.12274,1.6157341779830555E-6,49000.0,92.80000000000001,85.56118847461978,85.09316770186336,84.27947598253276,252560.0,92496.0,10.0,458583.60000000003,292184.62424683926,299181.60000000003,206395.6516355043,2427.4,1673.9660955016052,1214.2,836.9830477508026,1214.2,836.9830477508026,22.200000000000003,3.6453928305312844,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,67.46714,1.6240051867129902E-6,50000.0,89.2,77.78938579425568,78.0040733197556,76.41921397379913,253560.0,92832.0,10.0,470531.60000000003,292143.25985424797,307665.60000000003,205661.64806151335,2496.4,1667.746596791944,1248.7,833.873298395972,1248.7,833.873298395972,22.200000000000003,3.6453928305312844,0.0,0.0,0.0,0.0,1.0,0.0
51000.0,67.809852,1.632235656933238E-6,51000.0,90.3,80.40878978833415,80.0,77.90432801822324,254560.0,92832.0,10.0,482512.6,292198.93073771964,315882.4,205487.37304445525,2563.4,1666.1179896860713,1282.2,833.0589948430356,1282.2,833.0589948430356,22.6,3.7475918193480524,0.0,0.0,0.0,0.0,1.0,0.0
52000.0,68.161136,1.640519315705945E-6,52000.0,94.39999999999999,88.26487845766972,87.82608695652173,85.99999999999999,255560.0,91152.0,10.0,466756.3,325214.697075315,306651.2,224897.04189981887,2488.6,1823.9867933245082,1244.8,911.9933966622541,1244.8,911.9933966622541,21.7,5.518655230720213,0.0,0.0,0.0,0.0,1.0,0.0
53000.0,68.497652,1.6485424823624392E-6,53000.0,88.4,76.88174614562907,76.75350701402806,78.43866171003717,256560.0,92160.0,10.0,478748.3,325224.8357777705,315490.4,224690.51844268918,2560.2,1822.1648175239864,1280.6,911.0824087619932,1280.6,911.0824087619932,22.200000000000003,4.613988392799541,0.0,0.0,0.0,0.0,1.0,0.0
