learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.011723,4.53699173198806E-12,100.0,98.0,94.80249480249479,0.0,92.3076923076923,100.0,1496.0
200.0,0.020484,7.927641272544862E-12,200.0,93.0,85.67774936061382,0.0,83.33333333333334,200.0,1496.0
300.0,0.024263,9.390175756480959E-12,300.0,86.66666666666667,71.60569778997682,0.0,64.28571428571429,300.0,1496.0
400.0,0.027512,1.0647591617372301E-11,400.0,90.0,75.33224384076964,0.0,64.2857142857143,400.0,1496.0
500.0,0.030199,1.1687504334582223E-11,500.0,87.2,67.97181519737369,0.0,53.284671532846716,500.0,1496.0
600.0,0.034314,1.3280076285203298E-11,600.0,89.33333333333333,69.88518727649162,0.0,53.284671532846716,600.0,1496.0
700.0,0.036753,1.422400896747907E-11,700.0,87.14285714285714,69.13308051856426,0.0,56.310679611650485,700.0,1496.0
800.0,0.038801,1.5016618288225597E-11,800.0,83.375,62.22073882600236,0.0,49.04214559386973,800.0,1496.0
900.0,0.040669,1.5739564680390888E-11,900.0,77.22222222222223,49.975597852611045,0.0,34.920634920634924,900.0,1496.0
1000.0,0.042289,1.6366531037622027E-11,1000.0,77.10000000000001,52.31153685964182,0.0,42.75000000000001,1000.0,1496.0
1100.0,0.044004,1.7030263940493265E-11,1100.0,73.1,43.69322225478294,0.0,39.14027149321266,1100.0,1496.0
1200.0,0.045822,1.7733859519163766E-11,1200.0,74.1,48.12904052744153,0.0,46.2655601659751,1200.0,1496.0
1300.0,0.047424,1.8353859583536784E-11,1300.0,71.6,43.185455476602,0.0,44.09448818897637,1300.0,1496.0
1400.0,0.049046,1.8981599973307717E-11,1400.0,65.5,30.317107655019175,0.0,39.04593639575972,1400.0,1496.0
1500.0,0.050441,1.952148766981231E-11,1500.0,61.0,20.25322667713599,0.0,34.121621621621614,1500.0,1496.0
1600.0,0.051867,2.007337287068367E-11,1600.0,58.5,7.727745711007724,0.0,31.630971993410206,1600.0,1496.0
1700.0,0.053225,2.059894096520212E-11,1700.0,57.99999999999999,4.4255520562159605,0.0,24.18772563176894,1700.0,1496.0
1800.0,0.054544,2.1109415425194633E-11,1800.0,57.4,-0.2994857885517439,0.0,18.702290076335874,1800.0,1496.0
1900.0,0.055912,2.163885368241204E-11,1900.0,59.199999999999996,0.5149812734082404,0.0,18.0722891566265,1900.0,1496.0
2000.0,0.05723,2.2148941126134657E-11,2000.0,60.8,2.3495884732657077,0.0,6.220095693779909,2000.0,1496.0
2100.0,0.058569,2.2667155911525085E-11,2100.0,65.0,5.652239546268139,0.0,0.0,2100.0,1496.0
2200.0,0.05983,2.3155183427863646E-11,2200.0,65.2,5.672651574290906,0.0,-38.09523809523808,2200.0,1496.0
2300.0,0.061603,2.3841363274388837E-11,2300.0,70.3,6.661303096204819,0.0,-50.00000000000006,2300.0,1496.0
2400.0,0.062902,2.4344097408983437E-11,2400.0,75.8,1.2655955479759198,0.0,-69.23076923076921,2400.0,1496.0
2500.0,0.064123,2.4816644274526168E-11,2500.0,82.69999999999999,-3.044887067568926,0.0,-88.04347826086966,2500.0,1496.0
2600.0,0.065377,2.5301962676975458E-11,2600.0,85.2,-4.1212308817942835,0.0,-92.20779220779234,2600.0,1496.0
2700.0,0.066688,2.5809341006808808E-11,2700.0,88.3,-1.3548633008764899,0.0,-91.8032786885244,2700.0,1496.0
2800.0,0.068545,2.6528030220005245E-11,2800.0,93.2,2.028584601198974,0.0,-88.88888888888859,2800.0,1496.0
2900.0,0.070237,2.718286174866888E-11,2900.0,98.6,11.794354838710202,0.0,-75.0,2900.0,1496.0
3000.0,0.071918,2.7833436098363664E-11,3000.0,99.4,-0.30090270812560543,0.0,-100.0,3000.0,1496.0
3100.0,0.073489,2.844143865836991E-11,3100.0,99.4,-0.30090270812560543,0.0,-100.0,3100.0,1496.0
3200.0,0.075178,2.9095109138223857E-11,3200.0,99.4,-0.30090270812560543,0.0,-100.0,3200.0,1496.0
3300.0,0.076732,2.9696532421641875E-11,3300.0,99.4,-0.30090270812560543,0.0,-100.0,3300.0,1496.0
3400.0,0.078354,3.032427281141281E-11,3400.0,100.0,?,?,?,3400.0,1496.0
