learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100.0,0.045169,1.4676677270068062E-11,100.0,86.0,58.43230403800476,-599.9999999999994,46.15384615384615,100.0,1256.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
200.0,0.066279,2.9050482230054008E-11,200.0,85.0,70.31172686788719,-114.28571428571446,64.28571428571428,200.0,2632.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
300.0,0.07236,3.4260785000191797E-11,300.0,83.33333333333334,65.70801517991862,-25.0,55.35714285714286,300.0,3312.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
400.0,0.078068,3.9647654112842354E-11,400.0,87.5,70.73541892247812,-25.00000000000003,55.35714285714286,400.0,3648.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
500.0,0.083154,4.4889609432882737E-11,500.0,88.2,71.6803624913601,7.812500000000007,56.93430656934307,500.0,3984.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
600.0,0.086955,4.897235996193357E-11,600.0,88.0,68.66840731070495,-12.499999999999973,47.445255474452566,600.0,4152.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
700.0,0.092081,5.447832660542595E-11,700.0,86.71428571428571,69.01593466217373,-3.3333333333333734,54.854368932038824,700.0,4152.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
800.0,0.100309,6.566619293557273E-11,800.0,84.375,64.63181721723139,6.015037593984967,52.107279693486596,800.0,5256.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
900.0,0.105284,7.286329857177205E-11,900.0,85.44444444444444,67.98666246700917,36.09756097560975,58.41269841269842,900.0,5592.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
1000.0,0.109642,7.935722462005086E-11,1000.0,85.0,68.49017523663878,34.49781659388645,62.5,1000.0,5760.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
1100.0,0.115372,8.839366129702993E-11,1100.0,85.5,69.24316986254878,46.09665427509294,67.1945701357466,1100.0,6096.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
1200.0,0.120763,9.689548156327672E-11,1200.0,86.2,72.26821857466682,46.71814671814671,71.36929460580913,1200.0,6096.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
1300.0,0.125678,1.0443301664458382E-10,1300.0,86.0,72.01432866372417,50.70422535211267,72.44094488188976,1300.0,5928.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
1400.0,0.13771,1.2510125835736594E-10,1400.0,84.8,69.41649899396378,55.94202898550723,73.14487632508832,1400.0,6640.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
1500.0,0.147361,1.3001480450232826E-10,1500.0,81.3,61.70449798078261,52.051282051282044,68.41216216216215,1500.0,1968.0,7.0,4.0,4.0,1.0,0.0,0.0,1.0
1600.0,0.150206,1.323287996153037E-10,1600.0,82.3,60.92163131215005,57.34939759036144,70.84019769357495,1600.0,3144.0,7.0,4.0,4.0,1.0,0.0,0.0,1.0
1700.0,0.153139,1.3509678964813554E-10,1700.0,84.39999999999999,64.50091933516593,62.857142857142854,71.84115523465702,1700.0,3648.0,7.0,4.0,4.0,1.0,0.0,0.0,1.0
1800.0,0.155993,1.3779022420446082E-10,1800.0,87.6,70.31674901375004,70.89201877934272,76.33587786259542,1800.0,3648.0,7.0,4.0,4.0,1.0,0.0,0.0,1.0
1900.0,0.159323,1.4136706168452903E-10,1900.0,88.2,70.49527924467915,71.07843137254902,76.30522088353415,1900.0,4152.0,7.0,4.0,4.0,1.0,0.0,0.0,1.0
2000.0,0.162965,1.4527902627984687E-10,2000.0,90.10000000000001,74.10681592300048,74.74489795918367,76.31578947368422,2000.0,4152.0,7.0,4.0,4.0,1.0,0.0,0.0,1.0
2100.0,0.1657,1.482167591651281E-10,2100.0,91.0,74.25864909390445,74.28571428571429,74.28571428571429,2100.0,4152.0,7.0,4.0,4.0,1.0,0.0,0.0,1.0
2200.0,0.168448,1.5128788848718012E-10,2200.0,91.9,76.51248028208222,76.72413793103449,67.85714285714288,2200.0,4320.0,7.0,4.0,4.0,1.0,0.0,0.0,1.0
2300.0,0.170907,1.5414290751020118E-10,2300.0,94.1,80.49535194319188,80.13468013468012,70.20202020202017,2300.0,4488.0,7.0,4.0,4.0,1.0,0.0,0.0,1.0
2400.0,0.173605,1.572754171987375E-10,2400.0,95.0,78.06690471386084,79.33884297520659,65.03496503496501,2400.0,4488.0,7.0,4.0,4.0,1.0,0.0,0.0,1.0
2500.0,0.175804,1.5982856353123985E-10,2500.0,99.4,96.40873395901168,96.53179190751445,93.4782608695652,2500.0,4488.0,7.0,4.0,4.0,1.0,0.0,0.0,1.0
2600.0,0.177827,1.6217736527323725E-10,2600.0,99.7,97.85106443941433,97.97297297297297,96.1038961038961,2600.0,4488.0,7.0,4.0,4.0,1.0,0.0,0.0,1.0
2700.0,0.180074,1.647862419486046E-10,2700.0,99.7,97.31960973517744,97.43589743589743,95.08196721311475,2700.0,4488.0,7.0,4.0,4.0,1.0,0.0,0.0,1.0
2800.0,0.182238,1.6739280273516975E-10,2800.0,99.7,95.4971181556196,95.58823529411764,91.66666666666666,2800.0,4656.0,7.0,4.0,4.0,1.0,0.0,0.0,1.0
2900.0,0.184148,1.697764297326406E-10,2900.0,99.7,76.78018575851378,78.57142857142857,62.5,2900.0,4824.0,7.0,4.0,4.0,1.0,0.0,0.0,1.0
3000.0,0.185863,1.7191670214136443E-10,3000.0,99.7,0.0,50.0,0.0,3000.0,4824.0,7.0,4.0,4.0,1.0,0.0,0.0,1.0
3100.0,0.187726,1.74241674443086E-10,3100.0,99.6,-0.1502253380057689,33.33333333333333,-33.33333333333333,3100.0,4824.0,7.0,4.0,4.0,1.0,0.0,0.0,1.0
3200.0,0.189456,1.764006664355596E-10,3200.0,99.3,-0.34403669724805136,-16.666666666666664,-133.33333333333331,3200.0,4824.0,7.0,4.0,4.0,1.0,0.0,0.0,1.0
3300.0,0.19132,1.7872688670953114E-10,3300.0,99.3,-0.34403669724805136,-16.666666666666664,-133.33333333333331,3300.0,4824.0,7.0,4.0,4.0,1.0,0.0,0.0,1.0
3400.0,0.193441,1.8137383585174877E-10,3400.0,99.6,0.0,-Infinity,-Infinity,3400.0,4824.0,7.0,4.0,4.0,1.0,0.0,0.0,1.0
3500.0,0.195727,1.8432605390747386E-10,3500.0,99.5,86.23348017621146,84.375,70.58823529411765,3500.0,4992.0,7.0,4.0,4.0,1.0,0.0,0.0,1.0
3600.0,0.197748,1.869360419611136E-10,3600.0,99.5,94.88229273285567,94.31818181818181,90.0,3600.0,4992.0,7.0,4.0,4.0,1.0,0.0,0.0,1.0
3700.0,0.202535,1.936531253159046E-10,3700.0,98.2,88.67297623842126,86.76470588235293,80.43478260869563,3700.0,5424.0,7.0,4.0,4.0,1.0,0.0,0.0,1.0
3800.0,0.208315,2.0138078472680513E-10,3800.0,97.7,85.88887798174142,83.08823529411762,74.99999999999997,3800.0,5168.0,9.0,5.0,5.0,2.0,0.0,0.0,1.0
3900.0,0.213794,2.1174496867590477E-10,3900.0,97.6,85.34870091814805,82.35294117647058,73.91304347826085,3900.0,7312.0,9.0,5.0,5.0,2.0,0.0,0.0,1.0
4000.0,0.218374,2.210057506130801E-10,4000.0,97.6,87.54411459414571,85.88235294117646,78.18181818181816,4000.0,7816.0,9.0,5.0,5.0,2.0,0.0,0.0,1.0
4100.0,0.225172,2.346528549161222E-10,4100.0,97.6,89.72417986110516,88.34951456310678,82.48175182481751,4100.0,7760.0,11.0,6.0,6.0,2.0,0.0,0.0,1.0
4200.0,0.227418,2.396498144500785E-10,4200.0,97.89999999999999,93.24567723342939,91.98473282442747,89.28571428571426,4200.0,8600.0,11.0,6.0,6.0,2.0,0.0,0.0,1.0
4300.0,0.229343,2.440162686010201E-10,4300.0,97.89999999999999,94.21901668226614,93.65558912386706,91.32231404958677,4300.0,8768.0,11.0,6.0,6.0,2.0,0.0,0.0,1.0
4400.0,0.231897,2.502534807556205E-10,4400.0,97.5,93.83312941547933,93.55670103092783,91.19718309859154,4400.0,9440.0,11.0,6.0,6.0,2.0,0.0,0.0,1.0
4500.0,0.234146,2.557458418111006E-10,4500.0,96.39999999999999,91.32797594958663,90.97744360902254,87.75510204081631,4500.0,9440.0,11.0,6.0,6.0,2.0,0.0,0.0,1.0
4600.0,0.238277,2.668345967928568E-10,4600.0,95.39999999999999,88.33227647431832,87.36263736263736,83.27272727272725,4600.0,10376.0,11.0,6.0,6.0,2.0,0.0,0.0,1.0
4700.0,0.243681,2.826489839288923E-10,4700.0,95.1,87.05621301775147,86.42659279778393,81.15384615384615,4700.0,11312.0,11.0,6.0,6.0,2.0,0.0,0.0,1.0
4800.0,0.248254,2.968265157606866E-10,4800.0,95.6,88.3336780201191,87.8453038674033,83.14176245210727,4800.0,11984.0,11.0,6.0,6.0,2.0,0.0,0.0,1.0
4900.0,0.254225,3.170435751477877E-10,4900.0,95.6,88.3336780201191,87.8453038674033,83.14176245210727,4900.0,13088.0,11.0,6.0,6.0,2.0,0.0,0.0,1.0
5000.0,0.258316,3.310729915069209E-10,5000.0,95.5,87.47216035634743,86.32218844984801,81.55737704918032,5000.0,13256.0,11.0,6.0,6.0,2.0,0.0,0.0,1.0
5100.0,0.262027,3.442831192579534E-10,5100.0,95.3,85.77137321385322,84.22818791946307,78.63636363636361,5100.0,13760.0,11.0,6.0,6.0,2.0,0.0,0.0,1.0
5200.0,0.266011,3.5881135405765637E-10,5200.0,94.3,78.34214845887286,78.24427480916029,66.86046511627904,5200.0,14096.0,11.0,6.0,6.0,2.0,0.0,0.0,1.0
5300.0,0.270521,3.756497489909331E-10,5300.0,93.4,72.36111460086939,73.49397590361448,58.49056603773589,5300.0,14432.0,11.0,6.0,6.0,2.0,0.0,0.0,1.0
5400.0,0.276113,3.9207216973106065E-10,5400.0,92.80000000000001,68.31794700296581,70.49180327868855,52.94117647058827,5400.0,11352.0,13.0,7.0,7.0,2.0,0.0,0.0,1.0
5500.0,0.280045,4.0232565874854723E-10,5500.0,92.80000000000001,66.61875840326395,69.87447698744772,51.677852348993326,5500.0,10080.0,13.0,7.0,7.0,2.0,0.0,0.0,1.0
5600.0,0.283567,4.118161338071028E-10,5600.0,92.30000000000001,67.09682933082645,70.61068702290078,51.57232704402519,5600.0,10416.0,13.0,7.0,7.0,2.0,0.0,0.0,1.0
5700.0,0.289817,4.3089531155096155E-10,5700.0,93.10000000000001,71.65579454148116,72.40000000000002,56.05095541401278,5700.0,11800.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
5800.0,0.293495,4.424427304830816E-10,5800.0,92.7,72.82851442694223,74.11347517730499,58.522727272727316,5800.0,12136.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
5900.0,0.296682,4.5286414730879994E-10,5900.0,92.10000000000001,71.19899670429028,73.12925170068029,56.8306010928962,5900.0,12640.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
6000.0,0.299984,4.636616114940908E-10,6000.0,91.60000000000001,72.23305720651334,74.85029940119762,59.420289855072475,6000.0,12640.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
6100.0,0.303159,4.745957524412208E-10,6100.0,91.5,75.81159222328463,78.53535353535355,65.86345381526107,6100.0,13312.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
6200.0,0.306381,4.858317867749267E-10,6200.0,91.4,76.51081867990803,78.17258883248732,66.00790513833994,6200.0,13480.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
6300.0,0.309802,4.979104734957217E-10,6300.0,92.2,79.83662496122429,80.40201005025128,71.11111111111113,6300.0,13648.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
6400.0,0.313097,5.096874924169646E-10,6400.0,90.60000000000001,75.09168380217498,76.26262626262627,64.66165413533835,6400.0,13816.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
6500.0,0.317751,5.276510698927773E-10,6500.0,91.3,76.90567961010417,77.34375000000001,66.793893129771,6500.0,14920.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
6600.0,0.321353,5.42023769683308E-10,6600.0,92.80000000000001,79.67984466370143,78.82352941176471,69.74789915966389,6600.0,15424.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
6700.0,0.324749,5.557220843103197E-10,6700.0,93.60000000000001,80.30344997384053,79.15309446254074,69.95305164319251,6700.0,15592.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
6800.0,0.327122,5.56699408011304E-10,6800.0,94.0,80.11124443943541,78.10218978102188,68.91191709844556,6800.0,1592.0,6.0,-1.0,-1.0,0.0,0.0,0.0,1.0
6900.0,0.328756,5.573723734252982E-10,6900.0,94.6,81.7905918057663,79.467680608365,71.1229946524064,6900.0,1592.0,6.0,-1.0,-1.0,0.0,0.0,0.0,1.0
7000.0,0.330327,5.580193921923636E-10,7000.0,93.5,77.35665017766323,75.6554307116105,64.8648648648649,7000.0,1592.0,6.0,-1.0,-1.0,0.0,0.0,0.0,1.0
7100.0,0.333861,5.608937889337538E-10,7100.0,93.4,71.39761646803903,67.32673267326734,53.19148936170217,7100.0,3144.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0
7200.0,0.335885,5.628039191166558E-10,7200.0,92.5,67.6495453682776,64.62264150943398,49.66442953020138,7200.0,3648.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0
7300.0,0.337875,5.646819621324537E-10,7300.0,92.60000000000001,52.053285645790396,51.31578947368425,25.25252525252528,7300.0,3648.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0
7400.0,0.340046,5.669195329149563E-10,7400.0,95.19999999999999,56.13794615932884,52.94117647058818,28.358208955223763,7400.0,3984.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0
7500.0,0.342187,5.691261837879815E-10,7500.0,95.7,42.06101110272726,43.42105263157887,10.416666666666668,7500.0,3984.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0
7600.0,0.344185,5.711854497591653E-10,7600.0,95.7,42.06101110272726,43.42105263157887,10.416666666666668,7600.0,3984.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0
7700.0,0.346447,5.735168109337487E-10,7700.0,95.7,42.06101110272726,43.42105263157887,10.416666666666668,7700.0,3984.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0
7800.0,0.348142,5.752637858192124E-10,7800.0,94.8,37.11756596609184,44.08602150537628,8.771929824561402,7800.0,3984.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0
7900.0,0.350203,5.776567074159779E-10,7900.0,93.60000000000001,48.42369931016706,54.92957746478877,25.581395348837244,7900.0,4488.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0
