learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.019796,6.4732465479109026E-12,100.0,93.0,80.59866962305988,-249.99999999999946,73.0769230769231,100.0,1264.0
200.0,0.032986,1.0786346263355679E-11,200.0,92.0,83.68179500254973,-14.285714285714308,80.95238095238096,200.0,1264.0
300.0,0.042668,1.3952338033252292E-11,300.0,85.66666666666667,68.42569022909733,-7.500000000000008,61.60714285714286,300.0,1264.0
400.0,0.053435,1.7473122311962975E-11,400.0,89.25,72.05796348040808,-7.500000000000064,61.60714285714285,400.0,1264.0
500.0,0.065562,2.1438623468081158E-11,500.0,89.2,71.5741598585025,15.625000000000014,60.58394160583942,500.0,1264.0
600.0,0.080389,2.6287018424934812E-11,600.0,90.5,71.8184514980718,10.93750000000004,58.39416058394163,600.0,1264.0
700.0,0.095774,3.131787810060713E-11,700.0,85.57142857142857,62.0064057092496,-12.222222222222197,50.97087378640778,700.0,1264.0
800.0,0.11314,3.699652022785611E-11,800.0,83.25,58.29962033982697,-0.7518796992481042,48.659003831417635,800.0,1264.0
900.0,0.132894,4.3456032872200016E-11,900.0,83.55555555555556,60.96314358060585,27.804878048780502,53.01587301587303,900.0,1264.0
1000.0,0.153918,5.033083260059357E-11,1000.0,82.3,61.018711018711016,22.707423580786,55.749999999999986,1000.0,1264.0
1100.0,0.176368,5.7671931054857044E-11,1100.0,81.3,58.329619395668054,30.483271375464664,57.69230769230768,1100.0,1264.0
1200.0,0.199595,6.526710672510996E-11,1200.0,81.39999999999999,62.37194322614056,28.185328185328167,61.410788381742734,1200.0,1264.0
1300.0,0.22207,7.261638012197283E-11,1300.0,82.6,65.3065781917948,38.73239436619718,65.74803149606299,1300.0,1264.0
1400.0,0.244588,7.997971442010667E-11,1400.0,80.60000000000001,61.67522718293166,43.768115942029,65.7243816254417,1400.0,1264.0
1500.0,0.266686,8.720570968257056E-11,1500.0,79.7,59.579467165783925,47.94871794871796,65.70945945945947,1500.0,1264.0
1600.0,0.288433,9.431692875093883E-11,1600.0,79.5,57.032428988228986,50.602409638554235,66.22734761120265,1600.0,1264.0
1700.0,0.310006,1.0137125021881527E-10,1700.0,81.8,59.60797542744526,56.66666666666666,67.1480144404332,1700.0,1264.0
1800.0,0.331537,1.0841183778312471E-10,1800.0,83.5,60.75726585168625,61.267605633802816,68.51145038167938,1800.0,1264.0
1900.0,0.350965,1.1476474917597241E-10,1900.0,83.89999999999999,59.35575078259113,60.5392156862745,67.67068273092369,1900.0,1264.0
2000.0,0.368403,1.2046693513790767E-10,2000.0,86.7,64.38708295399775,66.07142857142857,68.18181818181819,2000.0,1264.0
2100.0,0.385766,1.2614459627204472E-10,2100.0,88.4,65.72671189164913,66.85714285714286,66.85714285714286,2100.0,1264.0
2200.0,0.403336,1.318899459309048E-10,2200.0,89.2,67.67551000861988,68.96551724137932,57.14285714285715,2200.0,1264.0
2300.0,0.421801,1.379279585348235E-10,2300.0,90.7,67.43469430632398,68.68686868686869,53.03030303030304,2300.0,1264.0
2400.0,0.439029,1.4356147497892377E-10,2400.0,92.4,61.88680380730772,68.59504132231406,46.85314685314689,2400.0,1264.0
2500.0,0.456842,1.4938628507985005E-10,2500.0,94.39999999999999,57.30666016101487,67.63005780346819,39.13043478260862,2500.0,1264.0
2600.0,0.475162,1.5537688301669222E-10,2600.0,94.89999999999999,53.27445303624433,65.54054054054052,33.766233766233675,2600.0,1264.0
2700.0,0.492716,1.611170007122887E-10,2700.0,97.0,66.6570342543401,74.35897435897434,50.81967213114754,2700.0,1264.0
2800.0,0.509903,1.6673711025052595E-10,2800.0,98.6,75.97473915431084,79.41176470588232,61.111111111111114,2800.0,1264.0
2900.0,0.527031,1.7233792692422862E-10,2900.0,99.6,66.48793565683629,71.42857142857143,50.0,2900.0,1264.0
3000.0,0.54449,1.7804697983794737E-10,3000.0,99.7,0.0,50.0,0.0,3000.0,1264.0
3100.0,0.561876,1.8373216191927587E-10,3100.0,99.7,0.0,50.0,0.0,3100.0,1264.0
3200.0,0.579462,1.894827435413996E-10,3200.0,99.7,0.0,50.0,0.0,3200.0,1264.0
3300.0,0.597392,1.953458123736911E-10,3300.0,99.7,0.0,50.0,0.0,3300.0,1264.0
3400.0,0.61572,2.013390262921651E-10,3400.0,100.0,?,?,?,3400.0,1264.0
3500.0,0.633611,2.0718934221400153E-10,3500.0,99.5,82.51259093452717,84.375,70.58823529411765,3500.0,1264.0
3600.0,0.651157,2.129268439279662E-10,3600.0,99.5,94.47513812154696,94.31818181818181,90.0,3600.0,1264.0
3700.0,0.668946,2.187438060839971E-10,3700.0,96.7,76.98873145152288,75.73529411764703,64.13043478260865,3700.0,1264.0
3800.0,0.686809,2.245849660701222E-10,3800.0,95.89999999999999,72.65499946643898,69.85294117647057,55.4347826086956,3800.0,1264.0
3900.0,0.70487,2.3049087160163456E-10,3900.0,95.39999999999999,70.13297319758982,66.17647058823528,49.999999999999936,3900.0,1264.0
4000.0,0.722659,2.363078337576654E-10,4000.0,94.69999999999999,70.20128190711793,68.82352941176468,51.81818181818178,4000.0,1264.0
4100.0,0.740837,2.4225199802054297E-10,4100.0,94.19999999999999,73.16479591364615,71.84466019417472,57.664233576642296,4100.0,1264.0
4200.0,0.758483,2.480221995049053E-10,4200.0,91.7,70.79110360360362,68.32061068702292,57.65306122448981,4200.0,1264.0
4300.0,0.775373,2.5354519072506165E-10,4300.0,88.0,64.05549831060843,63.74622356495468,50.413223140495866,4300.0,1264.0
4400.0,0.792346,2.5909532275464803E-10,4400.0,85.39999999999999,61.569238544474395,62.371134020618555,48.59154929577464,4400.0,1264.0
4500.0,0.80975,2.647863907946481E-10,4500.0,81.8,54.99683494223769,54.38596491228069,38.09523809523809,4500.0,1264.0
4600.0,0.826738,2.703414277897941E-10,4600.0,81.39999999999999,52.166645235952146,48.901098901098884,32.36363636363635,4600.0,1264.0
4700.0,0.843308,2.7575977974467813E-10,4700.0,81.89999999999999,51.69726729291203,49.86149584487533,30.384615384615365,4700.0,1264.0
4800.0,0.86047,2.81371714340316E-10,4800.0,82.1,52.23660757169844,50.55248618784529,31.417624521072778,4800.0,1264.0
4900.0,0.877976,2.870961361461216E-10,4900.0,81.3,50.60593574017136,48.34254143646407,28.352490421455922,4900.0,1264.0
5000.0,0.894743,2.925789066486889E-10,5000.0,81.89999999999999,50.318401405357925,44.98480243161092,25.81967213114752,5000.0,1264.0
5100.0,0.911674,2.981153047747083E-10,5100.0,82.1,47.241216694175876,39.93288590604026,18.636363636363605,5100.0,1264.0
5200.0,0.928979,3.0377400004201474E-10,5200.0,83.3,42.29918735142903,36.25954198473281,2.9069767441860486,5200.0,1264.0
5300.0,0.946097,3.0937154673867765E-10,5300.0,85.7,47.467415102934474,42.57028112449798,10.062893081761013,5300.0,1264.0
5400.0,0.963157,3.149501275685099E-10,5400.0,86.3,46.13170601280259,43.85245901639344,10.457516339869288,5400.0,1264.0
5500.0,0.981321,3.2088971386353184E-10,5500.0,87.6,49.13237888173279,48.11715481171548,16.778523489932898,5500.0,1264.0
