learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
100.0,0.051102,4.917886108160019E-10,100.0,87.0,61.94379391100703,-549.9999999999994,50.0,100.0,37200.0,10.0,0.0,598.5999999999999,29.69549161442225,264.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
200.0,0.125931,1.2458337284624577E-9,200.0,89.5,78.87323943661973,-50.00000000000008,75.00000000000001,200.0,38952.0,10.0,0.0,1204.9,49.88085805196218,700.0,190.48476171191342,4.599999999999999,1.577621275493231,2.7999999999999994,0.7888106377466155,2.7999999999999994,0.7888106377466155,1.7999999999999998,0.7888106377466155,0.0,0.0,0.0,0.0,1.0,0.0
300.0,0.163282,1.6222937053276434E-9,300.0,85.0,68.22333113642783,-12.50000000000004,59.821428571428555,300.0,38960.0,10.0,0.0,1803.8999999999999,59.97860729738006,780.8,138.52300250219176,5.2,1.1352924243950933,3.1,0.5676462121975466,3.1,0.5676462121975466,2.0,0.4714045207910317,0.0,0.0,0.0,0.0,1.0,0.0
400.0,0.20156,2.0247331737644143E-9,400.0,88.5,71.93324994661216,-15.000000000000016,58.92857142857143,400.0,40640.0,10.0,0.0,2400.2999999999997,73.27884339213392,1002.4000000000001,118.90164002233108,7.0,0.9428090415820635,4.0,0.47140452079103173,4.0,0.47140452079103173,2.2000000000000006,0.42163702135578396,0.0,0.0,0.0,0.0,1.0,0.0
500.0,0.231311,2.3375232000317838E-9,500.0,89.0,72.16373795449024,14.06250000000001,59.854014598540154,500.0,40640.0,10.0,0.0,3013.1,86.28177353557614,1028.8,138.52300250219176,7.2,1.1352924243950933,4.1,0.5676462121975466,4.1,0.5676462121975466,2.3000000000000003,0.48304589153964794,0.0,0.0,0.0,0.0,1.0,0.0
600.0,0.261344,2.653278060671356E-9,600.0,90.83333333333333,73.78705557144218,14.06250000000001,59.854014598540154,600.0,40640.0,10.0,0.0,3614.8,80.80401530177127,1124.8,207.15040161411443,8.0,1.699673171197595,4.5,0.8498365855987975,4.5,0.8498365855987975,2.5999999999999996,0.699205898780101,0.0,0.0,0.0,0.0,1.0,0.0
700.0,0.3046,3.1173645932641296E-9,700.0,88.14285714285714,70.50042649985782,7.777777777777785,59.708737864077676,700.0,41472.0,10.0,1.0,3823.9,1280.6195072004105,1276.0,409.10960226651565,9.2,3.32665998663324,5.1,1.66332999331662,5.1,1.66332999331662,2.9,1.4491376746189437,0.0,0.0,0.0,0.0,1.0,0.0
800.0,0.336713,3.4520634408626292E-9,800.0,87.5,70.88113680041931,24.812030075187973,61.68582375478928,800.0,40288.0,10.0,3.0,3552.6,2055.743725921757,1224.8,629.6547201972417,8.8,5.116422361159971,4.9,2.5582111805799856,4.9,2.5582111805799856,2.5999999999999996,1.837873166945363,0.0,0.0,0.0,0.0,1.0,0.0
900.0,0.362459,3.724984441780382E-9,900.0,88.77777777777777,74.87923239335419,50.73170731707316,67.93650793650794,900.0,40976.0,10.0,3.0,4145.500000000001,2050.1970230525,1348.0,605.6122705347228,9.8,4.917090377222873,5.4,2.4585451886114367,5.4,2.4585451886114367,3.0,1.632993161855452,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,0.389789,4.0158844759894745E-9,1000.0,89.4,77.64005552016403,53.7117903930131,73.50000000000001,1000.0,41144.0,10.0,3.0,4750.999999999999,2060.7900858112107,1496.0,751.2620492655453,11.0,6.110100926607787,6.0,3.0550504633038935,6.0,3.0550504633038935,3.2,1.9321835661585918,0.0,0.0,0.0,0.0,1.0,0.0
