learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.008172,2.38470733165741E-12,100.0,73.0,-1.9637462235649903,-1249.9999999999989,-3.8461538461538494,100.0,1128.0
200.0,0.016653,4.859585314989091E-12,200.0,56.99999999999999,21.20934493815849,-514.2857142857148,-2.3809523809523827,200.0,1128.0
300.0,0.019563,5.708765238523484E-12,300.0,62.0,25.350329593574028,-185.00000000000009,-1.7857142857142974,300.0,1128.0
400.0,0.022376,6.529639164606731E-12,400.0,71.5,37.71683011445898,-185.00000000000009,-1.785714285714287,400.0,1128.0
500.0,0.024773,7.229118297497432E-12,500.0,72.2,33.84984390466762,-117.18750000000003,-1.4598540145985412,500.0,1128.0
600.0,0.028065,8.189771324396133E-12,600.0,76.83333333333333,38.20574375388992,-117.18749999999997,-1.4598540145985248,600.0,1128.0
700.0,0.029907,8.727293461561203E-12,700.0,70.28571428571428,23.74807537209473,-131.11111111111114,-0.9708737864077787,700.0,1128.0
800.0,0.031496,9.190986553827922E-12,800.0,67.125,17.17709301043946,-97.74436090225562,-0.7662835249041982,800.0,1128.0
900.0,0.032973,9.621996432542801E-12,900.0,64.77777777777777,12.898262239427497,-54.63414634146343,-0.6349206349206391,900.0,1128.0
1000.0,0.034481,1.006205255786578E-11,1000.0,59.8,7.133187641783613,-75.5458515283843,-0.5000000000000004,1000.0,1128.0
1100.0,0.035952,1.0491311550140382E-11,1100.0,55.7,-8.573109161315596,-64.68401486988846,-0.22624434389140297,1100.0,1128.0
1200.0,0.037497,1.0942164808511734E-11,1200.0,51.800000000000004,0.0,-86.10038610038609,0.0,1200.0,1128.0
1300.0,0.038789,1.1319189021984737E-11,1300.0,49.2,0.0,-78.8732394366197,0.0,1300.0,1128.0
1400.0,0.040196,1.1729771892229716E-11,1400.0,45.0,0.0,-59.420289855072475,2.8268551236749135,1400.0,1128.0
1500.0,0.041419,1.2086660911639532E-11,1500.0,42.6,0.0,-47.179487179487175,3.040540540540543,1500.0,1128.0
1600.0,0.042769,1.2480610360701879E-11,1600.0,34.1,0.0,-58.79518072289155,-8.566721581548599,1600.0,1128.0
1700.0,0.044013,1.2843627482652663E-11,1700.0,38.7,4.462966541777581,-45.952380952380935,-10.649819494584836,1700.0,1128.0
1800.0,0.045206,1.3191762069861094E-11,1800.0,41.699999999999996,5.83347870189108,-36.854460093896705,-11.259541984732824,1800.0,1128.0
1900.0,0.046453,1.3555654635032018E-11,1900.0,44.3,5.23471846034491,-36.519607843137244,-11.84738955823293,1900.0,1128.0
2000.0,0.047586,1.3886280357837677E-11,2000.0,52.300000000000004,12.877985344506385,-21.683673469387745,-14.114832535885153,2000.0,1128.0
2100.0,0.048893,1.4267681787411372E-11,2100.0,59.099999999999994,18.777653329520444,-16.857142857142872,-16.857142857142872,2100.0,1128.0
2200.0,0.050253,1.4664549380540848E-11,2200.0,68.89999999999999,31.25309471599348,10.632183908045956,-23.412698412698433,2200.0,1128.0
2300.0,0.051347,1.4983794341484706E-11,2300.0,74.3,32.973074475520825,13.46801346801348,-29.797979797979828,2300.0,1128.0
2400.0,0.052489,1.5317046393950783E-11,2400.0,78.2,25.033872309988386,9.917355371900834,-52.44755244755241,2400.0,1128.0
2500.0,0.053709,1.5673059970140458E-11,2500.0,83.1,5.750869991969297,2.312138728323701,-83.69565217391315,2500.0,1128.0
2600.0,0.055286,1.6133251289526623E-11,2600.0,91.60000000000001,-1.3000168833360408,43.24324324324327,-9.090909090909104,2600.0,1128.0
2700.0,0.056471,1.6479051361481352E-11,2700.0,93.89999999999999,0.0,47.863247863247814,0.0,2700.0,1128.0
2800.0,0.057595,1.6807050754626596E-11,2800.0,96.39999999999999,0.0,47.05882352941168,0.0,2800.0,1128.0
2900.0,0.058683,1.7124544829130178E-11,2900.0,99.2,0.0,42.857142857142854,0.0,2900.0,1128.0
3000.0,0.059672,1.7413149277369185E-11,3000.0,99.7,0.0,50.0,0.0,3000.0,1128.0
3100.0,0.060697,1.7712259044249857E-11,3100.0,99.7,0.0,50.0,0.0,3100.0,1128.0
3200.0,0.061575,1.796847209334374E-11,3200.0,99.7,0.0,50.0,0.0,3200.0,1128.0
3300.0,0.062445,1.822235062718392E-11,3300.0,99.7,0.0,50.0,0.0,3300.0,1128.0
3400.0,0.063326,1.8479439119497942E-11,3400.0,100.0,?,?,?,3400.0,1128.0
3500.0,0.064236,1.8744990229606636E-11,3500.0,98.3,0.0,46.875,0.0,3500.0,1128.0
3600.0,0.065083,1.899215703209242E-11,3600.0,95.0,0.0,43.18181818181811,0.0,3600.0,1128.0
3700.0,0.066005,1.9261209915081668E-11,3700.0,90.8,0.0,32.352941176470615,0.0,3700.0,1128.0
3800.0,0.067043,1.9564113269249607E-11,3800.0,90.8,0.0,32.352941176470615,0.0,3800.0,1128.0
3900.0,0.068124,1.98795646429062E-11,3900.0,90.8,0.0,32.352941176470615,0.0,3900.0,1128.0
4000.0,0.069062,2.015328655640285E-11,4000.0,89.0,0.0,35.29411764705885,0.0,4000.0,1128.0
4100.0,0.069987,2.0423214882612237E-11,4100.0,86.3,0.0,33.49514563106794,0.0,4100.0,1128.0
4200.0,0.07088,2.0683805147806812E-11,4200.0,80.4,0.0,25.190839694656507,0.0,4200.0,1128.0
4300.0,0.071772,2.0944103598594673E-11,4300.0,75.8,0.0,26.888217522658604,0.0,4300.0,1128.0
4400.0,0.072712,2.121840914090475E-11,4400.0,71.6,0.0,26.8041237113402,0.0,4400.0,1128.0
4500.0,0.073661,2.1495341012875246E-11,4500.0,70.6,0.0,26.315789473684205,0.0,4500.0,1128.0
4600.0,0.074554,2.175593127806982E-11,4600.0,72.5,0.0,24.450549450549442,0.0,4600.0,1128.0
4700.0,0.075569,2.2052122900883363E-11,4700.0,74.0,0.0,27.97783933518005,0.0,4700.0,1128.0
4800.0,0.076512,2.232730388641358E-11,4800.0,73.9,0.0,27.90055248618784,0.0,4800.0,1128.0
