learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.47485,5.8965136607488E-10,1000.0,90.2,79.2091852970753,74.80719794344473,74.80719794344473,1000.0,4800.0
2000.0,0.783141,9.724758565425872E-10,2000.0,92.60000000000001,84.4033874156413,83.91304347826087,80.87855297157624,2000.0,4800.0
3000.0,1.065546,1.3231560587882996E-9,3000.0,92.2,82.05931466582025,82.70509977827052,76.43504531722056,3000.0,4800.0
4000.0,1.319878,1.638976236184438E-9,4000.0,93.2,80.60301794220842,82.56410256410258,72.2448979591837,4000.0,4800.0
5000.0,1.570427,1.950098822514216E-9,5000.0,92.0,82.01446935940038,82.1826280623608,77.59103641456583,5000.0,4800.0
6000.0,1.822223,2.2627698878447215E-9,6000.0,93.10000000000001,85.79498665963966,86.88212927756655,83.53221957040574,6000.0,4800.0
7000.0,2.087017,2.5915813942750295E-9,7000.0,90.9,80.67940552016985,81.35245901639345,76.30208333333334,7000.0,4800.0
8000.0,2.33091,2.8944388031959536E-9,8000.0,92.60000000000001,84.90288885261957,85.02024291497978,83.18181818181819,8000.0,4800.0
9000.0,2.60635,3.23647012313207E-9,9000.0,88.5,76.91523273460146,78.97623400365632,76.19047619047619,9000.0,4800.0
10000.0,2.886071,3.583817432324092E-9,10000.0,89.9,78.79220561061649,79.4297352342159,75.06172839506173,10000.0,4800.0
11000.0,3.305951,4.105209062496821E-9,11000.0,85.39999999999999,70.75226770088786,71.86897880539499,70.44534412955466,11000.0,4800.0
12000.0,3.655685,4.5394959549109145E-9,12000.0,85.8,71.47781094207585,71.76938369781311,70.29288702928869,12000.0,4800.0
13000.0,3.961929,4.919778555631638E-9,13000.0,91.5,82.61118612168079,81.75965665236052,80.45977011494254,13000.0,4800.0
14000.0,4.253922,5.282364785671234E-9,14000.0,92.2,83.56143597179312,83.47457627118645,79.63446475195823,14000.0,4800.0
15000.0,4.549059,5.648855119943619E-9,15000.0,94.0,87.26655348047537,87.09677419354837,84.21052631578945,15000.0,4800.0
16000.0,4.840021,6.0101610918839774E-9,16000.0,91.3,81.45147535391438,82.0618556701031,77.10526315789474,16000.0,4800.0
17000.0,5.1388,6.381173928578695E-9,17000.0,94.5,87.72102161100194,88.44537815126048,84.05797101449274,17000.0,4800.0
18000.0,5.435495,6.749598930279414E-9,18000.0,95.0,88.01263947293972,88.45265588914549,83.81877022653721,18000.0,4800.0
19000.0,5.741303,7.129340122143428E-9,19000.0,92.0,79.89222231159013,80.19801980198021,74.02597402597404,19000.0,4800.0
20000.0,6.050921,7.513812432686489E-9,20000.0,93.60000000000001,83.8533887700319,85.18518518518519,78.3783783783784,20000.0,4800.0
21000.0,6.366169,7.905275871356329E-9,21000.0,90.4,73.23459874202614,75.3846153846154,62.79069767441862,21000.0,4800.0
22000.0,6.669798,8.282311260700227E-9,22000.0,92.0,78.68655921140271,80.00000000000001,70.90909090909092,22000.0,4800.0
23000.0,6.965562,8.64958018064499E-9,23000.0,94.0,85.01109179207386,84.81012658227847,79.59183673469387,23000.0,4800.0
24000.0,7.262255,9.018002698818843E-9,24000.0,89.5,76.58319877965013,77.51605995717345,71.38964577656675,24000.0,4800.0
25000.0,7.582478,9.415643910566966E-9,25000.0,92.10000000000001,81.87541296527422,83.29809725158563,76.27627627627629,25000.0,4800.0
