learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.25004,4.6687425838576425E-9,1000.0,89.5,77.69260839267808,73.00771208226222,73.00771208226222,1000.0,72176.0
2000.0,0.433865,8.308842943774328E-9,2000.0,92.7,84.47363495601573,84.13043478260872,81.13695090439278,2000.0,76544.0
3000.0,0.579311,1.127746149069733E-8,3000.0,90.9,78.85550175197272,79.82261640798227,72.50755287009063,3000.0,78896.0
4000.0,0.703925,1.3853385142154163E-8,4000.0,93.10000000000001,79.99768089053805,82.30769230769232,71.83673469387757,4000.0,79904.0
5000.0,0.824604,1.654502655689915E-8,5000.0,88.7,74.11273103814821,74.83296213808464,68.34733893557423,5000.0,86216.0
6000.0,0.95142,1.950451558455825E-8,6000.0,91.4,82.2774688928364,83.65019011406845,79.47494033412889,6000.0,90208.0
7000.0,1.086792,2.2745483573526146E-8,7000.0,88.2,74.19704709257574,75.81967213114754,69.27083333333334,7000.0,92544.0
8000.0,1.203526,2.5584688673002855E-8,8000.0,90.9,81.3203054437967,81.57894736842107,79.31818181818183,8000.0,94016.0
9000.0,1.336563,2.8779941325386368E-8,9000.0,87.6,75.02849570852615,77.33089579524682,74.32712215320912,9000.0,92840.0
10000.0,1.475509,3.238771220048269E-8,10000.0,87.1,73.28971343382476,73.72708757637474,68.14814814814815,10000.0,100368.0
11000.0,1.615842,3.558887552469969E-8,11000.0,84.39999999999999,68.7505007932565,69.9421965317919,68.42105263157893,11000.0,88176.0
12000.0,1.738994,3.8366515085928974E-8,12000.0,90.3,80.54771225052943,80.71570576540756,79.70711297071131,12000.0,87184.0
13000.0,1.850288,4.086702857994371E-8,13000.0,93.8,87.38016242952227,86.69527896995707,85.7471264367816,13000.0,86848.0
14000.0,1.958657,4.3353633162462055E-8,14000.0,92.80000000000001,84.81095973638578,84.74576271186442,81.20104438642299,14000.0,88696.0
15000.0,2.068104,4.589351375897726E-8,15000.0,94.0,87.1487320082248,87.09677419354837,84.21052631578945,15000.0,89704.0
16000.0,2.177615,4.845391771652633E-8,16000.0,93.0,84.94494150034413,85.56701030927836,81.57894736842107,16000.0,90376.0
17000.0,2.286715,5.101893737705218E-8,17000.0,95.19999999999999,89.23163208076275,89.91596638655462,86.08695652173913,17000.0,90880.0
18000.0,2.38632,5.3373709755639246E-8,18000.0,95.6,89.47040945748677,89.83833718244803,85.76051779935274,18000.0,91384.0
19000.0,2.493777,5.5909441833694785E-8,19000.0,92.30000000000001,80.81293357786461,80.94059405940595,75.00000000000003,19000.0,91216.0
20000.0,2.604018,5.852524354433021E-8,20000.0,95.89999999999999,89.97594226142742,90.50925925925925,86.14864864864865,20000.0,91720.0
21000.0,2.713369,6.112467989118564E-8,21000.0,90.9,74.93306301442314,76.66666666666667,64.72868217054265,21000.0,91888.0
22000.0,2.82056,6.369140463777716E-8,22000.0,93.10000000000001,81.63916977115488,82.75000000000001,74.90909090909092,22000.0,92560.0
23000.0,2.928904,6.630928244234789E-8,23000.0,93.4,83.40974903474904,83.29113924050634,77.55102040816328,23000.0,93400.0
24000.0,3.047542,6.911401599438655E-8,24000.0,90.3,78.26418206100371,79.22912205567452,73.56948228882835,24000.0,91384.0
25000.0,3.160097,7.182385903679663E-8,25000.0,92.10000000000001,81.76361957525393,83.29809725158563,76.27627627627629,25000.0,93064.0
26000.0,3.28301,7.488813795977169E-8,26000.0,90.8,78.88329347172429,80.29978586723769,73.63896848137537,26000.0,96368.0
27000.0,3.40079,7.771865773532126E-8,27000.0,90.2,78.66857053302454,78.125,74.61139896373058,27000.0,92896.0
28000.0,3.565207,8.117860813935599E-8,28000.0,86.2,72.10171149935107,71.36929460580913,70.8245243128964,28000.0,81344.0
29000.0,3.692321,8.375464697678885E-8,29000.0,88.8,77.68995410504846,78.74762808349146,78.16764132553607,29000.0,78336.0
30000.0,3.797743,8.599646676331759E-8,30000.0,91.8,83.59343737494999,84.55743879472693,83.66533864541833,30000.0,82200.0
31000.0,3.904994,8.832379372790456E-8,31000.0,91.3,82.63195719875431,81.87500000000001,81.83716075156576,31000.0,83880.0
32000.0,4.018835,9.083865201100707E-8,32000.0,92.10000000000001,84.10616278508314,84.32539682539684,82.78867102396515,32000.0,85392.0
33000.0,4.129856,9.329603891819714E-8,33000.0,91.4,82.67135211812496,83.4932821497121,81.62393162393164,33000.0,85560.0
34000.0,4.242852,9.584134033570686E-8,34000.0,92.80000000000001,85.39666313752693,85.3658536585366,83.6734693877551,34000.0,87072.0
35000.0,4.344501,9.815313310051957E-8,35000.0,94.39999999999999,88.12769511921064,87.87878787878786,85.22427440633244,35000.0,87912.0
