learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.147092,4.80987462732527E-11,1000.0,79.5,55.61002650406224,47.30077120822623,47.30077120822623,1000.0,1264.0
2000.0,0.352786,1.1536021199491289E-10,2000.0,83.39999999999999,64.26403282542333,63.91304347826085,57.10594315245478,2000.0,1264.0
3000.0,0.535631,1.7515010717842314E-10,3000.0,80.9,53.80581998297347,57.64966740576497,42.29607250755288,3000.0,1264.0
4000.0,0.723955,2.3673162278201845E-10,4000.0,87.8,63.61141766337579,68.71794871794872,50.204081632653065,4000.0,1264.0
5000.0,0.904253,2.956886548135016E-10,5000.0,84.2,64.01583303346527,64.81069042316257,55.7422969187675,5000.0,1264.0
6000.0,1.079351,3.5294529878430895E-10,6000.0,86.3,71.68251343530385,73.95437262357414,67.30310262529832,6000.0,1264.0
7000.0,1.256478,4.1086542109648386E-10,7000.0,84.89999999999999,66.72777591707944,69.05737704918032,60.67708333333333,7000.0,1264.0
8000.0,1.433158,4.686393754349815E-10,8000.0,87.5,74.47937933850551,74.69635627530364,71.59090909090908,8000.0,1264.0
9000.0,1.611306,5.268933624029159E-10,9000.0,80.30000000000001,60.33567695120282,63.98537477148082,59.21325051759835,9000.0,1264.0
10000.0,1.78853,5.848452034923765E-10,10000.0,83.39999999999999,65.12605042016806,66.19144602851324,59.012345679012334,10000.0,1264.0
11000.0,1.976069,6.461700258983506E-10,11000.0,77.8,55.56800896645585,57.22543352601157,55.06072874493928,11000.0,1264.0
12000.0,2.159358,7.061051080624262E-10,12000.0,83.1,65.93099110577117,66.40159045725646,64.64435146443513,12000.0,1264.0
13000.0,2.340892,7.654663092560238E-10,13000.0,84.5,68.15548342030652,66.7381974248927,64.36781609195403,13000.0,1264.0
14000.0,2.51341,8.218792991505728E-10,14000.0,78.3,52.46190380217143,54.02542372881356,43.342036553524814,14000.0,1264.0
15000.0,2.690281,8.797157100505298E-10,15000.0,80.9,57.54045882980616,58.92473118279571,49.73684210526317,15000.0,1264.0
16000.0,2.864258,9.3660578959518E-10,16000.0,84.3,65.64852091720637,67.62886597938143,58.68421052631578,16000.0,1264.0
17000.0,3.037158,9.93143692612648E-10,17000.0,85.9,67.53246753246754,70.3781512605042,59.13043478260869,17000.0,1264.0
18000.0,3.209565,1.0495203857620557E-9,18000.0,90.9,77.8379589490809,78.98383371824481,70.55016181229774,18000.0,1264.0
19000.0,3.381929,1.1058830180101923E-9,19000.0,88.7,71.01017978819473,72.02970297029704,63.31168831168832,19000.0,1264.0
20000.0,3.558872,1.1637429727448357E-9,20000.0,89.8,74.37185929648243,76.3888888888889,65.54054054054055,20000.0,1264.0
21000.0,3.735717,1.2215708817044893E-9,21000.0,83.89999999999999,52.75322510593842,58.71794871794871,37.596899224806194,21000.0,1264.0
