learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.025217,7.358683894077937E-12,1000.0,61.1,0.0,0.0,0.0,1000.0,1128.0
2000.0,0.038554,1.1250612636407215E-11,2000.0,61.3,0.0,15.869565217391296,0.0,2000.0,1128.0
3000.0,0.047515,1.3865561534961063E-11,3000.0,66.9,0.0,26.607538802660756,0.0,3000.0,1128.0
4000.0,0.056345,1.6442282746235528E-11,4000.0,75.5,0.0,37.17948717948718,0.0,4000.0,1128.0
5000.0,0.063799,1.8617467333873112E-11,5000.0,64.3,0.0,20.489977728285076,0.0,5000.0,1128.0
6000.0,0.072032,2.1019975344340006E-11,6000.0,58.099999999999994,0.0,20.342205323193912,0.0,6000.0,1128.0
7000.0,0.078876,2.3017153143882752E-11,7000.0,61.6,0.0,21.31147540983606,0.0,7000.0,1128.0
8000.0,0.085252,2.4877761801083884E-11,8000.0,56.00000000000001,0.0,10.931174089068836,0.0,8000.0,1128.0
9000.0,0.091191,2.66108475625515E-11,9000.0,51.7,0.0,11.700182815356492,0.0,9000.0,1128.0
10000.0,0.09688,2.82709797223409E-11,10000.0,38.0,0.0,-26.272912423625254,-53.08641975308641,10000.0,1128.0
11000.0,0.102126,2.980183809995651E-11,11000.0,49.4,0.0,2.5048169556840096,-2.4291497975708523,11000.0,1128.0
12000.0,0.107499,3.136975690722465E-11,12000.0,52.1,0.0,4.771371769383702,-0.2092050209205023,12000.0,1128.0
13000.0,0.112709,3.2890109966198597E-11,13000.0,56.49999999999999,0.0,6.652360515021442,0.0,13000.0,1128.0
14000.0,0.117736,3.4357060988744096E-11,14000.0,61.7,0.0,18.855932203389823,0.0,14000.0,1128.0
15000.0,0.122526,3.575485199689865E-11,15000.0,62.0,0.0,18.279569892473113,0.0,15000.0,1128.0
16000.0,0.127622,3.7241938213507336E-11,16000.0,62.0,0.0,21.649484536082472,0.0,16000.0,1128.0
17000.0,0.132241,3.858982895811399E-11,17000.0,65.5,0.0,27.521008403361346,0.0,17000.0,1128.0
18000.0,0.136747,3.990474467476209E-11,18000.0,69.1,0.0,28.637413394919164,0.0,18000.0,1128.0
19000.0,0.141317,4.1238336513439815E-11,19000.0,69.19999999999999,0.0,23.762376237623755,0.0,19000.0,1128.0
20000.0,0.145751,4.253224159280459E-11,20000.0,70.39999999999999,0.0,31.48148148148148,0.0,20000.0,1128.0
21000.0,0.150277,4.385299359758695E-11,21000.0,74.2,0.0,33.84615384615385,0.0,21000.0,1128.0
22000.0,0.154732,4.5153026779492696E-11,22000.0,72.5,0.0,31.25,0.0,22000.0,1128.0
23000.0,0.159121,4.64338002105554E-11,23000.0,70.6,0.0,25.569620253164548,0.0,23000.0,1128.0
24000.0,0.163551,4.772653803229332E-11,24000.0,63.3,0.0,21.41327623126338,0.0,24000.0,1128.0
25000.0,0.168252,4.909835755825043E-11,25000.0,66.7,0.0,29.59830866807611,0.0,25000.0,1128.0
26000.0,0.172543,5.035053317745527E-11,26000.0,65.10000000000001,0.0,25.267665952890795,0.0,26000.0,1128.0
27000.0,0.176788,5.1589285333951316E-11,27000.0,61.4,0.0,13.839285714285705,0.0,27000.0,1128.0
28000.0,0.181551,5.297919735312462E-11,28000.0,52.7,0.0,1.86721991701245,0.0,28000.0,1128.0
29000.0,0.185871,5.423983559012413E-11,29000.0,48.199999999999996,0.0,1.7077798861480091,-0.9746588693957123,29000.0,1128.0
30000.0,0.19038,5.555562674999237E-11,30000.0,50.2,0.0,6.2146892655367285,0.7968127490039847,30000.0,1128.0
31000.0,0.194982,5.6898556649684906E-11,31000.0,47.699999999999996,0.0,-8.958333333333341,-9.185803757828818,31000.0,1128.0
32000.0,0.199339,5.8169992019732794E-11,32000.0,45.9,0.0,-7.341269841269837,-17.86492374727669,32000.0,1128.0
33000.0,0.203989,5.952692901094755E-11,33000.0,46.800000000000004,0.0,-2.1113243761996072,-13.675213675213676,33000.0,1128.0
34000.0,0.208525,6.085059915979703E-11,34000.0,44.1,0.0,-13.61788617886179,-26.757369614512488,34000.0,1128.0
35000.0,0.213038,6.216755757729212E-11,35000.0,37.9,0.0,-34.415584415584426,-63.852242744063325,35000.0,1128.0
36000.0,0.217693,6.352595364054043E-11,36000.0,33.0,0.0,-48.8888888888889,-103.03030303030305,36000.0,1128.0
37000.0,0.222205,6.484262024362881E-11,37000.0,32.300000000000004,0.0,-52.13483146067417,-109.59752321981426,37000.0,1128.0
38000.0,0.226749,6.6168624907732E-11,38000.0,32.5,0.0,-48.351648351648365,-107.69230769230771,38000.0,1128.0
39000.0,0.231373,6.751797472437222E-11,39000.0,31.900000000000002,0.0,-58.74125874125872,-113.47962382445145,39000.0,1128.0
40000.0,0.235929,6.884748116135596E-11,40000.0,36.199999999999996,0.0,-39.9122807017544,-76.24309392265194,40000.0,1128.0
41000.0,0.240306,7.012475281953811E-11,41000.0,33.2,0.0,-50.790067720090306,-101.20481927710844,41000.0,1128.0
42000.0,0.244748,7.142099241415659E-11,42000.0,34.2,0.0,-44.93392070484582,-92.39766081871346,42000.0,1128.0
43000.0,0.24902,7.266762355963389E-11,43000.0,42.6,0.0,-14.342629482071715,-34.74178403755867,43000.0,1128.0
44000.0,0.253276,7.390958567460378E-11,44000.0,44.2,0.0,-10.27667984189723,-26.24434389140273,44000.0,1128.0
45000.0,0.257501,7.514250154296557E-11,45000.0,43.3,0.0,-15.010141987829616,-30.946882217090057,45000.0,1128.0
46000.0,0.26187,7.641743868589402E-11,46000.0,45.300000000000004,0.0,-15.64482029598309,-20.7505518763797,46000.0,1128.0
47000.0,0.26617,7.767224063475928E-11,47000.0,40.400000000000006,0.0,-21.632653061224485,-47.52475247524751,47000.0,1128.0
48000.0,0.27054,7.894746959209442E-11,48000.0,41.9,0.0,-21.802935010482187,-38.6634844868735,48000.0,1128.0
49000.0,0.274916,8.022444943586986E-11,49000.0,43.1,0.0,-17.805383022774333,-32.01856148491878,49000.0,1128.0
50000.0,0.279393,8.153090253472329E-11,50000.0,42.3,0.0,-18.724279835390952,-36.40661938534278,50000.0,1128.0
51000.0,0.283841,8.282889301578204E-11,51000.0,39.0,0.0,-25.514403292181072,-56.4102564102564,51000.0,1128.0
52000.0,0.288282,8.41248407959938E-11,52000.0,41.699999999999996,0.0,-19.467213114754102,-39.80815347721822,52000.0,1128.0
53000.0,0.29271,8.54169949889183E-11,53000.0,38.9,0.0,-22.199999999999996,-57.06940874035988,53000.0,1128.0
54000.0,0.297095,8.669660116235416E-11,54000.0,39.300000000000004,0.0,-28.329809725158565,-54.452926208651384,54000.0,1128.0
55000.0,0.300896,8.780578772226969E-11,55000.0,30.9,0.0,-65.31100478468899,-123.62459546925561,55000.0,1128.0
56000.0,0.304628,8.889483908812204E-11,56000.0,24.9,0.0,-104.63215258855587,-201.60642570281126,56000.0,1128.0
57000.0,0.308377,8.998885129888851E-11,57000.0,28.499999999999996,0.0,-71.87499999999999,-150.8771929824561,57000.0,1128.0
58000.0,0.312266,9.112371752659478E-11,58000.0,41.8,0.0,-26.247288503253806,-39.23444976076554,58000.0,1128.0
59000.0,0.316008,9.221568703651426E-11,59000.0,35.6,0.0,-38.79310344827587,-80.89887640449439,59000.0,1128.0
60000.0,0.320049,9.33949090540409E-11,60000.0,55.400000000000006,-1.561681642839883,1.97802197802198,-43.408360128617325,60000.0,1128.0
61000.0,0.323852,9.450467924276986E-11,61000.0,64.3,0.0,19.955156950672638,0.0,61000.0,1128.0
62000.0,0.3276,9.559839963912963E-11,62000.0,71.7,0.0,28.172588832487307,0.0,62000.0,1128.0
63000.0,0.33157,9.675690283377965E-11,63000.0,71.6,0.0,27.17948717948717,0.0,63000.0,1128.0
64000.0,0.335475,9.789643809199332E-11,64000.0,69.69999999999999,0.0,27.16346153846153,0.0,64000.0,1128.0
65000.0,0.34278,1.0002814233303069E-10,65000.0,68.8,0.0,29.41176470588233,0.0,65000.0,1128.0
66000.0,0.346522,1.0112011184295017E-10,66000.0,61.9,0.0,24.554455445544555,0.0,66000.0,1128.0
67000.0,0.350224,1.0220040877660114E-10,67000.0,56.699999999999996,0.0,8.06794055201697,0.0,67000.0,1128.0
68000.0,0.353904,1.0327428579330442E-10,68000.0,59.3,0.0,16.768916155419216,0.0,68000.0,1128.0
69000.0,0.357552,1.043388247489929E-10,69000.0,58.599999999999994,0.0,14.639175257731948,0.0,69000.0,1128.0
70000.0,0.361191,1.0540073737502095E-10,70000.0,58.099999999999994,0.0,14.139344262295072,0.0,70000.0,1128.0
71000.0,0.364874,1.0647548983494438E-10,71000.0,61.1,0.0,11.791383219954636,0.0,71000.0,1128.0
72000.0,0.368639,1.0757417107621826E-10,72000.0,57.599999999999994,0.0,17.348927875243657,0.0,72000.0,1128.0
73000.0,0.372376,1.0866468151410419E-10,73000.0,50.3,0.0,6.928838951310857,0.0,73000.0,1128.0
74000.0,0.376171,1.0977211718757945E-10,74000.0,48.1,0.0,-3.1809145129224685,-10.19108280254778,74000.0,1128.0
75000.0,0.379865,1.1085007960597672E-10,75000.0,45.0,0.0,-14.583333333333334,-22.222222222222232,75000.0,1128.0
76000.0,0.38352,1.1191666126251218E-10,76000.0,52.300000000000004,0.0,-2.36051502145923,2.6530612244897984,76000.0,1128.0
77000.0,0.387191,1.1298791194955505E-10,77000.0,57.599999999999994,0.0,14.688128772635805,0.0,77000.0,1128.0
