learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.475932,5.6193770219882325E-9,1000.0,90.7,80.16719269811482,76.09254498714654,76.09254498714654,713.0,45640.0
2000.0,0.766416,9.049150844415028E-9,2000.0,92.4,83.96658298348137,83.47826086956522,80.36175710594317,1713.0,45640.0
3000.0,0.997446,1.1776945305367311E-8,3000.0,91.7,80.7446038492233,81.59645232815966,74.92447129909367,2713.0,45640.0
4000.0,1.220503,1.4410601752913661E-8,4000.0,92.9,79.7766890737154,81.79487179487181,71.02040816326533,3713.0,45640.0
5000.0,1.512289,1.7855748420374263E-8,5000.0,91.8,81.58850763627873,81.73719376391982,77.03081232492998,4713.0,45640.0
6000.0,1.738659,2.0528521792342267E-8,6000.0,93.4,86.41712594617067,87.45247148288975,84.24821002386636,5713.0,45640.0
7000.0,1.98311,2.3414779350989397E-8,7000.0,90.4,79.527075442727,80.32786885245902,75.00000000000001,6713.0,45640.0
8000.0,2.205685,2.6042744776027073E-8,8000.0,91.4,82.4288983327885,82.5910931174089,80.45454545454545,7713.0,45640.0
9000.0,2.525122,2.9814369583295455E-8,9000.0,88.3,76.47844058092221,78.61060329067642,75.77639751552795,8713.0,45640.0
10000.0,2.980051,3.5185762070533305E-8,10000.0,87.2,72.97297297297297,73.93075356415478,68.39506172839506,133.0,45640.0
11000.0,3.201487,3.780027920794156E-8,11000.0,82.5,64.95710749957946,66.28131021194605,64.57489878542509,1133.0,45640.0
12000.0,3.429671,4.0494470660471257E-8,12000.0,87.8,75.523928369372,75.7455268389662,74.47698744769873,2133.0,45640.0
13000.0,3.635369,4.2923167648000855E-8,13000.0,93.0,85.69881708787057,84.9785407725322,83.9080459770115,3133.0,45640.0
14000.0,3.833126,4.525810444934501E-8,14000.0,93.30000000000001,85.78858505213681,85.80508474576273,82.50652741514361,4133.0,45640.0
15000.0,4.029654,4.7578530324002114E-8,15000.0,94.39999999999999,87.99313893653516,87.95698924731181,85.26315789473684,5133.0,45640.0
16000.0,4.228995,4.9932169572760666E-8,16000.0,92.30000000000001,83.63373575922462,84.1237113402062,79.73684210526318,6133.0,45640.0
