learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.449938,5.3124632479416E-9,1000.0,90.8,80.48209231970334,76.3496143958869,76.3496143958869,712.0,45640.0
2000.0,0.705755,8.33292031246755E-9,2000.0,92.30000000000001,83.65430337612935,83.2608695652174,80.10335917312663,1712.0,45640.0
3000.0,1.022488,1.207261871960428E-8,3000.0,91.9,81.23801317508409,82.039911308204,75.52870090634441,2712.0,45640.0
4000.0,1.287099,1.5196907427161932E-8,4000.0,92.60000000000001,79.13435781756662,81.02564102564104,69.79591836734696,3712.0,45640.0
5000.0,1.58311,1.8691939094828234E-8,5000.0,92.5,83.1493996692789,83.29621380846326,78.99159663865547,4712.0,45640.0
6000.0,1.825485,2.1553685112545888E-8,6000.0,91.9,83.25754443985119,84.60076045627378,80.66825775656325,5712.0,45640.0
7000.0,2.189714,2.5854173571699197E-8,7000.0,91.8,82.33793982837648,83.19672131147541,78.64583333333334,6712.0,45640.0
8000.0,2.426273,2.8647249492092266E-8,8000.0,92.5,84.6575566647574,84.8178137651822,82.95454545454545,7712.0,45640.0
9000.0,2.75311,3.250624684409963E-8,9000.0,90.5,80.92216242268455,82.63254113345523,80.33126293995859,8712.0,45640.0
10000.0,3.238559,3.823799204288258E-8,10000.0,90.0,79.11794186435014,79.63340122199594,75.30864197530866,9712.0,45640.0
11000.0,3.658952,4.320161450240347E-8,11000.0,80.9,61.77339428242058,63.198458574181124,61.33603238866397,430.0,45640.0
12000.0,3.897822,4.6021976632376513E-8,12000.0,89.5,78.94694630468781,79.12524850894633,78.03347280334728,1430.0,45640.0
13000.0,4.101199,4.842326933931974E-8,13000.0,93.0,85.7366994722579,84.9785407725322,83.9080459770115,2430.0,45640.0
14000.0,4.290066,5.065324101597071E-8,14000.0,91.3,81.63751181953262,81.5677966101695,77.2845953002611,3430.0,45640.0
15000.0,4.492569,5.304421431695422E-8,15000.0,94.89999999999999,89.10442659374465,89.03225806451613,86.57894736842104,4430.0,45640.0
16000.0,4.694441,5.542773733743364E-8,16000.0,93.10000000000001,85.33412684917532,85.77319587628867,81.8421052631579,5430.0,45640.0
17000.0,4.892504,5.776628711157376E-8,17000.0,94.39999999999999,87.43690409422321,88.23529411764704,83.76811594202897,6430.0,45640.0
18000.0,5.080562,5.998670684380665E-8,18000.0,95.89999999999999,90.32105760151086,90.53117782909929,86.7313915857605,7430.0,45640.0
19000.0,5.271524,6.224141439629927E-8,19000.0,93.10000000000001,83.0015766653528,82.92079207920794,77.59740259740262,8430.0,45640.0
20000.0,5.463581,6.450905072399312E-8,20000.0,94.39999999999999,85.92964824120601,87.03703703703702,81.08108108108107,9430.0,45640.0
21000.0,5.668532,6.692892780734433E-8,21000.0,90.9,74.59434710263885,76.66666666666667,64.72868217054265,10430.0,45640.0
22000.0,5.881437,6.944271856918931E-8,22000.0,94.3,84.97627833421191,85.75,79.27272727272727,11430.0,45640.0
23000.0,6.085501,7.185212275427248E-8,23000.0,94.0,85.10308664044808,84.81012658227847,79.59183673469387,12430.0,45640.0
24000.0,6.289005,7.425491496299703E-8,24000.0,90.5,78.81337032444536,79.65738758029978,74.11444141689374,13430.0,45640.0
