learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,76.883071,1.7541129032439656E-6,1000.0,88.7,76.81442512085225,73.78190255220419,73.22274881516589,721790.0,88192.0
2000.0,77.03302,1.757216876997716E-6,2000.0,89.60000000000001,78.74670982719441,79.80582524271846,76.25570776255708,722790.0,80016.0
3000.0,77.174463,1.7600792030824556E-6,3000.0,87.7,75.32300778428697,76.74858223062382,74.63917525773196,723790.0,78224.0
4000.0,77.306021,1.762989258931743E-6,4000.0,91.3,81.85534328856262,82.53012048192771,78.51851851851853,724790.0,85504.0
5000.0,77.419436,1.765567001555529E-6,5000.0,92.10000000000001,83.49559186061089,84.0725806451613,80.39702233250622,725790.0,87856.0
6000.0,77.535587,1.7681026012491849E-6,6000.0,87.8,73.69272237196766,74.84536082474227,67.46666666666667,726790.0,84384.0
7000.0,77.656578,1.7707701515013144E-6,7000.0,88.0,71.83164714443323,73.62637362637362,65.61604584527221,727790.0,85224.0
8000.0,77.770566,1.7733130277300045E-6,8000.0,91.9,83.12528124531259,84.45297504798465,80.52884615384616,728790.0,86232.0
9000.0,77.878108,1.7757401485472089E-6,9000.0,91.9,83.63966875378712,83.05439330543933,82.0,729790.0,87240.0
10000.0,77.98994,1.7782689510016804E-6,10000.0,88.3,76.6,76.64670658682635,77.01375245579568,730790.0,87408.0
11000.0,78.123245,1.7812485499410992E-6,11000.0,87.0,70.95880618354033,71.23893805309734,61.98830409356725,731790.0,86400.0
12000.0,78.23912,1.7838788470356828E-6,12000.0,93.2,82.15644598388833,82.78481012658229,74.33962264150945,732790.0,87744.0
13000.0,78.352599,1.7864843482379283E-6,13000.0,87.5,71.76570504422621,73.34754797441364,66.30727762803235,733790.0,88752.0
14000.0,78.488318,1.7895473971880143E-6,14000.0,86.1,72.37305518233784,72.03219315895372,72.74509803921568,734790.0,87240.0
15000.0,78.61236,1.7923792538088227E-6,15000.0,89.3,78.26811058485185,77.03862660944206,78.25203252032522,735790.0,88248.0
16000.0,78.73219,1.7951409913144175E-6,16000.0,87.4,74.08345948792207,75.19685039370079,70.56074766355141,736790.0,89088.0
17000.0,78.855288,1.7979940969910884E-6,17000.0,88.9,76.52621873334631,77.97619047619048,70.86614173228347,737790.0,89592.0
18000.0,78.971712,1.8006925159361624E-6,18000.0,88.9,76.03399286633446,76.58227848101265,70.63492063492063,738790.0,89592.0
19000.0,79.098127,1.803584041934874E-6,19000.0,87.2,74.2780780901473,74.60317460317461,73.6082474226804,739790.0,88416.0
20000.0,79.22359,1.80647560391989E-6,20000.0,89.60000000000001,79.22683892411006,80.03838771593091,79.44664031620555,740790.0,89088.0
21000.0,79.336793,1.8091092080850566E-6,21000.0,90.7,81.40163665597429,81.32530120481928,80.5439330543933,741790.0,89928.0
22000.0,79.448967,1.8117139978686139E-6,22000.0,91.5,82.88085072101829,83.43079922027292,80.68181818181819,742790.0,89760.0
23000.0,79.55602,1.8141905676180288E-6,23000.0,90.60000000000001,79.8787588190972,79.6976241900648,73.59550561797754,743790.0,89424.0
24000.0,79.666246,1.8167740759977862E-6,24000.0,88.8,75.15693276844931,75.33039647577093,66.56716417910448,744790.0,90600.0
25000.0,79.779093,1.8194484432703917E-6,25000.0,89.3,75.23744283783535,76.2749445676275,68.15476190476191,745790.0,91608.0
26000.0,79.887026,1.822015735293842E-6,26000.0,90.9,80.26629656937156,80.9623430962343,75.13661202185793,746790.0,91944.0
27000.0,80.009041,1.8250222734423974E-6,27000.0,87.6,74.51370504957497,73.27586206896551,71.42857142857143,747790.0,95248.0
28000.0,80.120549,1.8276406760327516E-6,28000.0,90.10000000000001,80.20823337491603,79.11392405063292,80.04032258064517,748790.0,90768.0
29000.0,80.233199,1.8303152705542742E-6,29000.0,87.8,75.58290803562494,74.8971193415638,74.31578947368422,749790.0,91776.0
30000.0,80.345474,1.8329809616319835E-6,30000.0,91.10000000000001,82.20967793520326,81.9838056680162,81.57349896480332,750790.0,91776.0
31000.0,80.462351,1.8357660751231013E-6,31000.0,89.8,79.56894479609005,79.72166998011929,79.09836065573771,751790.0,92112.0
32000.0,80.579042,1.838546756338328E-6,32000.0,91.9,83.74016380279429,83.73493975903615,82.9113924050633,752790.0,92112.0
33000.0,80.693463,1.841283290591091E-6,33000.0,91.9,82.71609153216515,81.46453089244852,80.48192771084338,753790.0,92448.0
34000.0,80.799091,1.8438095282576978E-6,34000.0,86.6,73.10327939269614,70.74235807860262,71.42857142857143,754790.0,92448.0
35000.0,80.907288,1.846416016773631E-6,35000.0,93.4,86.79445367054164,86.77354709418839,86.55804480651732,755790.0,93120.0
36000.0,81.018654,1.8490891668510933E-6,36000.0,91.0,81.95061688780504,81.89134808853119,80.30634573304158,756790.0,92784.0
37000.0,81.125785,1.851660663007448E-6,37000.0,85.39999999999999,70.23372641124757,68.93617021276596,65.07177033492823,757790.0,92784.0
38000.0,81.232794,1.854243183148404E-6,38000.0,88.0,75.08140075752542,74.63002114164905,70.2970297029703,758790.0,93288.0
39000.0,81.349813,1.8570723671962819E-6,39000.0,87.0,73.34197326815104,70.2517162471396,65.69920844327176,759790.0,93456.0
40000.0,81.463446,1.859824626153956E-6,40000.0,90.10000000000001,79.55964454428332,80.08048289738431,75.97087378640778,760790.0,93624.0
41000.0,81.568949,1.8623799716681244E-6,41000.0,91.8,83.19534388064596,82.17391304347827,80.93023255813955,761790.0,93624.0
42000.0,81.689197,1.8652153014226094E-6,42000.0,85.39999999999999,70.66729886004282,69.51983298538622,69.00212314225053,762790.0,91144.0
43000.0,81.846349,1.8689168883446192E-6,43000.0,85.7,69.69054684188215,68.7089715536105,60.16713091922005,763790.0,91048.0
44000.0,81.957522,1.8716031222769786E-6,44000.0,90.3,79.49416112092949,79.91718426501035,75.31806615776082,764790.0,93400.0
45000.0,82.065156,1.8742459462314018E-6,45000.0,93.2,85.381185585849,86.00823045267491,81.5718157181572,765790.0,94912.0
46000.0,82.171616,1.8768738248261315E-6,46000.0,92.7,84.84848484848486,85.0715746421268,82.1515892420538,766790.0,95416.0
47000.0,82.275207,1.8794263822440473E-6,47000.0,92.2,83.86643059255705,83.81742738589213,80.20304568527919,767790.0,95248.0
48000.0,82.391385,1.8824198932800857E-6,48000.0,84.2,67.6759410801964,66.02150537634408,60.5,768790.0,99600.0
49000.0,82.516048,1.8856578341685237E-6,49000.0,94.3,88.56854062379668,88.91050583657587,87.52735229759298,769790.0,100400.0
50000.0,82.653995,1.8890149804618625E-6,50000.0,86.7,72.51407362095047,72.68993839835728,70.96069868995633,770790.0,94072.0
51000.0,82.774504,1.891921559336285E-6,51000.0,90.10000000000001,79.95464485300073,79.375,77.5,771790.0,93232.0
52000.0,82.888504,1.894700874251624E-6,52000.0,92.5,84.24912425130839,84.04255319148936,81.203007518797,772790.0,94240.0
53000.0,83.002276,1.897504298898081E-6,53000.0,86.3,72.83578538287662,71.69421487603306,74.39252336448598,773790.0,95248.0
54000.0,83.121302,1.9004630512909757E-6,54000.0,91.0,81.99913595852601,82.24852071005918,81.70731707317074,774790.0,96088.0
55000.0,83.245567,1.9034926264484724E-6,55000.0,88.6,74.85941118094608,75.58886509635975,68.93732970027247,775790.0,94240.0
56000.0,83.361708,1.9063645203494364E-6,56000.0,92.80000000000001,82.77182235834611,82.00000000000001,76.77419354838712,776790.0,95584.0
57000.0,83.496771,1.909809413039022E-6,57000.0,88.1,69.58233219160574,70.02518891687657,58.96551724137932,777790.0,98592.0
58000.0,83.613853,1.9126791327322524E-6,58000.0,90.10000000000001,72.39479349074809,74.4186046511628,62.21374045801527,778790.0,94744.0
