learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,2.461698,7.183589413762093E-10,1000.0,42.3,0.0,-33.87470997679814,-36.729857819905206,721790.0,1128.0
2000.0,2.46843,7.203234359622001E-10,2000.0,43.8,0.0,-9.126213592233007,-28.310502283105038,722790.0,1128.0
3000.0,2.472197,7.214227008322874E-10,3000.0,48.5,0.0,2.6465028355387545,-6.185567010309284,723790.0,1128.0
4000.0,2.475996,7.225313037633895E-10,4000.0,40.5,0.0,-19.47791164658634,-46.91358024691357,724790.0,1128.0
5000.0,2.479818,7.23646618425846E-10,5000.0,40.300000000000004,0.0,-20.36290322580645,-48.13895781637715,725790.0,1128.0
6000.0,2.484346,7.249679540594418E-10,6000.0,37.5,0.0,-28.865979381443303,-66.66666666666666,726790.0,1128.0
7000.0,2.487474,7.258807495236396E-10,7000.0,34.9,0.0,-43.076923076923094,-86.5329512893983,727790.0,1128.0
8000.0,2.490598,7.267923777302106E-10,8000.0,41.6,0.0,-12.092130518234164,-40.38461538461537,728790.0,1128.0
9000.0,2.493694,7.276958351333936E-10,9000.0,45.0,0.0,-15.062761506276154,-22.222222222222232,729790.0,1128.0
10000.0,2.496705,7.28574488312006E-10,10000.0,50.0,0.0,0.19960079840319378,1.7681728880157188,730790.0,1128.0
11000.0,2.499696,7.294473052024841E-10,11000.0,34.599999999999994,0.0,-44.690265486725686,-91.22807017543863,731790.0,1128.0
12000.0,2.502633,7.303043641149997E-10,12000.0,26.5,0.0,-86.0759493670886,-177.35849056603772,732790.0,1128.0
13000.0,2.505502,7.311415796478589E-10,13000.0,37.1,0.0,-34.11513859275054,-69.54177897574124,733790.0,1128.0
14000.0,2.508537,7.320272363722325E-10,14000.0,52.7,0.0,4.828973843058355,7.25490196078432,734790.0,1128.0
15000.0,2.511559,7.329090995093187E-10,15000.0,45.4,0.0,-17.167381974248933,-10.97560975609756,735790.0,1128.0
16000.0,2.514411,7.337413541972637E-10,16000.0,42.8,0.0,-12.598425196850393,-33.644859813084096,736790.0,1128.0
17000.0,2.517177,7.345485128462315E-10,17000.0,38.1,0.0,-22.817460317460316,-62.46719160104986,737790.0,1128.0
18000.0,2.51993,7.35351877907912E-10,18000.0,37.8,0.0,-31.22362869198313,-64.55026455026454,738790.0,1128.0
19000.0,2.522644,7.361438622077307E-10,19000.0,48.5,0.0,-2.1825396825396846,-6.185567010309284,739790.0,1128.0
