learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,233.726998,2.759638187765247E-6,1000.0,89.1,77.70559937166607,74.70997679814386,74.17061611374407,878.0,45640.0
2000.0,233.955086,2.7623312457361156E-6,2000.0,91.5,82.73017627410665,83.49514563106797,80.59360730593608,1878.0,45640.0
3000.0,234.222597,2.7654897750355304E-6,3000.0,88.5,76.98066375755636,78.26086956521739,76.28865979381445,2878.0,45640.0
4000.0,234.494817,2.7687039039718608E-6,4000.0,93.2,85.83480887407563,86.34538152610443,83.20987654320989,3878.0,45640.0
5000.0,234.733924,2.7715270643846855E-6,5000.0,91.60000000000001,82.44389360999529,83.06451612903226,79.15632754342433,4878.0,45640.0
6000.0,234.986449,2.7745086524739034E-6,6000.0,89.5,77.37068965517241,78.35051546391753,72.00000000000001,5878.0,45640.0
7000.0,235.232867,2.7774181345995102E-6,7000.0,90.9,79.27088173924137,80.0,73.92550143266476,6878.0,45640.0
8000.0,235.477105,2.780301877245721E-6,8000.0,90.9,81.01540464308961,82.53358925143954,78.12500000000001,7878.0,45640.0
9000.0,235.704027,2.782981168137243E-6,9000.0,91.10000000000001,82.07452165156093,81.38075313807532,80.22222222222223,8878.0,45640.0
10000.0,235.934434,2.785701606774496E-6,10000.0,91.0,82.0,82.03592814371258,82.31827111984283,9878.0,45640.0
11000.0,236.188488,2.7887012479205927E-6,11000.0,90.60000000000001,79.08731712526253,79.20353982300885,72.51461988304094,10878.0,45640.0
12000.0,236.424948,2.7914931549380223E-6,12000.0,93.5,83.33418799035948,83.54430379746837,75.47169811320757,11878.0,45640.0
13000.0,236.699782,2.794738147635427E-6,13000.0,87.9,72.92168324187874,74.2004264392324,67.38544474393531,12878.0,45640.0
14000.0,237.023498,2.7985602950263354E-6,14000.0,79.4,58.88436927424925,58.5513078470825,59.60784313725491,691.0,45640.0
15000.0,237.251659,2.80125421491555E-6,15000.0,89.1,77.95253930111572,76.60944206008584,77.84552845528455,1691.0,45640.0
16000.0,237.476695,2.803911237615264E-6,16000.0,89.0,77.52092597436568,78.34645669291339,74.29906542056075,2691.0,45640.0
17000.0,237.699044,2.8065365346355567E-6,17000.0,91.5,81.89702174061202,83.13492063492063,77.69028871391077,3691.0,45640.0
18000.0,237.916873,2.809108463560955E-6,18000.0,89.60000000000001,77.26994562271607,78.05907172995781,72.4867724867725,4691.0,45640.0
19000.0,238.141524,2.8117609405269224E-6,19000.0,88.6,77.09969667142083,77.38095238095238,76.49484536082475,5691.0,45640.0
20000.0,238.356389,2.8142978732060227E-6,20000.0,89.8,79.61801767237763,80.42226487523992,79.84189723320159,6691.0,45640.0
21000.0,238.561133,2.8167153062195415E-6,21000.0,90.4,80.76953894969633,80.72289156626506,79.9163179916318,7691.0,45640.0
22000.0,238.757034,2.819028329042097E-6,22000.0,90.7,81.25151197484074,81.87134502923978,78.86363636363637,8691.0,45640.0
23000.0,238.95204,2.821330784509579E-6,23000.0,90.10000000000001,78.66379310344827,78.61771058315335,72.19101123595506,9691.0,45640.0
24000.0,239.151496,2.8236857815749115E-6,24000.0,89.7,76.9337573341694,77.31277533039648,69.25373134328359,10691.0,45640.0
25000.0,239.35137,2.8260457140083112E-6,25000.0,89.9,76.15540068370257,77.60532150776054,69.9404761904762,11691.0,45640.0
26000.0,239.547866,2.828365762055748E-6,26000.0,91.5,81.39441219475893,82.21757322175733,76.77595628415301,12691.0,45640.0
27000.0,239.749748,2.830749403147234E-6,27000.0,89.8,78.97843434676516,78.01724137931035,76.49769585253458,13691.0,45640.0
28000.0,239.976981,2.8334323660470545E-6,28000.0,90.2,80.41253597697474,79.32489451476795,80.24193548387098,14691.0,45640.0
