learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,179.038016,4.104821096791161E-6,1000.0,89.9,79.36788089751762,76.56612529002321,76.06635071090048,721790.0,88624.0,10.0,179715.4,115509.07591296308,113019.2,86057.54876153774,916.4000000000001,698.3040089308445,458.70000000000005,349.15200446542224,458.70000000000005,349.15200446542224,15.399999999999999,7.183313998427188,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,179.41283,4.113316751552953E-6,2000.0,91.3,82.43885896990788,83.10679611650487,80.13698630136987,722790.0,87616.0,10.0,167566.8,127667.80182506646,99390.40000000001,87780.84482922987,806.0,712.1786604809529,403.5,356.08933024047644,403.5,356.08933024047644,14.8,6.5625198412398476,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,179.745743,4.1213105138846575E-6,3000.0,89.1,78.15018241590828,79.39508506616258,77.5257731958763,723790.0,92816.0,10.0,179031.9,126923.28013537242,107738.4,88944.38544418891,873.6,721.5754676785759,437.3,360.78773383928797,437.3,360.78773383928797,15.900000000000002,5.258854966202772,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,180.049629,4.1287789888100496E-6,4000.0,92.60000000000001,84.63359428535831,85.14056224899599,81.7283950617284,724790.0,95000.0,10.0,189786.5,126422.26655340428,114623.2,90131.13144845003,929.4,731.1171360778427,465.2,365.55856803892135,465.2,365.55856803892135,16.7,4.522781838156198,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,180.35012,4.135838151791444E-6,5000.0,92.80000000000001,85.03684676484158,85.48387096774195,82.13399503722086,725790.0,90808.0,10.0,169717.2,126476.50051979354,105175.20000000001,93253.81149052897,853.2,756.7435790572949,427.1,378.37178952864747,427.1,378.37178952864747,16.4,4.599516882842757,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,180.657383,4.1427231846873964E-6,6000.0,89.4,77.16747442110933,78.14432989690722,71.73333333333333,726790.0,86616.0,10.0,168620.6,136253.59471400705,107170.40000000001,99222.98099757155,869.4,805.2890716313547,435.2,402.64453581567733,435.2,402.64453581567733,16.4,4.812021982031624,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,180.982209,4.149973527640105E-6,7000.0,89.2,75.3134957461496,76.26373626373628,69.054441260745,727790.0,86280.0,10.0,160836.69999999998,146184.73111333407,103389.59999999999,106352.70073486616,838.5999999999999,863.3123806981264,419.79999999999995,431.6561903490632,419.79999999999995,431.6561903490632,16.2,5.553777493242276,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,181.270589,4.156460504407684E-6,8000.0,90.7,80.69289664679212,82.14971209213053,77.64423076923079,728790.0,86952.0,10.0,172831.7,146211.21692344037,110912.0,106459.38152491149,899.6,863.9722474966684,450.3,431.9861237483342,450.3,431.9861237483342,16.7,5.121848624601603,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,181.536748,4.162470765355975E-6,9000.0,92.2,84.2741935483871,83.68200836820084,82.66666666666667,729790.0,87288.0,10.0,184787.9,146293.4893929551,117597.59999999999,107487.87258435768,954.0,872.3242261656818,477.5,436.1621130828409,477.5,436.1621130828409,17.2,4.848825745591515,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,181.828823,4.169117023957273E-6,10000.0,90.2,80.4,80.43912175648703,80.74656188605108,730790.0,87960.0,10.0,196734.9,146327.2081242355,125537.6,107648.29203289757,1018.4,873.3374300158368,509.7,436.6687150079184,509.7,436.6687150079184,17.900000000000002,4.483302354291979,0.0,0.0,0.0,0.0,1.0,0.0
