learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,171.886042,2.041926568332646E-7,1000.0,72.7,46.72339096834629,19.469026548672552,36.36363636363637,1033682.0,4592.0
2000.0,173.738279,2.0639302860117624E-7,2000.0,65.5,27.011314304089908,34.410646387832706,33.13953488372094,1034682.0,4592.0
3000.0,175.671722,2.0868986933595608E-7,3000.0,65.8,33.63321288990488,29.045643153526974,28.601252609603346,1035682.0,4592.0
4000.0,177.533185,2.109012011645569E-7,4000.0,69.6,41.420401116095505,40.74074074074073,33.039647577092495,1036682.0,4592.0
5000.0,179.458957,2.1318892910662628E-7,5000.0,64.0,29.01788354989452,30.769230769230777,31.034482758620697,1037682.0,4592.0
6000.0,181.39403,2.1548770620591114E-7,6000.0,66.7,37.27348759408978,30.769230769230777,20.143884892086348,1038682.0,4592.0
7000.0,183.247254,2.1768925048410897E-7,7000.0,68.89999999999999,42.03211905223445,35.4771784232365,20.66326530612244,1039682.0,4592.0
8000.0,185.170411,2.199738719272945E-7,8000.0,60.8,28.025059030468157,18.503118503118497,-5.660377358490571,1040682.0,4592.0
9000.0,187.088431,2.22252390852405E-7,9000.0,60.8,27.552570590039956,19.008264462809912,-3.9787798408488095,1041682.0,4592.0
10000.0,188.9299,2.2443997073504663E-7,10000.0,66.8,37.162865524746856,35.65891472868218,20.76372315035801,1042682.0,4592.0
11000.0,190.755773,2.266090232920316E-7,11000.0,71.5,46.062771578676426,43.675889328063235,31.490384615384613,1043682.0,4592.0
12000.0,192.715997,2.2893767861442436E-7,12000.0,67.4,35.48412632445548,34.93013972055889,33.33333333333334,1044682.0,4592.0
13000.0,194.58372,2.3115644703308745E-7,13000.0,63.6,32.247304782893565,25.102880658436217,9.90099009900991,1045682.0,4592.0
14000.0,196.3749,2.3328428591291113E-7,14000.0,62.7,30.90954893011677,6.045340050377839,-35.144927536231876,1046682.0,4592.0
15000.0,198.188461,2.3543871238413787E-7,15000.0,63.5,30.608892708040248,18.16143497757847,-20.46204620462044,1047682.0,4592.0
16000.0,200.128671,2.3774359200149778E-7,16000.0,59.9,23.23713408424389,22.135922330097085,9.276018099547494,1048682.0,4592.0
17000.0,201.992973,2.3995829643060767E-7,17000.0,60.699999999999996,19.91881846635367,18.464730290456423,26.404494382022463,1049682.0,4592.0
18000.0,203.943381,2.422752907996377E-7,18000.0,59.199999999999996,23.17801987580446,15.876288659793806,6.422018348623857,1050682.0,4592.0
19000.0,205.856506,2.445479946914647E-7,19000.0,63.9,30.047978173419015,31.628787878787882,21.691973969631235,1051682.0,4592.0
20000.0,207.690365,2.4672653424657056E-7,20000.0,60.0,26.927292656192908,17.864476386036955,-14.285714285714299,1052682.0,4592.0
21000.0,209.629514,2.490301534450717E-7,21000.0,66.4,36.44837186781263,29.113924050632917,17.647058823529427,1053682.0,4592.0
22000.0,211.534806,2.512935520956914E-7,22000.0,63.1,27.75528424086271,30.508474576271187,22.641509433962263,1054682.0,4592.0
23000.0,213.322988,2.5341782949037026E-7,23000.0,65.8,30.853214718964832,32.94117647058824,29.192546583850937,1055682.0,4592.0
24000.0,215.085815,2.5551198631938965E-7,24000.0,70.0,38.86434405516881,38.77551020408162,37.75933609958505,1056682.0,4592.0
25000.0,216.991283,2.5777559404985776E-7,25000.0,71.5,38.96432089775986,45.50669216061185,35.66591422121895,1057682.0,4592.0
26000.0,218.848574,2.599819697356887E-7,26000.0,73.9,36.75854849965109,44.70338983050847,29.838709677419352,1058682.0,4592.0
27000.0,220.762469,2.622555883518524E-7,27000.0,76.0,37.948259190121355,45.945945945945944,27.92792792792792,1059682.0,4592.0
28000.0,222.635577,2.6448075390110417E-7,28000.0,77.0,39.488652806937225,50.21645021645021,30.930930930930927,1060682.0,4592.0
29000.0,224.466118,2.6665535182588635E-7,29000.0,76.9,42.97310107832682,51.059322033898304,36.53846153846154,1061682.0,4592.0
30000.0,226.302285,2.6883663317809506E-7,30000.0,72.3,38.58365482683694,45.03968253968254,34.204275534441805,1062682.0,4592.0
31000.0,228.264349,2.711674743352665E-7,31000.0,70.3,39.82299450504919,39.387755102040806,39.139344262295076,1063682.0,4592.0
