learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,45.528686,6.371591131140789E-7,1000.0,81.39999999999999,61.90632232166627,45.13274336283184,56.64335664335663,697.0,54096.0
2000.0,45.639884,6.387152928610643E-7,2000.0,74.3,47.7442600017893,51.14068441064639,50.1937984496124,1697.0,54096.0
3000.0,45.72424,6.398958275715511E-7,3000.0,77.3,54.09727333759332,52.9045643153527,52.609603340292274,2697.0,54096.0
4000.0,45.832856,6.414158730705579E-7,4000.0,74.8,48.52015885208125,50.877192982456144,44.493392070484575,3697.0,54096.0
5000.0,45.914112,6.425530242919922E-7,5000.0,68.5,36.77238057005219,39.423076923076934,39.65517241379312,603.0,54096.0
6000.0,45.977384,6.434384952982267E-7,6000.0,80.9,61.10264827833398,60.291060291060305,54.19664268585134,1603.0,54096.0
7000.0,46.036206,6.4426169000566E-7,7000.0,83.6,65.81168073112971,65.97510373443983,58.16326530612245,2603.0,54096.0
8000.0,46.103237,6.451997669910391E-7,8000.0,75.1,45.65739277701634,48.23284823284823,32.88409703504043,3603.0,54096.0
9000.0,46.191676,6.464374419550101E-7,9000.0,72.1,39.43209447724903,42.35537190082644,25.994694960212193,49.0,54096.0
10000.0,46.254879,6.473219473287463E-7,10000.0,82.3,62.867548335123516,65.69767441860465,57.75656324582338,1049.0,54096.0
11000.0,46.313044,6.481359475354354E-7,11000.0,84.6,68.12913907284768,69.56521739130434,62.980769230769226,2049.0,54096.0
12000.0,46.39237,6.492460890362661E-7,12000.0,79.5,59.08281637964761,59.081836327345314,58.07770961145196,3049.0,54096.0
13000.0,46.509471,6.508848793432118E-7,13000.0,75.9,50.56613062028226,50.41152263374485,40.346534653465355,4049.0,54096.0
14000.0,46.58122,6.518880922471485E-7,14000.0,76.6,36.61697148305451,41.05793450881613,15.217391304347839,633.0,54048.0
15000.0,46.638062,6.526828716571134E-7,15000.0,80.60000000000001,53.55006775943726,56.50224215246637,35.973597359736,1633.0,54048.0
16000.0,46.711043,6.537042169521254E-7,16000.0,67.60000000000001,32.60446308222256,37.087378640776706,26.69683257918552,719.0,54096.0
17000.0,46.771383,6.545486555745206E-7,17000.0,68.8,37.83869939432578,35.26970954356845,41.57303370786515,1719.0,54096.0
18000.0,46.829677,6.553644610941412E-7,18000.0,77.7,54.78361017389047,54.02061855670104,48.85321100917432,2719.0,54096.0
19000.0,46.889946,6.562079060946904E-7,19000.0,74.2,48.18174149517768,51.13636363636363,44.0347071583514,3719.0,54096.0
20000.0,46.944888,6.569768014674388E-7,20000.0,77.60000000000001,50.442477876106196,54.004106776180706,36.00000000000001,4719.0,54096.0
21000.0,47.005665,6.57827355762323E-7,21000.0,79.7,57.73580506004432,57.17299578059072,50.2450980392157,5719.0,54096.0
22000.0,47.068254,6.58703268406292E-7,22000.0,81.8,63.4216439358311,65.72504708097928,61.844863731656176,6719.0,54096.0
23000.0,47.132131,6.595972061902286E-7,23000.0,82.89999999999999,65.82597226108157,66.47058823529412,64.59627329192546,7719.0,54096.0
24000.0,47.195075,6.604780869434278E-7,24000.0,82.3,64.60764474873426,63.87755102040815,63.278008298755175,8719.0,54096.0
25000.0,47.259418,6.613785462453963E-7,25000.0,80.9,61.642581153052134,63.47992351816445,56.88487584650114,9719.0,54096.0
26000.0,47.319718,6.62222425080836E-7,26000.0,84.6,67.7121771217712,67.37288135593221,58.6021505376344,10719.0,54096.0
27000.0,47.377784,6.630350398148101E-7,27000.0,80.5,55.05545465441103,56.08108108108109,41.44144144144145,11719.0,54096.0
28000.0,47.436152,6.638518809402984E-7,28000.0,86.1,68.77976030043304,69.9134199134199,58.25825825825825,12719.0,54096.0
29000.0,47.498678,6.647269119198125E-7,29000.0,86.8,71.78908494050062,72.03389830508475,63.73626373626373,13719.0,54096.0
30000.0,47.566551,6.656767724206052E-7,30000.0,82.69999999999999,64.43344325386708,65.67460317460316,58.90736342042755,14719.0,54096.0
31000.0,47.629131,6.665525591125092E-7,31000.0,85.39999999999999,70.84198753794536,70.20408163265306,70.08196721311475,15719.0,54096.0
32000.0,47.693095,6.674477144330741E-7,32000.0,78.8,57.555688138416514,57.684630738522955,56.91056910569107,16719.0,54096.0
33000.0,47.757404,6.683476979161303E-7,33000.0,81.69999999999999,63.19507015059852,62.03319502074688,60.560344827586185,17719.0,54096.0
34000.0,47.816576,6.691757907594245E-7,34000.0,83.0,65.92271271243179,67.8030303030303,66.66666666666666,18719.0,54096.0
35000.0,47.877515,6.700286121914785E-7,35000.0,82.5,64.88594956418446,65.5511811023622,63.46555323590813,19719.0,54096.0
36000.0,47.938328,6.708796702946227E-7,36000.0,81.6,63.09252543406399,60.515021459227455,62.29508196721311,20719.0,54096.0
37000.0,47.998006,6.717148444429041E-7,37000.0,88.4,75.48864236661383,75.78288100208769,70.48346055979644,21719.0,54096.0
38000.0,48.055265,6.725161654750507E-7,38000.0,87.4,74.73207983058461,72.66811279826464,74.39024390243902,22719.0,54096.0
39000.0,48.115777,6.733630111813546E-7,39000.0,84.5,68.97542853940321,68.937875751503,67.77546777546777,23719.0,54096.0
40000.0,48.174413,6.741836028794448E-7,40000.0,82.6,65.3498273465535,66.2135922330097,61.58940397350992,24719.0,54096.0
41000.0,48.231899,6.74988100702564E-7,41000.0,81.3,61.42866572060327,60.1279317697228,52.77777777777777,25719.0,54096.0
42000.0,48.293959,6.758566101640464E-7,42000.0,80.0,59.73197603247215,57.08154506437769,54.1284403669725,26719.0,54096.0
43000.0,48.355942,6.767240420356393E-7,43000.0,83.2,65.21148517967853,61.99095022624434,56.135770234986936,27719.0,54096.0
44000.0,48.414361,6.775415968894959E-7,44000.0,83.5,66.6602007662092,63.08724832214764,59.65770171149144,28719.0,54096.0
45000.0,48.474889,6.783886665105819E-7,45000.0,85.5,70.76801496677633,68.81720430107526,66.74311926605505,29719.0,54096.0
46000.0,48.542703,6.793377013256152E-7,46000.0,76.6,53.23647554907173,52.14723926380368,49.240780911062906,30719.0,54096.0
47000.0,48.630794,6.805705061430732E-7,47000.0,78.10000000000001,53.05466237942124,55.03080082135524,41.60000000000001,31719.0,54096.0
48000.0,48.720504,6.818259683375557E-7,48000.0,81.10000000000001,60.14844178298825,62.12424849699399,52.86783042394016,32719.0,54096.0
49000.0,48.800819,6.829499505708614E-7,49000.0,86.3,71.69655400380134,70.97457627118644,66.17283950617285,33719.0,54096.0
50000.0,48.860138,6.837801006312171E-7,50000.0,89.1,77.50332290368121,76.90677966101696,74.10926365795724,34719.0,54096.0
51000.0,48.919104,6.846053105716904E-7,51000.0,89.7,78.77234056585108,78.40670859538784,74.50495049504951,35719.0,54096.0
52000.0,48.980654,6.854666827494899E-7,52000.0,85.6,70.4863601893792,69.68421052631578,64.61916461916462,36719.0,54096.0
53000.0,49.043755,6.863497606664895E-7,53000.0,80.80000000000001,59.98315957965645,60.330578512396706,53.056234718826424,37719.0,54096.0
54000.0,49.106237,6.872241758803526E-7,54000.0,86.4,72.82130809445395,72.52525252525253,73.17554240631164,38719.0,54096.0
55000.0,49.169888,6.881149508679906E-7,55000.0,80.9,60.781898074001084,59.447983014862004,57.07865168539327,39719.0,54096.0
56000.0,49.231277,6.889740699032942E-7,56000.0,87.8,74.09183383096834,75.6,69.57605985037407,40719.0,54096.0
57000.0,49.295323,6.898703727871179E-7,57000.0,90.3,79.11625143172091,78.49223946784922,75.31806615776082,41719.0,54096.0
58000.0,49.361492,6.907963863636057E-7,58000.0,83.5,67.01108427568336,66.04938271604938,67.96116504854368,42719.0,54096.0
59000.0,49.427673,6.9172256787618E-7,59000.0,81.69999999999999,63.34868816342879,62.80487804878048,61.39240506329112,43719.0,54096.0
60000.0,49.493601,6.926452087362607E-7,60000.0,82.19999999999999,60.44585081419326,61.220043572984736,50.279329608938525,44719.0,54096.0
