learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,230.68028,2.6826074001689756E-6,1000.0,88.9,77.27309953972909,67.2566371681416,74.12587412587413,668.0,44952.0
2000.0,230.94488,2.685684463878473E-6,2000.0,87.8,75.28162736040198,76.80608365019012,76.35658914728683,1668.0,44952.0
3000.0,231.186616,2.6884956395129366E-6,3000.0,89.2,78.20321865804483,77.59336099585063,77.45302713987473,2668.0,44952.0
4000.0,231.41591,2.6911621257041896E-6,4000.0,89.3,78.32481181074927,79.14230019493178,76.43171806167402,3668.0,44952.0
5000.0,231.850809,2.696219615992159E-6,5000.0,85.6,71.13592174627674,72.3076923076923,72.41379310344827,4668.0,44952.0
6000.0,232.092838,2.6990341989571854E-6,6000.0,91.4,82.37278686239706,82.12058212058213,79.37649880095924,5668.0,44952.0
7000.0,232.347826,2.701999483617644E-6,7000.0,90.4,79.86036519871107,80.08298755186722,75.51020408163266,6668.0,44952.0
8000.0,232.645913,2.705465971486023E-6,8000.0,88.8,75.76145812142644,76.71517671517671,69.81132075471699,7668.0,44952.0
9000.0,232.917913,2.7086290906431784E-6,9000.0,89.5,77.15683032528673,78.30578512396694,72.14854111405836,8668.0,44952.0
10000.0,233.160061,2.711445057472836E-6,10000.0,89.9,78.99701383285782,80.4263565891473,75.89498806682579,9668.0,44952.0
11000.0,233.38415,2.7140510141228646E-6,11000.0,91.10000000000001,81.75242344219005,82.41106719367589,78.60576923076924,10668.0,44952.0
12000.0,233.662168,2.7172841172913722E-6,12000.0,88.9,77.80195342809833,77.84431137724552,77.30061349693251,11668.0,44952.0
13000.0,233.999354,2.721205291909477E-6,13000.0,86.9,72.82969403331785,73.04526748971193,67.57425742574257,12668.0,44952.0
14000.0,234.26023,2.7242390487963963E-6,14000.0,90.7,76.75557866112133,76.5743073047859,66.30434782608697,13668.0,44952.0
15000.0,234.505271,2.7270886586544425E-6,15000.0,91.0,77.78030149662014,79.8206278026906,70.29702970297032,14668.0,44952.0
16000.0,234.883664,2.731489034195742E-6,16000.0,84.0,66.86217980581236,68.93203883495144,63.80090497737555,15668.0,44952.0
17000.0,235.352199,2.73693768138066E-6,17000.0,88.3,76.6373801916933,75.72614107883817,78.08988764044943,16668.0,44952.0
18000.0,235.622751,2.7400839615799495E-6,18000.0,81.2,61.289631798508424,61.23711340206187,56.880733944954144,846.0,44952.0
19000.0,235.810835,2.7422712119606644E-6,19000.0,86.0,71.95186940790396,73.48484848484848,69.63123644251627,1846.0,44952.0
20000.0,236.011643,2.7446064311948926E-6,20000.0,91.5,81.2568908489526,82.54620123203286,75.71428571428572,2846.0,44952.0
21000.0,236.193099,2.7467166038043807E-6,21000.0,90.0,78.84797617436037,78.90295358649789,75.49019607843138,3846.0,44952.0
22000.0,236.388148,2.7489848509679246E-6,22000.0,88.9,77.70976914550099,79.09604519774011,76.72955974842768,4846.0,44952.0
23000.0,236.610586,2.751571607949834E-6,23000.0,91.8,83.60524632117723,83.921568627451,83.02277432712216,5846.0,44952.0
24000.0,236.88231,2.754731517471374E-6,24000.0,89.9,79.77232854545018,79.38775510204083,79.04564315352698,6846.0,44952.0
25000.0,237.196173,2.758381466250868E-6,25000.0,91.7,83.15418588036631,84.1300191204589,81.26410835214448,7846.0,44952.0
26000.0,237.495663,2.761864269766958E-6,26000.0,92.10000000000001,82.98938882381314,83.2627118644068,78.76344086021506,8846.0,44952.0
27000.0,237.706993,2.764321850544464E-6,27000.0,88.2,73.31632814584663,73.42342342342342,64.56456456456456,9846.0,44952.0
28000.0,237.991516,2.767630601103109E-6,28000.0,90.2,77.21958000344031,78.7878787878788,70.57057057057058,10846.0,44952.0
29000.0,238.302828,2.7712508840113894E-6,29000.0,90.60000000000001,79.08359441754487,80.08474576271188,74.17582417582418,11846.0,44952.0
30000.0,238.764413,2.7766187088501965E-6,30000.0,87.5,73.82549773433509,75.1984126984127,70.30878859857482,12846.0,44952.0
