learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,263.445761,3.0636409319502614E-6,1000.0,85.0,69.36587358317166,55.75221238938052,65.03496503496503,306.0,44952.0
2000.0,263.634103,3.0658311826425297E-6,2000.0,86.6,72.85031201880217,74.52471482889734,74.03100775193798,1306.0,44952.0
3000.0,263.787245,3.0676120885026953E-6,3000.0,89.2,78.22923008075342,77.59336099585063,77.45302713987473,2306.0,44952.0
4000.0,263.935264,3.06933341840903E-6,4000.0,87.8,75.14262428687857,76.21832358674465,73.12775330396477,3306.0,44952.0
5000.0,264.089441,3.071126360402753E-6,5000.0,86.5,72.90244881573665,74.03846153846155,74.13793103448276,4306.0,44952.0
6000.0,264.25374,3.073037012293935E-6,6000.0,92.0,83.49024479839527,83.36798336798338,80.81534772182255,5306.0,44952.0
7000.0,264.413137,3.0748906582656005E-6,7000.0,91.4,81.87611693697947,82.15767634854772,78.06122448979593,6306.0,44952.0
8000.0,264.572295,3.0767415248788894E-6,8000.0,89.1,76.34466474530366,77.33887733887734,70.61994609164421,7306.0,44952.0
9000.0,264.733408,3.0786151264111202E-6,9000.0,88.1,73.74575298945418,75.41322314049587,68.43501326259947,8306.0,44952.0
10000.0,264.897845,3.0805273831201096E-6,10000.0,88.1,75.0182639582826,76.93798449612403,71.59904534606206,9306.0,44952.0
11000.0,265.057737,3.082386785503477E-6,11000.0,90.3,80.02964671003872,80.8300395256917,76.6826923076923,10306.0,44952.0
12000.0,265.217875,3.084249048649023E-6,12000.0,88.8,77.5654507942231,77.64471057884231,77.0961145194274,11306.0,44952.0
13000.0,265.398763,3.0863526159214477E-6,13000.0,86.8,72.39140619771099,72.8395061728395,67.32673267326733,12306.0,44952.0
14000.0,265.574972,3.0884017705669007E-6,14000.0,89.9,74.69939879759521,74.55919395465995,63.40579710144929,13306.0,44952.0
15000.0,265.746346,3.090394698443512E-6,15000.0,89.9,75.08879242304658,77.3542600896861,66.66666666666667,14306.0,44952.0
16000.0,265.937633,3.0926191968781254E-6,16000.0,84.39999999999999,67.59720837487536,69.70873786407766,64.70588235294117,15306.0,44952.0
17000.0,266.282651,3.096631450721373E-6,17000.0,86.7,73.47638800255265,72.40663900414937,75.09363295880149,16306.0,44952.0
18000.0,266.619162,3.100544775687158E-6,18000.0,88.3,75.84541062801932,75.87628865979381,73.1651376146789,17306.0,44952.0
19000.0,266.95282,3.1044249227891364E-6,19000.0,84.0,67.61094264302805,69.69696969696969,65.29284164859001,123.0,44952.0
20000.0,267.088897,3.1060073778095343E-6,20000.0,90.5,78.54077253218885,80.49281314168378,72.85714285714286,1123.0,44952.0
21000.0,267.233678,3.107691052642961E-6,21000.0,89.9,78.57809451090183,78.69198312236287,75.24509803921569,2123.0,44952.0
22000.0,267.383703,3.10943571055308E-6,22000.0,89.2,78.31020424557668,79.66101694915254,77.35849056603774,3123.0,44952.0
23000.0,267.529406,3.11113010743012E-6,23000.0,88.9,77.8062142600072,78.23529411764706,77.01863354037268,4123.0,44952.0
24000.0,267.671792,3.112785930534204E-6,24000.0,91.9,83.78014689980537,83.46938775510205,83.19502074688798,5123.0,44952.0
