learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,189.917415,4.706037561502307E-6,1000.0,89.5,78.69421943736506,69.02654867256638,75.52447552447553,1033682.0,95784.0,10.0,445915.9,190963.12312965907,350869.6,158575.15738966037,2853.4,1291.4390939310042,1427.2,645.7195469655021,1427.2,645.7195469655021,29.4,8.48789988421426,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,190.266265,4.714166356343775E-6,2000.0,85.9,71.59617414566932,73.19391634980988,72.67441860465115,1034682.0,90072.0,10.0,354787.2,262755.04076940817,278845.6,205083.38987034303,2267.6,1669.2942088066907,1134.3,834.6471044033453,1134.3,834.6471044033453,25.6,12.249263016379576,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,190.52872,4.7198295340252415E-6,3000.0,89.9,79.61901686980386,79.04564315352698,78.91440501043841,1035682.0,83408.0,10.0,250334.4,307743.6730022785,174445.6,221918.90148089884,1418.6,1806.737956773047,709.8,903.3689783865235,709.8,903.3689783865235,19.2,13.612086132877977,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,190.734655,4.724380543051908E-6,4000.0,91.2,82.18363810109976,82.84600389863549,80.61674008810573,1036682.0,85424.0,10.0,262466.0,307680.1691378024,182506.4,221377.86665397842,1484.1999999999998,1802.2591255298323,742.5999999999999,901.1295627649162,742.5999999999999,901.1295627649162,20.8,12.227473619317733,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,190.972927,4.7299741063701605E-6,5000.0,88.1,76.12838515546639,77.11538461538461,77.20306513409962,1037682.0,90744.0,10.0,274001.39999999997,307954.73174810037,192901.6,222182.28009912145,1568.6,1808.8738792716067,784.8,904.4369396358034,784.8,904.4369396358034,22.0,11.32352516764202,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,191.19,4.735293291759573E-6,6000.0,93.10000000000001,85.80410487680433,85.65488565488566,83.45323741007195,1038682.0,94720.0,10.0,285006.1,308582.5513283637,200821.6,222318.3585737654,1633.0,1809.8343693400354,817.0,904.9171846700177,817.0,904.9171846700177,22.500000000000004,10.906165432655257,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,191.4056,4.740354617687148E-6,7000.0,91.4,82.02341137123746,82.15767634854772,78.06122448979593,1039682.0,90744.0,10.0,291836.5,313076.95936311816,205584.0,225356.61127890417,1672.0,1834.5724903154473,836.5,917.2862451577237,836.5,917.2862451577237,22.1,11.532080856848381,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,191.618336,4.745166874182306E-6,8000.0,88.3,74.63689572946024,75.67567567567568,68.46361185983828,1040682.0,87440.0,10.0,291370.8,322144.00644149474,207168.8,231647.15839818877,1685.1999999999998,1885.8100410993445,843.0999999999999,942.9050205496723,843.0999999999999,942.9050205496723,22.0,11.652372195299025,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,191.834091,4.75008493117781E-6,9000.0,89.5,76.98438445284211,78.30578512396694,72.14854111405836,1041682.0,88112.0,10.0,303397.39999999997,322127.7758741087,216671.99999999997,231797.45954316814,1762.4,1887.0247127864188,881.7,943.5123563932094,881.7,943.5123563932094,22.8,10.850499220466002,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,192.047145,4.754959939244305E-6,10000.0,88.3,75.53795589305278,77.32558139534885,72.07637231503581,1042682.0,88448.0,10.0,315333.4,322211.3517122987,225625.60000000003,231923.58373069542,1835.0,1888.2323303379098,918.0,944.1161651689549,918.0,944.1161651689549,23.099999999999998,10.629623177182195,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,192.246052,4.759511241869379E-6,11000.0,91.9,83.36974196409508,83.99209486166008,80.52884615384616,1043682.0,88448.0,10.0,327474.2,322189.92478446965,233431.19999999998,232260.8667151849,1898.8,1891.0776351652573,949.9,945.5388175826287,949.9,945.5388175826287,23.400000000000002,10.394442959795605,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,192.451774,4.764236364395667E-6,12000.0,91.7,83.3853791336376,83.43313373253494,83.02658486707567,1044682.0,88784.0,10.0,339536.8,322184.30438623857,241644.8,232189.95228179498,1965.6,1890.300869644242,983.3,945.150434822121,983.3,945.150434822121,23.6,10.340857475728662,0.0,0.0,0.0,0.0,1.0,0.0
