learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,242.182198,1.8584798027330802E-5,100.0,96.0,89.6049896049896,-100.0,84.6153846153846,268695.0,296632.0
200.0,242.357745,1.8598396835749347E-5,200.0,93.5,86.59793814432992,7.142857142857154,84.52380952380953,268795.0,299440.0
300.0,242.515948,1.861067958837168E-5,300.0,87.33333333333333,72.64218862490999,4.99999999999995,66.07142857142856,268895.0,300112.0
400.0,242.627895,1.8619458640031517E-5,400.0,90.5,76.05167795809044,5.000000000000006,66.07142857142858,268995.0,303136.0
500.0,242.748096,1.862889543103675E-5,500.0,89.60000000000001,73.38029322630845,16.12903225806453,62.04379562043797,269095.0,303472.0
600.0,242.851853,1.863704122952703E-5,600.0,91.33333333333333,74.89378138277327,16.12903225806456,62.04379562043797,269195.0,303472.0
700.0,243.002792,1.8648616314339968E-5,700.0,90.0,75.3001784436088,19.54022988505752,66.01941747572816,269295.0,296432.0
800.0,243.144305,1.8659308635526233E-5,800.0,89.375,75.41860666878742,35.1145038167939,67.3076923076923,269395.0,292064.0
900.0,243.301232,1.867120651676837E-5,900.0,89.0,75.55555555555556,51.941747572815544,68.47133757961784,269495.0,293072.0
1000.0,243.40221,1.8678928081488444E-5,1000.0,89.8,78.58942065491185,55.84415584415585,74.43609022556392,269595.0,295584.0
1100.0,243.529191,1.868869348913638E-5,1100.0,89.0,76.90317812269032,59.107806691449824,75.05668934240363,269695.0,297272.0
1200.0,243.602654,1.869434312287718E-5,1200.0,89.60000000000001,79.16992136645317,59.68992248062016,78.37837837837837,269795.0,297272.0
1300.0,243.735565,1.870445096878542E-5,1300.0,90.60000000000001,81.18555050278614,67.58620689655174,81.4595660749507,269895.0,293968.0
1400.0,243.895832,1.8716694954993825E-5,1400.0,89.1,77.94932796025215,69.0340909090909,80.74204946996466,269995.0,295312.0
