learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.970814,2.3105825401014753E-10,100.0,74.0,0.0,-1199.9999999999989,0.0,268695.0,920.0
200.0,0.97641,2.323901280760765E-10,200.0,42.5,0.0,-721.428571428572,-36.9047619047619,268795.0,920.0
300.0,0.977799,2.327207165459792E-10,300.0,37.666666666666664,0.0,-367.5000000000001,-66.96428571428574,268895.0,920.0
400.0,0.979279,2.33072963439756E-10,400.0,28.249999999999996,0.0,-617.5000000000001,-156.24999999999997,268995.0,920.0
500.0,0.980536,2.333721352948083E-10,500.0,27.6,0.0,-483.8709677419355,-164.23357664233572,269095.0,920.0
600.0,0.981759,2.3366321499149007E-10,600.0,23.0,0.0,-645.1612903225803,-237.2262773722627,269195.0,920.0
700.0,0.982885,2.3393120823634997E-10,700.0,29.57142857142857,0.0,-466.6666666666664,-139.3203883495146,269295.0,920.0
800.0,0.985048,2.3444601231151157E-10,800.0,32.625,0.0,-311.4503816793894,-107.30769230769235,269395.0,920.0
900.0,0.986035,2.3468092290891543E-10,900.0,35.0,0.0,-183.9805825242718,-86.30573248407643,269495.0,920.0
1000.0,0.987028,2.34917261534267E-10,1000.0,40.0,0.0,-159.74025974025977,-50.375939849624054,269595.0,920.0
1100.0,0.987979,2.3514360396398436E-10,1100.0,39.4,0.0,-125.2788104089219,-37.41496598639457,269695.0,920.0
1200.0,0.988784,2.3533519771363996E-10,1200.0,48.1,0.0,-101.16279069767442,-7.900207900207907,269795.0,920.0
1300.0,0.989633,2.355372636682457E-10,1300.0,50.8,0.0,-69.65517241379308,2.9585798816568074,269895.0,920.0
1400.0,0.990369,2.3571243509650225E-10,1400.0,54.900000000000006,0.0,-28.124999999999993,20.318021201413433,269995.0,920.0
1500.0,0.99108,2.358816564083099E-10,1500.0,57.4,0.0,-7.0351758793969905,27.918781725888326,270095.0,920.0
1600.0,0.99179,2.3605063971545957E-10,1600.0,65.8,0.0,18.377088305489274,43.65733113673806,270195.0,920.0
1700.0,0.992491,2.3621748098068763E-10,1700.0,67.4,0.0,23.11320754716983,41.0488245931284,270295.0,920.0
1800.0,0.99321,2.3638860632975894E-10,1800.0,69.39999999999999,0.0,29.002320185614845,41.71428571428571,270395.0,920.0
1900.0,0.993944,2.365633017486996E-10,1900.0,71.2,0.0,29.411764705882348,42.284569138276545,270495.0,920.0
2000.0,0.994741,2.367529914610916E-10,2000.0,72.2,0.0,29.081632653061224,33.65155131264916,270595.0,920.0
2100.0,0.995488,2.3693078094058567E-10,2100.0,75.4,0.0,30.11363636363636,29.914529914529915,270695.0,920.0
2200.0,0.996274,2.371178526017401E-10,2200.0,75.6,0.0,30.484330484330478,3.55731225296443,270795.0,920.0
2300.0,0.997054,2.373034962349468E-10,2300.0,80.10000000000001,0.0,32.081911262798656,0.0,270895.0,920.0
2400.0,0.997679,2.374522491461701E-10,2400.0,85.7,0.0,39.66244725738396,0.0,270995.0,920.0
2500.0,0.998329,2.376069521738423E-10,2500.0,90.7,0.0,44.97041420118346,0.0,271095.0,920.0
2600.0,0.998882,2.377385687496927E-10,2600.0,92.30000000000001,0.0,47.97297297297301,0.0,271195.0,920.0
2700.0,0.999554,2.3789850787984E-10,2700.0,93.8,0.0,47.45762711864402,0.0,271295.0,920.0
2800.0,1.000147,2.3803964464200865E-10,2800.0,96.39999999999999,0.0,46.26865671641782,0.0,271395.0,920.0
2900.0,1.000909,2.382210041913721E-10,2900.0,99.2,0.0,46.666666666666664,0.0,271495.0,920.0
3000.0,1.001594,2.3838403738207284E-10,3000.0,99.7,0.0,50.0,0.0,271595.0,920.0
3100.0,1.002202,2.385287442141109E-10,3100.0,99.7,0.0,50.0,0.0,271695.0,920.0
3200.0,1.002763,2.386622648272249E-10,3200.0,99.7,0.0,50.0,0.0,271795.0,920.0
3300.0,1.003313,2.387931673891014E-10,3300.0,99.7,0.0,50.0,0.0,271895.0,920.0
3400.0,1.003992,2.389547725518544E-10,3400.0,100.0,,,,271995.0,920.0
3500.0,1.004829,2.3915398245056464E-10,3500.0,98.3,0.0,45.16129032258064,0.0,272095.0,920.0
3600.0,1.00547,2.393065434363153E-10,3600.0,95.0,0.0,41.860465116278995,0.0,272195.0,920.0
3700.0,1.005999,2.394324479003747E-10,3700.0,90.8,0.0,29.230769230769255,0.0,272295.0,920.0
3800.0,1.006484,2.39547880159484E-10,3800.0,90.8,0.0,29.230769230769255,0.0,272395.0,920.0
3900.0,1.006987,2.3966759650243653E-10,3900.0,90.8,0.0,29.230769230769255,0.0,272495.0,920.0
4000.0,1.007504,2.397906449106004E-10,4000.0,89.0,0.0,32.92682926829271,0.0,272595.0,920.0
4100.0,1.007999,2.3990845721628926E-10,4100.0,86.3,0.0,31.15577889447234,0.0,272695.0,920.0
4200.0,1.008468,2.400200814008712E-10,4200.0,80.4,0.0,23.137254901960805,0.0,272795.0,920.0
4300.0,1.008948,2.401343236366907E-10,4300.0,75.9,0.0,25.155279503105582,0.0,272895.0,920.0
4400.0,1.009413,2.4024499580264086E-10,4400.0,71.6,0.0,26.041666666666664,0.0,272995.0,920.0
4500.0,1.009892,2.403590000338024E-10,4500.0,70.7,0.0,26.196473551637272,0.0,273095.0,920.0
4600.0,1.010364,2.404713382323582E-10,4600.0,72.5,0.0,24.863387978142068,0.0,273195.0,920.0
4700.0,1.010838,2.4058415244023E-10,4700.0,74.1,0.0,29.23497267759562,0.0,273295.0,920.0
4800.0,1.011307,2.4069577662481196E-10,4800.0,73.9,0.0,29.076086956521735,0.0,273395.0,920.0
4900.0,1.01185,2.408250131540828E-10,4900.0,73.9,0.0,29.076086956521735,0.0,273495.0,920.0
5000.0,1.012319,2.4093663733866474E-10,5000.0,75.7,0.0,27.245508982035922,0.0,273595.0,920.0
5100.0,1.012826,2.410573057002491E-10,5100.0,78.0,0.0,27.868852459016413,0.0,273695.0,920.0
5200.0,1.013314,2.4117345197333227E-10,5200.0,82.8,0.0,36.531365313653126,0.0,273795.0,920.0
5300.0,1.013787,2.4128602817654605E-10,5300.0,84.0,0.0,38.931297709923655,0.0,273895.0,920.0
5400.0,1.014247,2.413955103192064E-10,5400.0,84.7,0.0,39.04382470119521,0.0,273995.0,920.0
5500.0,1.014698,2.4150285041994514E-10,5500.0,85.0,0.0,38.77551020408162,0.0,274095.0,920.0
5600.0,1.01516,2.4161280857192144E-10,5600.0,84.1,0.0,40.22556390977442,0.0,274195.0,920.0
5700.0,1.015627,2.417239567471875E-10,5700.0,84.3,0.0,38.910505836575865,0.0,274295.0,920.0
5800.0,1.016084,2.4183272487587397E-10,5800.0,82.39999999999999,0.0,38.88888888888888,0.0,274395.0,920.0
5900.0,1.016526,2.419379229346911E-10,5900.0,81.69999999999999,0.0,38.99999999999999,0.0,274495.0,920.0
6000.0,1.016976,2.4204502503077187E-10,6000.0,79.3,0.0,39.29618768328446,0.0,274595.0,920.0
6100.0,1.017407,2.4214760503835147E-10,6100.0,75.1,0.0,37.75000000000001,0.0,274695.0,920.0
6200.0,1.01785,2.4225304110182656E-10,6200.0,74.7,0.0,35.949367088607595,0.0,274795.0,920.0
6300.0,1.018292,2.423582391606437E-10,6300.0,73.0,0.0,32.1608040201005,0.0,274895.0,920.0
6400.0,1.018895,2.4250175596939193E-10,6400.0,73.4,0.0,32.31552162849873,0.0,274995.0,920.0
6500.0,1.023208,2.435282700591617E-10,6500.0,73.8,0.0,31.59268929503916,0.0,275095.0,920.0
6600.0,1.023709,2.436475103927983E-10,6600.0,76.2,0.0,29.585798816568044,0.0,275195.0,920.0
6700.0,1.024178,2.4375913457738026E-10,6700.0,78.60000000000001,0.0,29.372937293729397,0.0,275295.0,920.0
6800.0,1.02462,2.438643326361974E-10,6800.0,80.7,0.0,28.518518518518544,0.0,275395.0,920.0
6900.0,1.025077,2.439731007648839E-10,6900.0,81.39999999999999,0.0,27.90697674418603,0.0,275495.0,920.0
7000.0,1.02552,2.4407853682835896E-10,7000.0,81.39999999999999,0.0,28.735632183908027,0.0,275595.0,920.0
7100.0,1.025965,2.4418444890114996E-10,7100.0,85.9,0.0,28.78787878787876,0.0,275695.0,920.0
7200.0,1.026405,2.442891709506512E-10,7200.0,85.1,0.0,28.708133971291844,0.0,275795.0,920.0
7300.0,1.026848,2.443946070141263E-10,7300.0,90.10000000000001,0.0,33.108108108108134,0.0,275895.0,920.0
7400.0,1.027298,2.4450170911020704E-10,7400.0,93.30000000000001,0.0,34.31372549019612,0.0,275995.0,920.0
7500.0,1.027749,2.446090492109458E-10,7500.0,95.19999999999999,0.0,35.13513513513504,0.0,276095.0,920.0
7600.0,1.028204,2.4471734133031637E-10,7600.0,95.19999999999999,0.0,35.13513513513504,0.0,276195.0,920.0
7700.0,1.028657,2.4482515744037104E-10,7700.0,95.19999999999999,0.0,35.13513513513504,0.0,276295.0,920.0
7800.0,1.029127,2.4493701962961095E-10,7800.0,94.39999999999999,0.0,37.7777777777777,0.0,276395.0,920.0
7900.0,1.029583,2.450455497536395E-10,7900.0,91.4,0.0,37.68115942028988,0.0,276495.0,920.0
8000.0,1.030021,2.4514979579382475E-10,8000.0,88.9,0.0,26.973684210526333,0.0,276595.0,920.0
8100.0,1.030466,2.4525570786661575E-10,8100.0,85.8,0.0,24.468085106382947,0.0,276695.0,920.0
8200.0,1.030924,2.453647139999602E-10,8200.0,88.1,0.0,25.62500000000002,0.0,276795.0,920.0
8300.0,1.031361,2.454687220354875E-10,8300.0,88.1,0.0,25.62500000000002,0.0,276895.0,920.0
8400.0,1.03179,2.455708260337512E-10,8400.0,88.1,0.0,25.62500000000002,0.0,276995.0,920.0
8500.0,1.032232,2.4567602409256834E-10,8500.0,88.1,0.0,25.62500000000002,0.0,277095.0,920.0
8600.0,1.032658,2.4577741407685813E-10,8600.0,86.8,0.0,28.260869565217405,0.0,277195.0,920.0
8700.0,1.033046,2.4586975988414557E-10,8700.0,86.8,0.0,28.260869565217405,0.0,277295.0,920.0
8800.0,1.033455,2.459671037892501E-10,8800.0,85.6,0.0,29.756097560975586,0.0,277395.0,920.0
8900.0,1.033973,2.46090390202072E-10,8900.0,86.1,0.0,30.49999999999998,0.0,277495.0,920.0
9000.0,1.034373,2.4618559206525493E-10,9000.0,87.7,0.0,35.26315789473682,0.0,277595.0,920.0
9100.0,1.034771,2.4628031791912194E-10,9100.0,90.60000000000001,0.0,40.506329113924075,0.0,277695.0,920.0
9200.0,1.035195,2.4638123189409583E-10,9200.0,90.60000000000001,0.0,40.506329113924075,0.0,277795.0,920.0
9300.0,1.035576,2.4647191166877754E-10,9300.0,90.60000000000001,0.0,40.506329113924075,0.0,277895.0,920.0
9400.0,1.035947,2.465602113968797E-10,9400.0,89.9,0.0,41.27906976744189,0.0,277995.0,920.0
9500.0,1.036312,2.466470830970341E-10,9500.0,88.1,0.0,40.49999999999999,0.0,278095.0,920.0
9600.0,1.036678,2.467341928018465E-10,9600.0,87.0,0.0,40.36697247706421,0.0,278195.0,920.0
9700.0,1.037046,2.4682177851597475E-10,9700.0,86.3,0.0,40.948275862068954,0.0,278295.0,920.0
9800.0,1.037411,2.469086502161292E-10,9800.0,85.7,0.0,40.16736401673639,0.0,278395.0,920.0
9900.0,1.037779,2.4699623593025745E-10,9900.0,87.8,0.0,40.19607843137254,0.0,278495.0,920.0
10000.0,1.038148,2.470840596490437E-10,10000.0,89.8,0.0,43.333333333333364,0.0,278595.0,920.0
