learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,52.810459,7.791770874853764E-7,100.0,95.0,86.5010799136069,-150.0,80.76923076923075,107217.0,57032.0
200.0,52.864471,7.799739923721388E-7,200.0,93.0,85.63365828630069,0.0,83.33333333333334,107317.0,57032.0
300.0,52.898972,7.804830276883312E-7,300.0,87.0,71.97201993100805,2.499999999999975,65.17857142857142,107417.0,57032.0
400.0,52.92919,7.80928870683743E-7,400.0,90.0,74.92870350057979,0.0,64.2857142857143,107517.0,57032.0
500.0,52.961839,7.81410581186E-7,500.0,90.4,75.42796297813089,22.580645161290345,64.96350364963504,107617.0,57032.0
600.0,52.989166,7.818137697337403E-7,600.0,92.0,76.8250289687138,22.580645161290402,64.96350364963506,107717.0,57032.0
700.0,53.036015,7.823585821212167E-7,700.0,89.85714285714286,74.9111541878685,18.390804597701184,65.53398058252428,44.0,44952.0
800.0,53.065125,7.826971056457196E-7,800.0,88.875,74.21000014488764,32.06106870229008,65.76923076923077,144.0,44952.0
900.0,53.092739,7.830182320148581E-7,900.0,89.33333333333333,76.17274758004467,53.398058252427184,69.42675159235668,244.0,44952.0
1000.0,53.111417,7.832354406163925E-7,1000.0,90.3,79.59612957509466,58.00865800865802,75.68922305764411,344.0,44952.0
1100.0,53.131722,7.834715697872971E-7,1100.0,89.60000000000001,78.08496291301417,61.338289962825286,76.41723356009071,444.0,44952.0
1200.0,53.147775,7.83658251963142E-7,1200.0,90.3,80.56158970124967,62.403100775193806,79.83367983367984,544.0,44952.0
1300.0,53.17533,7.839786922145221E-7,1300.0,91.4,82.78898495036825,70.34482758620692,83.03747534516765,644.0,44952.0
1400.0,53.215151,7.844417751849526E-7,1400.0,90.10000000000001,79.99612045972553,71.875,82.50883392226149,744.0,44952.0
1500.0,53.254464,7.848989505651925E-7,1500.0,89.60000000000001,78.6046970918846,73.86934673366835,82.40270727580373,844.0,44952.0
1600.0,53.284889,7.852527663753264E-7,1600.0,89.4,76.11278371703114,74.70167064439141,82.53706754530478,944.0,44952.0
1700.0,53.30046,7.85433843317959E-7,1700.0,91.7,80.63733495077685,80.4245283018868,84.99095840867994,1044.0,44952.0
1800.0,53.316708,7.856227931711408E-7,1800.0,93.5,84.2796196151651,84.91879350348029,87.61904761904763,1144.0,44952.0
1900.0,53.334061,7.858245931958986E-7,1900.0,94.19999999999999,85.37362814719172,85.78431372549018,88.37675350701402,1244.0,44952.0
2000.0,53.349756,7.860071121487352E-7,2000.0,94.3,85.26294017270799,85.45918367346937,86.3961813842482,1344.0,44952.0
2100.0,53.363741,7.861697453156941E-7,2100.0,95.5,87.51040799333887,87.21590909090908,87.17948717948717,1444.0,44952.0
2200.0,53.376813,7.863217611010704E-7,2200.0,95.7,88.02895322939865,87.74928774928775,83.00395256916995,1544.0,44952.0
2300.0,53.389032,7.864638572517368E-7,2300.0,97.1,90.8166238109111,90.10238907849829,85.42713567839193,1644.0,44952.0
2400.0,53.401768,7.866119656546248E-7,2400.0,98.2,92.2970925803884,92.40506329113923,87.4125874125874,1744.0,44952.0
2500.0,53.412818,7.867404673703842E-7,2500.0,99.5,96.99266209551305,97.0414201183432,94.62365591397848,1844.0,44952.0
2600.0,53.424895,7.868809121867848E-7,2600.0,99.7,97.85106443941433,97.97297297297297,96.1038961038961,1944.0,44952.0
2700.0,53.436331,7.870139027407599E-7,2700.0,99.7,97.36110622427078,97.45762711864407,95.16129032258065,2044.0,44952.0
2800.0,53.447706,7.871461839187476E-7,2800.0,99.7,95.4971181556196,95.52238805970148,91.66666666666666,2144.0,44952.0
