learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
100.0,64.411389,1.5680805858783423E-6,100.0,95.0,86.84210526315789,-150.0,80.76923076923075,268695.0,94104.0,10.0,308248.9,131371.23204826002,239478.4,110321.00148123305,1947.3999999999999,896.2741644038268,974.1999999999999,448.1370822019134,974.1999999999999,448.1370822019134,35.0,18.135294011647257,0.0,0.0,0.0,0.0,1.0,0.0
200.0,64.516404,1.5706371521204709E-6,200.0,90.5,80.76923076923077,-35.71428571428577,77.3809523809524,268795.0,94104.0,10.0,309379.9,131347.75154735026,240624.0,110328.99616853023,1956.8,896.3151479498964,978.9,448.1575739749482,978.9,448.1575739749482,35.0,18.135294011647257,0.0,0.0,0.0,0.0,1.0,0.0
300.0,64.608653,1.5728508586001892E-6,300.0,83.0,65.19879901737785,-27.500000000000057,54.4642857142857,268895.0,92760.0,10.0,310514.7,131340.17590639286,241823.2,110545.04362254833,1966.5999999999997,898.066961126322,983.7999999999998,449.033480563161,983.7999999999998,449.033480563161,35.0,18.135294011647257,0.0,0.0,0.0,0.0,1.0,0.0
400.0,64.669153,1.5743053112737833E-6,400.0,86.5,68.86980082437378,-35.000000000000036,51.78571428571429,268995.0,92928.0,10.0,311661.89999999997,131310.01411456274,242572.0,110618.28945823864,1972.8000000000002,898.686671389608,986.9000000000001,449.343335694804,986.9000000000001,449.343335694804,35.0,18.135294011647257,0.0,0.0,0.0,0.0,1.0,0.0
500.0,64.732365,1.5758277091942726E-6,500.0,87.4,70.39696263438839,-1.6129032258064528,54.01459854014598,269095.0,93096.0,10.0,312798.10000000003,131295.47764950286,243524.0,111090.46398918916,1980.6000000000001,902.6010808275776,990.8000000000001,451.3005404137888,990.8000000000001,451.3005404137888,35.0,18.135294011647257,0.0,0.0,0.0,0.0,1.0,0.0
600.0,64.791391,1.5772518568548061E-6,600.0,88.83333333333333,70.9125640357732,-8.064516129032224,51.09489051094891,269195.0,93264.0,10.0,313912.69999999995,131273.4810742232,244394.4,111363.47019178038,1987.8,904.8792184595688,994.4,452.4396092297844,994.4,452.4396092297844,35.0,18.135294011647257,0.0,0.0,0.0,0.0,1.0,0.0
700.0,64.859067,1.578884707074612E-6,700.0,86.42857142857143,68.08898614150256,-9.195402298850503,53.88349514563108,269295.0,93264.0,10.0,315024.7,131265.9860436477,245545.6,111479.87301671196,1997.0,905.7416850294569,999.0,452.87084251472845,999.0,452.87084251472845,35.0,18.135294011647257,0.0,0.0,0.0,0.0,1.0,0.0
800.0,64.950149,1.58115071159477E-6,800.0,86.375,69.51944184225613,16.79389312977098,58.07692307692308,269395.0,96168.0,10.0,300695.7,158547.32195926728,228834.4,134917.71888838193,1861.0000000000002,1096.635663188909,931.0000000000001,548.3178315944544,931.0000000000001,548.3178315944544,33.0,20.68278940998476,0.0,0.0,0.0,0.0,1.0,0.0
900.0,65.040456,1.5833503363281486E-6,900.0,87.77777777777777,73.44919140719286,46.601941747572816,64.96815286624204,269495.0,94152.0,10.0,291810.1,174765.5253872393,223316.8,144809.30328370174,1816.2,1177.1333163429047,908.6,588.5666581714523,908.6,588.5666581714523,31.500000000000004,22.51542681017716,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,65.094442,1.5846075193004474E-6,1000.0,88.3,75.71606475716065,49.35064935064935,70.67669172932331,269595.0,90016.0,10.0,243712.6,181284.64712968204,175132.0,126826.77612835198,1424.8,1032.7841336245763,712.9,516.3920668122881,712.9,516.3920668122881,29.1,24.01596691092546,0.0,0.0,0.0,0.0,1.0,0.0
1100.0,65.141469,1.5857128659946222E-6,1100.0,87.6,74.23879803217656,53.90334572490707,71.88208616780045,269695.0,90856.0,10.0,244783.4,181233.1616529136,175821.6,126798.85094747506,1430.4,1032.5760881299634,715.7,516.2880440649817,715.7,516.2880440649817,29.4,23.651168634504675,0.0,0.0,0.0,0.0,1.0,0.0
1200.0,65.181239,1.5866545543343655E-6,1200.0,88.4,76.78412033831141,55.038759689922486,75.88357588357589,269795.0,91528.0,10.0,245873.2,181203.30226865807,176096.8,126705.19960987307,1432.6,1031.7578527283747,716.8,515.8789263641874,716.8,515.8789263641874,29.6,23.41034908847889,0.0,0.0,0.0,0.0,1.0,0.0
1300.0,65.229001,1.5877896317570571E-6,1300.0,90.10000000000001,80.19049143588923,65.86206896551725,80.4733727810651,269895.0,91864.0,10.0,246942.2,181170.81286626225,176710.40000000002,126463.25549713377,1437.6,1029.825896828089,719.3,514.9129484140445,719.3,514.9129484140445,30.099999999999994,22.82031258915326,0.0,0.0,0.0,0.0,1.0,0.0
1400.0,65.283412,1.5890898189300463E-6,1400.0,89.3,78.39675668691045,69.60227272727273,81.09540636042402,269995.0,92368.0,10.0,248038.4,181120.9436354001,177620.8,126680.03186751872,1445.0,1031.624824138009,723.0,515.8124120690045,723.0,515.8124120690045,30.400000000000002,22.47072169142178,0.0,0.0,0.0,0.0,1.0,0.0
1500.0,65.344193,1.5905501464464597E-6,1500.0,89.60000000000001,78.72131469538745,73.86934673366835,82.40270727580373,270095.0,92872.0,10.0,249127.2,181081.31541063104,178375.2,126552.43058976694,1451.1999999999998,1030.587081877768,726.0999999999999,515.293540938884,726.0999999999999,515.293540938884,30.8,22.019183555355646,0.0,0.0,0.0,0.0,1.0,0.0
1600.0,65.389808,1.5916520423649084E-6,1600.0,89.8,77.36873868436935,75.65632458233891,83.19604612850083,270195.0,93376.0,10.0,250200.30000000005,181045.50355891194,179013.6,126460.43573755915,1456.4,1029.8763895622512,728.7,514.9381947811256,728.7,514.9381947811256,30.8,22.019183555355646,0.0,0.0,0.0,0.0,1.0,0.0
1700.0,65.428396,1.592584190993673E-6,1700.0,92.60000000000001,82.94459297501614,82.54716981132077,86.61844484629296,270295.0,93376.0,10.0,251288.0,180973.21160879033,179062.40000000002,126427.85570979909,1456.8,1029.6037857134925,728.9,514.8018928567462,728.9,514.8018928567462,30.8,22.019183555355646,0.0,0.0,0.0,0.0,1.0,0.0
1800.0,65.469439,1.5935756436776782E-6,1800.0,94.0,85.69029993131343,86.07888631090486,88.57142857142856,270395.0,93376.0,10.0,252357.7,180926.33752015088,179304.8,126325.73032952902,1458.8,1028.7711979725025,729.9,514.3855989862512,729.9,514.3855989862512,30.9,21.91625474898077,0.0,0.0,0.0,0.0,1.0,0.0
1900.0,65.512937,1.5946264004169236E-6,1900.0,94.1,85.38706929005923,85.53921568627449,88.1763527054108,270495.0,93376.0,10.0,253430.80000000002,180883.77368342236,179624.80000000002,126104.65311425533,1461.3999999999999,1026.9799522007343,731.1999999999999,513.4899761003671,731.1999999999999,513.4899761003671,31.0,21.817424229271428,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,65.554333,1.5956263803235355E-6,2000.0,94.8,86.72331386086032,86.73469387755101,87.58949880668257,270595.0,93376.0,10.0,254508.2,180817.80758776068,179774.4,125931.21874631935,1462.6000000000001,1025.5911249399321,731.8000000000001,512.7955624699661,731.8000000000001,512.7955624699661,31.1,21.722747933394103,0.0,0.0,0.0,0.0,1.0,0.0
2100.0,65.592226,1.596546680912789E-6,2100.0,96.0,89.03725141967594,88.63636363636363,88.6039886039886,270695.0,93880.0,10.0,255587.5,180763.52416424552,179949.6,125851.66340241815,1464.0,1024.9402150586368,732.5,512.4701075293184,732.5,512.4701075293184,31.1,21.722747933394103,0.0,0.0,0.0,0.0,1.0,0.0
2200.0,65.627702,1.5974113639464805E-6,2200.0,96.6,90.6015037593985,90.3133903133903,86.56126482213438,270795.0,94216.0,10.0,256701.7,180694.7610634821,180144.80000000002,125779.7955836575,1465.6,1024.3393751855658,733.3,512.1696875927829,733.3,512.1696875927829,31.1,21.722747933394103,0.0,0.0,0.0,0.0,1.0,0.0
2300.0,65.665167,1.598326154655466E-6,2300.0,98.1,94.02883757181108,93.51535836177473,90.45226130653265,270895.0,94384.0,10.0,257773.49999999994,180621.10818829195,180244.0,125805.88550796996,1466.4,1024.5649700130186,733.7,512.2824850065093,733.7,512.2824850065093,31.1,21.722747933394103,0.0,0.0,0.0,0.0,1.0,0.0
2400.0,65.700774,1.5991940306499597E-6,2400.0,98.9,95.39124168328613,95.35864978902954,92.3076923076923,270995.0,94216.0,10.0,258851.9,180561.4059737327,180342.4,125751.4391092382,1467.1999999999998,1024.1165081289444,734.0999999999999,512.0582540644722,734.0999999999999,512.0582540644722,31.1,21.722747933394103,0.0,0.0,0.0,0.0,1.0,0.0
2500.0,65.735504,1.6000254366132945E-6,2500.0,99.5,96.99266209551305,97.0414201183432,94.62365591397848,271095.0,92536.0,10.0,259907.4,180500.88532389837,180367.2,125714.75388778625,1467.4,1023.820644014913,734.2,511.9103220074565,734.2,511.9103220074565,31.1,21.722747933394103,0.0,0.0,0.0,0.0,1.0,0.0
2600.0,65.770069,1.6008318610592845E-6,2600.0,99.7,97.85106443941433,97.97297297297297,96.1038961038961,271195.0,90184.0,10.0,260986.6,180471.7266561903,180392.0,125746.49760706835,1467.6,1024.076407739622,734.3,512.038203869811,734.3,512.038203869811,31.1,21.722747933394103,0.0,0.0,0.0,0.0,1.0,0.0
2700.0,65.803809,1.601607306518902E-6,2700.0,99.7,97.36110622427078,97.45762711864407,95.16129032258065,271295.0,88840.0,10.0,262076.90000000002,180403.91599620745,180441.59999999998,125731.15857009262,1468.0,1023.9532324389734,734.5,511.9766162194867,734.5,511.9766162194867,31.1,21.722747933394103,0.0,0.0,0.0,0.0,1.0,0.0
2800.0,65.837301,1.6023668628620601E-6,2800.0,99.7,95.4971181556196,95.52238805970148,91.66666666666666,271395.0,87664.0,10.0,263160.29999999993,180409.8984085654,180466.4,125742.6522414376,1468.1999999999998,1024.045224695776,734.5999999999999,512.022612347888,734.5999999999999,512.022612347888,31.1,21.722747933394103,0.0,0.0,0.0,0.0,1.0,0.0
2900.0,65.870989,1.6031279359613025E-6,2900.0,99.7,76.78018575851378,80.0,62.5,271495.0,87328.0,10.0,264240.5,180380.9047471181,180466.4,125742.6522414376,1468.1999999999998,1024.045224695776,734.5999999999999,512.022612347888,734.5999999999999,512.022612347888,31.1,21.722747933394103,0.0,0.0,0.0,0.0,1.0,0.0
