learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,203.838022,1.5528826228901744E-5,1000.0,90.2,79.97384338728135,72.77777777777779,77.10280373831776,283845.0,294480.0
2000.0,204.920788,1.5612098024909694E-5,2000.0,86.9,73.37961081397428,74.85604606525912,74.6615087040619,284845.0,297280.0
3000.0,205.885128,1.5687002529121105E-5,3000.0,88.3,76.3592425258836,75.77639751552795,75.42016806722688,285845.0,300248.0
4000.0,206.780146,1.5757507932380667E-5,4000.0,89.7,79.09138890016646,80.1923076923077,77.36263736263737,286845.0,304504.0
5000.0,208.007551,1.5854179473664196E-5,5000.0,86.9,73.73380919918193,75.74074074074073,75.09505703422053,287845.0,304448.0
6000.0,209.017156,1.593448671264781E-5,6000.0,92.5,84.61222814936399,85.40856031128405,81.97115384615385,288845.0,307472.0
7000.0,209.902276,1.6004968950781557E-5,7000.0,90.9,80.93506188772218,80.92243186582809,76.84478371501274,289845.0,307808.0
8000.0,210.855809,1.6081064695086745E-5,8000.0,88.7,75.4765790478836,77.66798418972333,69.54177897574124,290845.0,308480.0
9000.0,211.826823,1.6158597694995503E-5,9000.0,88.6,75.13230052396679,74.8898678414097,69.76127320954907,291845.0,308648.0
10000.0,212.912327,1.6245366786151298E-5,10000.0,89.7,78.52323244117868,79.76424361493125,75.41766109785203,292845.0,308984.0
11000.0,213.764888,1.6313997421591647E-5,11000.0,92.10000000000001,83.80204873327921,83.94308943089432,81.05515587529976,293845.0,311168.0
12000.0,214.698951,1.638914832185333E-5,12000.0,89.7,79.39142683356276,81.73758865248226,78.85010266940452,294845.0,311000.0
13000.0,215.758866,1.6474271208432812E-5,13000.0,87.1,73.0945071080558,73.45679012345678,68.06930693069307,295845.0,310440.0
14000.0,216.846332,1.6561795797323187E-5,14000.0,90.10000000000001,75.58256545845585,75.00000000000001,64.25992779783395,296845.0,311112.0
15000.0,217.773169,1.6636472741570324E-5,15000.0,90.60000000000001,76.65651804649823,78.63636363636364,68.97689768976899,297845.0,311448.0
16000.0,218.820926,1.6720330803367415E-5,16000.0,85.1,69.11814692300678,70.14028056112224,66.28959276018098,298845.0,309376.0
17000.0,220.264169,1.6833771948408753E-5,17000.0,86.2,72.43528283796739,71.54639175257732,74.06015037593984,299845.0,303832.0
18000.0,221.363754,1.6920583358868546E-5,18000.0,88.4,76.13168724279835,75.26652452025586,73.5763097949886,300845.0,305176.0
19000.0,222.465334,1.7007344807980377E-5,19000.0,88.2,76.23267805349661,75.6701030927835,74.34782608695653,301845.0,304448.0
20000.0,223.515163,1.709021281045965E-5,20000.0,91.5,81.47857616009485,81.72043010752688,75.64469914040114,302845.0,305120.0
21000.0,224.590858,1.717549655193877E-5,21000.0,90.7,80.52078620620318,79.10112359550561,77.26161369193156,303845.0,306464.0
22000.0,225.677536,1.726188719710749E-5,22000.0,89.0,77.90667780705701,78.8053949903661,76.89075630252101,304845.0,307304.0
23000.0,226.628376,1.7337726704107806E-5,23000.0,91.5,83.0074767102475,83.52713178294574,82.82828282828284,305845.0,308312.0
24000.0,227.604231,1.7415688657899286E-5,24000.0,91.10000000000001,82.18303825241631,82.4457593688363,81.57349896480332,306845.0,308816.0
25000.0,228.550713,1.7491303975695952E-5,25000.0,90.4,80.4922456676529,81.28654970760235,78.28054298642535,307845.0,308816.0
26000.0,229.50533,1.7567527716830374E-5,26000.0,91.4,81.55369376557748,81.01545253863135,76.9436997319035,308845.0,308648.0
27000.0,230.569206,1.765266046293908E-5,27000.0,89.9,77.17782317106239,78.51063829787235,69.66966966966967,309845.0,309320.0
28000.0,231.558469,1.773186557447331E-5,28000.0,89.8,76.21590363243777,76.65903890160183,69.36936936936937,310845.0,309488.0
29000.0,232.483856,1.780603690677633E-5,29000.0,92.9,84.30078805621646,84.42982456140352,80.38674033149172,311845.0,309824.0
30000.0,233.479104,1.788593748189095E-5,30000.0,89.4,77.88939692287154,79.13385826771653,74.88151658767774,312845.0,310328.0
31000.0,234.483084,1.796658271478696E-5,31000.0,90.5,80.95963442498096,80.80808080808082,80.61224489795919,313845.0,310496.0
32000.0,235.53066,1.80501834663459E-5,32000.0,90.7,81.39895834166714,81.54761904761905,80.8641975308642,314845.0,308480.0
33000.0,236.676291,1.8142007727544343E-5,33000.0,91.3,82.503981852406,82.3529411764706,81.37044967880087,315845.0,309824.0
34000.0,237.730174,1.8226478231454062E-5,34000.0,91.60000000000001,83.16606278256967,81.77874186550976,83.752417794971,316845.0,309824.0
35000.0,238.777716,1.8310531549449597E-5,35000.0,92.10000000000001,84.17797574223319,84.00809716599191,83.67768595041323,317845.0,310160.0
36000.0,239.826682,1.839469912723121E-5,36000.0,90.4,80.76553183304482,79.57446808510639,80.28747433264888,318845.0,310160.0
37000.0,240.803455,1.847315894323505E-5,37000.0,91.2,81.66941625422854,81.78053830227744,77.66497461928935,319845.0,310496.0
38000.0,241.861016,1.8558154062163086E-5,38000.0,91.9,83.79222026572755,83.46938775510205,83.53658536585367,320845.0,310664.0
39000.0,242.845801,1.8637343047271587E-5,39000.0,92.30000000000001,84.57148811002733,83.82352941176472,83.78947368421053,321845.0,310832.0
40000.0,243.854126,1.8718556412321826E-5,40000.0,89.3,78.47602188606373,77.93814432989691,76.4835164835165,322845.0,311336.0
41000.0,244.900619,1.8802889419098694E-5,41000.0,89.2,77.30224581667781,76.67386609071275,72.51908396946565,323845.0,311504.0
42000.0,246.009615,1.889250030622714E-5,42000.0,91.7,83.17003536320281,82.6722338204593,81.09339407744875,324845.0,312344.0
43000.0,247.060551,1.8977465410886538E-5,43000.0,89.4,77.92797857764563,77.8705636743215,72.17847769028872,325845.0,312512.0
44000.0,248.13639,1.9064490608140413E-5,44000.0,91.0,81.28719170648337,81.89134808853119,78.1021897810219,326845.0,312680.0
45000.0,249.136218,1.9145367234587256E-5,45000.0,93.30000000000001,86.29352317826604,86.1855670103093,84.59770114942529,327845.0,312680.0
46000.0,250.263505,1.9236554088323482E-5,46000.0,86.7,73.06383668178871,73.13131313131312,71.14967462039046,328845.0,312680.0
47000.0,251.810876,1.9360914746640872E-5,47000.0,86.3,70.88204038257173,69.89010989010988,63.46666666666666,329845.0,310664.0
48000.0,253.543929,1.9501328303393804E-5,48000.0,90.4,79.88391341701067,80.6841046277666,76.05985037406484,330845.0,313184.0
49000.0,255.193932,1.9635371632186902E-5,49000.0,91.0,81.2371005065983,81.67006109979634,77.77777777777779,331845.0,314024.0
50000.0,256.475962,1.9739688642215397E-5,50000.0,94.0,87.67663489976995,87.65432098765432,85.7142857142857,332845.0,314528.0
51000.0,257.695333,1.9838748188091233E-5,51000.0,94.0,87.56033238791858,87.67967145790553,85.22167487684727,333845.0,314024.0
52000.0,259.038087,1.9948122942909182E-5,52000.0,89.1,77.5500284228998,78.33001988071571,73.15270935960592,334845.0,314864.0
53000.0,260.53353,2.007006505202709E-5,53000.0,91.4,82.35687527952045,81.54506437768241,78.97310513447434,335845.0,315200.0
54000.0,262.202351,2.020621736054619E-5,54000.0,91.4,82.78657352735134,82.62626262626263,82.97029702970298,336845.0,315368.0
55000.0,263.911495,2.034558517606722E-5,55000.0,89.3,78.4446288850031,77.42616033755274,76.0626398210291,337845.0,315200.0
56000.0,265.685438,2.049023686180512E-5,56000.0,92.4,84.29888315476757,83.9662447257384,80.95238095238096,338845.0,315200.0
57000.0,267.638631,2.0649844590980146E-5,57000.0,92.5,84.06059524113132,83.44370860927152,80.96446700507616,339845.0,315872.0
58000.0,269.706967,2.081922095526424E-5,58000.0,89.2,78.44526494361841,76.41921397379913,79.3103448275862,340845.0,316544.0
59000.0,272.056937,2.10116603726397E-5,59000.0,89.7,79.39357079408775,79.44111776447106,78.13163481953292,341845.0,316544.0
60000.0,274.520448,2.121147044891699E-5,60000.0,88.2,74.32963360990615,75.41666666666667,67.1309192200557,342845.0,313520.0
61000.0,276.972555,2.141120815359884E-5,61000.0,93.8,85.537199721941,85.37735849056602,80.56426332288399,343845.0,314864.0
62000.0,279.979544,2.165653613906975E-5,62000.0,91.0,77.63675126600837,78.15533980582525,68.64111498257842,344845.0,315368.0
63000.0,283.830176,2.1971362941234064E-5,63000.0,91.8,79.45593297623404,80.33573141486812,71.62629757785469,345845.0,316040.0
64000.0,286.796136,2.221385916059423E-5,64000.0,92.5,81.10678946413819,82.43559718969557,73.95833333333334,346845.0,316040.0
65000.0,290.214592,2.2485972275752577E-5,65000.0,85.7,67.53600552114926,66.19385342789597,56.26911314984709,347845.0,307696.0
66000.0,293.808204,2.277327749083647E-5,66000.0,93.30000000000001,86.1355979902825,86.93957115009748,84.08551068883612,348845.0,309040.0
67000.0,297.272457,2.3050842849750904E-5,67000.0,90.3,79.67854389434518,80.86785009861933,75.5050505050505,349845.0,309712.0
68000.0,300.370998,2.3299914377520073E-5,68000.0,92.5,83.65486039071422,83.94004282655247,79.89276139410188,350845.0,310720.0
69000.0,304.69333,2.364735849227136E-5,69000.0,88.3,75.4001160609909,76.17107942973523,71.39364303178485,351845.0,310720.0
70000.0,310.798527,2.4137054141724696E-5,70000.0,88.6,76.45562091071311,77.38095238095238,73.11320754716981,352845.0,310048.0
71000.0,316.34866,2.45836756178923E-5,71000.0,88.9,76.07758620689656,75.92190889370933,70.4,353845.0,311056.0
72000.0,321.527388,2.5000409981560797E-5,72000.0,95.7,89.50431055524636,89.43488943488943,85.12110726643598,354845.0,311056.0
73000.0,326.912409,2.543397886972461E-5,73000.0,92.9,85.51611587107304,86.05108055009825,84.25720620842573,355845.0,311224.0
74000.0,331.236623,2.5782138079533154E-5,74000.0,91.8,83.0241801921166,83.36713995943205,80.4761904761905,356845.0,311224.0
75000.0,338.017378,2.632926172855621E-5,75000.0,89.4,78.62101513874154,78.67203219315896,77.77777777777779,357845.0,311896.0
76000.0,345.292282,2.6914254660538093E-5,76000.0,83.6,65.8923112118628,67.19999999999999,61.771561771561764,358845.0,310832.0
77000.0,351.100485,2.7375584707485725E-5,77000.0,89.5,74.95324605931071,75.35211267605635,66.45367412140575,359845.0,307024.0
78000.0,354.282926,2.7627250978944623E-5,78000.0,79.5,53.52822763460946,57.29166666666667,44.29347826086957,360845.0,305680.0
79000.0,357.382537,2.7873579514101155E-5,79000.0,88.2,74.68506504651083,76.5873015873016,69.27083333333334,361845.0,307192.0
80000.0,360.420288,2.811992095251258E-5,80000.0,88.3,74.98439197105887,74.62039045553145,69.45169712793734,362845.0,313464.0
81000.0,363.734951,2.838617303881588E-5,81000.0,88.7,77.00915564598169,75.6989247311828,74.8888888888889,363845.0,310496.0
82000.0,367.616289,2.869912442632641E-5,82000.0,91.3,80.26315789473685,79.08653846153847,74.41176470588235,364845.0,311672.0
83000.0,371.072311,2.8973326611268445E-5,83000.0,87.1,69.45299550082879,71.33333333333333,60.30769230769231,365845.0,306688.0
84000.0,374.412911,2.9238951920881462E-5,84000.0,88.1,75.01259868973627,75.91093117408907,70.32418952618454,366845.0,307360.0
85000.0,377.92756,2.9518722111891137E-5,85000.0,94.5,87.8883437420173,87.38532110091742,84.33048433048431,367845.0,307696.0
86000.0,381.179737,2.977858863967575E-5,86000.0,92.7,80.93038807966396,81.65829145728645,73.16176470588238,368845.0,308872.0
87000.0,385.806459,3.014828874553244E-5,87000.0,87.3,70.84615031449428,71.52466367713004,64.22535211267606,369845.0,308872.0
88000.0,390.747362,3.054438205301969E-5,88000.0,86.1,70.80420755477887,73.00970873786407,66.66666666666666,370845.0,309880.0
89000.0,395.017285,3.088724219324482E-5,89000.0,88.5,72.3865688270775,72.15496368038743,63.60759493670886,371845.0,310384.0
90000.0,400.423737,3.132136170566704E-5,90000.0,92.80000000000001,85.0869925434963,84.93723849372385,82.60869565217392,372845.0,310384.0
91000.0,404.303402,3.16332227037247E-5,91000.0,92.7,84.8528862514006,84.94845360824743,82.36714975845412,373845.0,310720.0
92000.0,407.46796,3.1887325833835134E-5,92000.0,90.8,80.41052721233285,80.12958963282938,76.41025641025642,374845.0,310384.0
93000.0,410.84339,3.215880136671374E-5,93000.0,93.0,84.62086026513637,85.04273504273505,80.50139275766018,375845.0,310888.0
94000.0,414.059463,3.241746030244977E-5,94000.0,92.5,81.2573096492368,81.70731707317074,73.40425531914896,376845.0,310888.0
95000.0,417.353699,3.2682405649717494E-5,95000.0,92.2,83.79220779220779,84.14634146341464,81.64705882352943,377845.0,310888.0
96000.0,421.652054,3.3028296037423955E-5,96000.0,93.30000000000001,86.37380516575148,87.06563706563708,85.11111111111113,378845.0,311056.0
97000.0,424.689141,3.3274621343279474E-5,97000.0,87.3,72.44114992014443,75.62380038387715,65.86021505376344,379845.0,313512.0
98000.0,427.839676,3.352691383633763E-5,98000.0,88.1,74.59327896152696,75.61475409836066,70.10050251256281,380845.0,309544.0
99000.0,430.944214,3.3776197566750154E-5,99000.0,92.9,83.56557566779317,82.68292682926831,78.80597014925374,381845.0,310384.0
100000.0,435.304233,3.4126860587872156E-5,100000.0,93.10000000000001,80.22265280150424,76.53061224489798,71.60493827160495,382845.0,310888.0
101000.0,439.436746,3.445904638965304E-5,101000.0,87.8,69.09702520872173,72.9490022172949,60.3896103896104,383845.0,310720.0
102000.0,443.195751,3.476169843473369E-5,102000.0,90.9,77.36836345910886,78.28162291169451,69.76744186046513,384845.0,311224.0
103000.0,446.176422,3.5002201976604354E-5,103000.0,89.9,78.44514823762411,78.51063829787235,74.93796526054591,385845.0,311896.0
104000.0,449.818911,3.5295947793960164E-5,104000.0,91.60000000000001,82.27997637330185,81.45695364238411,78.01047120418849,386845.0,311728.0
105000.0,454.982278,3.570987518998484E-5,105000.0,92.0,82.31215508702421,82.64642082429502,77.65363128491622,387845.0,309880.0
106000.0,460.281546,3.613262441198859E-5,106000.0,89.7,78.94676597797383,79.31726907630522,76.10208816705337,388845.0,308368.0
107000.0,466.114082,3.6603660920237506E-5,107000.0,90.0,79.04047284693257,80.03992015968065,74.68354430379748,389845.0,312176.0
108000.0,471.606868,3.704041568940713E-5,108000.0,91.7,81.99972240535757,81.95652173913044,77.19780219780222,390845.0,307360.0
109000.0,476.488551,3.7430700724153885E-5,109000.0,87.4,74.87827928175804,72.48908296943232,75.09881422924902,391845.0,309040.0
110000.0,480.809793,3.77769303692422E-5,110000.0,90.7,81.40029759523848,81.54761904761905,81.13590263691684,392845.0,309712.0
111000.0,485.133887,3.813203342222919E-5,111000.0,89.2,78.37924407431134,77.59336099585063,76.57266811279827,393845.0,317440.0
112000.0,489.665175,3.850592408970412E-5,112000.0,89.7,78.42118494930025,78.5862785862786,73.9240506329114,394845.0,318952.0
113000.0,493.512427,3.882666124685357E-5,113000.0,86.8,71.87288247552728,73.00613496932516,65.35433070866141,395845.0,322256.0
114000.0,497.134811,3.911227839645826E-5,114000.0,88.9,77.65790427116461,77.39307535641548,78.06324110671937,396845.0,304784.0
115000.0,501.455807,3.9449474031250506E-5,115000.0,88.3,74.0620205907652,73.46938775510205,66.4756446991404,397845.0,301648.0
116000.0,504.866337,3.971295194247116E-5,116000.0,87.0,71.52432479793222,70.78651685393258,64.38356164383562,398845.0,298624.0
117000.0,507.244193,3.989913170329812E-5,117000.0,90.7,80.57254587385943,81.90661478599223,77.42718446601943,399845.0,302656.0
118000.0,509.523125,4.0077962164899535E-5,118000.0,86.3,72.58025778560562,71.51767151767152,72.43460764587525,400845.0,303328.0
119000.0,511.66144,4.024687346409178E-5,119000.0,91.60000000000001,83.17476214321483,82.31578947368422,82.05128205128206,401845.0,305344.0
120000.0,513.826117,4.0417961249721954E-5,120000.0,92.80000000000001,85.48855207997421,85.12396694214877,84.070796460177,402845.0,305512.0
121000.0,518.340429,4.077959478764691E-5,121000.0,93.0,86.00431067231294,86.76748582230624,85.53719008264464,403845.0,309656.0
122000.0,521.65286,4.104537965945278E-5,122000.0,91.5,82.95910184442663,83.06772908366534,81.15299334811532,404845.0,310160.0
123000.0,525.680451,4.136854797831632E-5,123000.0,86.9,73.48950913094157,72.65135699373695,70.15945330296127,405845.0,310160.0
124000.0,528.931489,4.1626204058285796E-5,124000.0,88.6,77.10172058474974,77.69080234833659,75.377969762419,406845.0,306352.0
125000.0,532.129126,4.188277801865711E-5,125000.0,88.0,75.78956288055781,75.51020408163265,74.08207343412528,407845.0,310160.0
126000.0,534.91697,4.2107682401713806E-5,126000.0,90.10000000000001,79.71477747725598,79.46058091286308,77.24137931034484,408845.0,311840.0
127000.0,537.913833,4.234983976930793E-5,127000.0,87.5,74.66250456074917,75.29644268774703,72.52747252747253,409845.0,312344.0
128000.0,540.983196,4.2593497672414195E-5,128000.0,91.0,81.75056674628827,82.14285714285715,79.9554565701559,410845.0,306856.0
129000.0,543.975767,4.283223009018227E-5,129000.0,89.2,78.42097481248227,77.21518987341773,77.9591836734694,411845.0,308368.0
130000.0,547.232377,4.3092026225020074E-5,130000.0,89.60000000000001,79.15998717537673,77.4891774891775,79.36507936507937,412845.0,308368.0
131000.0,550.398227,4.334485716542229E-5,131000.0,93.5,86.9661118909164,87.02594810379243,86.25792811839325,413845.0,308704.0
132000.0,553.710933,4.360941631170404E-5,132000.0,89.0,77.18211575720112,76.98744769874477,72.29219143576827,414845.0,308704.0
133000.0,557.019615,4.387394169553908E-5,133000.0,93.89999999999999,87.38199058406903,87.34439834024896,85.40669856459328,415845.0,309040.0
134000.0,560.438951,4.414775957219924E-5,134000.0,90.4,79.74794631518103,79.66101694915255,74.93472584856397,416845.0,309544.0
135000.0,563.966188,4.443083127961391E-5,135000.0,90.60000000000001,80.87160369218748,80.12684989429177,78.73303167420815,417845.0,310216.0
136000.0,567.870495,4.474580434019367E-5,136000.0,83.89999999999999,67.61527754310586,66.87242798353908,65.67164179104476,418845.0,311840.0
137000.0,572.572887,4.5123935252080365E-5,137000.0,90.8,80.97349525164621,80.79331941544886,77.8846153846154,419845.0,310832.0
138000.0,577.604388,4.553479938889544E-5,138000.0,89.9,78.5542598459304,77.55555555555556,72.17630853994491,420845.0,315648.0
139000.0,581.45932,4.584545412474209E-5,139000.0,90.3,77.225342324236,76.57004830917874,68.0921052631579,421845.0,311504.0
140000.0,585.988147,4.621080923155779E-5,140000.0,89.4,76.34519941443212,75.11737089201878,70.7182320441989,422845.0,311840.0
141000.0,589.646121,4.650135233364172E-5,141000.0,85.8,70.09078079912379,71.42857142857143,65.61743341404357,423845.0,307024.0
142000.0,593.666492,4.6821728054682424E-5,142000.0,89.2,78.0082835465308,77.91411042944786,75.39863325740319,424845.0,308032.0
143000.0,597.952652,4.7163656563560175E-5,143000.0,92.0,83.52444971662054,83.739837398374,80.86124401913877,425845.0,308368.0
144000.0,601.384078,4.743650383460853E-5,144000.0,88.3,76.2146777800366,76.83168316831683,73.76681614349776,426845.0,307360.0
145000.0,604.069965,4.765271608397365E-5,145000.0,90.10000000000001,80.13803065564562,80.35714285714286,79.375,427845.0,311168.0
146000.0,606.867444,4.787851933686063E-5,146000.0,92.4,84.43082369136977,84.61538461538463,82.07547169811322,428845.0,312008.0
147000.0,610.756036,4.818839383994333E-5,147000.0,90.0,79.98591008069681,79.63340122199594,79.67479674796748,429845.0,308032.0
148000.0,614.839839,4.851417931466674E-5,148000.0,89.2,78.4,78.04878048780488,78.13765182186235,430845.0,308368.0
149000.0,619.336573,4.887173375428758E-5,149000.0,86.3,72.13974864765933,70.53763440860214,66.90821256038647,431845.0,307360.0
150000.0,623.895215,4.92402205970366E-5,150000.0,85.39999999999999,70.64122775972459,70.08196721311475,69.19831223628692,432845.0,312456.0
151000.0,629.872725,4.9709802389333234E-5,151000.0,88.4,76.69849866016366,77.47572815533981,74.83731019522777,433845.0,303664.0
152000.0,635.167621,5.0128981080905845E-5,152000.0,88.4,76.75099108921607,77.07509881422925,75.98343685300208,434845.0,306016.0
153000.0,641.59607,5.063957561056854E-5,153000.0,89.0,77.49443498756057,77.91164658634538,73.93364928909953,435845.0,307024.0
154000.0,646.79468,5.1053391076262215E-5,154000.0,89.60000000000001,78.89918680712233,77.87234042553192,76.036866359447,436845.0,307696.0
155000.0,650.406194,5.134149968555611E-5,155000.0,88.3,76.2577314566795,76.12244897959184,73.8255033557047,437845.0,308368.0
156000.0,654.445443,5.166443307478188E-5,156000.0,90.9,81.79723317944328,81.69014084507043,81.35245901639345,438845.0,309040.0
157000.0,657.455848,5.190563489933188E-5,157000.0,90.7,81.39166346523243,80.37974683544304,80.78512396694215,439845.0,309712.0
158000.0,660.150296,5.21215213909352E-5,158000.0,88.6,76.04679699450337,75.9493670886076,70.15706806282724,440845.0,309712.0
159000.0,663.09398,5.2357633222898264E-5,159000.0,90.10000000000001,79.38616582684381,79.11392405063292,75.61576354679804,441845.0,310048.0
160000.0,666.045798,5.259465406224339E-5,160000.0,90.2,80.39309837062648,81.22605363984675,80.08130081300814,442845.0,310384.0
161000.0,669.007245,5.2831933238868504E-5,161000.0,90.0,79.79830628999936,79.50819672131148,77.67857142857143,443845.0,309712.0
162000.0,672.128205,5.308506758885045E-5,162000.0,90.9,81.64138153647514,81.69014084507043,81.08108108108108,444845.0,313520.0
163000.0,675.631282,5.3369499125975295E-5,163000.0,92.5,84.62245040227671,84.56790123456791,81.57248157248158,445845.0,313856.0
164000.0,678.628918,5.361315206135106E-5,164000.0,91.0,81.99027474836413,81.44329896907217,82.10735586481114,446845.0,314192.0
165000.0,681.975512,5.3885314343217766E-5,165000.0,90.10000000000001,80.13707425122789,80.04032258064517,79.20168067226892,447845.0,314360.0
166000.0,685.666189,5.418005898893087E-5,166000.0,92.0,83.27975889412326,83.70672097759675,80.53527980535281,448845.0,308704.0
167000.0,689.604453,5.4495945723986054E-5,167000.0,89.3,76.10924549871392,75.51487414187645,69.9438202247191,449845.0,310048.0
168000.0,693.23461,5.479285172188448E-5,168000.0,87.1,71.86502189730078,74.30278884462152,64.85013623978202,450845.0,316152.0
169000.0,696.057957,5.5015384725928315E-5,169000.0,88.8,77.31801759473778,78.50287907869482,75.54585152838428,451845.0,304672.0
170000.0,699.485821,5.5287650805479956E-5,170000.0,88.1,76.21446160734273,75.0,75.76374745417516,452845.0,307024.0
171000.0,704.297222,5.567106220323179E-5,171000.0,91.5,82.88112654271261,84.08239700374531,80.85585585585586,453845.0,308032.0
172000.0,708.774116,5.6028984815238256E-5,172000.0,88.2,76.38479180592302,76.86274509803923,76.35270541082164,454845.0,309040.0
173000.0,712.808202,5.635150542845329E-5,173000.0,89.1,77.46555744835685,75.3393665158371,73.79807692307693,455845.0,309040.0
174000.0,717.264556,5.6708754294742315E-5,174000.0,87.1,73.66809552969994,73.34710743801652,71.33333333333333,456845.0,309880.0
175000.0,721.563858,5.7053599757564566E-5,175000.0,87.6,74.7878314688528,75.2988047808765,71.36258660508084,457845.0,310048.0
176000.0,725.012881,5.7330394548933125E-5,176000.0,89.9,78.91176347767988,78.95833333333334,76.06635071090048,458845.0,310216.0
177000.0,728.906778,5.764289185838153E-5,177000.0,89.0,76.33716527844703,78.38899803536346,70.89947089947091,459845.0,310216.0
178000.0,733.33647,5.7998580900145073E-5,178000.0,85.3,70.33251798212686,72.97794117647058,69.18238993710692,460845.0,310384.0
179000.0,738.07209,5.837945236333956E-5,179000.0,88.4,76.76235501512451,76.98412698412699,76.75350701402806,461845.0,310888.0
180000.0,743.369481,5.880642628840481E-5,180000.0,90.9,81.80553111853997,81.87250996015936,82.39845261121857,462845.0,311560.0
181000.0,748.261584,5.920094629775111E-5,181000.0,92.0,82.97053476778197,83.739837398374,81.08747044917259,463845.0,311728.0
182000.0,752.887785,5.957482708860809E-5,182000.0,91.8,82.18344102936257,81.93832599118943,77.2853185595568,464845.0,312400.0
183000.0,756.995566,5.9906810158290374E-5,183000.0,92.10000000000001,83.32629801604054,83.74485596707821,80.25000000000001,465845.0,312400.0
184000.0,761.285675,6.0253528631132914E-5,184000.0,93.7,86.99282334189469,87.79069767441861,84.78260869565219,466845.0,312400.0
185000.0,765.513599,6.059485392451492E-5,185000.0,93.7,86.62374942673213,86.45161290322582,83.24468085106385,467845.0,312064.0
186000.0,769.357102,6.0905478547461736E-5,186000.0,89.8,76.0287654814223,76.7123287671233,66.99029126213594,468845.0,312400.0
187000.0,773.155032,6.121175978869819E-5,187000.0,91.3,77.5147317274889,79.08653846153847,68.92857142857144,469845.0,311728.0
188000.0,777.211339,6.153887765100639E-5,188000.0,92.2,81.6547422491286,81.73302107728338,75.70093457943926,470845.0,311728.0
189000.0,781.147173,6.185593794156485E-5,189000.0,89.2,75.00000000000001,75.1152073732719,67.27272727272727,471845.0,311392.0
190000.0,784.757761,6.214742497122328E-5,190000.0,86.0,70.34953660561494,69.43231441048034,65.17412935323384,472845.0,312064.0
191000.0,789.013304,6.249461739237109E-5,191000.0,87.7,74.49783542603129,74.949083503055,71.59353348729792,473845.0,315368.0
192000.0,794.136399,6.291080857961335E-5,192000.0,83.6,67.12306797907101,67.52475247524752,69.68576709796673,474845.0,314024.0
