learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,52.792551,1.278339257463813E-6,1000.0,87.1,73.57098955132145,64.16666666666666,69.85981308411215,283845.0,93600.0,10.0,333782.6,185729.71513597088,299312.0,182020.77767600538,2434.0,1481.0303470519734,1217.5,740.5151735259867,1217.5,740.5151735259867,27.7,8.472832400613674,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,53.141688,1.286940078791231E-6,2000.0,84.89999999999999,69.65165730088673,71.0172744721689,70.79303675048355,284845.0,95224.0,10.0,335905.7,200231.93131469094,303048.8,194282.56580832636,2463.8,1580.4871822742925,1232.4,790.2435911371463,1232.4,790.2435911371463,26.3,10.883728936148472,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,53.408376,1.293200722988695E-6,3000.0,88.7,77.16747355063973,76.60455486542443,76.26050420168067,285845.0,90744.0,10.0,318332.60000000003,234169.99498284716,282634.39999999997,225965.26874288547,2298.2,1837.9820335236022,1149.6,918.9910167618011,1149.6,918.9910167618011,24.5,12.358083274611085,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,53.716154,1.30009092601844E-6,4000.0,89.2,78.12835415865044,79.23076923076924,76.26373626373628,286845.0,86536.0,10.0,219275.5,225720.47686426976,181395.2,198082.28665705796,1474.4,1610.5728587472636,737.7,805.2864293736318,737.7,805.2864293736318,19.500000000000004,11.374923687167703,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,53.945723,1.305124318862541E-6,5000.0,87.5,74.93985565356857,76.85185185185183,76.23574144486692,287845.0,84752.0,10.0,197199.49999999997,231178.986813849,155274.4,194300.2840023086,1262.0,1580.0124472083546,631.5,790.0062236041773,631.5,790.0062236041773,19.500000000000004,10.564615994493654,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,54.15528,1.3097918022030758E-6,6000.0,93.4,86.42600941130016,87.15953307392998,84.1346153846154,288845.0,86096.0,10.0,209183.89999999997,231208.2372256423,163542.40000000002,196097.55216966206,1329.4,1594.5509434041646,665.2,797.2754717020823,665.2,797.2754717020823,20.599999999999998,9.709102258533827,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,54.399176,1.3153371895704833E-6,7000.0,90.3,79.65979433326065,79.66457023060796,75.31806615776082,289845.0,87888.0,10.0,159536.2,190713.69638620317,111480.8,130874.39963296446,906.6,1066.0785045097655,453.8,533.0392522548827,453.8,533.0392522548827,19.1,9.267026371915524,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,54.610182,1.3197434847491484E-6,8000.0,89.7,77.7959817194102,79.64426877470356,72.23719676549865,290845.0,80720.0,10.0,81440.70000000001,116990.81216920888,59967.2,89825.12475644614,486.8,731.4997987392447,243.9,365.74989936962237,243.9,365.74989936962237,14.399999999999999,5.420127099780759,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,54.807029,1.3240081027005283E-6,9000.0,88.9,75.7215723672123,75.55066079295155,70.55702917771883,291845.0,83744.0,10.0,93414.5,116928.51320666925,68485.59999999999,90021.97026059806,556.0,733.0928393533189,278.5,366.54641967665947,278.5,366.54641967665947,15.899999999999999,4.433458644845529,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,54.998333,1.3282025199983685E-6,10000.0,90.10000000000001,79.31535928594113,80.55009823182712,76.37231503579953,292845.0,84752.0,10.0,105377.5,116950.191763892,76657.6,91237.32606925012,622.2,743.0114101112819,311.6,371.50570505564093,311.6,371.50570505564093,16.5,4.143267631552018,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,55.178327,1.3321646066858539E-6,11000.0,92.0,83.62487872175805,83.739837398374,80.81534772182255,293845.0,85088.0,10.0,117435.69999999998,117004.86503280299,83877.6,91990.48747343391,681.0,749.1316454550711,341.0,374.56582272753553,341.0,374.56582272753553,17.2,4.184627953726724,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,55.363924,1.3362661611682012E-6,12000.0,90.0,79.98855345257488,82.26950354609929,79.46611909650925,294845.0,85424.0,10.0,129376.1,116936.12126137737,91674.40000000002,91227.88751399796,744.4000000000001,742.9168040755154,372.70000000000005,371.4584020377577,372.70000000000005,371.4584020377577,17.799999999999997,4.263540521418529,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,55.571134,1.3409173923627371E-6,13000.0,88.1,75.18020423146233,75.51440329218107,70.54455445544555,295845.0,86768.0,10.0,141306.69999999998,116891.00296910033,101080.0,91573.48949705187,821.0,745.7792345370489,411.0,372.88961726852443,411.0,372.88961726852443,18.4,4.247875285886398,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,55.77248,1.3454894997407165E-6,14000.0,90.5,76.51746606155885,76.01010101010101,65.70397111913358,296845.0,87776.0,10.0,153286.9,116918.95671831834,108993.59999999999,92010.20757285574,885.6,749.4490124232749,443.3,374.72450621163745,443.3,374.72450621163745,19.0,4.371625682868,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,55.959842,1.3497603485960928E-6,15000.0,91.8,79.71592398913566,81.36363636363637,72.93729372937295,297845.0,88112.0,10.0,165288.9,116888.65806821844,116203.2,92156.5020323821,944.2,750.5667192195507,472.6,375.28335960977535,472.6,375.28335960977535,19.300000000000004,4.522781838156197,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,56.167854,1.3545019067140918E-6,16000.0,84.39999999999999,67.72164470634972,68.73747494989979,64.70588235294117,298845.0,88112.0,10.0,177285.9,116933.04638738073,126454.40000000001,92439.05943461107,1027.2,752.9476593879403,514.1,376.4738296939702,514.1,376.4738296939702,19.800000000000004,4.6139883927995395,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,56.385479,1.359500423108952E-6,17000.0,87.4,74.87397102928978,74.02061855670104,76.3157894736842,299845.0,88784.0,10.0,189213.3,116919.09780513476,136440.0,92627.5564085668,1108.0,754.6061518729122,554.5,377.3030759364561,554.5,377.3030759364561,20.2,4.4171383395939845,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,56.603731,1.3645323119581573E-6,18000.0,88.0,75.22299306243806,74.4136460554371,72.66514806378132,300845.0,89120.0,10.0,201201.3,116840.59317059099,146244.0,93964.16937913679,1187.6,765.6103157321978,594.3,382.8051578660989,594.3,382.8051578660989,20.700000000000003,4.808557187163549,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,56.822866,1.3696036067004833E-6,19000.0,87.7,75.181598062954,74.63917525773196,73.26086956521739,301845.0,89456.0,10.0,213320.90000000002,116848.28208545568,155876.80000000002,93820.86505297682,1266.0,764.3752714181402,633.5,382.1876357090701,633.5,382.1876357090701,20.900000000000002,4.62961481479111,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,57.032623,1.3744578726610376E-6,20000.0,90.60000000000001,79.44986861033017,79.78494623655914,73.06590257879657,302845.0,89456.0,10.0,225388.1,116796.47818743889,164108.8,94882.49074489747,1333.3999999999999,773.1492884444907,667.1999999999999,386.57464422224535,667.1999999999999,386.57464422224535,21.3,4.785394445602159,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,57.244788,1.3793678653550644E-6,21000.0,89.60000000000001,78.15851041040999,76.62921348314606,74.57212713936431,303845.0,89456.0,10.0,237468.5,116826.03129558831,172251.2,95219.41024905468,1399.6,775.781211997873,700.3,387.8906059989365,700.3,387.8906059989365,21.5,4.85912657903775,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,57.453061,1.384187788096153E-6,22000.0,87.4,74.59021683014971,75.72254335260115,73.52941176470587,304845.0,89456.0,10.0,249453.9,116836.34908941842,180902.4,95620.3572411928,1469.8,779.1095772311706,735.4,389.5547886155853,735.4,389.5547886155853,21.6,5.037636129950017,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,57.664156,1.388999622081303E-6,23000.0,91.0,82.01187216437152,82.55813953488372,81.81818181818183,305845.0,88112.0,10.0,243485.5,141226.81544023036,175959.2,112020.45212946112,1429.8000000000002,912.1599274980969,715.4000000000001,456.07996374904843,715.4000000000001,456.07996374904843,20.7,6.976946164173676,0.0,0.0,0.0,0.0,1.0,0.0
24000.0,57.85606,1.3934407280033661E-6,24000.0,92.80000000000001,85.59510233479384,85.79881656804734,85.09316770186336,306845.0,89456.0,10.0,255512.7,141215.09131034435,183428.0,112456.25589436,1490.6,915.5990388811033,745.8,457.79951944055165,745.8,457.79951944055165,20.9,6.556591255285699,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,58.037494,1.3976868463204138E-6,25000.0,89.2,78.25876896318485,78.94736842105263,75.56561085972851,307845.0,90464.0,10.0,267418.7,141266.38222249952,190326.4,112735.08699917301,1546.4,917.7794700011303,773.7,458.88973500056517,773.7,458.88973500056517,21.599999999999998,5.796550698475776,0.0,0.0,0.0,0.0,1.0,0.0
26000.0,58.221417,1.402007202176998E-6,26000.0,91.10000000000001,81.26741709253476,80.35320088300222,76.13941018766756,308845.0,90800.0,10.0,279353.5,141289.95593715154,197456.80000000002,113645.76821060156,1604.0,925.1734972425442,802.5,462.5867486212721,802.5,462.5867486212721,21.8,5.533734925185902,0.0,0.0,0.0,0.0,1.0,0.0
27000.0,58.410213,1.4064584357229372E-6,27000.0,89.60000000000001,76.96924064929026,77.87234042553192,68.76876876876878,309845.0,91136.0,10.0,291394.9,141312.44618806778,205442.4,114238.7584152886,1668.6000000000004,930.0694358786099,834.8000000000002,465.0347179393049,834.8000000000002,465.0347179393049,21.8,5.533734925185902,0.0,0.0,0.0,0.0,1.0,0.0
28000.0,58.610915,1.4112252678328917E-6,28000.0,90.7,78.63071111478756,78.71853546910756,72.07207207207207,310845.0,91808.0,10.0,303408.3,141340.38359620445,213191.19999999998,114879.949640967,1731.6,935.381110682818,866.3,467.690555341409,866.3,467.690555341409,22.0,5.312459150169743,0.0,0.0,0.0,0.0,1.0,0.0
29000.0,58.799231,1.4156979225927756E-6,29000.0,92.60000000000001,83.90268520613266,83.77192982456141,79.55801104972376,311845.0,91808.0,10.0,315356.3,141294.75616757883,219991.19999999998,115569.89199306577,1787.0,941.0471708569012,894.0,470.5235854284506,894.0,470.5235854284506,22.0,5.312459150169743,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,58.994051,1.4203250525250203E-6,30000.0,89.4,78.01814954294342,79.13385826771653,74.88151658767774,312845.0,91808.0,10.0,327416.5,141284.44869462613,227552.0,115384.69601583507,1848.6000000000001,939.4739899421259,924.8000000000001,469.7369949710629,924.8000000000001,469.7369949710629,22.3,5.121848624601603,0.0,0.0,0.0,0.0,1.0,0.0
31000.0,59.180061,1.4247429379510383E-6,31000.0,90.8,81.57494192101258,81.41414141414141,81.22448979591837,313845.0,91808.0,10.0,339338.9,141301.5640398223,234437.6,115400.63929266404,1904.8,939.610533974346,952.9,469.805266987173,952.9,469.805266987173,22.5,5.482294734466175,0.0,0.0,0.0,0.0,1.0,0.0
32000.0,59.378381,1.4294531956666873E-6,32000.0,89.1,78.19877913163137,78.37301587301587,77.57201646090536,314845.0,91808.0,10.0,351319.1,141296.95033309577,242005.6,115887.47621646708,1966.4,943.4560815309729,983.7,471.72804076548647,983.7,471.72804076548647,22.599999999999998,5.358275012642699,0.0,0.0,0.0,0.0,1.0,0.0
33000.0,59.572172,1.434055886030611E-6,33000.0,91.60000000000001,83.10396292526723,82.96146044624747,82.01284796573877,315845.0,91808.0,10.0,363345.7,141254.72008636658,248807.19999999998,116201.97891296381,2021.6,946.1219324754665,1011.3,473.0609662377332,1011.3,473.0609662377332,22.700000000000003,5.375872022286245,0.0,0.0,0.0,0.0,1.0,0.0
