learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
100.0,0.102247,1.696485196136766E-9,100.0,90.0,71.91011235955057,-399.9999999999995,61.538461538461554,100.0,64136.0,10.0,598.3,29.758472183004717,483.20000000000005,77.1215490854102,2.8,0.6324555320336759,1.9,0.31622776601683794,1.9,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
200.0,0.172195,2.9078768835299546E-9,200.0,89.0,77.49360613810742,-83.33333333333314,73.80952380952381,200.0,66944.0,10.0,1169.7,99.40718731001743,1096.8000000000002,235.22509314366195,7.800000000000001,1.9321835661585915,4.400000000000001,0.9660917830792958,4.400000000000001,0.9660917830792958,3.0,0.9428090415820634,0.0,0.0,0.0,0.0,1.0,0.0
300.0,0.212673,3.6159305088222027E-9,300.0,84.0,65.19553342678977,-26.315789473684198,57.14285714285713,300.0,67616.0,10.0,1827.7,96.28551292899674,1547.1999999999998,414.3934791421742,11.399999999999999,3.3730961708462717,6.199999999999999,1.6865480854231358,6.199999999999999,1.6865480854231358,4.4,1.577621275493231,0.0,0.0,0.0,0.0,1.0,0.0
400.0,0.245004,4.206767200181882E-9,400.0,88.0,69.41408863542232,-26.31578947368424,57.14285714285715,400.0,70640.0,10.0,2482.7999999999997,272.77129207044095,1908.8,382.8538450462091,14.4,3.134042472944842,7.7,1.567021236472421,7.7,1.567021236472421,5.3,1.3374935098492586,0.0,0.0,0.0,0.0,1.0,0.0
500.0,0.273882,4.737011808902025E-9,500.0,88.2,69.0152088059827,4.8387096774193585,56.93430656934307,500.0,70976.0,10.0,3154.2,452.6837993812262,2254.4,505.53979951027486,17.2,4.157990967870047,9.1,2.0789954839350235,9.1,2.0789954839350235,6.3999999999999995,1.6465452046971292,0.0,0.0,0.0,0.0,1.0,0.0
600.0,0.302003,5.2533567303584685E-9,600.0,90.16666666666666,70.67302912814392,4.838709677419357,56.93430656934305,600.0,70976.0,10.0,3819.2,656.3486201029992,2493.6000000000004,554.7057678525516,19.2,4.565571644870382,10.1,2.282785822435191,10.1,2.282785822435191,6.800000000000001,1.9321835661585913,0.0,0.0,0.0,0.0,1.0,0.0
700.0,0.348988,6.177238006558683E-9,700.0,88.85714285714286,72.07475373615246,10.344827586206927,62.13592233009708,700.0,76008.0,10.0,4139.400000000001,1470.1647829032256,3042.4,1158.6171067268083,23.599999999999998,9.477458637325844,12.299999999999999,4.738729318662922,12.299999999999999,4.738729318662922,7.4,3.0983866769659336,0.0,0.0,0.0,0.0,1.0,0.0
800.0,0.399328,7.173028219905165E-9,800.0,87.875,71.66352628427035,27.06766917293235,62.69230769230769,800.0,76464.0,10.0,4505.900000000001,1865.3415802772186,3900.7999999999997,1590.8100522130926,30.599999999999998,12.988884136488057,15.799999999999999,6.4944420682440285,15.799999999999999,6.4944420682440285,8.299999999999999,3.3015148038438356,0.0,0.0,0.0,0.0,1.0,0.0
900.0,0.43637,7.859616093337536E-9,900.0,88.66666666666667,74.64578672632365,50.96153846153849,67.515923566879,900.0,71648.0,10.0,4895.799999999999,2158.2099475671444,4460.0,2162.050878217254,35.2,17.624477927650002,18.1,8.812238963825001,18.1,8.812238963825001,8.9,4.121757985239901,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,0.461292,8.328053971959485E-9,1000.0,89.4,77.65598650927488,54.506437768240346,73.43358395989975,1000.0,72656.0,10.0,5738.4,2075.403907141397,5009.6,2388.9844983451303,39.6,19.460501306778074,20.3,9.730250653389037,20.3,9.730250653389037,9.5,3.865804501581067,0.0,0.0,0.0,0.0,1.0,0.0
1100.0,0.490191,8.876268176568879E-9,1100.0,89.3,77.36177991418633,60.516605166051676,75.73696145124717,1100.0,73328.0,10.0,6572.7,2036.8616955175594,5700.799999999999,2465.3450874066293,45.2,20.098645614955142,23.1,10.049322807477571,23.1,10.049322807477571,10.0,4.109609335312651,0.0,0.0,0.0,0.0,1.0,0.0
1200.0,0.511683,9.285839705003632E-9,1200.0,90.2,80.34772494836264,62.59541984732826,79.62577962577963,1200.0,73664.0,10.0,7397.9,2031.2120875094367,5946.400000000001,2581.8100110839555,47.199999999999996,21.09133576719228,24.099999999999998,10.54566788359614,24.099999999999998,10.54566788359614,10.2,4.211096452627668,0.0,0.0,0.0,0.0,1.0,0.0
1300.0,0.540732,9.857099722656937E-9,1300.0,91.3,82.59052924791087,70.40816326530613,82.84023668639054,1300.0,76016.0,10.0,8243.7,2123.536622921509,6660.799999999999,2812.8800898723002,53.0,22.958900476963418,27.0,11.479450238481709,27.0,11.479450238481709,10.8,4.366539438350084,0.0,0.0,0.0,0.0,1.0,0.0
1400.0,0.576061,1.0574890298561917E-8,1400.0,90.10000000000001,79.99612045972553,71.875,82.50883392226149,1400.0,78536.0,10.0,8338.5,3429.406791916708,6269.6,3272.7074486492747,49.8,26.653329998332293,25.4,13.326664999166146,25.4,13.326664999166146,9.600000000000001,4.501851470969102,0.0,0.0,0.0,0.0,1.0,0.0
1500.0,0.609083,1.125298478330175E-8,1500.0,90.7,80.88512163639803,76.51515151515153,84.26395939086295,1500.0,79376.0,10.0,9231.699999999999,3397.5387840154067,7292.8,3457.345828490083,58.199999999999996,28.161439357154077,29.599999999999998,14.080719678577038,29.599999999999998,14.080719678577038,10.599999999999998,3.9496835316262993,0.0,0.0,0.0,0.0,1.0,0.0
1600.0,0.633785,1.1762378346174955E-8,1600.0,90.3,78.15649855427547,76.84964200477327,84.01976935749589,1600.0,79712.0,10.0,10136.0,3425.808258239539,7811.2,3849.287287566651,62.400000000000006,31.326949704332495,31.700000000000003,15.663474852166248,31.700000000000003,15.663474852166248,10.799999999999997,3.9665266081716037,0.0,0.0,0.0,0.0,1.0,0.0
1700.0,0.652471,1.2150149032887484E-8,1700.0,91.9,81.13453637540876,80.89622641509435,85.35262206148285,1700.0,80216.0,10.0,11031.9,3480.0472043414075,8153.6,4132.364273498754,65.2,33.63133459538391,33.1,16.815667297691956,33.1,16.815667297691956,10.9,4.094712037087183,0.0,0.0,0.0,0.0,1.0,0.0
1800.0,0.673004,1.2576248546441395E-8,1800.0,93.8,85.04726992089522,85.41176470588235,88.19047619047619,1800.0,80216.0,10.0,11943.3,3575.2950165763323,8670.4,4388.987916744968,69.39999999999999,35.74974747385559,35.199999999999996,17.874873736927796,35.199999999999996,17.874873736927796,11.1,4.094712037087183,0.0,0.0,0.0,0.0,1.0,0.0
1900.0,0.694887,1.3030363174362314E-8,1900.0,94.3,85.7628134678789,85.89108910891088,88.57715430861722,1900.0,80216.0,10.0,12845.2,3686.505114001004,9115.2,4806.686010132136,72.99999999999999,39.14644868240852,36.99999999999999,19.57322434120426,36.99999999999999,19.57322434120426,11.2,4.2895221179054435,0.0,0.0,0.0,0.0,1.0,0.0
