learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.327841,4.592098891735077E-9,100.0,96.0,92.00319872051179,92.0,90.90909090909089,10100.0,54144.0
200.0,0.362859,5.082599222660065E-9,200.0,98.0,95.98595082789764,95.8762886597938,95.18072289156626,10200.0,54144.0
300.0,0.384995,5.392660200595856E-9,300.0,98.33333333333333,96.64729548502457,96.5986394557823,96.06299212598424,10300.0,54144.0
400.0,0.410937,5.7560321688652045E-9,400.0,98.75,97.48693204664255,97.43589743589745,97.1264367816092,10400.0,54144.0
500.0,0.432281,6.0549995303153995E-9,500.0,98.8,97.58310104248909,97.59036144578313,97.23502304147466,10500.0,54144.0
600.0,0.454248,6.362693309783936E-9,600.0,99.0,97.98375805096612,97.95918367346938,97.70114942528735,10600.0,54144.0
700.0,0.47419,6.642022728919983E-9,700.0,98.85714285714286,97.70067747895709,97.67441860465115,97.42765273311896,10700.0,54144.0
800.0,0.492285,6.895481050014496E-9,800.0,98.75,97.49025906800772,97.44245524296676,97.2451790633609,10800.0,54144.0
900.0,0.50873,7.125827670097351E-9,900.0,98.77777777777777,97.55188035371619,97.50566893424035,97.38717339667457,10900.0,54144.0
1000.0,0.525206,7.356608510017395E-9,1000.0,98.9,97.79594453794984,97.78225806451613,97.64453961456103,11000.0,54144.0
1100.0,0.538949,7.549107968807221E-9,1100.0,99.3,98.59716065316199,98.5655737704918,98.51694915254238,11100.0,54144.0
1200.0,0.551714,7.727908492088319E-9,1200.0,99.3,98.59847514095335,98.56850715746421,98.55072463768116,11200.0,54144.0
1300.0,0.564412,7.905770540237428E-9,1300.0,99.3,98.59786876051598,98.53862212943632,98.54469854469853,11300.0,54144.0
1400.0,0.577877,8.094376027584077E-9,1400.0,99.3,98.59938372884068,98.559670781893,98.57142857142857,11400.0,54144.0
1500.0,0.590704,8.274044990539552E-9,1500.0,99.4,98.79996159877116,98.73417721518987,98.80478087649402,11500.0,54144.0
1600.0,0.603486,8.453083634376526E-9,1600.0,99.4,98.7993132071545,98.75259875259876,98.8118811881188,11600.0,54144.0
1700.0,0.616361,8.633424937725067E-9,1700.0,99.6,99.19961581559149,99.16317991631799,99.2094861660079,11700.0,54144.0
1800.0,0.628654,8.805614113807678E-9,1800.0,99.7,99.39989918306276,99.37369519832984,99.40828402366864,11800.0,54144.0
1900.0,0.640489,8.971388041973114E-9,1900.0,99.7,99.3999855996544,99.37888198757764,99.39393939393939,11900.0,54144.0
2000.0,0.652473,9.13924902677536E-9,2000.0,99.6,99.199798349184,99.15966386554622,99.19517102615694,12000.0,54144.0
2100.0,0.664132,9.302557706832886E-9,2100.0,99.6,99.19872115896972,99.16839916839916,99.17864476386036,12100.0,54144.0
2200.0,0.675616,9.463415145874024E-9,2200.0,99.6,99.19884633872776,99.16666666666667,99.18032786885246,12200.0,54144.0
2300.0,0.687404,9.628530740737916E-9,2300.0,99.7,99.39878313706943,99.38524590163934,99.40119760479041,12300.0,54144.0
2400.0,0.698968,9.79050874710083E-9,2400.0,99.7,99.399783922212,99.37759336099586,99.40239043824701,12400.0,54144.0
2500.0,0.710808,9.956352710723877E-9,2500.0,99.7,99.4,99.37629937629937,99.39879759519037,12500.0,54144.0
2600.0,0.722207,1.0116019546985626E-8,2600.0,99.7,99.39992799135896,99.36170212765958,99.40119760479041,12600.0,54144.0
2700.0,0.733958,1.0280616879463196E-8,2700.0,99.7,99.39992799135896,99.36034115138592,99.39879759519037,12700.0,54144.0
2800.0,0.745001,1.0435297191143036E-8,2800.0,99.8,99.59996159631325,99.57446808510639,99.59349593495935,12800.0,54144.0
2900.0,0.75596,1.058880090713501E-8,2900.0,99.9,99.79999519988479,99.78260869565217,99.79797979797979,12900.0,54144.0
3000.0,0.766879,1.0741744339466095E-8,3000.0,100.0,100.0,100.0,100.0,13000.0,54144.0
3100.0,0.778183,1.0900080502033234E-8,3100.0,100.0,100.0,100.0,100.0,13100.0,54144.0
3200.0,0.789257,1.1055195033550263E-8,3200.0,100.0,100.0,100.0,100.0,13200.0,54144.0
3300.0,0.80175,1.1230185627937317E-8,3300.0,100.0,100.0,100.0,100.0,13300.0,54144.0
3400.0,0.813982,1.1401520371437072E-8,3400.0,100.0,100.0,100.0,100.0,13400.0,54144.0
3500.0,0.826314,1.157425582408905E-8,3500.0,99.9,99.79996639435426,99.7907949790795,99.79959919839679,13500.0,54144.0
3600.0,0.837007,1.1724033653736115E-8,3600.0,99.9,99.79996639435426,99.79838709677419,99.800796812749,13600.0,54144.0
3700.0,0.84778,1.1874932050704956E-8,3700.0,99.9,99.79996639435426,99.79959919839679,99.800796812749,13700.0,54144.0
3800.0,0.859697,1.2041854560375213E-8,3800.0,99.9,99.7999839987199,99.8019801980198,99.79879275653923,13800.0,54144.0
3900.0,0.870496,1.2193117141723632E-8,3900.0,99.9,99.79995518996255,99.80544747081711,99.79757085020243,13900.0,54144.0
4000.0,0.880822,1.2337754368782042E-8,4000.0,99.9,99.79999519988479,99.80544747081711,99.8003992015968,14000.0,54144.0
4100.0,0.891244,1.2483736276626586E-8,4100.0,99.9,99.7997548999976,99.8015873015873,99.8015873015873,14100.0,54144.0
4200.0,0.902082,1.2635545134544371E-8,4200.0,99.8,99.6,99.61315280464217,99.59349593495935,14200.0,54144.0
4300.0,0.912257,1.2778067290782927E-8,4300.0,99.8,99.59998719959039,99.61013645224172,99.59016393442623,14300.0,54144.0
4400.0,0.922377,1.291981905698776E-8,4400.0,99.8,99.5999439921589,99.61612284069098,99.59432048681542,14400.0,54144.0
4500.0,0.933097,1.3069975078105925E-8,4500.0,99.9,99.79999519988479,99.80952380952381,99.79296066252587,14500.0,54144.0
4600.0,0.943973,1.3222316205501554E-8,4600.0,99.7,99.39963017218606,99.4263862332696,99.36575052854123,14600.0,54144.0
4700.0,0.954429,1.3368774354457854E-8,4700.0,99.7,99.39995679688937,99.42307692307692,99.37888198757764,14700.0,54144.0
4800.0,0.96469,1.351250112056732E-8,4800.0,99.7,99.39997599903995,99.42307692307692,99.38398357289527,14800.0,54144.0
4900.0,0.974847,1.3654771149158476E-8,4900.0,99.7,99.39983195294683,99.42748091603053,99.38775510204081,14900.0,54144.0
5000.0,0.985118,1.3798637986183164E-8,5000.0,99.7,99.39942825569943,99.4186046511628,99.37106918238993,15000.0,54144.0
5100.0,0.995416,1.3942883014678952E-8,5100.0,99.6,99.1996830744975,99.23371647509579,99.18864097363083,15100.0,54144.0
5200.0,1.006855,1.410311013460159E-8,5200.0,99.4,98.79996159877116,98.85496183206108,98.7878787878788,15200.0,54144.0
5300.0,1.017074,1.4246248602867123E-8,5300.0,99.3,98.59989919274187,98.69158878504675,98.58585858585859,15300.0,54144.0
5400.0,1.027811,1.4396642744541165E-8,5400.0,99.3,98.6000111999104,98.64864864864865,98.57142857142857,15400.0,54144.0
5500.0,1.037764,1.4536055326461789E-8,5500.0,99.3,98.59969753466748,98.64341085271317,98.55371900826447,15500.0,54144.0
5600.0,1.048097,1.4680790603160854E-8,5600.0,99.4,98.7986160056385,98.828125,98.77551020408163,15600.0,54144.0
5700.0,1.05809,1.4820763468742367E-8,5700.0,99.4,98.79952461174625,98.82583170254404,98.74739039665971,15700.0,54144.0
5800.0,1.067915,1.4958383142948146E-8,5800.0,99.3,98.59994399775991,98.61386138613861,98.5655737704918,15800.0,54144.0
5900.0,1.077542,1.5093229413032527E-8,5900.0,99.3,98.6000111999104,98.60279441117764,98.57433808553971,15900.0,54144.0
6000.0,1.087983,1.5239477455615993E-8,6000.0,99.2,98.39838557265723,98.4375,98.38383838383838,16000.0,54144.0
6100.0,1.097996,1.537973046302795E-8,6100.0,99.3,98.59979837096542,98.66156787762907,98.55072463768116,16100.0,54144.0
6200.0,1.107905,1.5518526732921594E-8,6200.0,99.5,99.0,99.04030710172745,98.94957983193278,16200.0,54144.0
6300.0,1.117835,1.5657617151737208E-8,6300.0,99.6,99.19989758689111,99.2156862745098,99.16666666666667,16300.0,54144.0
6400.0,1.127734,1.5796273350715632E-8,6400.0,99.6,99.19985597407533,99.22027290448344,99.17525773195877,16400.0,54144.0
6500.0,1.142024,1.599643468856811E-8,6500.0,99.5,98.99938362031011,99.01768172888016,98.98580121703854,16500.0,54144.0
6600.0,1.152085,1.6137360036373133E-8,6600.0,99.6,99.1989650628612,99.21104536489152,99.18533604887983,16600.0,54144.0
6700.0,1.161769,1.6273004710674282E-8,6700.0,99.6,99.19783415221097,99.21722113502935,99.17864476386036,16700.0,54144.0
6800.0,1.171567,1.6410246193408964E-8,6800.0,99.7,99.39917807560744,99.41520467836257,99.38271604938271,16800.0,54144.0
6900.0,1.180837,1.6540091931819913E-8,6900.0,99.7,99.39934648898002,99.42307692307692,99.3801652892562,16900.0,54144.0
7000.0,1.191176,1.6684911251068114E-8,7000.0,99.8,99.6,99.6078431372549,99.59758551307847,17000.0,54144.0
7100.0,1.201754,1.6833078265190125E-8,7100.0,99.8,99.5999743983615,99.60079840319361,99.59349593495935,17100.0,54144.0
7200.0,1.212304,1.698085308074951E-8,7200.0,99.9,99.7999983999872,99.79674796747967,99.7946611909651,17200.0,54144.0
7300.0,1.222722,1.7126778960227966E-8,7300.0,99.9,99.79997599711965,99.79591836734694,99.79338842975206,17300.0,54144.0
7400.0,1.233783,1.7281711399555205E-8,7400.0,99.9,99.79992797407067,99.79508196721312,99.7946611909651,17400.0,54144.0
7500.0,1.243046,1.74114590883255E-8,7500.0,100.0,100.0,100.0,100.0,17500.0,54144.0
7600.0,1.252223,1.754000216722488E-8,7600.0,100.0,100.0,100.0,100.0,17600.0,54144.0
7700.0,1.261627,1.767172485589981E-8,7700.0,99.9,99.7999839987199,99.79508196721312,99.8,17700.0,54144.0
7800.0,1.270558,1.7796822190284727E-8,7800.0,99.9,99.8,99.78991596638656,99.79716024340772,17800.0,54144.0
7900.0,1.279643,1.7924076616764066E-8,7900.0,99.9,99.79999519988479,99.78021978021978,99.79508196721312,17900.0,54144.0
8000.0,1.288508,1.8048249483108518E-8,8000.0,99.9,99.79980781550289,99.78118161925602,99.78947368421053,18000.0,54144.0
8100.0,1.297423,1.817312270402908E-8,8100.0,99.9,99.79947864447564,99.77728285077951,99.78902953586498,18100.0,54144.0
8200.0,1.307012,1.8307436704635614E-8,8200.0,99.8,99.59845807902344,99.56236323851203,99.57983193277312,18200.0,54144.0
8300.0,1.316326,1.843789875507354E-8,8300.0,99.8,99.5985564088462,99.56236323851203,99.581589958159,18300.0,54144.0
8400.0,1.325177,1.8561875522136683E-8,8400.0,99.8,99.59874326390255,99.56331877729258,99.5850622406639,18400.0,54144.0
8500.0,1.33456,1.8693304061889642E-8,8500.0,99.8,99.59953866854616,99.56427015250544,99.57894736842105,18500.0,54144.0
8600.0,1.341792,1.8794603347778314E-8,8600.0,99.8,99.59984153724875,99.56331877729258,99.58932238193019,18600.0,54144.0
8700.0,1.349101,1.8896981179714197E-8,8700.0,99.9,99.79992797407067,99.78213507625271,99.79296066252587,18700.0,54144.0
8800.0,1.356568,1.900157213211059E-8,8800.0,99.9,99.79992797407067,99.7872340425532,99.79423868312757,18800.0,54144.0
8900.0,1.363775,1.9102521240711208E-8,8900.0,99.9,99.79983185876135,99.79035639412997,99.79508196721312,18900.0,54144.0
9000.0,1.37094,1.920288205146789E-8,9000.0,99.9,99.8,99.79253112033194,99.79838709677419,19000.0,54144.0
9100.0,1.37783,1.9299390912055966E-8,9100.0,99.9,99.79999039953917,99.79550102249489,99.80237154150198,19100.0,54144.0
9200.0,1.384709,1.9395745694637296E-8,9200.0,100.0,100.0,100.0,100.0,19200.0,54144.0
9300.0,1.391517,1.9491105973720548E-8,9300.0,100.0,100.0,100.0,100.0,19300.0,54144.0
9400.0,1.39855,1.95896178483963E-8,9400.0,100.0,100.0,100.0,100.0,19400.0,54144.0
9500.0,1.405436,1.9686070680618284E-8,9500.0,100.0,100.0,100.0,100.0,19500.0,54144.0
9600.0,1.412315,1.9782425463199614E-8,9600.0,100.0,100.0,100.0,100.0,19600.0,54144.0
9700.0,1.419438,1.9882197976112363E-8,9700.0,100.0,100.0,100.0,100.0,19700.0,54144.0
9800.0,1.426346,1.9978958964347837E-8,9800.0,100.0,100.0,100.0,100.0,19800.0,54144.0
9900.0,1.433518,2.0079417824745176E-8,9900.0,100.0,100.0,100.0,100.0,19900.0,54144.0
10000.0,1.440377,2.017549246549606E-8,10000.0,100.0,100.0,100.0,100.0,20000.0,54144.0
10100.0,1.466846,2.0543781053274867E-8,10100.0,99.3,98.59929404419827,98.63013698630137,98.57142857142857,59.0,53784.0
10200.0,1.474499,2.065026458352804E-8,10200.0,99.3,98.59790246208327,98.62204724409449,98.54771784232365,159.0,53784.0
10300.0,1.482013,2.075481407344341E-8,10300.0,99.3,98.59744173372232,98.63013698630137,98.54166666666666,259.0,53784.0
10400.0,1.490116,2.0867558885365724E-8,10400.0,99.3,98.59578736208626,98.6328125,98.52320675105484,359.0,53784.0
10500.0,1.502986,2.1046631541103124E-8,10500.0,98.9,97.79293739967898,97.83889980353634,97.67932489451476,459.0,53784.0
10600.0,1.510152,2.114633897319436E-8,10600.0,98.9,97.7924235977876,97.82608695652173,97.67441860465115,559.0,53784.0
