learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,1.008912,1.4754161636034647E-8,100.0,93.0,86.02236421725242,86.00000000000001,84.09090909090911,10100.0,56528.0
200.0,1.044081,1.5268467254936696E-8,200.0,96.0,91.99439607725407,91.75257731958763,90.36144578313252,10200.0,56528.0
300.0,1.065336,1.55792968471845E-8,300.0,97.0,93.97912764249398,93.87755102040816,92.91338582677164,10300.0,56528.0
400.0,1.085778,1.5878237262368202E-8,400.0,97.5,94.98394863563402,94.87179487179486,94.25287356321839,10400.0,56528.0
500.0,1.107107,1.6190149018334017E-8,500.0,97.8,95.57721380552606,95.58232931726907,94.93087557603687,10500.0,56528.0
600.0,1.125599,1.646057295716471E-8,600.0,98.16666666666667,96.30955043614404,96.25850340136056,95.78544061302682,10600.0,56528.0
700.0,1.146138,1.6760931884249052E-8,700.0,98.28571428571429,96.5559373180592,96.51162790697676,96.14147909967846,10700.0,56528.0
800.0,1.166446,1.7057912705673112E-8,800.0,98.375,96.74120124335707,96.67519181585678,96.41873278236915,10800.0,56528.0
900.0,1.1866,1.7352641456656986E-8,900.0,98.55555555555556,97.10894103228101,97.05215419501133,96.91211401425177,10900.0,56528.0
1000.0,1.206241,1.7639868180784914E-8,1000.0,98.7,97.39712642757604,97.37903225806451,97.21627408993577,11000.0,56528.0
1100.0,1.22445,1.7906153574585916E-8,1100.0,99.4,98.79812026008678,98.77049180327869,98.72881355932203,11100.0,56528.0
1200.0,1.244018,1.819231275882986E-8,1200.0,99.4,98.79910172809261,98.77300613496932,98.75776397515527,11200.0,56528.0
1300.0,1.261389,1.844634337971608E-8,1300.0,99.4,98.79863043870012,98.74739039665971,98.75259875259876,11300.0,56528.0
1400.0,1.279016,1.870411770211326E-8,1400.0,99.5,98.99971992157805,98.97119341563786,98.9795918367347,11400.0,56528.0
1500.0,1.297114,1.8968779850337244E-8,1500.0,99.6,99.1999231926265,99.15611814345992,99.20318725099602,11500.0,56528.0
1600.0,1.314764,1.922689052091705E-8,1600.0,99.6,99.19937551290006,99.16839916839916,99.20792079207921,11600.0,56528.0
1700.0,1.333751,1.9504553257591198E-8,1700.0,99.7,99.39962536622853,99.3723849372385,99.40711462450594,11700.0,56528.0
1800.0,1.352941,1.9785184632572865E-8,1800.0,99.7,99.39986556988765,99.37369519832984,99.40828402366864,11800.0,56528.0
1900.0,1.370643,2.0044055742522083E-8,1900.0,99.7,99.39997119861754,99.37888198757764,99.39393939393939,11900.0,56528.0
2000.0,1.388258,2.0301654578910935E-8,2000.0,99.6,99.19974071599198,99.15966386554622,99.19517102615694,12000.0,56528.0
2100.0,1.405893,2.055954589198033E-8,2100.0,99.6,99.19858630624422,99.16839916839916,99.17864476386036,12100.0,56528.0
2200.0,1.423592,2.0818373130427468E-8,2200.0,99.7,99.39908661164971,99.375,99.38524590163934,12200.0,56528.0
2300.0,1.440942,2.1072096650799116E-8,2300.0,99.8,99.59915180521985,99.59016393442623,99.60079840319361,12300.0,56528.0
2400.0,1.4585,2.132886192864842E-8,2400.0,99.8,99.59983993597439,99.5850622406639,99.60159362549801,12400.0,56528.0
2500.0,1.476177,2.1587367442746958E-8,2500.0,99.8,99.6,99.58419958419958,99.59919839679358,12500.0,56528.0
2600.0,1.493805,2.1845156388978164E-8,2600.0,99.7,99.3999519961597,99.36170212765958,99.40119760479041,12600.0,56528.0
2700.0,1.511318,2.2101263594296244E-8,2700.0,99.7,99.3999519961597,99.36034115138592,99.39879759519037,12700.0,56528.0
2800.0,1.529257,2.2363600552909904E-8,2800.0,99.8,99.59994239170442,99.57446808510639,99.59349593495935,12800.0,56528.0
2900.0,1.547078,2.2624211899108357E-8,2900.0,99.8,99.59998559948158,99.56521739130434,99.5959595959596,12900.0,56528.0
3000.0,1.563917,2.2870462640292114E-8,3000.0,99.9,99.79999039953917,99.78540772532189,99.79716024340772,13000.0,56528.0
3100.0,1.581376,2.3125780158572728E-8,3100.0,99.9,99.7997548999976,99.7867803837953,99.79838709677419,13100.0,56528.0
3200.0,1.599146,2.3385645689235796E-8,3200.0,99.9,99.79999519988479,99.78448275862068,99.80353634577604,13200.0,56528.0
3300.0,1.617618,2.3655777151385946E-8,3300.0,99.9,99.7999983999872,99.78632478632478,99.80119284294234,13300.0,56528.0
3400.0,1.63578,2.3921375224987667E-8,3400.0,99.8,99.59973101924493,99.57356076759062,99.59349593495935,13400.0,56528.0
