learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
100.0,1.11181,2.3306913446221086E-8,100.0,85.0,70.14331210191082,70.0,65.90909090909089,10100.0,81032.0,10.0,48459.600000000006,25400.107507209053,44974.399999999994,30070.21112588928,364.4,244.52957103612462,182.7,122.26478551806231,182.7,122.26478551806231,10.8,5.159672685570493,0.0,0.0,0.0,0.0,1.0,0.0
200.0,1.168579,2.452657139756613E-8,200.0,92.0,84.0780177132053,83.50515463917526,80.72289156626508,10200.0,83048.0,10.0,49176.9,25132.093353364384,45447.200000000004,30037.561658696603,368.2,244.2516006998612,184.6,122.1258003499306,184.6,122.1258003499306,11.1,4.581363212940979,0.0,0.0,0.0,0.0,1.0,0.0
300.0,1.211218,2.547971556170119E-8,300.0,94.0,88.02076400905096,87.75510204081631,85.8267716535433,10300.0,86408.0,10.0,49903.5,24884.682058782,46017.6,30005.084677249102,372.8,244.0008196707544,186.9,122.0004098353772,186.9,122.0004098353772,11.3,4.270050741306634,0.0,0.0,0.0,0.0,1.0,0.0
400.0,1.24439,2.622556132988797E-8,400.0,95.0,90.0079936051159,89.74358974358974,88.50574712643677,10400.0,86912.0,10.0,50612.49999999999,24644.895415796665,46413.6,30047.637685663227,376.0,244.35538781773477,188.5,122.17769390886738,188.5,122.17769390886738,11.4,4.033195589934446,0.0,0.0,0.0,0.0,1.0,0.0
500.0,1.272963,2.6870485941569008E-8,500.0,95.6,91.19027406256507,91.16465863453814,89.86175115207372,10500.0,87248.0,10.0,51320.80000000001,24392.051463995853,46858.399999999994,30043.408251691046,379.6,244.31318698206476,190.3,122.15659349103238,190.3,122.15659349103238,11.7,3.743141876967945,0.0,0.0,0.0,0.0,1.0,0.0
600.0,1.303346,2.7556264280445045E-8,600.0,96.33333333333334,92.64533814729383,92.51700680272108,91.57088122605364,10600.0,87248.0,10.0,52038.4,24144.176257548228,47226.4,30072.97200403637,382.59999999999997,244.56183040059395,191.79999999999998,122.28091520029697,191.79999999999998,122.28091520029697,11.7,3.743141876967945,0.0,0.0,0.0,0.0,1.0,0.0
700.0,1.33518,2.827479331443707E-8,700.0,96.57142857142857,93.13147501574038,93.0232558139535,92.28295819935693,10700.0,87248.0,10.0,52762.700000000004,23892.430163594123,47720.0,30040.54125862434,386.6,244.3054554355174,193.8,122.1527277177587,193.8,122.1527277177587,11.799999999999999,3.6147844564602556,0.0,0.0,0.0,0.0,1.0,0.0
800.0,1.36161,2.8877091482281684E-8,800.0,96.875,93.74577840042029,93.60613810741688,93.1129476584022,10800.0,88088.0,10.0,53491.4,23626.20040077917,48166.4,29893.545952262004,390.2,243.09156939538465,195.6,121.54578469769233,195.6,121.54578469769233,11.9,3.3813212407775355,0.0,0.0,0.0,0.0,1.0,0.0
900.0,1.386721,2.9449331712805563E-8,900.0,97.11111111111111,94.22493151361091,94.10430839002268,93.82422802850357,10900.0,88088.0,10.0,54227.6,23352.7854213011,48592.0,29796.732169820232,393.6,242.3038496507135,197.3,121.15192482535674,197.3,121.15192482535674,11.999999999999998,3.1622776601683795,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,1.412093,3.002751972319351E-8,1000.0,97.39999999999999,94.80047835599125,94.75806451612902,94.43254817987152,11000.0,88088.0,10.0,54956.0,23086.779487644246,48962.4,29650.32407992271,396.6,241.0879046691845,198.8,120.54395233459225,198.8,120.54395233459225,12.099999999999998,3.2128215360057304,0.0,0.0,0.0,0.0,1.0,0.0
1100.0,1.43729,3.060171975857682E-8,1100.0,98.9,97.79756851564126,97.74590163934425,97.66949152542372,11100.0,88088.0,10.0,55663.2,22849.653519376512,49160.0,29711.53640516686,398.2,241.58035240198376,199.6,120.79017620099188,199.6,120.79017620099188,12.099999999999998,3.2128215360057304,0.0,0.0,0.0,0.0,1.0,0.0
1200.0,1.462099,3.11670778836641E-8,1200.0,98.8,97.59918372246563,97.54601226993866,97.51552795031056,11200.0,88088.0,10.0,56383.8,22583.764841141965,49460.0,29697.260330055888,400.59999999999997,241.44895940964417,200.79999999999998,120.72447970482209,200.79999999999998,120.72447970482209,12.199999999999998,3.0840089349921005,0.0,0.0,0.0,0.0,1.0,0.0
1300.0,1.487388,3.174337445447842E-8,1300.0,99.0,97.99863106364754,97.91231732776617,97.92099792099792,11300.0,88088.0,10.0,57102.2,22325.28222441992,50044.0,29654.55351206624,405.40000000000003,241.07499985596922,203.20000000000002,120.53749992798461,203.20000000000002,120.53749992798461,12.199999999999998,3.0840089349921005,0.0,0.0,0.0,0.0,1.0,0.0
1400.0,1.512233,3.231495199518071E-8,1400.0,99.2,98.39987198975918,98.35390946502058,98.36734693877551,11400.0,88928.0,10.0,57817.1,22070.57823564112,50383.200000000004,29606.412146320225,408.2,240.65687884067088,204.6,120.32843942033544,204.6,120.32843942033544,12.199999999999998,3.0840089349921005,0.0,0.0,0.0,0.0,1.0,0.0
1500.0,1.535907,3.28595898176233E-8,1500.0,99.4,98.7998079692751,98.73417721518987,98.80478087649402,11500.0,88928.0,10.0,58547.5,21831.126398638557,50612.799999999996,29639.509775523165,410.0,240.91907354960503,205.5,120.45953677480252,205.5,120.45953677480252,12.199999999999998,3.0840089349921005,0.0,0.0,0.0,0.0,1.0,0.0
1600.0,1.561494,3.344823761532704E-8,1600.0,99.4,98.79881322746874,98.75259875259876,98.8118811881188,11600.0,88928.0,10.0,59295.4,21544.89281683455,51003.200000000004,29652.25638332136,413.20000000000005,241.02826021490142,207.10000000000002,120.51413010745071,207.10000000000002,120.51413010745071,12.199999999999998,3.0840089349921005,0.0,0.0,0.0,0.0,1.0,0.0
1700.0,1.586724,3.4027575825651485E-8,1700.0,99.6,99.19938512777813,99.16317991631799,99.2094861660079,11700.0,88760.0,10.0,60026.5,21274.609985979896,51347.2,29437.912776252026,415.99999999999994,239.2362848733444,208.49999999999997,119.6181424366722,208.49999999999997,119.6181424366722,12.299999999999999,2.9832867780352594,0.0,0.0,0.0,0.0,1.0,0.0
