learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,11.432012,9.340872238079707E-7,1000.0,91.8,82.9533879102101,77.34806629834256,80.04866180048663,15840.0,315840.0
2000.0,13.278287,1.0874684455804526E-6,2000.0,89.4,77.99962640875034,78.75751503006012,74.45783132530121,18067.0,321128.0
3000.0,14.661392,1.2024514858921368E-6,3000.0,93.60000000000001,87.15390822270307,86.14718614718616,86.83127572016463,19885.0,321352.0
4000.0,16.308765,1.339762168381777E-6,4000.0,90.5,75.14234279494265,77.05314009661836,65.57971014492755,21988.0,322192.0
5000.0,18.004401,1.482962581221428E-6,5000.0,91.7,75.41410933908388,78.10026385224276,64.22413793103449,24174.0,326448.0
6000.0,19.570357,1.6140768967444697E-6,6000.0,93.60000000000001,82.91720717690835,84.54106280193237,76.02996254681649,26195.0,323648.0
7000.0,21.305413,1.7598020629460612E-6,7000.0,88.3,73.97686832740213,72.40566037735849,67.13483146067416,28177.0,324656.0
8000.0,23.259946,1.924470509899159E-6,8000.0,91.9,82.65539481460546,83.19502074688798,79.06976744186048,30249.0,325664.0
9000.0,25.298633,2.096363906996945E-6,9000.0,89.8,78.08440512051429,77.33333333333333,73.64341085271319,32610.0,325920.0
10000.0,27.230686,2.258034814699656E-6,10000.0,90.10000000000001,79.01226192697116,79.375,74.74489795918367,34791.0,323456.0
11000.0,29.008284,2.40832634013974E-6,11000.0,92.10000000000001,82.30651389050645,81.145584725537,77.6203966005666,36851.0,326816.0
12000.0,30.911895,2.5682949022410643E-6,12000.0,85.0,69.27677529033447,71.59090909090908,66.29213483146067,38878.0,324832.0
13000.0,32.995941,2.7410712061532666E-6,13000.0,89.0,77.91838635597166,76.13882863340564,77.8672032193159,41130.0,320464.0
14000.0,34.758214,2.889902916188455E-6,14000.0,90.5,80.83858423358372,81.90476190476191,78.69955156950674,43149.0,326456.0
15000.0,36.746051,3.0562581902514727E-6,15000.0,88.2,76.32661249874612,77.60910815939279,74.84008528784648,45356.0,323488.0
16000.0,38.623464,3.2138620313319063E-6,16000.0,90.8,81.24141080902534,81.30081300813009,80.0,47533.0,324496.0
17000.0,40.281936,3.3535188365293044E-6,17000.0,94.19999999999999,88.14415077369637,87.58029978586723,86.09112709832132,49509.0,325504.0
18000.0,41.986167,3.497582673517366E-6,18000.0,92.0,83.68944707225576,83.33333333333334,81.39534883720931,51467.0,326760.0
19000.0,43.549343,3.631194698632591E-6,19000.0,91.3,82.54063816977725,82.90766208251475,81.6842105263158,53348.0,330400.0
20000.0,45.436328,3.7907072878525487E-6,20000.0,91.4,82.63433152272682,82.41308793456034,81.0989010989011,55542.0,326760.0
21000.0,47.09576,3.931310394073112E-6,21000.0,92.7,84.33476394849787,83.99122807017545,79.94505494505496,57505.0,327520.0
22000.0,48.691894,4.066827765303767E-6,22000.0,94.69999999999999,86.84550165796317,86.88118811881186,81.59722222222221,59478.0,328192.0
23000.0,50.287282,4.202420475133177E-6,23000.0,93.89999999999999,83.85389094759131,83.98950131233595,76.98113207547168,61452.0,328528.0
24000.0,51.943473,4.342964915260672E-6,24000.0,92.60000000000001,78.06042278158262,78.48837209302326,68.51063829787236,63420.0,328024.0
25000.0,53.525053,4.477246600877907E-6,25000.0,93.8,82.63110712684892,83.85416666666666,76.15384615384613,65277.0,328192.0
26000.0,55.227584,4.622167424971444E-6,26000.0,91.8,79.93196446489318,81.06235565819863,73.96825396825398,67194.0,329032.0
27000.0,56.888564,4.763479205086413E-6,27000.0,92.9,81.81035631206257,82.55528255528257,74.46043165467627,69169.0,328864.0
28000.0,58.481075,4.898965823987705E-6,28000.0,93.2,82.08074206809319,83.65384615384616,74.81481481481484,71132.0,328864.0
29000.0,60.268242,5.0509355865667255E-6,29000.0,92.2,80.81312972292191,82.74336283185842,75.31645569620254,73279.0,328696.0
30000.0,61.990593,5.197768074199556E-6,30000.0,92.2,81.0775142646431,80.92909535452324,75.15923566878982,75469.0,329536.0
31000.0,63.588433,5.334471963933771E-6,31000.0,91.0,76.89796086001192,77.99511002444989,68.53146853146855,77438.0,330712.0
32000.0,65.205403,5.4727422527637735E-6,32000.0,90.0,74.74747474747477,76.13365155131265,66.66666666666667,79338.0,330544.0
33000.0,66.944847,5.623047918561431E-6,33000.0,89.7,74.53646477132261,77.00892857142857,66.66666666666667,81151.0,334016.0
34000.0,68.965908,5.795345791810088E-6,34000.0,90.3,78.97520374544824,79.57894736842105,74.8051948051948,83238.0,329536.0
35000.0,71.138208,5.980725794914695E-6,35000.0,89.9,79.34188565631443,79.04564315352698,76.88787185354691,85231.0,329872.0
36000.0,73.291323,6.164138834807607E-6,36000.0,91.9,83.63530571673321,83.16008316008316,82.50539956803456,87158.0,329280.0
37000.0,75.0255,6.312316875006589E-6,37000.0,93.0,85.79268688705594,84.88120950323975,84.51327433628319,88991.0,330288.0
38000.0,76.777915,6.462169332504272E-6,38000.0,92.7,85.38994828441969,85.6581532416503,84.46808510638299,90797.0,330544.0
39000.0,78.532625,6.612370565401182E-6,39000.0,93.5,86.94202258025635,86.05150214592275,85.96112311015119,92832.0,330880.0
40000.0,80.253066,6.759937503147455E-6,40000.0,93.60000000000001,87.20081914757458,87.78625954198475,87.32673267326734,95046.0,331552.0
41000.0,81.815315,6.894207471799518E-6,41000.0,92.2,84.19459292971457,84.82490272373542,83.50951374207189,96907.0,332224.0
42000.0,83.549306,7.0432380790925675E-6,42000.0,92.5,84.72990251569767,85.29411764705883,82.67898383371826,98983.0,332224.0
43000.0,85.278617,7.191866456361279E-6,43000.0,92.9,85.33033603861222,84.8936170212766,82.5980392156863,101110.0,332224.0
44000.0,86.801058,7.322847399111421E-6,44000.0,93.89999999999999,86.80202167064769,86.62280701754385,83.10249307479222,102920.0,332560.0
45000.0,88.33212,7.454570036749871E-6,45000.0,92.9,84.40629722036758,84.46389496717725,79.88668555240794,104844.0,332560.0
46000.0,89.821363,7.582824289165436E-6,46000.0,89.8,78.45492220537108,79.05544147843942,74.30730478589422,106586.0,332896.0
47000.0,91.519354,7.731515930108724E-6,47000.0,91.0,81.7122978700923,81.51950718685832,79.68397291196389,108474.0,338496.0
48000.0,93.327753,7.886365279373193E-6,48000.0,91.0,81.2667818412672,81.89134808853119,77.77777777777779,110386.0,330992.0
49000.0,95.073992,8.038295327857548E-6,49000.0,91.8,83.18259193174595,84.01559454191035,80.79625292740047,112280.0,336312.0
50000.0,96.630859,8.170929887272E-6,50000.0,92.80000000000001,85.52443756408454,85.33604887983708,84.71337579617835,114059.0,329312.0
51000.0,98.064091,8.291868818975569E-6,51000.0,92.30000000000001,84.5967961335958,85.58052434456928,84.15637860082306,115905.0,326176.0
52000.0,99.516264,8.414784713087395E-6,52000.0,93.30000000000001,86.59420869815762,86.78500986193295,86.51911468812878,117583.0,327184.0
53000.0,100.957053,8.538260767401918E-6,53000.0,92.30000000000001,84.45411743803855,84.50704225352113,82.85077951002228,119297.0,331272.0
54000.0,102.479801,8.669290182855392E-6,54000.0,93.8,87.42740339378994,87.47474747474746,85.7142857142857,121242.0,332616.0
55000.0,104.226848,8.81999972634431E-6,55000.0,91.2,82.28085647896457,82.11382113821138,80.82788671023965,123353.0,333456.0
56000.0,105.826954,8.955807972057823E-6,56000.0,90.0,79.43402435011518,78.99159663865547,76.1904761904762,125261.0,328080.0
57000.0,107.408742,9.092307228880622E-6,57000.0,93.7,86.86952897040435,86.98347107438018,84.2105263157895,127183.0,333568.0
58000.0,109.023166,9.227670121213626E-6,58000.0,89.1,77.22942710074203,77.6639344262295,73.01980198019803,129136.0,324104.0
59000.0,110.607656,9.361418409873211E-6,59000.0,93.5,86.76030862739029,87.47591522157997,85.15981735159819,131024.0,326288.0
60000.0,112.018574,9.480883248576685E-6,60000.0,92.2,83.79234250520517,84.17849898580123,80.92909535452324,132750.0,327296.0
61000.0,113.479413,9.604955927133557E-6,61000.0,93.7,86.51009815509533,85.93750000000001,82.83378746594006,134501.0,328304.0
62000.0,115.137346,9.745912401063572E-6,62000.0,92.80000000000001,82.98580259750081,83.13817330210775,76.47058823529413,136297.0,328640.0
63000.0,116.875411,9.894019778068693E-6,63000.0,90.3,77.45402480522137,78.63436123348018,70.51671732522796,138282.0,329392.0
64000.0,118.439219,1.002727802849064E-5,64000.0,93.89999999999999,87.44132421971506,88.33652007648183,85.87962962962962,140158.0,329392.0
65000.0,119.93654,1.0154839670645691E-5,65000.0,91.8,82.94828339121214,84.29118773946361,79.95110024449879,141989.0,329312.0
66000.0,121.556043,1.0292951167234113E-5,66000.0,91.60000000000001,82.89728188944315,82.96146044624747,80.95238095238095,143978.0,329648.0
67000.0,123.10552,1.0425225520274702E-5,67000.0,94.39999999999999,88.61950535492916,88.00856531049249,87.24373576309794,145838.0,329984.0
68000.0,124.797034,1.0569992740183238E-5,68000.0,93.10000000000001,85.27252236869067,84.86842105263159,81.45161290322582,147775.0,330824.0
69000.0,126.41025,1.0708269211745093E-5,69000.0,91.0,81.01305879622794,81.44329896907217,76.62337662337663,149541.0,331328.0
70000.0,128.017006,1.0846131630519194E-5,70000.0,93.89999999999999,87.00800817856533,87.31808731808731,83.64611260053618,151379.0,331664.0
71000.0,129.539125,1.097699666526582E-5,71000.0,92.7,84.58419563289269,84.88612836438925,81.51898734177216,153218.0,332336.0
72000.0,131.069278,1.1108552427668534E-5,72000.0,92.7,85.02133946158898,85.57312252964428,82.6603325415677,155045.0,332336.0
73000.0,132.618337,1.1241733644025189E-5,73000.0,93.7,86.83605666764178,87.8846153846154,84.1708542713568,156969.0,332336.0
74000.0,134.286428,1.1385148703344162E-5,74000.0,92.30000000000001,84.35595286468916,84.60000000000001,82.81250000000001,159067.0,332336.0
75000.0,135.868005,1.1521125672989417E-5,75000.0,92.30000000000001,84.12685324142026,84.22131147540985,81.62291169451075,160958.0,332336.0
76000.0,137.494344,1.1662199822355885E-5,76000.0,88.5,76.4739576940387,76.04166666666666,73.56321839080461,162742.0,335304.0
77000.0,139.175695,1.1808557419642387E-5,77000.0,93.4,86.80000000000001,86.36363636363637,86.41975308641976,164567.0,336480.0
78000.0,141.219896,1.198430874716283E-5,78000.0,91.3,82.63070890665304,82.53012048192771,82.13552361396304,166892.0,332336.0
79000.0,143.049535,1.2141772024906753E-5,79000.0,91.2,82.31852375747445,83.07692307692308,81.43459915611815,168944.0,332672.0
80000.0,144.663941,1.2279869837622256E-5,80000.0,88.6,77.09518757835858,76.29937629937629,75.0,170876.0,330656.0
81000.0,146.29225,1.2419440002517976E-5,81000.0,90.2,79.70779220779221,80.24193548387098,76.55502392344499,172737.0,331328.0
82000.0,148.0261,1.2569538595492222E-5,82000.0,88.3,76.65602553870711,76.31578947368422,76.73956262425448,174634.0,334632.0
83000.0,149.775965,1.2718919490325364E-5,83000.0,91.4,82.7007020296502,82.37704918032787,81.26361655773421,176601.0,329984.0
84000.0,151.560489,1.2871569357297068E-5,84000.0,92.0,83.95127607416116,83.60655737704919,83.19327731092437,178707.0,330656.0
85000.0,153.409087,1.3030021547689616E-5,85000.0,92.2,84.01095454601362,83.40425531914894,81.4726840855107,180933.0,331328.0
86000.0,155.140151,1.317854980592719E-5,86000.0,91.7,83.00601136754517,83.85214007782102,81.00686498855836,182933.0,331664.0
87000.0,157.397309,1.337221783108802E-5,87000.0,90.5,80.63011263079773,80.29045643153528,78.31050228310502,185604.0,331664.0
88000.0,159.413252,1.35455396612092E-5,88000.0,92.9,85.51375173426918,86.0236220472441,83.25471698113209,187746.0,332336.0
89000.0,161.470081,1.372246608143879E-5,89000.0,90.2,79.95549301305756,80.43912175648703,76.4423076923077,190016.0,332504.0
90000.0,163.590781,1.3905163130470446E-5,90000.0,86.3,71.38010562203355,73.13725490196077,66.0891089108911,192214.0,333008.0
91000.0,165.81858,1.4097667638783651E-5,91000.0,89.60000000000001,78.83554813895277,79.44664031620555,77.34204793028323,194371.0,334016.0
92000.0,168.002746,1.4286591667019657E-5,92000.0,91.4,82.51826434823619,83.33333333333334,80.84632516703788,196498.0,334352.0
93000.0,170.039138,1.446291068277425E-5,93000.0,91.2,81.43491249092844,82.32931726907631,77.20207253886011,198553.0,334688.0
94000.0,171.923614,1.4624929563833606E-5,94000.0,92.2,81.47444423332702,82.27272727272728,75.00000000000003,200611.0,332336.0
95000.0,173.747492,1.4782055573355818E-5,95000.0,92.7,82.40929945637507,83.59550561797754,76.8987341772152,202830.0,333008.0
96000.0,175.547049,1.4937242766817409E-5,96000.0,91.3,80.21846095078718,81.87500000000001,75.21367521367523,204987.0,333344.0
97000.0,177.283567,1.508714465231531E-5,97000.0,90.3,77.45758772949107,78.05429864253394,70.60606060606061,206965.0,333680.0
98000.0,179.119039,1.5245109932530254E-5,98000.0,89.7,76.90935014392424,78.67494824016563,71.46814404432133,209078.0,332672.0
99000.0,181.037856,1.5410581670850514E-5,99000.0,90.0,78.02439292385452,78.0701754385965,71.83098591549296,211313.0,333344.0
100000.0,183.006586,1.558052885195447E-5,100000.0,93.2,81.09798471160529,81.62162162162163,72.2448979591837,213560.0,333680.0
101000.0,185.003162,1.5752879790407086E-5,101000.0,92.5,79.76276564742962,80.67010309278352,70.47244094488191,215691.0,333680.0
102000.0,186.965909,1.5922310499478543E-5,102000.0,91.7,79.10625100692768,81.00686498855836,71.57534246575345,217742.0,333680.0
103000.0,189.138512,1.6110045511602526E-5,103000.0,90.9,73.363462866911,75.13661202185793,63.74501992031873,220063.0,334016.0
104000.0,191.287182,1.629599262361725E-5,104000.0,89.5,72.76970954356847,75.23584905660378,64.04109589041097,222297.0,334520.0
105000.0,193.437409,1.6482074479288936E-5,105000.0,90.8,75.0763962636267,75.72559366754619,63.779527559055126,224490.0,334520.0
106000.0,195.782746,1.6685041264254184E-5,106000.0,90.7,75.5327545382794,76.86567164179105,67.0212765957447,226855.0,334520.0
107000.0,197.795434,1.6859307892281145E-5,107000.0,91.3,78.923601689988,80.00000000000001,72.46835443037976,228909.0,334688.0
108000.0,199.844413,1.703529190672768E-5,108000.0,92.30000000000001,83.22673962671873,83.65180467091295,79.79002624671917,231217.0,332000.0
109000.0,201.70267,1.7195702698921987E-5,109000.0,92.4,83.44854020480254,84.45807770961146,79.0633608815427,233334.0,333680.0
110000.0,203.668172,1.7365542076755723E-5,110000.0,90.9,79.45137427402383,79.82261640798227,73.46938775510205,235536.0,334016.0
111000.0,205.746625,1.7545322236898866E-5,111000.0,88.3,74.12283029884813,73.58916478555304,68.88297872340425,237671.0,334352.0
112000.0,207.735199,1.7715772440814303E-5,112000.0,88.8,73.08313466123202,74.13394919168593,64.55696202531645,239644.0,331328.0
113000.0,209.945167,1.7902894208812044E-5,113000.0,87.6,72.86984527060142,73.56076759061834,67.1957671957672,241895.0,327296.0
114000.0,212.142741,1.809113145682546E-5,114000.0,86.6,70.52457458602424,71.24463519313305,64.55026455026454,244091.0,331104.0
115000.0,214.008019,1.8249554142496644E-5,115000.0,91.9,82.18919037776507,82.9113924050633,77.9291553133515,246088.0,328304.0
116000.0,215.936794,1.8415269884421586E-5,116000.0,93.10000000000001,85.1036269430052,83.84074941451992,82.0779220779221,248202.0,332112.0
117000.0,217.897583,1.8584247508351166E-5,117000.0,91.8,80.9017183795341,82.51599147121536,75.22658610271904,250467.0,333120.0
118000.0,219.813151,1.8749910836819965E-5,118000.0,89.9,76.03818706346797,77.80219780219781,68.82716049382717,252620.0,334296.0
119000.0,221.863229,1.8927652441317E-5,119000.0,89.7,76.31094756209752,77.21238938053098,69.43620178041543,254897.0,335136.0
120000.0,223.802781,1.909598004267033E-5,120000.0,91.0,80.03053109911957,81.32780082987553,75.40983606557377,257029.0,335472.0
121000.0,225.927941,1.928050834010458E-5,121000.0,89.9,76.87517171902189,76.78160919540231,70.72463768115942,259293.0,335640.0
122000.0,227.86179,1.9445763511682542E-5,122000.0,90.8,78.77905769789683,78.75288683602773,72.37237237237237,261385.0,330320.0
123000.0,229.858179,1.9616883576686175E-5,123000.0,92.5,83.39297101962731,83.73101952277658,79.83870967741936,263610.0,331328.0
124000.0,231.580199,1.976493521202769E-5,124000.0,89.1,76.78242791902393,79.19847328244275,73.01980198019803,265430.0,332336.0
125000.0,233.54928,1.993439921470979E-5,125000.0,87.6,72.81047586052651,74.3801652892562,66.75603217158177,267565.0,332672.0
126000.0,235.71706,2.012096374696327E-5,126000.0,90.4,79.31747673216132,79.53091684434969,74.19354838709678,269871.0,332672.0
127000.0,237.961452,2.0315844995685745E-5,127000.0,89.5,74.62640400564503,76.82119205298014,66.23794212218651,272128.0,335640.0
128000.0,240.021607,2.0494907964706E-5,128000.0,94.19999999999999,86.25051560566477,86.57407407407406,81.4696485623003,274319.0,335976.0
129000.0,241.968075,2.0664174171278454E-5,129000.0,91.60000000000001,82.38070267435764,82.53638253638255,79.36117936117937,276434.0,336144.0
130000.0,244.045496,2.0844828141507585E-5,130000.0,90.10000000000001,79.27812523547585,78.98089171974523,76.2589928057554,278653.0,336144.0
131000.0,245.980167,2.1013236641041517E-5,131000.0,91.7,82.5915516590461,83.06122448979593,79.75609756097562,280690.0,336480.0
132000.0,248.027342,2.1192061161866614E-5,132000.0,93.10000000000001,85.68536006505902,86.3905325443787,83.41346153846155,282761.0,337656.0
133000.0,250.050235,2.1369028360330392E-5,133000.0,90.2,77.60429997440492,79.45492662473795,70.65868263473054,284785.0,338160.0
134000.0,252.183987,2.1556064697884848E-5,134000.0,89.4,76.1767773023122,77.10583153347731,69.88636363636364,287021.0,338832.0
135000.0,254.319822,2.1739137347572378E-5,135000.0,87.0,71.94309195759521,73.08488612836439,66.14583333333334,289237.0,331328.0
136000.0,256.60172,2.1937870305101905E-5,136000.0,87.9,71.2935460299686,69.90049751243781,58.13148788927336,291240.0,336648.0
137000.0,259.077865,2.215574453876457E-5,137000.0,86.9,64.91697911087306,70.22727272727273,54.67128027681662,293391.0,340120.0
138000.0,261.250258,2.2344374092138473E-5,138000.0,90.2,77.53725835361858,79.19320594479831,71.91977077363897,295466.0,335640.0
139000.0,263.444202,2.2535351688381695E-5,139000.0,90.9,80.52042572502548,79.91169977924946,76.11548556430448,297785.0,336480.0
140000.0,265.487219,2.2713369035054408E-5,140000.0,89.9,79.13223140495869,80.4263565891473,76.83486238532112,299918.0,336816.0
141000.0,267.435887,2.2880906859317584E-5,141000.0,86.5,71.8988859469451,72.22222222222221,67.93349168646081,301948.0,332336.0
142000.0,269.583158,2.3062533316976492E-5,142000.0,85.39999999999999,69.45299946438136,70.5050505050505,63.13131313131313,304023.0,326960.0
143000.0,272.148993,2.3283318279557343E-5,143000.0,89.7,74.24510657024835,76.32183908045977,66.00660066006601,306287.0,332616.0
144000.0,274.543276,2.3489965894089803E-5,144000.0,88.9,74.56228801906683,74.82993197278913,68.4659090909091,308487.0,333624.0
